;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;31;Senior Full-Stack Developer (C#, MS-SQL, Javascript);Санкт-Петербург;180000.0;250000.0;TradeTheNews.com;2019-11-19T23:02:21+0300;6;0;Удаленная работа;Полная занятость;"Remote Senior Full-Stack Developer (C#, MS-SQL, Javascript)   Required work experience: more than 8 years, fluent oral English is obligatoryFull time, remote work from homeTradeTheNews.com - financial news analysis company, invites 2-3 new employees. Majority of people in our team speak two languages: Russian and English. That is a good opportunity to improve your skills of working on the challenging projects.Note: You will work directly with the company founder and his engineering team. The company works 24 hours/6 days a week and provide services to clients based in more than 100 countries all over the world. We are able to adjust to your working schedule, if will find a right candidate. You will work using the most modern technologies making outstanding and significant things for our grateful clients; youre going to cooperate with energetic, smart and goal-seeking technical specialists. Opportunity to work during the whole project life cycle.Required skills:  Experience in web development, including ASP.NET MVC and Webapi; Multi-threading development deep understanding; In-depth knowledge of modern JavaScript, including React framework; Experience with ElectronJS, including C#; Experience with modern HTML and CSS.  Bonus skills:  Experience with web real-time pushing technologies like websocket, SignalR; Experience with Elastic Search.  Required experience:  Professional development experience with .Net and C# language 5+ years of JavaScript  web-development Experience with relational database design and development (SQL, MSSQL) EDUCATION: Degree of computer science / higher mathematics or other natural science preferred, Master or PHD degree is welcomed. Fluent oral and written English is obligatory  Responsibilities:  Work in the group on a global level. You should be responsible, passionate and active person, who wants to be a part of an elite team in creation new solutions to change and reinvent the way the world works.    APPLY: If your skills match the requirements for this challenging opportunity, please send us your resume today! Please do not apply if you dont have the required experience.";;"5+ years of JavaScript &amp; web-<highlighttext>development</highlighttext>. Experience with relational database design and <highlighttext>development</highlighttext> (SQL, MSSQL). EDUCATION: Degree of computer...";;"C#; CSS; HTML; SPA frameworks; .NET Framework; SQL; MS SQL; Webapi; Typescript; ReactJS; websocket; JavaScript; ASP.NET; SignalR; MVC";8;1.0
1;26;.Net C# developer;Санкт-Петербург;102222.22;225000.0;Studio 8;2019-11-20T11:06:03+0300;1;3;Удаленная работа;Полная занятость;В настоящее время мы ищем себе в команду .Net С# разработчика в связи c увеличением штата. Обязанности:  Разработка backendа и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.  Требования:  Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. Желателен опыт работы с RabbitMq, NetMq, GRPС.  Условия:  Заработная плата обсуждается индивидуально. График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени. Удаленная работа. ;  Заработная плата обсуждается индивидуально. График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени. Удаленная работа. ;Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. ;"Разработка backend&#39;а и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.";"С#; Entity Framework; .NET Framework; LINQ; Design Patterns; MySQL; Git; MS Visual Studio";10;0.0
2;79;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;90000.0;200000.0;Аналитические решения;2019-11-18T12:03:35+0300;3;6;Полный день;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; Возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; ASP.NET; MS SQL; C#; SQL; MVC; RabbitMQ; PostgreSQL; Высоконагруженные системы; Микросервисы; KAFKA; Python; NET Core; Vue.js";13;2.0
3;81;Senior asp.net developer/Ведущий asp.net разработчик/ C#;Екатеринбург;90000.0;200000.0;ОТС;2019-11-18T11:43:13+0300;3;6;Гибкий график;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы или работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов; Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома; возможны редкие командировки в центральный офис Москвы.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; MS SQL; PostgreSQL; C#; MVC; ASP.NET; SQL; KAFKA; Высоконагруженные системы; Микросервисы; Python";14;2.0
4;29;Инженер-разработчик C#;Москва;150000.0;180000.0;Detego;2019-11-20T15:21:54+0300;3;6;Гибкий график;Полная занятость;"Detego - это инновационная компания, ведущий поставщик RFID-решений для сектора розничной торговли. Наши продукты позволяют повысить эффективность управления товарными запасами, а также взаимодействия с покупателями. Среди клиентов, над глобальными проектами которых мы работаем, - adidas, Levi’s, Estée Lauder, Marc O’Polo и другие. Ожидайте работу над уникальными проектами на стыке программных и аппаратных решений. Компания имеет головной офис в Лондоне, Великобритания, а также офис разработки в городе Грац, Австрия. С целью усиления технологического потенциала мы открыли офис разработки и клиентской поддержки в городе Москве и приглашаем вас присоединиться к нашей международной команде. Ваша область ответственности:   Проектирование, спецификация и реализация высокопроизводительных распределенных программных систем и приложений для крупных компаний с мировым именем; Активное участие в разработке клиент-серверных приложений по гибкой методологии.  Ваш профиль:   Уверенное владение .NET (C#, WCF, .NET Core, Entity Framework); Опыт интеграции и создания REST API; Хорошее знание реляционных баз данных, преимущественно Microsoft SQL; Преимуществом будет знание облачных технологий (Azure); Преимуществом будет опыт frontend-разработки (Angular, JavaScript, CSS); Абстрактное мышление и тяга к новым технологиям; Умение понятно излагать сложные концепции и идеи письменно и устно; Способность общаться в мультикультурной среде (желательно знание английского языка хотя бы на уровне intermediate).  Мы предлагаем:  Достойную денежную компенсацию; Интересный проект со сложными и разнообразными задачами; Простые и понятные пути решения возникающих вопросов; Современную технику для работы; Комфортабельный современный офис в центре Москвы в пешей доступности от метро; Возможны командировки, в том числе длительные (Европа, США); Прекрасные возможности для развития в молодой и динамично-растущей компании; Отличный шанс повысить свой уровень английского (либо немецкого, при желании); Возможность поучаствовать в становлении нового технологического рынка; Поддержку и всестороннее обучение. ";"  Достойную денежную компенсацию; Интересный проект со сложными и разнообразными задачами; Простые и понятные пути решения возникающих вопросов; Современную технику для работы; Комфортабельный современный офис в центре Москвы в пешей доступности от метро; Возможны командировки, в том числе длительные (Европа, США); Прекрасные возможности для развития в молодой и динамично-растущей компании; Отличный шанс повысить свой уровень английского (либо немецкого, при желании); Возможность поучаствовать в становлении нового технологического рынка; Поддержку и всестороннее обучение. ";Уверенное владение .NET (C#, WCF, .NET Core, Entity Framework). Опыт интеграции и создания REST API. Хорошее знание реляционных баз данных...;Проектирование, спецификация и реализация высокопроизводительных распределенных программных систем и приложений для крупных компаний с мировым именем. Активное участие в разработке...;".NET Framework; C#; WCF; Entity Framework; MS SQL; Английский язык; AngularJS; MS Visual Studio; ASP.NET; Git; JavaScript";33;0.0
5;91;Middle/Senior C# разработчик;Новосибирск;80000.0;160000.0;FullStack;2019-11-18T16:26:09+0300;3;6;Полный день;Полная занятость;В большой международный SaaS проект на платформе .NET требуется веб-разработчик. Основные требования:  C# ASP.NET MVC/Core React, Redux, TypeScript Entity Framework ООП SOLID HTTP, REST    Не технические требования:  Английский на уровне чтения/понимания без словаря В компании качество кода ценится превыше всего поэтому аккуратность, внимательность к деталям и перфекционизм будут оценены и даже где-то помогут компенсировать недостаток технических знаний    Обязанности и задачи:  Разработка frontend/backend    Условия:  40 часовая рабочая неделя в офисе (гибкий график) Устройство по ТК Оплачиваемые занятия спортом Оплачиваемое питание Офис в центре города рядом с метро Использование всего спектра современных инструментов доступных для улучшения качества разработки: ReSharper, CI, юнит и интеграционное тестирование, Upsource (code review), GitHub, Slack ;  40 часовая рабочая неделя в офисе (гибкий график) Устройство по ТК Оплачиваемые занятия спортом Оплачиваемое питание Офис в центре города рядом с метро Использование всего спектра современных инструментов доступных для улучшения качества разработки: ReSharper, CI, юнит и интеграционное тестирование, Upsource (code review), GitHub, Slack ;C#. ASP.NET MVC/Core. React, Redux, TypeScript. Entity Framework. ООП. SOLID. HTTP, REST. Английский на уровне чтения/понимания без словаря. ;Разработка frontend/backend.;"C#; SQL; ASP.NET; C#; Git";38;2.0
6;65;Программист C#/ .NET;Санкт-Петербург;60000.0;150000.0;Syntellect (Синтеллект);2019-11-18T12:54:58+0300;1;3;Удаленная работа;Полная занятость;Сфера деятельности компании Syntellect – разработка и внедрение решений по автоматизации документооборота и бизнес-процессов на платформе TESSA - самой быстрой СЭД на рынке Среди текущих заказчиков - Банк ВТБ, Allianz, ГК Дикси, Peugeot Citroen, JTI, НПФ Сбербанка, СМП Банк, Мособлбанк, СК Транснефть, Л`Этуаль и др.   Обязанности:  Разработка и сопровождение программных решений в области автоматизации документооборота на базе платформы TESSA    Требования (обязательные):  Высшее\неполное высшее образование в сфере ИТ Знание технологий и опыт работы с C#/ .Net, T-SQL Умение работать в команде    Требования (желательные):  Опыт работы с WPF Опыт в автоматизации задач документооборота    Условия:  Профессиональный и карьерный рост Обучение в процессе работы Оформление по ТК РФ Заработная плата - по результатам собеседования Бонусная система ;  Профессиональный и карьерный рост Обучение в процессе работы Оформление по ТК РФ Заработная плата - по результатам собеседования Бонусная система ;Высшее\неполное высшее образование в сфере ИТ. Знание технологий и опыт работы с C#/ .Net, T-SQL. Умение работать в...;Разработка и сопровождение программных решений в области автоматизации документооборота на базе платформы TESSA.;"C#; Transact-SQL; SQL; MS SQL; .NET Framework; Разработка ПО";46;2.0
7;32;Разработчик C#;Новосибирск;80000.0;150000.0;Кадвайс-Н;2019-11-20T00:54:08+0300;0;0;Гибкий график;Полная занятость;Привет. Меня зовут Рудниченко Константин, я технический директор в компании Cadwise. Мы хотим активно расти и ищем людей в команду. Дальше я немного расскажу о том, что и как мы делаем, кого мы ищем. О компании Cadwise — компания, занимающаяся разработкой программных продуктов для решения задач проектирования в области промышленного и гражданского строительства. Нами разрабатываются программные комплексы, автоматизирующие проектирование сетей электроснабжения, охранных и пожарных систем, систем оповещения, водоснабжения и канализации, структурированных кабельных систем. Сложно? Да! Интересно? Очень! Наши продукты, занимают лидирующие позиции в своей области, позволяют проектным организациям автоматизировать выполнение множества повседневных задач и не тратить время на рутину. Пишем на C#, но есть код и на C++. Мы считаем, что разработчик должен тестировать свой код через unit-тесты. Используем Slack для чатов, собираем продукты с помощью TeamCity, а задачи ведем в YouTrack. Не любим бюрократию, неважно, сколько человек сидит за компьютером, важно сколько работы выполняет. О проекте Сейчас мы находимся практически на старте разработки нового поколения наших продуктов. Новый продукт должен объединить в себе возможность проектирования всех инженерных систем, дать возможность одновременной(параллельной) работы над одним и тем же объектом проектирования. Задачи разные: от разработки GUI до алгоритмов и архитектурных челленджей. Пара слов о стеке технологий:   C# .net framework, но мы работаем и думаем над тем, чтобы всё завелось под dotnet core   C++ для интеграции с CAD платформой   WPF   nUnit   CI на Teamcity   Mercurial(HG) для версионирования исходников   О команде Непосредственно над этим проектом сейчас работает 6 разработчиков и 1 тестировщик, все находятся в Новосибирске. Кроме того, мы в постоянном контакте с менеджерами продуктов, которые всегда на связи с нашими пользователями.;;WPF. NUnit.;Cadwise — компания, занимающаяся разработкой программных продуктов для решения задач проектирования в области промышленного и гражданского строительства. Нами разрабатываются программные комплексы...;C#;51;1.0
8;7;Инженер-программист C# .Net;Москва;100000.0;150000.0;Финстарлабс;2019-11-20T14:54:12+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка back-end серверных приложений на чистом C# с использованием .NET Core под Linux.Разработка full stack приложений с использованием C# и JavaScript. Вероятна кое-какая верстка HTML/CSS3 (в малых количествах).Возможно, разработка пакетов, процессов и сервисов в среде Terrasoft BPM Online (C#, JavaScript).  Требования: Знания основных концепций разработки на платформе .Net‚ принципов объектно-ориентированного программирования.Знание основных вычислительных алгоритмов и структур данных.Понимать, что такое шаблоны проектирования, понимать, когда какие шаблоны более уместны.Иметь опыт разработки приложений с использованием Web-services, socket, XML.Иметь опыт использования реляционных СУБД, хорошее знание SQL;Иметь опыт разработки многопоточных приложений. 1. Плюсом будет опыт работы с .NET Core и/или Mono.2. Очень большим плюсом будет опыт работы под Linux на иных языках и технологиях (Java, C++, Ruby, Python). Условия:  Оформление по ТК РФ ДМС Бесплатная парковка 100% оплата больничного листа Отпуск 34 календарных дня Премии ";  Оформление по ТК РФ ДМС Бесплатная парковка 100% оплата больничного листа Отпуск 34 календарных дня Премии ;Знания основных концепций разработки на платформе .Net‚ принципов объектно-ориентированного программирования. Знание основных вычислительных алгоритмов и структур данных. ;Разработка back-end серверных приложений на чистом C# с использованием .NET Core под Linux. Разработка full stack приложений с использованием...;"С#; .NET Framework; Linux; MS Visual Studio; management studio; Git; Atlassian Jira; Redmine; PostgreSQL; Terrasoft CRM";54;0.0
9;30;Программист C#;Санкт-Петербург;100000.0;150000.0;INDEV;2019-11-18T19:34:54+0300;3;6;Гибкий график;Полная занятость;Обязанности:  Разработка программного обеспечения (Конечные решения на базе технологий: распознавание\синтез речи, обработка биометрических данных)  Требования:  Уверенные знания C#, .NET Framework / .NET Core Уверенные знания принципов ООП, шаблонов проектирования. Опыт работы с WPF, EntityFramework / ADO, WCF Опыт разработки REST-based сервисов Опыт работы с SQL и NoSQL базами данных Будет преимуществом знание и опыт Frontend-технологий (JavaScript, HTML, CSS, Node.js) Будет преимуществом знание и опыт работы с C++/CLI Будет преимуществом знание и опыт работы c технологическим стеком на базе Java  Условия:  Полный рабочий день Гибкий график Интересный дружный коллектив Широкие возможности развития Офис в 100 метрах от метро Настольный теннис :) ;  Полный рабочий день Гибкий график Интересный дружный коллектив Широкие возможности развития Офис в 100 метрах от метро Настольный теннис :) ;Уверенные знания C#, .NET Framework / .NET Core. Уверенные знания принципов ООП, шаблонов проектирования. Опыт работы с WPF, EntityFramework / ADO, WCF. ;Разработка программного обеспечения (Конечные решения на базе технологий: распознавание\синтез речи, обработка биометрических данных).;"ООП; Git; Linux; PostgreSQL; Spring Framework; Hibernate ORM; Android; C#; .NET Framework; C/C++";58;2.0
