;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;98;JavaScript-разработчик;Москва;150000.0;350000.0;5Вижинс;2019-11-20T12:33:44+0300;3;6;Полный день;Полная занятость;"Ищем разработчика, способного писать на чистом JS, с соответствующим опытом работы. Требуемые знания и навыки:  Глубокое знание чистого JavaScript`а ООП: прототипы, классы, объекты Понимание области видимости, контекста выполнения функций, особенностей анонимных функций (а также bind, apply и т.д.) Умение работать с DOM-деревом, XHR, JSON, XML без вспомогательных фреймворков Умение работать с canvas и webgl Умение работать с HTML5 Video и Audio Умение работать с WebSocket Умение работать с Promise и понимание их работы Знание современных возможностей языка Знание современного API браузеров  Будет плюсом:  Понимание HTML/CSS-верстки, знание особенностей браузеров Опыт работы с ECMA 6, 7 Опыт самостоятельной разработки анимаций или использования библиотеки TweenLite  Обязанности:  делать html-версию продукта. Пример ТикТок / YouTube /Лента / профиль / сообщения и тд.  Условия:  график работы гибкий в разумных пределах (5/2); команда профессионалов; современный офис в Москва-сити; по желанию в 2020г релокация в Штаты со всей командой (оказываем визовую поддержку).   ";"  график работы гибкий в разумных пределах (5/2); команда профессионалов; современный офис в Москва-сити; по желанию в 2020г релокация в Штаты со всей командой (оказываем визовую поддержку).   ";Глубокое знание чистого JavaScript`а. ООП: прототипы, классы, объекты. Понимание области видимости, контекста выполнения функций, особенностей анонимных функций (а также...;Делать html-версию продукта. Пример ТикТок / YouTube /Лента / профиль / сообщения и тд.;"JavaScript; JavaScript; CSS3; HTML5; HTML";1;15.0
1;42;Front-end React/Angular Developer;Санкт-Петербург;200000.0;300000.0;Soshace;2019-11-19T11:20:47+0300;3;6;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework";3;16.0
2;48;Senior/Middle Front-end разработчик;Москва;130000.0;250000.0;БОЛЬШАЯ ТРОЙКА;2019-11-20T11:55:54+0300;3;6;Удаленная работа;Полная занятость;Ищем того, кто будет помогать кодить огромную и действительно нужную систему. В приоритете именно навыки программирования, только Angular. Самое главное – квалификация и желание работать, все остальное решаемо. Придется очень много думать, очень много расти и развиваться, даже если вам кажется, что вы уже бог программирования. Зато мало где в России можно поработать с настолько интересными задачами, как у нас. Очень дружелюбная, неформальная атмосфера в команде. Отдельное преимущество – работа среди таких же фанатов своего дела.   Чем нужно будет заниматься:   В основном, кодить. Еще архитектурить, верстать, иногда дизайнить и привносить эстетику. Создавать новое, поддерживать существующее.    Что необходимо кандидату:   Уверенное владение Angular, TypeScript Опыт использования командной строки, git, docker. Приветствуется опыт работы с RxJS, LeafletJS, REST API, RAML. Умение писать чистый код для комфорта коллег и уменьшать общий технический долг. Умение внятно выражать свои мысли устно, письменно, схематически. Умение оценивать и отслеживать сроки на реализацию своих задач.    Требования:  портфолио с лучшими front-end кейсами и парой абзацев описания вашей роли по каждому кейсу.    Условия:  Сложный и значимый продукт, на который не жалко тратить свое время Испытательный срок 3 мес Демократичная, почти семейная атмосфера в команде Гибкие условия работы, когда главное – результат, а не исполнение формальных требований Высокая по рынку, стабильная зарплата по уровню квалификации:  Middle – 130-180 Senior – 180-250   ;  Сложный и значимый продукт, на который не жалко тратить свое время Испытательный срок 3 мес Демократичная, почти семейная атмосфера в команде Гибкие условия работы, когда главное – результат, а не исполнение формальных требований Высокая по рынку, стабильная зарплата по уровню квалификации:  Middle – 130-180 Senior – 180-250   ;Уверенное владение Angular, TypeScript. Опыт использования командной строки, git, docker. Приветствуется опыт работы с RxJS, LeafletJS, REST API, RAML. ;В основном, кодить. Еще архитектурить, верстать, иногда дизайнить и привносить эстетику. Создавать новое, поддерживать существующее. Портфолио с лучшими front-end...;"AngularJS; TypeScript; HTML5; CSS3; Sass; ES6";7;15.0
3;38;Ведущий FrontEnd-разработчик;Екатеринбург;130000.0;200000.0;ДЖАСТ ВОРК;2019-11-19T11:16:10+0300;3;6;Удаленная работа;Полная занятость;В век высоких скоростей и больших возможностей цена времени высока. Поэтому особенно жалко его тратить на поездки в офис и обратно, стояние в пробках на улицах больших городов. У жителей небольших населённых пунктов преград на пути к достойной работе даже больше – длительные поездки из области, необходимость релокации, аренды жилья, расставание с друзьями и близкими. Такие способы потратить свои силы, время и жизнь нельзя назвать рациональными. Так, например, если на дорогу уходит 1-2 часа в день,то это от 10 дней до 3-х недель в год – полноценный отпуск. А стоимость аренды жилья из расчета 30 тысяч рублей в месяц или 360 тысяч рублей в год позволяет достойно провести этот дополнительный отпуск в теплых странах или на горнолыжных курортах. Мы решили отказаться от стереотипа, что работа должна совершаться в офисе и выстроили свои процессы так, чтобы доставлять работу туда, где её удобно выполнять. Всё что нужно от специалиста – компьютер и стабильный доступ в Интернет, хотя бы на скорости LTE. Если же вам не сидится на месте, Вы любите путешествовать или зимовать там, где теплее, то наше предложение понравится Вам ещё больше! Мы ценим любознательных и увлечённых людей и нам не важно в какой точке земного шара Вы находитесь. Главное – участвовать в периодических командных созвонах и своевременно выполнять запланированную работу. Кстати, путешествовать, когда это не делает основная масса туристов, существенно дешевле. Попробуйте! Хотите работать меньше 40 часов в неделю – не стесняйтесь, говорите прямо и мы предложим Вам особые условия. Кстати, в 2018 году мы вошли в тройку компаний с наилучшими условиями для работы в своей весовой категории Теперь несколько слов о том, что и как мы делаем. Наша компания занимается заказной разработкой. И наш основной профиль и экспертиза – информационные системы для дистрибуции медиаконтента в Интернете. Конечно, мы хорошо умеем делать и другие штуки. Есть опыт создания специализированных CRM, крупных информационных комплексов, автоматизирующих бизнес-процессы, множества сервисов разной направленности. Умеем работать с высокой нагрузкой. Чтобы быть эффективнее, мы стремимся унифицировать технологический стек, постоянно подбираем и оттачиваем удобные инструменты – в нашем арсенале сейчас VueJS, ReactJS. Разработку ведем проектными командами в рамках гибкой методологии с использованием Redmine, Jira и GitLab. Мы ищем опытного специалиста, отлично владеющего JavaScript и VueJS и готового стать ключевым экспертом в одной из наших проектных команд. А мы готовы платить за это от 130 до 200 тысяч рублей в месяц.И последнее, о чём хотелось бы упомянуть. Отрасль коммерческой разработки бурно растет и даже не думает замедляться. Наша компания растет вместе с ней. Если у вас есть цель развиваться и хорошо зарабатывать – давайте сотрудничать. Активно участвуйте в нашем росте и ваши инициативы окупятся сполна.;;;;"JavaScript; Vue.js; React.js; HTML; CSS; Babel; Webpack; Git; Docker; Кроссбраузерная верстка";18;16.0
4;87;React-разработчик (Frontend);Санкт-Петербург;100000.0;180000.0;Sendsay.ru;2019-11-19T18:48:33+0300;3;6;Гибкий график;Полная занятость;"Sendsay.ru ищет frontend-разработчика, знающего ES6, дружащего с React, Redux, Webpack и прочими современными веяниями фронтенда. У вас будет возможность приложить руку к развитию одной из крупнейших платформ автоматизации маркетинга, которой пользуются топ-20 российских банков, крупные интернет-магазины и b2b-компании. Работаем по методологии ScrumBut. Несколько фактов о разработчике, которого мы ищем: Требования:  Уметь вести диалог с командой и быть её частью, а не баррикадироваться за экраном монитора. Быть ответственным, аккуратным во всём человеком, с хорошим вкусом и блеском в глазах. Понимать, что хороший фронтендер это не только о коде, но прежде всего о пользователях. Понимать, что заниматься надо не только веселыми, но и рутинными задачами. Уметь оценивать объем и сроки работ с адекватными погрешностями. Читать и писать по-английски.  Бонусы:  дружный коллектив единомышленников, ценящий индивидуальность и желание развиваться; индексируемая зарплата (белая, конечно) по результатам собеседования и премии по результатам работы; ДМС бонусом; офис в 10 минутах ходьбы от метро Петроградская; пятидневка без крайностей, c последующим гибким графиком когда сработаемся;  Дополнительные инструкции: Для того чтобы откликнуться, необходимо выполнить простое тестовое задание https://docs.google.com/document/d/1ALAXy1ZIOT3JG8ZVKJi5jBOyMpskpCSyk_TKVfIXMp0/edit?usp=sharingP. S. Дорогие эйчары, если хотите сотрудничать и предложить человека на вакансию, то не рекламируйте себя, а сразу присылайте эссе от кандидата: что делал, к чему пришёл и как планирует двигаться дальше.";;Работаем по методологии ScrumBut. Уметь вести диалог с командой и быть её частью, а не баррикадироваться за экраном монитора. ;Дополнительные инструкции:;"React.js; Backbone; Redux; Webpack; JavaScript; CSS3; HTML5; Scrum; Agile Project Management";29;15.0
5;46;Middle to Senior Front-end Developer / Разработчик на JavaScript;Санкт-Петербург;139000.0;175000.0;Софтвайс;2019-11-20T16:41:56+0300;0;0;Полный день;Полная занятость;"Мы ищем разработчика, специализирующегося на front-end, который будет достаточно крут, чтобы быстро проникнуться нашей атмосферой и начать решать реальные задачи в приложениях на JavaScript. Технический отдел состоит из проектных команд: есть фича-команды, работающие над развитием новых продуктов и команда Core, занимающаяся поддержкой и развитием основы ядра системы. Тебе предстоит:  Разработка рекламных скриптов на чистом JavaScript; Создание новых страниц и доработка старых в различных панелях управления системой; Работать в команде, которая сама сможет выбирать технологии для разработки.  С тебя:  Знание JavaScript (ES5, ES6+, TypeScript); Знание современных FrontEnd фреймворков (React, Vue); Опыт в создании как простых страниц, так и сложных веб-приложений; Умение работать в команде; Знание английского на уровне чтения документации и Stackoverflow  Что с нас:  Стабильная заработная плата; Условия для развития и профессионального роста: оплата конференций и тренингов, учебных материалов и курсов; Постоянная работа в комфортном офисе в новом бизнес-центре в 7 минутах ходьбы от м. Петроградская и м. Чкаловская; Гибкий график работы: всегда можно договориться, когда приходить и когда уходить; Молодой, веселый и дружелюбный коллектив; ДМС, корпоративный английский, испанский в офисе; Кофе, печеньки, йогурты, настольный футбол, корпоративные спортивные и анти-спортивные мероприятия; Оформление по ТК РФ  К сожалению, мы не работаем удалённо, но готовы предложить релокационный пакет успешным кандидатам. В услугах агентств тоже на данный момент не нуждаемся, большое спасибо!";;Знание JavaScript (ES5, ES6+, TypeScript). Знание современных FrontEnd фреймворков (React, Vue). Опыт в создании как простых страниц...;Разработка рекламных скриптов на чистом JavaScript. Создание новых страниц и доработка старых в различных панелях управления системой. Работать в команде...;"JavaScript; React; TypeScript";35;14.0
6;26;Frontend-разработчик / Senior developer;Новосибирск;120000.0;160000.0;Bazon;2019-11-20T09:51:00+0300;6;0;Полный день;Полная занятость;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече! Что мы уже делаем: Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов; Разрабатывать компоненты на Vue; Проводить рефакторинг существующих проектов; Организовать работу других фронтенд-разработчиков и взаимодействие с бекенд-разработчиками.    Чего тебе делать не придется  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Отличное знание JS; Современные стандарты, паттерны; Опыт организации кода больших проектов без использования фреймворков; Отличное знание любого из фреймворков: Vue.JS, AngularJS, React.JS; Умение разбираться и готовность поддерживать чужой код (даже написанный с использованием jQuery); Опыт работы со сборщиками: webpack или gulp; Опыт работы с Service Worker; Опыт написания тестов.    Уровень заработной платы по результатам собеседования.";;Отличное знание JS. Современные стандарты, паттерны. Опыт организации кода больших проектов без использования фреймворков. Отличное знание любого из фреймворков: Vue.JS...;Проводить рефакторинг существующих проектов. Организовать работу других фронтенд-<highlighttext>разработчиков</highlighttext> и взаимодействие с бекенд-<highlighttext>разработчиками</highlighttext>. Чего тебе делать не придется. ;"JavaScript; Ajax; HTML; CSS3";41;15.0
7;2;Программист Front-end/JavaScript (Junior/Middle/Senior);Екатеринбург;50000.0;150000.0;Прикладные технологии;2019-11-20T10:37:53+0300;0;0;Полный день;Полная занятость;Ищем Front-end/JavaScript разработчиков всех уровней (Junior, Middle, Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Хорошее знание JavaScript (ES6), HTML5, CSS3. Знание и понимание ООП, паттернов проектирования. Опыт Front-end разработки на JavaScript (можно учебные проекты). Желание изучать и использовать новые технологии в процессе разработки ПО. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.  Будет плюсом:  Опыт работы с популярными JS-фреймворками, а также умение обходиться без них. Опыт работы с UX дизайнерами и способность превращения мокапов в работающее клиентское приложение, используя HTML5, CSS3 и JavaScript. Опыт разработки мобильных версий web-приложений. Опыт работы в команде. Знание и умение работать с Git, SVN, Jira.    Обязанности:  Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.    Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете.   Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Хорошее знание JavaScript (ES6), HTML5, CSS3. Знание и понимание ООП...;Разработка Web и мобильных приложений на JavaScript с применением современных framework-ов.;"JavaScript; JavaScript; CSS3; HTML5; HTML";44;15.0
8;82;Web-программист (JavaScript / React);Москва;80000.0;150000.0;Syntellect (Синтеллект);2019-11-20T14:09:30+0300;1;3;Полный день;Полная занятость;Сфера деятельности компании Syntellect – разработка и внедрение решений по автоматизации документооборота и бизнес-процессов на платформе TESSA - самой быстрой СЭД на рынке Среди текущих заказчиков - Банк ВТБ, Allianz, ГК Дикси, Peugeot Citroen, JTI, НПФ Сбербанка, СМП Банк, Мособлбанк, СК Транснефть, Л`Этуаль и др.   Обязанности:  Разработка и сопровождение программных решений в области автоматизации документооборота на базе платформы TESSA    Требования (обязательные):  Высшее\неполное высшее образование в сфере ИТ Знание технологий и опыт работы с JavaScript, TypeScript, React, html, css Умение работать в команде  Требования (желательные):  Mobx, React.Native, SQL, C#    Условия:  Профессиональный и карьерный рост Обучение в процессе работы Оформление по ТК РФ Заработная плата - по результатам собеседования Бонусная система ;  Профессиональный и карьерный рост Обучение в процессе работы Оформление по ТК РФ Заработная плата - по результатам собеседования Бонусная система ;Высшее\неполное высшее образование в сфере ИТ. Знание технологий и опыт работы с JavaScript, TypeScript, React, html, css. ;Разработка и сопровождение программных решений в области автоматизации документооборота на базе платформы TESSA.;"JavaScript; TypeScript; React; Разработка ПО";49;15.0
9;9;Разработчик Front-end html5 игр;Новосибирск;80000.0;150000.0;Overmobile;2019-11-19T14:08:01+0300;3;6;Полный день;Полная занятость;Зарплата: от 80.000 до 150.000 рублейТребуемый опыт работы: от 3 Полная занятость, гибкий график О нас: Компания Overmobile 12 лет на рынке мобильных и браузерных игр. У нас десятки успешных игр на разных платформах. Мы - небольшая команда в большой компании. Делаем успешные html5 онлайн игры. Ищем талантливого Frontend программиста JS.   Что по технологиям:   Front: JavaScript, ES5+, TypeScript, PixiJS, CSS3, html5     Что вам придётся делать:   Разрабатывать клиентскую часть и новые интерфейсы игр     Наш кандидат:   Имеет большой опыт разработки на JavaScript/TypeScript   Отлично понимает CSS3 и html5   Будет плюсом:   Опыт работы в Геймдеве   Опыт работы с высоконагруженными проектами. (10к+ игроков могут собраться на ивэнт и поиграть онлайн)   Опыт разработки на Java и других высокоуровневых языка   Условия:   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!;   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!;Имеет большой опыт разработки на JavaScript/TypeScript. Отлично понимает CSS3 и html5. Опыт работы в Геймдеве. ;Разрабатывать клиентскую часть и новые интерфейсы игр.;"JavaScript; HTML5; Java; jQuery; CSS3";50;16.0
