;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;87;Разработчик Full Stack html5 игр;Новосибирск;100000.0;200000.0;Overmobile;2019-11-19T09:15:56+0300;3;6;Полный день;Полная занятость;Зарплата: от 100.000 до 200.000 рублейТребуемый опыт работы: от 3 Полная занятость, гибкий график О нас: Компания Overmobile 12 лет на рынке мобильных и браузерных игр. У нас десятки успешных игр на разных платформах. Мы - небольшая команда в большой компании. Делаем успешные html5 онлайн игры. Ищем талантливого Frontend программиста JS.   Что по технологиям:   Backend: Java   Front: JavaScript, ES5+, TypeScript, CSS3, html5     Что вам придётся делать:   Работать с серверными разработчиками   Разрабатывать клиентскую часть и новые интерфейсы игр     От кандидата:   Опыт программирования на Java от 2-x лет   Опыт работы с NoSQL, например MongoDB   Понимание принципов ООП   Знание основных design patterns (GoF)   Желание разбираться в чужом коде   Опыт работы с системами контроля версий   Опыт программирования на JavaScript/TypeScript от 1-2 лет   Будет плюсом:   Опыт работы в Геймдеве   Опыт работы с высоконагруженными проектами. (10к+ игроков могут собраться на ивэнт и поиграть онлайн)   Опыт разработки на C#, Java и других высокоуровневых языка   Условия:   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!  ;   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!  ;Опыт программирования на Java от 2-x лет. Опыт работы с NoSQL, например MongoDB. Понимание принципов ООП. Знание основных design...;Работать с серверными <highlighttext>разработчиками</highlighttext>. Разрабатывать клиентскую часть и новые интерфейсы игр.;"JavaScript; HTML5; ООП; jQuery; MongoDB";17;16.0
1;26;Full stack web developer (Веб-программист);Тюмень;70000.0;100000.0;Компания Эхо;2019-10-24T12:28:37+0300;1;3;Полный день;Полная занятость;Обязанности: В нашу команду требуется веб-программист, знающий и любящий php, понимающий принципы ООП и mvc, умеющий решать технические задачи. Будет много интересных задач в больших проектах, в том числе международных. Требования:  Хорошее знание php, ООП, плюсом будет знание javascript Работа с mysql Знание html 5, css 3, приветствуется знание препроцессоров less/sass Основы работы в linux Умение решать поставленные технические задачи  Условия:   Официальное трудоустройство Достойная оплата в соответствии со знаниями, навыками и результатами Поощрение в реализации профессиональных амбиций Дружный коллектив специалистов, который обменивается опытом и развивается вместе, есть возможности для развития – внутреннее обучение, мастер-классы для сотрудников Корпоративные мероприятия (по пятницам мы любим играть в «Мафию» и другие игры, устраиваем банкеты и празднуем Дни Рождения) Возможность поспать – гибкий график: не можешь встать в 7 утра? Приходи на работу позже, но у нас полный рабочий день В офисе комфортные условия - мощные компьютеры, два монитора, кофе, чай, снэки ;   Официальное трудоустройство Достойная оплата в соответствии со знаниями, навыками и результатами Поощрение в реализации профессиональных амбиций Дружный коллектив специалистов, который обменивается опытом и развивается вместе, есть возможности для развития – внутреннее обучение, мастер-классы для сотрудников Корпоративные мероприятия (по пятницам мы любим играть в «Мафию» и другие игры, устраиваем банкеты и празднуем Дни Рождения) Возможность поспать – гибкий график: не можешь встать в 7 утра? Приходи на работу позже, но у нас полный рабочий день В офисе комфортные условия - мощные компьютеры, два монитора, кофе, чай, снэки ;Хорошее знание php, ООП, плюсом будет знание javascript. Работа с mysql. Знание html 5, css 3, приветствуется знание препроцессоров less...;;"PHP; MySQL; JavaScript; CSS; jQuery; HTML5; ООП; Bootstrap; Yii; 1С-Битрикс; Shop Script; Git";130;42.0
2;79;Full-stack developer;Новосибирск;60000.0;90000.0;Неолаб-Нск;2019-11-20T05:31:46+0300;1;3;Гибкий график;Полная занятость;В компании NEOLAB мы решаем задачи игровой индустрии в областях искусственного интеллекта, машинного обучения и больших данных. Мы разрабатываем приложения и сервисы для обработки данных, помощи в принятии решений и аналитики. Офисы компании находятся в Москве, Омске и Новосибирске. NEOLAB работает с компаниями из США, Китая, Индии и других стран. И мы смело называем себя экспертами в игровой индустрии. Мы ценим хорошее знание английского и твой интерес к новостям из мира IT. Мы любим обсудить на собесе, что интересного ты прочитал за последнее время, и что тебя вдохновляет на работу. Ты будешь заниматься поддержкой, развитием и интеграцией продукта. Работать в распределенной команде и взаимодействовать с коллегами в других городах. С какими технологиями ты точно столкнёшься:  Typescript Node JS React Docker RPC  Будет плюсом твой опыт: DevOps Kubernetes Eventsourcing Что тебя ждёт: Когда ты придёшь в нашу компанию, у тебя появится наставник. Ты задашь ему все вопросы, которые у тебя возникнут, он погрузит тебя в проект. Мы знаем, что работать за идею никто не хочет. Поэтому довольно гибкие в определении зарплаты. Жить на дошираках и офисной пицце тебе точно не придётся. Присоединяйся к команде, если хочешь решать задачи бизнеса, принимать новые вызовы и использовать только современные подходы разработки.  ;;React. Docker. RPC. Будет плюсом твой опыт:;Ты будешь заниматься поддержкой, развитием и интеграцией продукта. Работать в распределенной команде и взаимодействовать с коллегами в других городах. DevOps.;"Git; JavaScript; Python";149;15.0
3;10;Full-stack разработчик;Екатеринбург;120000.0;0.0;Сибирско-уральская медиакомпания;2019-11-20T16:39:16+0300;1;3;Полный день;Полная занятость;Про нас: URA.RU – Российское информационное агентство. Наша статистика насчитывает более 16 млн уникальных посетителей в месяц. Наша главная специализация — новости бизнеса и новости политики. Постоянная аудитория сайта знает, что только у нас можно найти последние новости без купюр и новости УрФО без штампов. Кроме того, на «URA.RU» вас всегда ждут уникальные интервью с наиболее важными персонами политического и бизнес-пространства. Наши редакции находятся в Москве, Екатеринбурге, Перми, Челябинске, Кургане, Тюмени, Салехарде, Сургуте, Ханты-Мансийске, Нижневартовске. Про тебя:  Технический английский на уровне чтения документации. Опыт разработки на PHP, Python, понимание MVC фреймворков (идеально – опыт с Symfony, Django). Знание актуального JS-фреймворка (Angular, React, Vue). Аналитический склад ума, внимательность, стрессоустойчивость, ответственность, умение работать в команде.   Будет плюсом опыт работы с highload и с Docker, CI/CD.    От тебя:  Работа в команде над проектами URA.RU Поддержка и разработка фронтэнда на Angular и бэкенда на Django. Поддержка и перевод legacy PHP-кода на Python.    От нас:  Официальное оформление, а еще «белую» заработную плату, которая всегда вовремя. Уровень дохода обсуждается индивидуально. Пятидневную рабочую неделю с 10:00 до 19:00. Корпоративное обучение. Мощный компьютер и лицензионное программное обеспечение. Штаб-квартира в центре города – современный комфортный офис, есть своя кухня. ;;Технический английский на уровне чтения документации. Опыт разработки на PHP, Python, понимание MVC фреймворков (идеально – опыт с Symfony, Django). ;Работа в команде над проектами URA.RU. Поддержка и разработка фронтэнда на Angular и бэкенда на Django. Поддержка и перевод legacy...;"Python; Django Framework; JavaScript; Symfony; MySQL";333;14.0
4;76;Full stack разработчик;Санкт-Петербург;140000.0;0.0;CS.MONEY;2019-11-19T15:43:09+0300;3;6;Полный день;Полная занятость;"​​​​Мы ищем Full stack разработчика в команду основного продукта cs.money.Наш продукт - это международная торговая площадка для обмена виртуальными предметами. (CS:GO, Dota 2) на которой обмениваются более 5 миллионов пользователей из 100 стран мира. Под капотом платформы огромное количество сложных фич, построенных на аналитике рынка. Продукт находится на стадии полного редизайна и написания фронт части с нуля. Что тебя ждет:  Возможность участвовать в разработке проекта с нуля Возможность опробовать новые технологии Возможность влиять на продукт, добавлять новые идеи, что-то улучшать Чистый проект и отсутствие легаси  Требования:  Практический опыт проектирования и разработки на React+Redux от 2-х лет Уверенное знание react 16.8+ Знание паттернов react Знание принципов SOLID Знание спецификации ES6+ Умение держать код в чистоте и следовать code of conduct проекта Знание основных CI/CD процессов Понимание и соблюдение модели git flow Знание техник оптимизации рендеринга Node.js (10, 12) Async/await, promises Mocha + chai Express, koa Mongodb/mysql Понимание асинхронности, стримов и стандартных модулей  Условия:  Гибкое начало рабочего дня; Офис в центре Петербурга Молодая команда. Корпоративный курс английского языка и частичная компенсация абонемента в спортзал; Корпоративное питание ; Конференции, курсы, обучение за счет компании. ";"  Гибкое начало рабочего дня; Офис в центре Петербурга Молодая команда. Корпоративный курс английского языка и частичная компенсация абонемента в спортзал; Корпоративное питание ; Конференции, курсы, обучение за счет компании. ";Практический опыт проектирования и разработки на React+Redux от 2-х лет. Уверенное знание react 16.8+. Знание паттернов react. ;Возможность участвовать в разработке проекта с нуля.;"JavaScript; HTML5; JavaScript; Git; ООП";339;15.0
5;34;Web-разработчик, fullstack;Москва;200000.0;0.0;Сеть аптек;2019-11-20T17:53:10+0300;3;6;Полный день;Полная занятость;"Обязанности: Мы крупная фармацевтическая компания со своим складом и сетью аптек. По рейтингам аптечных сетей мы занимаем лидирующие позиции в России. Такой результат достигается благодаря автоматизации бизнес-процессов, поэтому информационные технологии для нас имеют высокий приоритет. У нас вы сможете поработать над совершенно разными проектами – не только в поддержке и развитии, но и в создании новых с нуля. У нас уже есть электронная очередь, системы бронирования и системы интеллектуальной выдачи заданий работникам, мобильные приложения, сайт и конечно же системы управления складом, торговые терминалы. У нас много новых интересных идей и задач для разработчиков!   Что надо будет делать:  Cайт интернет-магазина (от участия в разработке архитектуры до реализации); Бэкэнд для мобильного приложения.  Требования:  Отличное знание C#, ASP.NET Core; Отличное знание современных веб-технологий – NodeJS, REACT, REDUX и т.п.; Знание JavaScript, ReactJS (или AngularJS), HTML/CSS (Material, Bootstrap, jQuery и т.п.); Опыт проектирования и дизайна интерфейсов; Опыт разработки архитектуры баз данных; Опыт и умение работать в команде; Опыт конфигурирования сервера с нуля в среде Linux. Установка и настройка .Net Framework, NodeJS, БД, NGinx и т.п. Git  Будет плюсом:  Опыт разработки веб-приложений, работающих под большой нагрузкой; Хорошее знание и опыт работы с базами данных MS SQL.    Условия:  Гибкое начало рабочего дня с 8-00 до 11-00; Бесплатная парковка на территории; Отсутствие дресс-кода; Своевременная белая заработная плата; Оформление по ТК РФ. ";"  Гибкое начало рабочего дня с 8-00 до 11-00; Бесплатная парковка на территории; Отсутствие дресс-кода; Своевременная белая заработная плата; Оформление по ТК РФ. ";Отличное знание C#, ASP.NET Core. Отличное знание современных веб-технологий – NodeJS, REACT, REDUX и т.п.. Знание JavaScript, ReactJS (или...;Cайт интернет-магазина (от участия в разработке архитектуры до реализации). Бэкэнд для мобильного приложения.;"JavaScript; HTML5; JavaScript; Git; ООП";360;14.0
6;60;Full stack разработчик (Java, Kotlin);Санкт-Петербург;200000.0;0.0;ЛИПТ Софт;2019-11-19T14:36:29+0300;3;6;Полный день;Полная занятость;Lipt Soft – компания-разработчик ПО для банка Санкт-Петербург. Наш продукт входит в тройку лидеров юзабилити-рейтинга интернет-банков. В данный момент мы планируем существенно увеличить команду разработки для освоения новых направлений.   Что мы делаем:   Проектируем и создаём микросервисы, решающие определенные бизнес-задачи банка. Сами выбираем инструменты с учётом лучших практик   Развиваем собственную инфраструктуру для поддержания отказоустойчивости и мониторинга внутренних компонентов   Технологический стек: Java 11 / Kotlin, Javascript, Ktor, Oracle DB Инструменты: Git, Gradle, Jenkins, OpenShift, Docker Наш идеальный кандидат:   Имеет опытом разработки на Java от 4-х лет   Отлично знает Java Core, Collections, Stream API, основы Computer Science   Уверенно владеет SQL (опыт с NoSQL будет плюсом)   Имеет опыт разработки на Javascript   Привык тестировать свой код и понимает, почему это важно   Почему у нас хорошо:   Маленькая команда опытных профессионалов, плоская иерархия и никакой бюрократии. Минимум шагов от идеи до её воплощения   Экстремальное программирование: работа в парах, недельные спринты   Новый офис в БЦ класса «А» («Санкт-Петербург Плаза», м. Новочеркасская)   Не боимся экспериментов с любыми доступными технологиями и решениями   Оплачиваем участие в конференциях и техническую литературу   ДМС (со стоматологией), курсы английского в офисе, абонемент в спортзал   Отсутствие дресс-кода, гибкое начало дня с 9:00 до 11:00   Регулярные премии и бонусы по результатам работы  ;;Имеет опытом разработки на Java от 4-х лет. Отлично знает Java Core, Collections, Stream API, основы Computer Science. ;Проектируем и создаём микросервисы, решающие определенные бизнес-задачи банка. Сами выбираем инструменты с учётом лучших практик. Развиваем собственную инфраструктуру для...;"JavaScript; Git; SQL; Java; kotlin";363;16.0
7;34;Full-stack разработчик;Тюмень;70000.0;100000.0;Ремарк;2019-11-20T09:08:21+0300;1;3;Полный день;Полная занятость;"Задачи:  кастомизация типовых компонентов и модулей, разработка собственных компонентов и модулей для БУС и Б24; решение оперативных задач по БУС и Б24 — внесение правок в типовые и нетиповые сервисы; решение задач по интеграции БУС с 1С, retail CRM, платежными и информационными системами, другими сервисами по API; взаимодействие со структурными подразделениями компании для выполнения совместных работ; разработка модулей и компонентов для 1С-Битрикс; программирование JavaScript; верстка HTML5/CSS3;  Что нужно знать и уметь: ​​  опыт разработки проектов на основе 1С-Битрикс от 1 года обязателен; уверенные практические знания PHP; понимание основ ООП; умение работать с системой контроля версий git; хорошее знание HTML5/CSS3; Usability для вас не пустой звук.  Мы предлагаем:   — лофт - офис в центре города — 5/2, гибкий график — оформление по ТК РФ  сложные и интересные проекты мы постоянно развиваемся и вы будете развиваться вместе с нами  С нами хорошо по многим причинам:   Интересные проекты и возможность проводить эксперименты;   Планерки на открытом воздухе;   Коллектив, в котором уважают личные границы и мнение человека (если бы сами могли к себе устроиться, то сделали бы это);   Корпоративы, клубы по интересам и вкусный кофе прилагаются.   Бонус профессионалам. Готовы обсудить индивидуальные условия работы для особо опытных кандидатов. Что делать, если не уверены в своих силах? Высылайте резюме с кратким письмом, из которого мы сможем понять ваши сильные стороны. И мы сможем обсудить стажировку.";"   — лофт - офис в центре города — 5/2, гибкий график — оформление по ТК РФ  сложные и интересные проекты мы постоянно развиваемся и вы будете развиваться вместе с нами  С нами хорошо по многим причинам:   Интересные проекты и возможность проводить эксперименты;   Планерки на открытом воздухе;   Коллектив, в котором уважают личные границы и мнение человека (если бы сами могли к себе устроиться, то сделали бы это);   Корпоративы, клубы по интересам и вкусный кофе прилагаются.   Бонус профессионалам. Готовы обсудить индивидуальные условия работы для особо опытных кандидатов. Что делать, если не уверены в своих силах? Высылайте резюме с кратким письмом, из которого мы сможем понять ваши сильные стороны. И мы сможем обсудить стажировку.";Опыт разработки проектов на основе 1С-Битрикс от 1 года обязателен. Уверенные практические знания PHP. Понимание основ ООП. ;Кастомизация типовых компонентов и модулей, разработка собственных компонентов и модулей для БУС и Б24. Решение оперативных задач по БУС...;"JavaScript; HTML5; Git; CSS3; 1С-Битрикс; PHP; Ajax";385;15.0
8;51;Full stack разработчик;Тюмень;70000.0;100000.0;АРКОНС ГРУПП;2019-11-19T11:01:47+0300;1;3;Полный день;Полная занятость;Приглашаем в наш молодой коллектив талантливого и опытного PHP-разработчика. Мы ищем ответственного специалиста, который работает на результат, а не просто отсиживается в офисе. Проекты компании растут, ты будешь работать c текущими и новыми:  Два сайта компании, которые входят в ТОП-10 по России. Развитие и доработка корпоративной CRM-системы. Участие в крупных российских и международных проектах.  Твою работу будет видеть вся страна и не только!   От тебя мы ждем:  Уверенное знание: HTML4/5, CSS2/3, JavaScript ES5(ES6), HTML, JQuery, Ajax, REST API, MySql, PHP. Опыт кросс-браузерной вёрстки, вёрстки адаптивных сайтов. Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Умение разбираться в чужом коде и работать с ним.  Большим плюсом будет:  Опыт работы с Git. Умение оценивать задачи и укладываться в срок. Опыт использования технологий (SASS/LESS, PostCSS, Gulp, Webpack, React JS, Vue JS, Angular). Развертывание и настройка (CentOS, Nginx, PostgreSQL, Socket.IO). Желание обучаться новому и делиться своим опытом с коллегами. Широкий ИТ-кругозор, знание технологий, программных продуктов. Умение работать в команде, доброжелательность.  Работая с нами, ты получишь:  Официальное оформление в штат молодой, но стабильной компании (на рынке с 2014 г.). Интересные проекты в высокоприбыльных сферах. Условия для профессионального и финансового роста. Отличную работу мы поощряем обучением за счет компании. Оплачиваем результаты, а не просто время, проведенное в офисе (по системе KPI). Современный офис в деловом центре города и комфортабельное рабочее место с шустрым компьютером. Гибкий график, который можно скорректировать, сместить обед и даже при необходимости поработать из дома. ;;Уверенное знание: HTML4/5, CSS2/3, JavaScript ES5(ES6), HTML, JQuery, Ajax, REST API, MySql, PHP. ;Развитие и доработка корпоративной CRM-системы.;"Sass; Less; postcss; Gulp; webpack; react js; vue js; AngularJS; CentOS; Nginx; PostgreSQL";390;16.0
9;27;Full Stack Web разработчик;Москва;200000.0;0.0;Just Food;2019-11-20T12:05:32+0300;3;6;Удаленная работа;Полная занятость;"JustFood.pro - сервис по доставке здорового питания, мы меняем жизнь людей каждый день! Ежедневно мы доставляем несколько тысяч порций здорового питания. Мы верим, что основа стабильного масштабируемого бизнеса - правильное построение бизнес-процессов и автоматизация. Компания создана командой с IT бэкграундом и в основе нашего бизнеса лежит система собственной разработки.Мы растем, а соответственно растет и количество задач, нам нужны единомышленники, готовые вместе с нами менять рынок доставки питания и потребления. Обязанности:  back- и front-end разработка - развитие единой системы бэк-офиса, бэк-енд web/mobile ЛК интеграция с внешними системами (интернет эквайринг, телефония, система уведомлений, CPA площадки, прочее); (если можешь) поддержка и тюнинг продакшн инфрастрктуры  Детали: Front-end :  angular v.7, angular/material v.7  Back-end:  С#, dotnet core 2, restfull json web-api (+swagger) БД: Mongo 3.4 также испольузем: Graylog Хостим на: облачный хостинг, linux (Ubuntu), Nginx  В разработке используем: Jira (стараемся по scrum), Bitbucket (git-flow, code review), Teamcity (CI/CD), Swagger, dev/test/prod, Идеальный кандидат:  тебе в разной степени знакомы все слова выше (или их аналоги), ты хочешь развивать свои навыки в данном стеке технологий; у тебя есть опыт fullstack разработки бизнес-приложений (опыт dotnet core и noSQL будет плюсом); у тебя есть базовые навыки администрирования приложений (linux предпочтительно) ты рациональный, порядочный и исполнительный, умеешь давать и принимать обратную связь,  Условия:  Работай там где хочешь и когда хочешь, главное - делай общее дело и совершенствуйся; С нас - интересные задачи и моментальное применение разработок в бизнесе; Бесплатное здоровое питание, как приятный бонус :) ";"  Работай там где хочешь и когда хочешь, главное - делай общее дело и совершенствуйся; С нас - интересные задачи и моментальное применение разработок в бизнесе; Бесплатное здоровое питание, как приятный бонус :) ";Идеальный кандидат: Тебе в разной степени знакомы все слова выше (или их аналоги), ты хочешь развивать свои навыки в данном...;Back- и front-end разработка - развитие единой системы бэк-офиса, бэк-енд web/mobile ЛК. Интеграция с внешними системами (интернет...;"JavaScript; C#; AngularJS; MongoDB";404;15.0
