;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;82;Разработчик баз данных;Тюмень;70000.0;120000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки. Кого мы хотим найти: - человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть опыт с другими СУБД, если вы готовы учиться :) ); - желателен опыт работы с веб-технологиями; - желателен опыт командной разработки; - обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться и делать реально полезные вещи. Что мы предлагаем: - множество интересных задач; - дружелюбный коллектив; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть...;;" SQL; MS SQL; Transact-SQL; MS SQL Server;PostgreSQL";87;17.0
1;78;Программист SQL;Москва;90000.0;120000.0;Гарант;2019-11-19T11:51:34+0300;0;0;Полный день;Полная занятость;Крупной российской стабильной (29 лет на рынке) IT-компании для работы в Финансовом управлении требуется программист SQL. Функционал: - Участие в разработке новых и поддержке существующих решений для сбора, обработки, обмена и хранения данных большого объёма и сложной структуры с использованием БД SQL. - Поддержка и развитие ERP системы компании в части, относящейся к работе с данными в распределенной БД MS SQL Server. - Разработка серверных приложений на основе БД SQL, для осуществления юридически значимого сбора и обмена информацией с гос. органами. - Разработка и поддержка решений для загрузки, хранения, обработки и использования информации о фактах экономической деятельности компании. - Оптимизация использования БД в существующих решениях, относящихся к вопросам, упомянутым выше. Требования к кандидатам: - Высшее образование (математическое, техническое). - Опыт разработки программного обеспечения по данному направлению. - ANSI SQL, ООП, XML, XSL. - Желательны знакомство с WPF, MVC, SVN и опыт работы с многопоточными приложениями. Условия работы: - Работа в офисе. 8-ми часовой рабочий день. График работы обсуждается. - Офис в шаговой доступности от м. Ломоносовский проспект (территория МГУ). - Оформление в штат компании. Соблюдение ТК РФ. Белая заработная плата. - Заработная плата осуждается индивидуально с каждым кандидатом.  ;;Высшее образование (математическое, техническое). - Опыт разработки программного обеспечения по данному направлению. - ANSI SQL, ООП, XML, XSL. - Желательны знакомство с WPF...;Функционал: - Участие в разработке новых и поддержке существующих решений для сбора, обработки, обмена и хранения данных большого объёма и сложной...;"WPF; MS SQL; XML; SQL; SVN";103;16.0
2;15;Инженер-программист SQL;Санкт-Петербург;80000.0;100000.0;218 АРЗ;2019-11-20T11:50:07+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка Хранилища данных на платформе MS SQL Server; Разработка универсальных интеграционных механизмов между различными учётными системами средствами SQL; Разработка алгоритмов проверки валидности данных; Разработка клиентских интерфейсов и шаблонов отчётов к BI системе;  Требования:  Образование – высшее; Знание MS T-SQL, навыки написания и оптимизации сложных запросов, создании хранимых процедур, представлений; Опыт проектирования баз данных, хранилищ данных, разработки клиент-серверных приложений; Знание и опыт связанный с программированием на Java, PHP, C#, VBA, Python и других – будет преимуществом; Навыки разработки интерфейсов, аналитических отчётов.  Условия:  Нормированный 8-часовой рабочий день 5/2; Оформление согласно ТК РФ; Возможности профессионального и карьерного роста; Работа в команде профессионалов; Крайне интересные и амбициозные задачи. Работа в комфортном офисе в районе м. Лесная ";"  Нормированный 8-часовой рабочий день 5/2; Оформление согласно ТК РФ; Возможности профессионального и карьерного роста; Работа в команде профессионалов; Крайне интересные и амбициозные задачи. Работа в комфортном офисе в районе м. Лесная ";Образование – высшее. Знание MS T-SQL, навыки написания и оптимизации сложных запросов, создании хранимых процедур, представлений. Опыт проектирования баз данных...;Разработка Хранилища данных на платформе MS SQL Server. Разработка универсальных интеграционных механизмов между различными учётными системами средствами SQL. ;"Python; Java; SQL; MS SQL Server; VBA";136;15.0
3;53;Младший разработчик SQL BI (junior);Тюмень;30000.0;120000.0;Строительный Двор;2019-11-19T09:24:57+0300;1;3;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:- опыт работы с базами данных;- опыт разработки на любом языке программирования. Обязанности:  разработка объектов хранилища данных; оптимизация DAX\MDX вычислений и SQL запросов; разработка экстракторов, процедур загрузки и трансформации данных; разработка отчетов SAP Business Explorer; консультирование пользователей; написание бизнес и технической документации; поиск, решение и устранение ошибок.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; система наставничества; современный классный офис; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании  Стань частью нашей команды!Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; система наставничества; современный классный офис; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании  Стань частью нашей команды!Мы ждём твоё резюме!";опыт работы с базами данных. - опыт разработки на любом языке программирования.;Разработка объектов хранилища данных. Оптимизация DAX\MDX вычислений и SQL запросов. Разработка экстракторов, процедур загрузки и трансформации данных. ;Базы данных;224;16.0
4;69;Программист MS SQL;Санкт-Петербург;70000.0;100000.0;ПАГ;2019-11-20T14:55:47+0300;3;6;Полный день;Полная занятость;"Process Automation Group (PAG) - компания по внедрению систем автоматизации (АСУТП и АСУП) на промышленных предприятиях. Более 15 лет наша компания является образцом качества и надежности предоставляемых услуг. Наш успех всегда зависит от наших сотрудников, которые являются главной ценностью компании.   В компании открыта вакансия на должность:  Программист MS SQL (Москва/Санкт-Петербург) Какие обязанности?   Участие в проектах по внедрению и развитию автоматизированных информационных систем для промышленных предприятий уровня MES (Manufacturing Execution System); Разработка, тестирование, ввод в эксплуатацию и сопровождение репортинговых систем. Работа с продуктами Microsoft: SQL Server, SSRS, SSAS, SSIS, SSDT, SSMS, Profiler и не только…    Что мы ожидаем от кандидата?  Высшее образование/неполное высшее (техническое); Понимание принципов построения реляционных баз данных; Хорошее знание Microsoft SQL Server, SQL Server Management Studio, T-SQL, Reporting Services; Хорошие коммуникативные навыки, бесконфликтность, быстрая обучаемость, умение работать в команде, умение проводить технический анализ задачи, умение документировать свою работу.    Будет большим преимуществом:  Опыт разработки и сопровождения отчетов (хранимые процедуры, триггеры, представления, функции, уровни изоляции, блокировки, запросы, оптимизация производительности, администрирование, OLAP); Опыт работы на первой линии поддержки; Умение быстро ориентироваться в существующем коде; Опыт взаимодействия с Заказчиком при формирования бизнес-требований к разработке, при вводе систем в эксплуатацию и последующем сопровождении; Опыт работы с системами контроля версий GitLab; Базовое знание языка C#; Английский язык (письмо, чтение).      Что мы готовы предложить?  Интересные инновационные проекты; Опыт работы с международными заказчиками; Возможность реализации собственных идей в области разработки приложений; Просторный, функциональный и уютный офис; Возможность работы в офисе в Москве (м. Бауманская) или в Санкт-Петербурге (м. Парнас); Корпоративная скидка на фитнес; Корпоративные мероприятия; Тренинги и семинары по повышению квалификации; Оклад по результатам собеседования и технического интервью; Плавающий график работы: пн-пт, с 10:00 до 19:00; Премии по результатам работ; Испытательный срок: до 3-х месяцев; Отсутствие жесткого дресс-кода; Спортивный, творческий и веселый коллектив.  Ждем Вас в нашем дружном коллективе!  ";;Высшее образование/неполное высшее (техническое). Понимание принципов построения реляционных баз данных. Хорошее знание Microsoft SQL Server, SQL Server Management Studio...;Участие в проектах по внедрению и развитию автоматизированных информационных систем для промышленных предприятий уровня MES (Manufacturing Execution System). ;"SSRS; SQL; SSAS; SSIS; SSDT; SSMS";270;15.0
5;4;Программист SQL;Екатеринбург;70000.0;0.0;ГОРОДСКИЕ ЗРЕЛИЩНЫЕ КАССЫ;2019-11-20T12:23:19+0300;1;3;Полный день;Полная занятость;"  Обязанности:  Сопровождение, доработка и разработка новых систем на PostgreSQL, MySQL; Проектирование, разработка, анализ, оптимизация архитектуры баз данных, структур данных, таблиц, словарей; Создание отчетов и выборок Проектирование, разработка, анализ, оптимизация ETL процессов; Участие в разработке различного ПО, внедрение и сопровождение разработанных приложений; Участие в проектировании и построении отказоустойчивой инфраструктуры; Участие в создании централизованной системы хранения и обработки данных, OLAP; Работа в команде с другими разработчиками.  Требования:  Высшее образование (желательно техническое); Опыт работы с различными РСУБД - не менее 3 лет (PostgreSQL, MySQL в большей части, MS SQL - не приоритетно); Опыт написания хранимых процедур, функций и триггеров, оптимизации SQL-запросов, и т.д.; Умение разобраться в чужой архитектуре и чужом коде; Понимание и опыт оптимизации запросов; Отличные знания SQL, PL/pgSQL или PL/SQL; Аналитический склад ума, нацеленность на результат, творческий подход к выполнению заданий, умение принимать самостоятельные решения и нести за них ответственность, умение планировать выполнение задач и решать задачи в поставленные сроки; Нацеленность на долгосрочное сотрудничество; Английский язык: чтение тех. документации.  Приветствуется: опыт разработки архитектуры БД с нуля; опыт оптимизации и доработки архитектуры БД; знание и понимание принципов ООП, ACID, MVCC; понимание и опыт оптимизации работы СУБД PostgreSQL, MySQL, понимание тонкостей их настройки; опыт создания, настройки и оптимизации работы кластеров БД (PostgreSQL предпочтительно); участие в разработке высоконагруженных систем, систем с высокими требованиями к доступности; опыт использования систем контроля версий Git; опыт работы с MariaDB, MongoDB, Redis; опыт работы с MS SQL (T-SQL); опыт участия в создании OLAP; опыт в разработке хранилищ данных.";;Высшее образование (желательно техническое). Опыт работы с различными РСУБД - не менее 3 лет (PostgreSQL, MySQL в большей части, MS SQL...;...и построении отказоустойчивой инфраструктуры. Участие в создании централизованной системы хранения и обработки данных, OLAP. Работа в команде с другими <highlighttext>разработчиками</highlighttext>.;"PostgreSQL; MySQL; Git; Transact-SQL; ООП";271;15.0
6;80;Программист SQL;Москва;80000.0;120000.0;Аврора-ИТ;2019-11-19T09:46:09+0300;1;3;Полный день;Полная занятость;"Компания «Аврора-ИТ» занимается автоматизацией деятельности аналитических подразделений: повышением эффективности работы процессов контроля качества, для продукции на предприятиях любых отраслей промышленности, в испытательных центрах и научно-исследовательских лабораториях. Наши заказчики – ТОП 100 крупнейших компаний России (рейтинг РБК). Обязанности:  разработка функционала собственного программного продукта LIMS; написание SQL запросов различной сложности (основная часть работы); тестирование и отладка/корректировка ПО; сопровождение внедрения ПО; консультации и обучение специалистов Заказчика по работе с ПО; создание технической документации, описывающей разработанный функционал.  Требования:  законченное высшее образование; знание любого языка программирования высокого уровня (С#, C++, Java, JScript, JavaScript); хорошее знание SQL (важно!); английский технический; знание основ ООП; готовность к командировкам (1 неделя раз в 4/6 месяцев); знание Crystal reports приветствуется; внимательность, ответственность и инициативность.  Условия:  Работа с передовыми ИТ-технологиями, команда уникальных специалистов; Проекты для ведущих компаний России, широкая география проектов внутри страны; График с 9-18, пт. до 17. Сб, вс – выходной; Оформление по ТК РФ в штат. Зарплата без задержек; Отдельные кабинеты по 3-5 человек; Чай и кофе на собственной кухне. Рядом кафе; Комфортабельный, светлый офис в 12 мин от м. Преображенская площадь; испытательный срок 2 месяца; Уровень заработной платы зависит от профессионального уровня и знаний, и обсуждается на собеседовании. ";"  Работа с передовыми ИТ-технологиями, команда уникальных специалистов; Проекты для ведущих компаний России, широкая география проектов внутри страны; График с 9-18, пт. до 17. Сб, вс – выходной; Оформление по ТК РФ в штат. Зарплата без задержек; Отдельные кабинеты по 3-5 человек; Чай и кофе на собственной кухне. Рядом кафе; Комфортабельный, светлый офис в 12 мин от м. Преображенская площадь; испытательный срок 2 месяца; Уровень заработной платы зависит от профессионального уровня и знаний, и обсуждается на собеседовании. ";Законченное высшее образование. Знание любого языка программирования высокого уровня (С#, C++, Java, JScript, JavaScript). Хорошее знание SQL (важно!). Английский технический. ;Разработка функционала собственного программного продукта LIMS. Написание SQL запросов различной сложности (основная часть работы). Тестирование и отладка/корректировка ПО. ;"Java; SQL; MS SQL; ООП; Разработка технических заданий";280;16.0
7;94;Программист Oracle/ разработчик SQL/ PL,SQL;Санкт-Петербург;80000.0;100000.0;ВИТ;2019-11-19T09:58:31+0300;1;3;Полный день;Полная занятость;"Обязанности:  Разработка бизнес-логики корпоративной информационной системы на основе технологий Oracle. Разработка пользовательского интерфейса Web-приложений на основе технологий Oracle и PHP.  Требования:  Образование высшее в области информационных технологий или математики Опыт работы с СУБД Oracle в качестве разработчика от 1 года, знание Oracle SQL, PL/SQL; Опыт оптимизации запросов СУБД Oracle; Опыт работы в по созданию автоматизированных систем расчетов (биллинг) в области ЖКХ или телекоммуникаций;  Будут вашим преимуществом:  Знание и опыт работы с PHP; Знание и опыт работы с Oracle Forms.  Личные качества:  умение самостоятельно принимать решения, быстрая ориентация в большом объеме информации, умение работать в команде, умение работать при дефиците времени.    Условия:  Мы предлагаем интересную работу в стабильной компании, Оформление и социальные гарантии в соответствии с ТК РФ. График работы: будни 9.00-18.00, выходные: суббота, воскресенье. Офис находится по адресу: ул. Херсонская. Уровень дохода обсуждается индивидуально с каждым успешным кандидатом. ";  Мы предлагаем интересную работу в стабильной компании, Оформление и социальные гарантии в соответствии с ТК РФ. График работы: будни 9.00-18.00, выходные: суббота, воскресенье. Офис находится по адресу: ул. Херсонская. Уровень дохода обсуждается индивидуально с каждым успешным кандидатом. ;Опыт работы с СУБД Oracle в качестве <highlighttext>разработчика</highlighttext> от 1 года, знание Oracle SQL, PL/SQL. Опыт оптимизации запросов СУБД...;Разработка бизнес-логики корпоративной информационной системы на основе технологий Oracle. Разработка пользовательского интерфейса Web-приложений на основе технологий Oracle и...;" SQL; MS SQL; Transact-SQL; MS SQL Server;PostgreSQL";283;16.0
8;54;Программист SQL;Санкт-Петербург;100000.0;100000.0;Монолит-Инфо;2019-11-19T10:29:59+0300;1;3;Полный день;Полная занятость;"Обязанности:  разработка и сопровождение модулей для ERP системы; написание хранимых процедур, триггеров и UDF на Transact SQL с использованием CASE средств системы; анализ проблем производительности, оптимизация существующих процедур.  Требования:  опыт прикладных разработок систем на основе MS SQL Server; хорошее владение TSQL; опыт реализации сложных запросов на TSQL для больших объемов данных; умение самостоятельно решать реализационные проблемы (анализ планов и оптимизация запросов).  Желательно:  опыт работы с MS SQL Analysis Services; знание С# и опыт работы в среде .NET Framework; знание XML.  Условия:  работа в офисе в центре города; 8-мичасовой рабочий день; достойный уровень вознаграждения (выше среднего для специалистов в данной области по Санкт-Петербургу) соцпакет (ДМС, оплата спортзала); мы предлагаем: интересную творческую работу в стабильном коллективе динамично развивающейся компании, перспективы профессионального роста. ";"  работа в офисе в центре города; 8-мичасовой рабочий день; достойный уровень вознаграждения (выше среднего для специалистов в данной области по Санкт-Петербургу) соцпакет (ДМС, оплата спортзала); мы предлагаем: интересную творческую работу в стабильном коллективе динамично развивающейся компании, перспективы профессионального роста. ";Опыт прикладных разработок систем на основе MS SQL Server. Хорошее владение TSQL. Опыт реализации сложных запросов на TSQL для больших...;Разработка и сопровождение модулей для ERP системы. Написание хранимых процедур, триггеров и UDF на Transact SQL с использованием CASE средств...;" SQL; MS SQL; Transact-SQL; MS SQL Server;PostgreSQL";303;16.0
9;12;Разработчик БД (PostgreSQL);Тюмень;50000.0;120000.0;IT2G;2019-11-19T18:36:17+0300;1;3;Полный день;Полная занятость;"Обязанности:   Написание и оптимизация SQL-запросов, хранимых процедур.   Реализация отчётов в рамках существующих инструментариев.   Проектирование моделей БД   Оптимизация БД, имеющейся в наличии, контроль производительности БД.   Экспертная оценка БД, анализ и оценка производительности.   Написание ТЗ для backend-разработчиков в рамках проводимых оптимизаций   Создание проектной документации для БД   Требования:   Высшее техническое образование;   Глубокое знание языков SQL, PL/pgSQL и опыт работы от 3-лет;   Опыт проектирования БД для предприятия   Умение выбирать технологии для хранения данных и их обработки   Опыт оптимизации SQL запросов и хранимого кода, навыки работы с большими объемами данных;   Желание изучать новые технологии, решать сложные и нетривиальные задачи;   Опыт разработок для DWH – желательно   Условия:   Оформление по ТК РФ.   График 5/2.   Возможности карьерного и профессионального роста.   Белая заработная плата по результатам собеседования.  ";   Оформление по ТК РФ.   График 5/2.   Возможности карьерного и профессионального роста.   Белая заработная плата по результатам собеседования.  ;Высшее техническое образование. Глубокое знание языков SQL, PL/pgSQL и опыт работы от 3-лет. Опыт проектирования БД для предприятия. ;Экспертная оценка БД, анализ и оценка производительности. Написание ТЗ для backend-<highlighttext>разработчиков</highlighttext> в рамках проводимых оптимизаций. Создание проектной документации для...;"SQL; Проектная документация; Базы данных; PostgreSQL";376;15.0
