;Index;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;id;days
0;12;Web-программист;Санкт-Петербург;100000.0;200000.0;Alloy Software Inc.;2019-11-20T12:56:52+0300;3;6;Удаленная работа;Полная занятость;"Требования: Frontend:  Знание современного JavaScript (ES6+) Знание CSS Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue)  Backend:  Опыт работы с .NET Core или .NET Framework 4+  Будет плюсом:  Опыт работы с JQuery; Опыт работы с extJS; Опыт разработки стилей с использованием LESS или SASS/SCSS;  Обязанности:  Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений Участие в сопровождении приложений и инфрастуктуры разработки Совместная работа с другими группами, участвующими в разработке  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ;Знание современного JavaScript (ES6+). Знание CSS. Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue). ;Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений. Участие в сопровождении приложений и инфрастуктуры разработки. ;.NET Core, Angular;15;15.0
1;97;Web-программист;Москва;100000.0;150000.0;Карабашева Мадина Борисовна;2019-11-18T15:35:24+0300;1;3;Полный день;Полная занятость;"Обязанности:  дорабатывать и сопровождать существующий сайт на базе платформы React программирование на языках js, php, java, swift отслеживать ошибки и оперативно их исправлять интегрировать сайт с внутренними и внешними информационными системами; разрабатывать новые web-приложения и сервисы; предлагать и внедрять высокотехнологичные,инновационные решения.  Требования:  аналогичный опыт работы  Условия:  интернет-магазин сейчас на м. Новокузнецкая, в декабре переезд на м. Ленинский проспект полный рабочий день на территории работодателя (график обсуждается) точный размер з/п обсуждается на собеседовании с собственником компании ";  интернет-магазин сейчас на м. Новокузнецкая, в декабре переезд на м. Ленинский проспект полный рабочий день на территории работодателя (график обсуждается) точный размер з/п обсуждается на собеседовании с собственником компании ;Аналогичный опыт работы.;Дорабатывать и сопровождать существующий сайт на базе платформы React. Программирование на языках js, php, java, swift. Отслеживать ошибки и оперативно...;"Мобильность; Продажи через интернет; Веб-программирование; JavaScript; PHP; Java";56;17.0
2;28;Веб-программист;Москва;80000.0;140000.0;ТЕХНОЛОГИИ БУДУЩЕГО;2019-11-20T12:53:25+0300;1;3;Полный день;Полная занятость;Ведущая производственная IT-компания, занимающаяся разработкой и внедрением программно-аппаратных комплексов для государственных и коммерческих структур приглашает в свою команду живых талантливых и амбициозных специалистов.   Обязанности:  Разработка новых веб-приложений (Frontend), взаимодействующих с сервером, написанном на Delphi. Развитие и поддержка существующих веб-приложений, взаимодействующих с программными продуктами и БД компании. Анализ возникающих ошибок в программах и поиск решений. Консультирование специалистов службы сопровождения и заказчиков в вопросах установки, настройки и эксплуатации разработанных программных продуктов.    Требования:  Высшее образование. Опыт веб-программирования от 2 лет. Знания HTML, CSS, JavaScript, TypeScript, PHP, MySQL, MS SQL, SQL-запросов. Опыт разработки клиент-серверных, многопоточных приложений. Умение создавать чистый и надежный код. Умение проектировать архитектуру функциональных приложений с учетом требований по быстродействию. Владение отладочными инструментами. Владение Windows и Linux на уровне опытного пользователя. Умение работать с чужим кодом. Владение английским языком на уровне чтения технической литературы по профилю. Конструктивное аналитическое мышление и внимание к деталям. Готовность самостоятельно обучаться. Умение планировать работу и расставлять приоритеты. Трудолюбие, нацеленность на результат, практичность в написании кода. Умение работать в команде, повышенная работоспособность и стрессоустойчивость. Приветствуется ведение здорового образа жизни. Внимание! Рассматриваются только кандидаты для работы в офисе на полную занятость.    Условия:  Работа в компании с многолетним опытом, занимающей лидирующую позицию на рынке систем управления потоками. График работы 5/2 (с возможностью выбора удобного времени начала рабочего дня). Достойный уровень заработной платы по результатам собеседования. Месторасположение офиса – м. Рязанский пр-т. Оформление в соответствии с ТК РФ. Постоянная работа на территории работодателя. Полная занятость. Молодой дружный коллектив, Кофе/чай в офисе. Интересные проекты и возможность профессионального роста.    К резюме обязательно должны быть прикреплены исходные тексты на PHP, JavaScript, HTML, CSS. Плюсом будут скрины сайтов или HTML страницы, которые можно посмотреть.;  Работа в компании с многолетним опытом, занимающей лидирующую позицию на рынке систем управления потоками. График работы 5/2 (с возможностью выбора удобного времени начала рабочего дня). Достойный уровень заработной платы по результатам собеседования. Месторасположение офиса – м. Рязанский пр-т. Оформление в соответствии с ТК РФ. Постоянная работа на территории работодателя. Полная занятость. Молодой дружный коллектив, Кофе/чай в офисе. Интересные проекты и возможность профессионального роста.    К резюме обязательно должны быть прикреплены исходные тексты на PHP, JavaScript, HTML, CSS. Плюсом будут скрины сайтов или HTML страницы, которые можно посмотреть.;Высшее образование. Опыт веб-программирования от 2 лет. Знания HTML, CSS, JavaScript, TypeScript, PHP, MySQL, MS SQL, SQL-запросов. ;Разработка новых веб-приложений (Frontend), взаимодействующих с сервером, написанном на Delphi. Развитие и поддержка существующих веб-приложений, взаимодействующих с программными...;"Веб-программирование; HTML; JavaScript; CSS; MySQL; PHP; SQL; MS SQL; Разработка ПО; Linux";66;15.0
3;66;Web-программист;Санкт-Петербург;100000.0;130000.0;БОДИ-Ф;2019-11-18T14:07:04+0300;1;3;Полный день;Полная занятость;В интернет-магазин требуется веб программист со знанием 1С Битрикс для доработки и расширения существующего функционала проекта. Обязанности:  Поддержка и разработка интернет-магазина компании на базе 1С Битрикс  Требования:  Опыт в WEB программировании от 1 года   Обязателен опыт программирования в системе Bitrix (опыт в работе с D7 приветствуется) Высокий уровень знаний в работе с API Bitrix Уверенные знания PHP, HTML, CSS, JS, JQuery, AJAX Опыт работы с GIT Опыт в интеграции интернет-магазинов с 1С и другими сторонними сервисами Опыт реализации и внедрения адаптивной верстки  Будет плюсом:  Высшее профильное образование Наличие сертификатов Битрикс «Профессионал», «Разработчик Framework» В портфолио есть лично написанные модули и компоненты для Bitrix В портфолио есть успешные веб-проекты, в которых вы выступали в качестве разработчика  Условия:  Работа в офисе компании, м.фрунзенская Пятидневка (Пн-Пт) с 10 до 18 часов Оформление согласно ТК РФ (по желанию) Стабильная заработная плата (аванс и расчёт)  Мы заинтересованы в долгосрочном сотрудничестве и готовы рассмотреть кандидатов различного уровня квалификации от Junior до Senior. Будем рады видеть в рядах компании разработчика, желающего развивать свои навыки, осваивать и внедрять новые технологии и расти вместе с нами!;  Работа в офисе компании, м.фрунзенская Пятидневка (Пн-Пт) с 10 до 18 часов Оформление согласно ТК РФ (по желанию) Стабильная заработная плата (аванс и расчёт)  Мы заинтересованы в долгосрочном сотрудничестве и готовы рассмотреть кандидатов различного уровня квалификации от Junior до Senior. Будем рады видеть в рядах компании разработчика, желающего развивать свои навыки, осваивать и внедрять новые технологии и расти вместе с нами!;Высшее профильное образование. Наличие сертификатов Битрикс «Профессионал», «<highlighttext>Разработчик</highlighttext> Framework». В портфолио есть лично написанные модули и компоненты для Bitrix. ;Поддержка и разработка интернет-магазина компании на базе 1С Битрикс.;"Git; 1С-Битрикс; Веб-программирование; JavaScript; MySQL; PHP5; PHP; CSS3; HTML5; jQuery; CSS; HTML; Java; Ajax";76;17.0
4;63;Web-разработчик (Senior/Lead);Екатеринбург;80000.0;120000.0;ГОРОДСКИЕ ЗРЕЛИЩНЫЕ КАССЫ;2019-11-19T14:11:00+0300;1;3;Полный день;Полная занятость;Ведущий билетный оператор Городские зрелищные кассы набирает команду WEB-разработчиков Требования:  Уровень знаний Senior/Lead Уверенное знание PHP, MySQL, PostgreSQL Знание HTML5/CSS3 для целей верстки Знание JS (jQuery, другие распространенные библиотеки) Опыт работы с системой контроля версий git Английский язык на уровне чтения технической документации Опыт работы в команде и умение разбираться в чужом коде  Будет плюсом:  Базовые знания и опыт администрирования Linux Знание фреймворков: Laravel, Yii Знание JS-фреймворков: VueJS, Angular, Опыт работы с вебсокетами  Обязанности:  Участие в проектировании новой архитектуры, яростная критика текущей Поддержка и модернизация нашего стека Критика UI, UX и работа с макетами дизайнера (верстка по PSD макетам) - необязательно  Условия работы:  Офис в Центре города Трудоустройство согласно ТК РФ Заработная плата по итогам собеседования Корпоративная связь Приятные бонусы ;;Уровень знаний Senior/Lead. Уверенное знание PHP, MySQL, PostgreSQL. Знание HTML5/CSS3 для целей верстки. Знание JS (jQuery...;Участие в проектировании новой архитектуры, яростная критика текущей. Поддержка и модернизация нашего стека. Критика UI, UX и работа с макетами...;"PHP; MySQL; PostgreSQL; HTML5; CSS3; Backbone; Английский язык; Laravel, Yii; VueJS; AngularJS; Linux; jQuery";96;16.0
5;49;Web-программист;Москва;75000.0;120000.0;ДокЛаб;2019-11-20T15:31:51+0300;3;6;Полный день;Полная занятость;"“ДокЛаб” -  российская компания, ведущий разработчик программного обеспечения для автоматизации работы с юридическими документами. Если вы активны, амбициозны и продуктивны, мы будем рады видеть вас в составе нашей команды. Требования:   HTML5‚ CSS (3.0), JavaScript, php;   SVN или Git   опыт работы в аналогичной области не менее 3 лет;   знакомство с CMS (Bitrix) приветствуется;   знание английского (технического) обязательно;   ответственность‚ нацеленность на результат‚ умение укладываться в сроки.   Желательно   знание Node.js, Google Closure Library.   Обязанности:   frontend разработка;   backend разработка;   создание справочных документов по разработанному коду.   Условия:  40-часовая рабочая неделя; оформление по ТК, полный социальный пакет; испытательный срок 3 месяца. ";"  40-часовая рабочая неделя; оформление по ТК, полный социальный пакет; испытательный срок 3 месяца. ";HTML5‚ CSS (3.0), JavaScript, php. SVN или Git. Опыт работы в аналогичной области не менее 3 лет. ;Frontend разработка. Backend разработка. Создание справочных документов по разработанному коду.;" JavaScript; HTML; PHP; CSS3; CSS";111;15.0
6;2;Web-программист;Новосибирск;5000.0;100000.0;ВЦ Техновик;2019-11-20T11:24:22+0300;1;3;Полный день;Полная занятость;Обязанности: Разработка WEB-приложений Требования: PHP, JS, HTML, CSS, MYSQL Условия: ​​​​​​​Оплата по тарифу. Обсуждаем оклад. Возможна как постоянная работа, так и совместительство или подработка. Работа в дистанционном режиме (место Вашего проживания не имеет значения).; ​​​​​​​Оплата по тарифу. Обсуждаем оклад. Возможна как постоянная работа, так и совместительство или подработка. Работа в дистанционном режиме (место Вашего проживания не имеет значения).;PHP, JS, HTML, CSS, MYSQL.;Разработка WEB-приложений.;"MySQL; CSS; HTML; PHP; PHP5; JavaScript";120;15.0
7;56;Web-программист;Санкт-Петербург;40000.0;90000.0;E-MOTION;2019-11-19T19:20:11+0300;1;3;Полный день;Полная занятость;О команде и компании: Не удаленная работа. Ищем талантливого, опытного web-программиста. Участие в программировании разной сложности - от простых решений до крупных систем - станет частью вашей жизни. Вы будете иметь реальную возможность проходить обучение в лучших центрах повышения квалификации за счет компании!Над чем предстоит работать:  создание сайтов и web-приложений по готовым дизайн-макетам, работа с различными CMS и Framework.  Навыки, которые мы ждем от кандидата:  уверенное знание популярных web-технологий (PHP, MySQL, HTML5, CSS3, Javascript/jQuery), понимание общих принципов программирования и проработки архитектуры web-приложения.  Мы предлагаем:  реальную возможность профессионального карьерного роста до руководителя отдела/направления, работу по стабильному графику 5/2 конкурентоспособную оплату труда от 60 000 рублей (fix+ премии по результатам закрытых проектов) разработку индивидуальной системы мотивации, которая подходит именно Вам, круг единомышленников и, если хотите, друзей среди коллег, с которыми всегда можно поделиться своими идеями и мыслями, постоянное обучение за счет компании, современный уютный офис в 10 минутах от метро Фрунзенская. ;  реальную возможность профессионального карьерного роста до руководителя отдела/направления, работу по стабильному графику 5/2 конкурентоспособную оплату труда от 60 000 рублей (fix+ премии по результатам закрытых проектов) разработку индивидуальной системы мотивации, которая подходит именно Вам, круг единомышленников и, если хотите, друзей среди коллег, с которыми всегда можно поделиться своими идеями и мыслями, постоянное обучение за счет компании, современный уютный офис в 10 минутах от метро Фрунзенская. ;Уверенное знание популярных web-технологий (PHP, MySQL, HTML5, CSS3, Javascript/jQuery). Понимание общих принципов программирования и проработки архитектуры...;Создание сайтов и web-приложений по готовым дизайн-макетам. Работа с различными CMS и Framework.;"PHP; HTML; CSS3; 1С-Битрикс; MySQL; HTML5; Joomla CMS; XML";145;15.0
8;6;Программист (Laravel);Москва;50000.0;90000.0;Кофман Леонид Борисович;2019-11-20T13:32:59+0300;1;3;Удаленная работа;Частичная занятость;Программист на Laravel для интересного проекта. Для поддержания и развития существующего проекта требуется программист на Laravel на удаленную работу.   Условия:  Частичная занятость - от 4х часов в день (!! Не по вечерам !!). График гибкий. Дружный коллектив. Интересный, быстрорастущий проект.  Требования:  Laravel 5.2, желательно с пониманием модели многопоточной работы Bootstrap JS MySQL ООП Навыки работы с GitHub Желание и умение работать в команде Коммуникабельность ;  Частичная занятость - от 4х часов в день (!! Не по вечерам !!). График гибкий. Дружный коллектив. Интересный, быстрорастущий проект.  Требования:  Laravel 5.2, желательно с пониманием модели многопоточной работы Bootstrap JS MySQL ООП Навыки работы с GitHub Желание и умение работать в команде Коммуникабельность ;Laravel 5.2, желательно с пониманием модели многопоточной работы. Bootstrap. JS. MySQL. ООП. Навыки работы с GitHub. Желание и умение...;;"laravel; MySQL; JavaScript; PHP; jQuery; HTML; Bootstrap; SQL";147;15.0
9;85;Junior Web разработчик;Москва;20000.0;60000.0;Carbon Soft;2019-11-20T12:04:46+0300;1;3;Гибкий график;Полная занятость;Компания Carbon Soft ищет веб разработчика, идущего в ногу со временем и желающего постоянно развиваться. В основном наш коллектив состоит из молодых (20-29 лет) разработчиков, являющихся профессионалами в своих специализациях. Просьба прислать ссылку на GitHub/GitLab/другой ресурс со своими проектами. Обязанности:   Backend разработка веб-служб на Python.   Frontend верстка интерфейсов веб-служб.   Требования:   Любить программирование.   Опыт программирования на Python.   Знание git или другой системы контроля версий.   Опыт работы с Framework Django, Flask или подобными.   Умение работать с ОС Linux, СУБД.   Наличие аккаунта на GitHub с собственными проектами.   Желательные навыки:   Владение любым из перечисленных ниже навыков является плюсом.   Опыт программирования на SQL.   Знание Интернета, веб-технологий, фреймворков и т.д.   Привычка читать профессиональную литературу и развиваться.   Опыт интеграции сторонних сервисов через API.   Опыт программирования на Bash.   Условия:   Место работы: офис г. Москва в 6-ти минутах от м. проспект Вернадского.   8 часовой рабочий день (с 10:00 до 18:00 или с 11:00 до 19:00).   За счет компании: обеды, чай, кофе, плюшки, Playstation 4.   Оплачиваемое обучение и покупка литературы. Возможность бесплатно посещать IT-конференции по Вашей профессии.   Наши сотрудники любят не только программировать, но и проводить вместе свободное время: Playstation 4, бары, лыжи, скалодромы, каток.  ;   Место работы: офис г. Москва в 6-ти минутах от м. проспект Вернадского.   8 часовой рабочий день (с 10:00 до 18:00 или с 11:00 до 19:00).   За счет компании: обеды, чай, кофе, плюшки, Playstation 4.   Оплачиваемое обучение и покупка литературы. Возможность бесплатно посещать IT-конференции по Вашей профессии.   Наши сотрудники любят не только программировать, но и проводить вместе свободное время: Playstation 4, бары, лыжи, скалодромы, каток.  ;Любить программирование. Опыт программирования на Python. Знание git или другой системы контроля версий. Опыт работы с Framework Django, Flask или...;Backend разработка веб-служб на Python. Frontend верстка интерфейсов веб-служб.;"Python; HTML; HTML5; CSS; CSS3; JavaScript; Django Framework; Linux; Git; Flask; SQL";179;15.0
