;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;city_Екатеринбург;city_Москва;city_Новосибирск;city_Санкт-Петербург;city_Тюмень;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; 1С: Предприятие 8;1С программирование; 1С: Управление Торговлей; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом;1С: Бухгалтерия; 1С: Управление Производственным Предприятием; 1C: Бухгалтерия; PHP;Другие навыки
0;55;Программист 1C;5.0;5.0;Акушерство.ru, Компания;2019-11-19T13:01:34+0300;"Основные задачи:• Внедрение новых, поддержание и развитие текущих информационных систем компании (КИС УПП, 1С: БП, ЗУП, СКУД, WMS, мобильная 1С);• Разработка конфигурации, совместная разработка с использованием хранилища конфигурации 1С;• Интеграция 1С со сторонними системами;• Тестирование собственного кода;• Техническая поддержка пользователей: 5-10 %;• ESB, XSD, WSDL, JS, XDTO и прочее;• Выполнение поставленных задач в сроки;• Работа в команде, работа на результат. Какие знания вам потребуются:• Образование - высшее;• Опыт работы разработчиком 1C от года;• Умение разбираться в чужом коде;• Умение работать в команде, групповая разработка;• Понимание ТЗ, предложение лучших альтернатив решений задачи;• Готовность развиваться, осваивать новые технологии. Мы предлагаем:• Высокий уровень зарплаты, а также бонусную систему за результат;• Интересные и амбициозные задачи;• Молодой и дружный коллектив профессионалов;• Посещение профильных мероприятий, обучение;• Оформление по ТК РФ;• График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно);• Офис: м. Рязанский пр-т или ж/д. ст. Плющево, Вешняки (10 мин пешком).";"• Высокий уровень зарплаты, а также бонусную систему за результат;• Интересные и амбициозные задачи;• Молодой и дружный коллектив профессионалов;• Посещение профильных мероприятий, обучение;• Оформление по ТК РФ;• График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно);• Офис: м. Рязанский пр-т или ж/д. ст. Плющево, Вешняки (10 мин пешком).";Какие знания вам потребуются: Образование - высшее. Опыт работы <highlighttext>разработчиком</highlighttext> 1C от года. Умение разбираться в чужом коде. ;Внедрение новых, поддержание и развитие текущих информационных систем компании (КИС УПП, 1С: БП, ЗУП, СКУД, WMS, мобильная 1С). ;" 1С: Предприятие 8;1С программирование; 1С: Управление Торговлей; 1С программирование; 1С: Документооборот";20;0.037037037037037035;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1;25;Программист 1C;3.0;5.0;Николь;2019-11-20T17:44:49+0300;"Магазин зоотоваров Старая ферма приглашает к себе в команду разработчика 1С! Требуются сильные навыки в разработке и умение работать с кодом. Пишем очень интересную сборку, все задачи нетипичные и нетривиальные! Если Вы целеустремленный и талантливый разработчик и хотите делать, что-то отличное от шаблона, неординарное, постоянно идти вперед и развиваться, то мы ждем Вас в нашу команду! Требования:  Опыт разработки 1С (управляемые формы как преимущество) Знание управленческого учета (желательно) Умение справляться с постоянным плотным потоком задач и самостоятельно расставлять приоритеты.  Обязанности:  Доработка и администрирование баз 1С (УТ 11) Настройка интеграции с базами сайтов, курьерскими службами, платежными системами. Создание модулей для аналитики продаж. Консультирование пользователей.  Условия:  график работы пятидневка . Гибкое начало рабочего дня с 9.00 до 10.00. оформление по ТК РФ; оплачиваемый ежегодный отпуск, оплата больничного листа; уютный, просторный офис рядом с метро Рязанский проспект, в ближайшее время открытие новой станции метро в шаговой доступности от офиса; большая кухня (итальянский натуральный кофе, элитные сорта чая); живой уголок с экзотическими животными (василиск шлемоносный, шиншилла). ";"  график работы пятидневка . Гибкое начало рабочего дня с 9.00 до 10.00. оформление по ТК РФ; оплачиваемый ежегодный отпуск, оплата больничного листа; уютный, просторный офис рядом с метро Рязанский проспект, в ближайшее время открытие новой станции метро в шаговой доступности от офиса; большая кухня (итальянский натуральный кофе, элитные сорта чая); живой уголок с экзотическими животными (василиск шлемоносный, шиншилла). ";Опыт разработки 1С (управляемые формы как преимущество). Знание управленческого учета (желательно). Умение справляться с постоянным плотным потоком задач и...;Доработка и администрирование баз 1С (УТ 11). Настройка интеграции с базами сайтов, курьерскими службами, платежными системами. Создание модулей для...;1С программирование;22;0.0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;41;Программист 1С;2.0;4.0;БелТВ и ИМЦ;2019-11-20T10:32:50+0300;Обязанности:  Обновление конфигураций 1С Бухгалтерия 8.3 и Управление торговлей 11.4 Доработка конфигураций 1С Бухгалтерия 8.3 и Управление торговлей 11.4 Сопровождение 1С Бухгалтерия 8.3 и Управление торговлей 11.4 Интеграция с сайтом интернет-магазина Администрирование, техническая поддержка пользователей до 20 рабочих мест  Требования:  Знание типовых конфигураций Управления торговлей и Бухгалтерия Опыт работы с 1С Бухгалтерия 8.х и Управление торговлей 11.х Высшее образование Опыт работы от 2 лет Возможность работы из дома Инициативность  Условия:  Официальное трудоустройство по ТК РФ Конкурентоспособная заработная плата, обсуждаемая с каждым кандидатом лично на собеседовании Неполный рабочий день Удаленная работа ;  Официальное трудоустройство по ТК РФ Конкурентоспособная заработная плата, обсуждаемая с каждым кандидатом лично на собеседовании Неполный рабочий день Удаленная работа ;Знание типовых конфигураций Управления торговлей и Бухгалтерия. Опыт работы с 1С Бухгалтерия 8.х и Управление торговлей 11.х. ;Обновление конфигураций 1С Бухгалтерия 8.3 и Управление торговлей 11.4. Доработка конфигураций 1С Бухгалтерия 8.3 и...;"1С: Бухгалтерия; 1С: Управление Торговлей; 1C: Бухгалтерия; 1С: Предприятие 8";25;0.0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
3;16;Программист 1С;4.0;4.0;Finex International, Inc.;2019-11-20T10:29:49+0300;Крупной российской торгово-производственной компании требуется ОПЫТНЫЙ ПРОГРАММИСТ 1С. Обязанности Второй программист 1С в отдел IT. В основном доработка конфигурации 1С на основе сильно изменённой УПП 1.2 (многопередельное нетиповое производство, торговля, CRM), изредка типовые ЗиУП и БП и доработка правил обмена между ними (КД). Для УПП потребуется связь с внешними системами - интернет-телефония, gmail, сервисы SMS рассылок, сайт компании, трекер задач, плюс всё тому подобное, что пока не придумали, но непременно понадобится. Администрирование пользователей и прямое взаимодействие с ними (понимать, чего они хотят и разъяснять им результат своей работы в части, их касающейся). Требования Желателен опыт работы с УПП 1.х или хотя бы УТ 10.х. Обязательно хорошее знание обычных форм. Успешное прохождение тестирования. Условия Работа в крупной торгово-производственной компании. Оклад по результатам собеседования + премиальные. Обсуждается индивидуально на собеседовании. Красивый, современный офис в центре Москвы в 3-х минутах от метро Сретенский бульвар, Тургеневская, Чистые пруды.;;Желателен опыт работы с УПП 1.х или хотя бы УТ 10.х. Обязательно хорошее знание обычных форм.;В основном доработка конфигурации 1С на основе сильно изменённой УПП 1.2 (многопередельное нетиповое производство, торговля, CRM), изредка типовые...;"1С программирование; 1С: Торговля и склад; 1С: Зарплата и управление персоналом; 1С: Управление Производственным Предприятием; 1С: Управление Торговлей; Обновление конфигурации 1С";32;0.0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
4;88;Программист 1С;2.0;3.0;Тюменский государственный университет ФГАОУ ВО;2019-11-15T14:33:06+0300;"Обязанности:  разработка нового и изменение существующего функционала информационной системы 1С:Предприятие 8.3; интеграция 1С с 1С и с внешними системами; сопровождение информационной системы; составление спецификации/инструкции на разрабатываемый программный комплекс или его часть.  Требования:  владение встроенным языком программирования 1С; опыт работы в клиент-серверном режиме; опыт работы в данной отрасли от 1 года; приветствуется знание 1С: Управление холдингом; приветствуется знание бухгалтерского учета и бюджетирования.  Условия:  срочный трудовой договор на срок выполнения проекта (2 года); пятидневная рабочая неделя (с 9:00 до 18:00); своевременная белая заработная плата; новый, уютный офис в историческом центре города в районе Набережной р. Тура. ";"  срочный трудовой договор на срок выполнения проекта (2 года); пятидневная рабочая неделя (с 9:00 до 18:00); своевременная белая заработная плата; новый, уютный офис в историческом центре города в районе Набережной р. Тура. ";Владение встроенным языком программирования 1С. Опыт работы в клиент-серверном режиме. Опыт работы в данной отрасли от 1 года. ;Разработка нового и изменение существующего функционала информационной системы 1С:Предприятие 8.3. Интеграция 1С с 1С и...;" 1С: Предприятие 8;1С программирование; 1С: Управление Торговлей; 1С программирование; 1С: Документооборот";48;0.18518518518518517;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5;18;Ведущий программист 1C;4.0;3.0;Невская Палитра;2019-11-20T09:04:56+0300;"Обязанности:  Разработка новых модулей на платформе 1С : УТ 10.3, Бухгалтерия 3.0 Разработка/доработка функционала и поддержка конфигураций 1С под бизнес-процессы компании. Выполнение задач по интеграции с другими информационными системами компании. Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении программист 1С) Участие в проектной деятельности , в части автоматизации бизнес-процессов компании  Требования:  Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование Опыт разработки на платформе 1С (УПП, УТ: 10.3, 1С Зарплата и управление персоналом 2.5./3.0) Понимание основ бухгалтерского и операционного учета компании Приветствуется опыт работы с обменами в форматах:COM– соединение,XML ,JSON. Знание ERP  Условия:  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";"  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование. Опыт разработки на платформе 1С (УПП...;Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении <highlighttext>программист</highlighttext> 1С). Участие в проектной деятельности...;"1С: Управление Производственным Предприятием; 1С: Бухгалтерия; 1С: Управление Торговлей; 1С программирование; 1С: Зарплата и управление персоналом";60;0.0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
6;16;Программист 1С;4.0;3.0;Интерлизинг;2019-11-20T17:05:07+0300;"ГК Интерлизинг ищет Программиста 1С в связи с расширением штата. Требования:  Свободное владение встроенным языком программирования 1С:Предприятие 8.3, опыт работы с управляемыми формами обязателен; Желательно знание типовых конфигураций, «Управление Холдингом», Бухгалтерия Предприятия (3.0), «СРМ», «Зарплата и Управление персоналом 3.1»; Знание основ бухгалтерского, управленческого учета, расчета заработной платы; Опыт работы в компаниях с разветвленной филиальной структурой в своей зоне ответственности; Знание механизмов интеграции 1С:Предприятия с другими информационными системами (web-сервисы, com-соединения) Знание СКД, БСП2.1 и БСП 3.0; Написание кода в соответствии с «Системой стандартов и методик разработки конфигураций для платформы 1С:Предприятие 8»; Умение работать в команде используя хранилища конфигураций; Опыт работы с расширениями в разных режимах совместимости.  Задачи:  Участие в проектах по внедрению программных средств 1С; Сопровождение и доработка баз данных 1С: «Управление Холдингом», СРМ:  обновление конфигураций «типовых» и «нетиповых»; настройка прав пользователей; обучение пользователей; написание пользовательской документации; консультирование пользователей.   Кодирование по ТЗ на платформе 1С 8.3; Администрирование и программное сопровождение конфигураций 1С: «Управление Холдингом», СРМ.  Условия:  Работа в федеральной лизинговой компании с успешной 20-летней историей (ТОП-20 лизинговых компаний); Оформление и ведение отношений в соответствии с ТК РФ; Полностью официальная заработная плата- оклад и премии. Финальный уровень обсуждается на собеседовании; ДМС - после года работы Комфортный офис по адресу: Петроградская наб, БЦ Линкор ";"  Работа в федеральной лизинговой компании с успешной 20-летней историей (ТОП-20 лизинговых компаний); Оформление и ведение отношений в соответствии с ТК РФ; Полностью официальная заработная плата- оклад и премии. Финальный уровень обсуждается на собеседовании; ДМС - после года работы Комфортный офис по адресу: Петроградская наб, БЦ Линкор ";Свободное владение встроенным языком программирования 1С:Предприятие 8.3, опыт работы с управляемыми формами обязателен. Желательно знание типовых конфигураций...;Участие в проектах по внедрению программных средств 1С. Сопровождение и доработка баз данных 1С: «Управление Холдингом», СРМ: Обновление...;" 1С: Предприятие 8;1С программирование; 1С: Управление Торговлей; 1С программирование; 1С: Документооборот";61;0.0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7;56;Программист-разработчик 1 С;5.0;3.0;Дубовицкая Светлана Владимировна;2019-11-19T13:58:58+0300;Компания «ФОРВАРД-АКСИОНТ» - один из ведущих игроков рынка 1С по внедрению, сопровождению и развитию систем управления предприятием и учетных систем на платформе 1С. Входим в ТОП-10 партнеров 1С как Центры компетенций КОРП и ERP. Обязанности:  Разработка/доработка программного кода в 1С:УПП (блоки бухгалтерский, налоговый учет, расчет заработной платы) Проведение внутреннего тестирования, сдача результатов работ Заказчику на тестовой среде Перенос изменений системы с тестовой среды на продуктивную Консультирование пользователей по работе в системе 1:С УПП (не типовая) Анализ возможностей реализации задач в 1С:УПП Составление технических заданий, согласование с Заказчиком  Что нужно знать и уметь:  Знать типовой функционал 1С:УПП Опыт программирования на платформе 1С 8.2 от 3-х лет Навыки разработки на 1С:УПП (в блоках бухгалтерского и налогового учета, заработной платы) Уметь получать и анализировать информацию из информационных баз 1С, работать со сложными запросами, оценивать данные на предмет целостности и адекватности Обладать опытом подготовки технической документации  Будет преимуществом:  Знание web-интерфейсов и интеграционных механизмов 1С со сторонними информационными системами Навыки разработки в системах 1С:ЗиУП, 1С:ДО  Мы предлагаем:  Работу в крупной Компании нефтяной отрасли Уровень дохода, соответствующий уровню компетенций Место работы - центр города (м. Полянка) График работы пн-пт с 09:00 до 18:00 ;  Работу в крупной Компании нефтяной отрасли Уровень дохода, соответствующий уровню компетенций Место работы - центр города (м. Полянка) График работы пн-пт с 09:00 до 18:00 ;Знать типовой функционал 1С:УПП. Опыт программирования на платформе 1С 8.2 от 3-х лет. ;Разработка/доработка программного кода в 1С:УПП (блоки бухгалтерский, налоговый учет, расчет заработной платы). Проведение внутреннего тестирования, сдача результатов...;"1С программирование; 1C: Бухгалтерия; 1С: Управление Производственным Предприятием";62;0.037037037037037035;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
8;93;PHP-developer/PHP-программист (Bitrix);3.0;3.0;Lenvendo;2019-11-20T00:54:30+0300;"Lenvendo – компания с комплексным подходом к созданию, развитию и поддержке крупномасштабных онлайн-систем, в связи с ростом количества проектов открывает вакансию PHP-developer/ PHP-программист:   Мы ищем кандидатов с:  Опытом работы в компании, занимающейся Web-проектами, от 3-х лет; Отличными знаниями: PHP 7.x, MySQL, JavaScript (AJAX, jQuery); Знание и опыт работы с современными Framework (Yii, Laravel 5.3+) и CMS: Bitrix; Пониманием принципов ООП; Опытом работы с Bug-Tracking системами (Redmine, Jira), системами контроля кода (Git); Умением работать с СУБД MySQL, PostgreSQL; Опытом работы с Sphinx, Redis, с брокерами очередей (RabbitMQ)- приветствуется; Опытом работы с *nix системами и опыт командной разработки являются большим плюсом;    Вам предстоит заниматься::  Разработкой масштабных, высоконагруженных e-commerce систем и комплексных проектов со сложной бизнес-логикой (PHP + PostgreSQL/ MySQL) для компаний федерального уровня. Интеграцией с различными внешними сервисами и корпоративными системами;    Мы предлагаем:  Оформление и социальный пакет в соответствии с ТК РФ; Полностью «белый» доход; График работы пн.- пятн. (9-18 или 10-19); Уровень дохода обсуждается на собеседовании по итогам тестового задания; Highload-проекты, сложные задачи; Возможности для профессионального роста; Вкусный кофе, чай и печенье!; Молодой и дружный коллектив; Офис в пешей доступности от метро «Старая деревня». ";"  Оформление и социальный пакет в соответствии с ТК РФ; Полностью «белый» доход; График работы пн.- пятн. (9-18 или 10-19); Уровень дохода обсуждается на собеседовании по итогам тестового задания; Highload-проекты, сложные задачи; Возможности для профессионального роста; Вкусный кофе, чай и печенье!; Молодой и дружный коллектив; Офис в пешей доступности от метро «Старая деревня». ";Опытом работы в компании, занимающейся Web-проектами, от 3-х лет. Отличными знаниями: PHP 7.x, MySQL, JavaScript (AJAX, jQuery). ;Разработкой масштабных, высоконагруженных e-commerce систем и комплексных проектов со сложной бизнес-логикой (PHP + PostgreSQL/ MySQL) для компаний федерального...;" 1С: Предприятие 8;1С программирование; 1С: Управление Торговлей; 1С программирование; 1С: Документооборот";68;0.0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
9;75;Программист 1C;4.0;3.0;Дальпромрыба;2019-11-19T19:22:27+0300;"Обязанности:  Сопровождение информационной структуры на базе 1С 8.2, 8.3; Разработка и внедрение новых механизмов, отчетов и обработок; Консультирование пользователей; Интеграция с другими информационными системами;  Требования:  Образование профильное; Знание типовых конфигураций УПП 1.3, БП 3.0, ЗУП 3.1; Знание основ бухгалтерского учет; Опыт работы программистом 1С от 2 -х лет; Коммуникабельность ответственность;  Условия:  Оформление по ТК; График работы 5/2 с 9.30 до 18.00 в офисе, возможно находиться в офисе от 2 до 3 рабочих дней в неделю, остальное - удаленная работа; Заработная плата по результатам собеседования, стабильные выплаты 2 раза в месяц. Возможность обеспечения своей семьи качественной рыбной продукцией по льготным ценам; Место работы: г. Москва, м.Смоленская (синяя ветка), Трубниковский пер., ";"  Оформление по ТК; График работы 5/2 с 9.30 до 18.00 в офисе, возможно находиться в офисе от 2 до 3 рабочих дней в неделю, остальное - удаленная работа; Заработная плата по результатам собеседования, стабильные выплаты 2 раза в месяц. Возможность обеспечения своей семьи качественной рыбной продукцией по льготным ценам; Место работы: г. Москва, м.Смоленская (синяя ветка), Трубниковский пер., ";Знание типовых конфигураций УПП 1.3, БП 3.0, ЗУП 3.1. Знание основ бухгалтерского учет. Опыт работы <highlighttext>программистом</highlighttext> 1...;Сопровождение информационной структуры на базе 1С 8.2, 8.3. Разработка и внедрение новых механизмов, отчетов и обработок. ;"1С: Управление Производственным Предприятием; 1С: Зарплата и управление персоналом; Бухгалтерская отчетность; Бухгалтерский учет";80;0.037037037037037035;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
