;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;city_Екатеринбург;city_Москва;city_Новосибирск;city_Санкт-Петербург;city_Тюмень;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; PostgreSQL; CSS; ООП; HTML5; PHP; MySQL;PHP; SQL; Java; Git;Другие навыки
0;70;Back-end Laravel developer;6.0;7.0;Soshace;2019-11-20T11:16:32+0300;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with PHP 1+ year of professional experience with Laravel A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with PHP. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"PHP; Laravel";2;0.0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
1;44;Backend Golang Developer / Go разработчик;4.0;4.0;Софтвайс;2019-11-20T14:40:42+0300;"«Софтвайз» занимается разработкой ПО в области рекламы и мобильных игр. Наш стек: Golang, PostgreSQL, Redis, Kafka, KSQL, ClickHouse, Scylla, Docker, Prometheus Наши объемы: 70k RPS, несколько миллиардов событий в ClickHouse в день Наш технический отдел состоит из проектных команд: несколько команд разработки нового функционала и платформенных команд, занимающихся поддержкой и развитием ядра системы. Команды работают по Scrum. Мы ищем крутого Golang-разработчика. На Go у нас написан высоконагруженный бекенд. Бекенд разбит на микросервисы, которые мы постоянно дорабатываем и улучшаем. Нужно будет вносить изменения в такие сервисы и покрывать тестами новый функционал. Ты:   Имеешь опыт разработки на Golang;   Использовал Docker;   Привык хранить код в Git;   Готов работать в команде;   Понимаешь документацию на английском   Было бы плюсом, если ты:   Проектировал архитектуру сервисов;   Умеешь писать SQL запросы;   Стримил сообщения в Kafka;   Работал с NoSQL;   Сталкивался с системой мониторинга Prometheus;   Проверял код профилировщиком;   Знаешь *nix на уровне пользователя   Если нет, то научим. Почему у нас круто:   Свобода действий вместо бюрократии;   Поощряется предложение идей;   Не боимся внедрять свежайшее ПО;   Команды сами выбирают свои процессы и технологии;   Сможешь попробовать себя в разных сферах разработки;   Что с нас:   Оформляем официально, платим вовремя;   Ездим вместе на конференции (оплачивается);   Новый БЦ в 7 минутах пешком от м. Петроградская и м. Чкаловская;   Гибкий график работы;   ДМС, корпоративный английский, корпоративная растяжка;   Кофе, печеньки, йогурты, настольный футбол, корпоративные спортивные и анти-спортивные мероприятия;   Как следствие: молодой, веселый и дружный коллектив  ";;Имеешь опыт разработки на Golang. Использовал Docker. Привык хранить код в Git. Готов работать в команде. Понимаешь документацию на английском. ;Проектировал архитектуру сервисов. Сталкивался с системой мониторинга Prometheus. Проверял код профилировщиком. Не боимся внедрять свежайшее ПО.;"PostgreSQL; SQL; Golang";34;0.0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
2;71;Разработчик Back-end html5 игр;2.0;3.0;Overmobile;2019-11-19T14:08:12+0300;Зарплата: от 80.000 до 150.000 рублейТребуемый опыт работы: от 3 Полная занятость, гибкий график О нас: Компания Overmobile 12 лет на рынке мобильных и браузерных игр. У нас десятки успешных игр на разных платформах. Мы - небольшая команда в большой компании. Делаем успешные html5 онлайн игры. Ищем талантливого Frontend программиста JS.   Что по технологиям:   Backend: Java     Что вам придётся делать:   Работать с серверными разработчиками     От кандидата:   Опыт программирования на Java от 2-x лет   Опыт работы с NoSQL, например MongoDB   Понимание принципов ООП   Знание основных design patterns (GoF)   Желание разбираться в чужом коде   Опыт работы с системами контроля версий   Будет плюсом:   Опыт работы в Геймдеве   Опыт работы с высоконагруженными проектами. (10к+ игроков могут собраться на ивэнт и поиграть онлайн)   Опыт разработки на C#, Java и других высокоуровневых языка   Условия:   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!;   Всё в белую по ТК РФ + бонусы   Компенсация перелёта и проживания сотруднику раз в год дополнительно к отпускным. Можно слетать в тур 1 раз в год бесплатно :)   100% оплата на больничных   Компенсация спорта   Гибкий график, главное результат, а не отработанные часы   Отсутствие бюрократии, отчетов - мы ориентируемся на эффективность   Дружелюбные и профессиональные коллеги   Корпоративы, праздники, выезды   Кофе, плюшки, фрукты за счет компании   Большие премии: По итогам выполненных задач, Новый год и так далее   И самое главное: У зарплаты нет верхней границы. Чем успешней продукт, тем выше зарплата     Ждём от вас:   Резюме на email   Пример вашего кода   До встречи, коллега!;Опыт программирования на Java от 2-x лет. Опыт работы с NoSQL, например MongoDB. Понимание принципов ООП. Знание основных design...;Backend: Java. Работать с серверными <highlighttext>разработчиками</highlighttext>.;"JavaScript; MongoDB; ООП; Java; HTML5";52;0.037037037037037035;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
3;31;Back-end разработчик;2.0;3.0;BookingBoard;2019-11-19T12:52:54+0300;Расширяем команду разработки для развития перспективного проекта нашей компании. Если интересно – приходите в гости, будем рады пообщаться.  DRON — это система размещения рекламы на сети цифровых дисплеев в режиме реального времени в России. Обязательные требования:  Понимание принципов работы web–приложений Знакомство с паттернами проектирования (концепция MVC, наиболее распространенные паттерны) Опыт работы с одним из фреймворков: Laravel, Yii2, Symfony Понимание и практическое применение ООП. Знание особенностей реализации ООП в PHP Знание основ HTML, CSS Опыт работы с SQL Знание английского языка на уровне чтения технической документации  Дополнительно:  Опыт построения REST API Опыт работ с .js фреймворками (Vue.js, React.js) PostgreSQL/Redis/MongoDB/ClickHouse RabbitMQ Опыт разработки Unit- и интеграционных тестов  *Проект активно развивается, будет интересно.  *Мы находимся в самом центре, рядом с Оперным театром. *Уровень ЗП готовы обсудить с интересным кандидатом  ;;Понимание принципов работы web–приложений. Знакомство с паттернами проектирования (концепция MVC, наиболее распространенные паттерны). Опыт работы с одним из фреймворков...;;"MongoDB; PostgreSQL; CSS; Symfony; Yii";99;0.037037037037037035;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;66;Backend разработчик Java / Golang;2.0;3.0;Комфорт;2019-11-18T17:36:48+0300;"Обязанности:  декомпозиция задач. качественное и своевременное исполнение задач; сопровождение существующего кода, оптимизация БД и запросов; разработка новых функций  Так же приветствуется:  лидерские качества умееть оперировать фактами  Требования:  опыт коммерческой разработки на языке PHP, Java или Go; опыт создания и обслуживания микро-сервисной архитектуры. практический опыт работы с операционными системами семейства *nix; опыт работы с реляционными СУБД (в приоритете PostgreSQL), умение писать запросы и оптимизировать их; умение разбираться в существующем исходном коде; желателен опыт работы с Docker, любым Queue Manager, написания Unit тестов;  Условия:  оформление по ТК РФ работа в профессиональном коллективе стабильной ИТ Компании возможность профессионального и карьерного роста ";  оформление по ТК РФ работа в профессиональном коллективе стабильной ИТ Компании возможность профессионального и карьерного роста ;Лидерские качества. Умееть оперировать фактами. Опыт коммерческой разработки на языке PHP, Java или Go. Опыт создания и обслуживания микро-сервисной...;Декомпозиция задач. Качественное и своевременное исполнение задач. Сопровождение существующего кода, оптимизация БД и запросов. Разработка новых функций.;"PostgreSQL; Расстановка приоритетов; Java; PHP; Redis; Docker; Golang; Kotlin; C/C++; Linux; Phalcon; Git; ElasticSearch; NATS; KAFKA";110;0.07407407407407407;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
5;1;Backend-программист;2.0;2.0;CDS Company;2019-11-19T11:29:07+0300;"CDS Company - студия веб-разработок.Мы специализируемся на разработке крупных проектов, регионального и федерального уровня.Мы разрабатываем высоконагруженные интернет-магазины, CRM-системы для различных предприятий, профессиональные корпоративные порталы, модернизируем порталы СМИ и много других сложных, нетривиальных проектов. В разработке мы используем передовые технологии и крутые решения технического характера. В разработке используем нашу внутреннюю CRM систему для оптимизации внутренних бизнес-процессов. На сегодняшний день разработано и запущено свыше 50 проектов и находится более 100 сайтов на технической поддержке. На текущий момент набираем команду программистов для развития своих кодерских навыков и для разработки крутых проектов в связи с расширением штата и увеличением объема работ. Есть team-lead, наставник, который справится с любой задачей и любым вопросом. Обязанности: - Программирование сайтов с 0 на Битриксе через обучение;- Разработка CRM систем на базе bitrix;- Разработка модулей и классов на PHP7;- Работа с Laravel + PostgreSQL (OctoberCMS) через обучение;- Обслуживание сайтов на Битриксе, WP и других CMS; Требования: - Базовые знания web-разработки;- Умение программировать на PHP (жестко и много, только хард-код);- Опыт работы с большими проектами;- Знание ООП;- Знание JavaScript, JQuery;- Опыт работы на Битриксе приветствуется. Но если не знаете, то научим.- Пунктуальность;- Ответственность;- Не бояться учиться чему-то новому;- Знание PHP7, MySQL, PostgreSQL Условия: - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после 1 месяца испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";" - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после 1 месяца испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";Базовые знания web-разработки. - Умение программировать на PHP (жестко и много, только хард-код). - Опыт работы с большими проектами. - ;Программирование сайтов с 0 на Битриксе через обучение. - Разработка CRM систем на базе bitrix. - Разработка модулей и классов на PHP...;"PHP; jQuery; CSS3; 1С-Битрикс; CSS; ООП; MySQL; CMS Wordpress; HTML; HTML5; JavaScript; Ajax";126;0.037037037037037035;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
6;52;Web-программист (back-end);2.0;2.0;Строительный Двор;2019-11-19T09:24:57+0300;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам! Мы любим web и у нас всегда есть интересные задачи!Тебе предстоит решать следующие задачи:  разработка бизнес-систем (автоматизация бизнес-процессов); оптимизация сервисов под высокие нагрузки; проектирование и реализация веб и API-сервисов; работа над веб-сервисами: доработка существующих и написание новых; написание unit и интеграционных тестов; отладка, рефакторинг и документация кода.  Опыт и навыки, на которые мы рассчитываем:  опыт в разработке на python от 1 года; опыт веб-разработки бэкендов на коммерческих сайтах; уверенное знание: HTML‚ CSS‚ Javascript (jQuery)‚ PHP (ООП)‚ MySQL‚ Ajax‚ JSON‚ XML, ruby, perl; аналитический склад ума; умение разбираться в чужом коде и работать с ним; умение работать в команде; ожидается высокая самостоятельность в ходе решения технических проблем.  Будет идеально:  опыт работы с Django; широкий ИТ-кругозор, знание технологий, программных продуктов;  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!  ";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!  ";Опыт в разработке на python от 1 года. Опыт веб-разработки бэкендов на коммерческих сайтах. Уверенное знание: HTML‚ CSS‚ Javascript...;Разработка бизнес-систем (автоматизация бизнес-процессов). Оптимизация сервисов под высокие нагрузки. Проектирование и реализация веб и API-сервисов. ;"HTML; CSS; MySQL; PHP; XML; Python; Ajax";127;0.037037037037037035;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
7;49;Backend-разработчик;1.0;1.0;АРКОНС ГРУПП;2019-11-19T11:01:43+0300;"Приглашаем в наш молодой коллектив талантливого и опытного PHP-разработчика. Мы ищем ответственного специалиста, который работает на результат, а не просто отсиживается в офисе. Проекты компании растут, ты будешь работать c текущими и новыми:  Два сайта компании, которые входят в ТОП-10 по России. Развитие и доработка корпоративной CRM-системы. Участие в крупных российских и международных проектах.  Твою работу будет видеть вся страна и не только! От тебя мы ждем: - опыт разработки на php 7 (понимание основных паттернов проектирования и применение их на практике);- опыт работы с SOAP и REST запросами- опыт интеграции со сторонними сервисами через API- умение работать с пакетными менеджерами composer- знание и опыт работы с SQL базами данных – join’ы, понимать принцип работы индексов, уметь оптимизировать запросы;- опыт работы с GIT (если что – научим)- знание и опыт верстки HTML5 / CSS3 (LESS/SASS)- знание и опыт работы с Bootstrap 4 / JavaScript (jQuery) Работая с нами, ты получишь:  Официальное оформление в штат молодой, но стабильной компании (на рынке с 2014 г.). Интересные проекты в высокоприбыльных сферах. Условия для профессионального и финансового роста. Отличную работу мы поощряем обучением за счет компании. Оплачиваем результаты, а не просто время, проведенное в офисе (по системе KPI). Современный офис в деловом центре города и комфортабельное рабочее место с шустрым компьютером. Гибкий график, который можно скорректировать, сместить обед и даже при необходимости поработать из дома.   ";;Твою работу будет видеть вся страна и не только! - опыт разработки на php 7 (понимание основных паттернов проектирования и применение...;Развитие и доработка корпоративной CRM-системы.;"JavaScript; jQuery; Less; HTML5; CSS3";168;0.037037037037037035;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8;45;Back-end разработчик (Стажер);1.0;1.0;R2 Робототехника;2019-11-19T18:38:16+0300;"Стартап R2 robotics, разрабатывающий автоматизированную систему для ритейла на базе RFID и машинного зрения, ищет Back-end разработчика. Обязанности:  Разработка и сопровождение серверной и клиентской части приложения;  Мы ожидаем от кандидата:  Реальный интерес к своей специальности, желание реализовывать себя и развиваться; Умение писать на JS, PHP; Опыт работы с БД SQL, NOSQL, MySQL; Умение работать с GIT; Опыт HTML и CSS; Знание Python/C#/Java;  Будет плюсом:  Опыт работы с одним из фреймворков VueJS, React, Angular и т.п.; Опыт написания rest api, soap api; Знание NodeJS;  Мы предлагаем:  комфортное рабочее место в Академгородке; оформление в соответствии с ТК РФ; уровень заработной платы соответствующий вашим навыкам. ";"  комфортное рабочее место в Академгородке; оформление в соответствии с ТК РФ; уровень заработной платы соответствующий вашим навыкам. ";Реальный интерес к своей специальности, желание реализовывать себя и развиваться. Умение писать на JS, PHP. Опыт работы с БД SQL...;Разработка и сопровождение серверной и клиентской части приложения.;"MySQL; NoSQL; CSS; HTML; PHP; C#; Java; Python";202;0.037037037037037035;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
9;85;Backend-разработчик;1.0;2.0;ГАУ ТО МФЦ;2019-11-18T08:43:56+0300;"Требования:  Высшее образование в сфере информационных технологий; Опыт работы по специальности от 1 года; Знание одного из языков программирования: функциональные языки программирования, Java, Kotlin, C, C++, C#, Scala, Python; Навыки работы с базами данных. Знание SQL; Опыт работы с системами контроля версий (желательно Gitlab); Понимание принципов Agile, Scrum, TDD; Желание работать в команде и осваивать новые технологии.  Обязанности:  Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.  Условия:   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";"   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";Высшее образование в сфере информационных технологий. Опыт работы по специальности от 1 года. Знание одного из языков программирования: функциональные языки...;Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.;"Java; Linux";239;0.07407407407407407;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
