;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;city_Екатеринбург;city_Москва;city_Новосибирск;city_Санкт-Петербург;city_Тюмень;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Java; Spring Framework; SQL; Git; Java; PostgreSQL; Hibernate; Mockito; JUnit; Docker;Другие навыки
0;6;Программист Java (Junior/Middle/Senior);1.0;3.0;Прикладные технологии;2019-11-20T10:37:46+0300;Ищем Java разработчиков всех уровней (Junior/Middle/Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с SQL/NoSQL базами. Опыт работы со Spring, Hibernate и другоми современными framework-ами. Разговорный английский язык.    Обязанности:  Разработка back-end приложений на Java с применением современных framework-ов.    Собеседование только после предоставления резюме.    Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. ;Разработка back-end приложений на Java с применением современных framework-ов.;"Java; Spring Framework; SQL; Git; Java";45;0.0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1;62;Java-разработчик;1.0;3.0;Строительный Двор;2019-11-19T09:24:57+0300;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Java. Spring Framework (Boot, REST, Data-JPA). PostgreSQL. ;Проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes";82;0.037037037037037035;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
2;84;Java-разработчик;2.0;2.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени и Кургане. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что нужно делать: Разрабатывать и сопровождать системы отчётности и бизнес-процессов. Мы хотим найти человека, который: - хорошо владеет языком программирования Java (JDK 1.8 и выше); - знает реляционные СУБД (PostgreSQL или SQL Server), SQL и MongoDB. Будет плюсом: - знание системы отчётности Eclipse BIRT и платформы Eclipse в целом; - знание движков бизнес-процессов Alfresco Activiti и Flowable; - знание Java EE (JMS, JAX-RS, JAX-WS) и Spring (Framework, Boot, Data, Security); - знание и опыт работы с Linux, Git. Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - хорошо владеет языком программирования Java (JDK 1.8 и выше). - знает реляционные СУБД (PostgreSQL или...;Разрабатывать и сопровождать системы отчётности и бизнес-процессов.;"Java; Linux; MS SQL Server; SQL; Eclipse";161;0.07407407407407407;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3;43;Kotlin программист;7.0;1.0;BUIDL LLC;2019-11-20T10:52:16+0300;"Компания BUIDL - это # современные стек технологии; # интересная предметная область, финансы и блокчейн; # современные архитектурные подходы; # гибкие условия по графику, нет лишнего формализма; свободный подход в общении в коллективе; # разработка технически сложных систем. # разнообразные направления проектов от более близких к “железу” до высоконагруженных и высокодоступных финансовых и информационных сервисов. # крутая и дружная команда, стремительно мчим в будущее , ищем сильных и проактивных игроков, скучно не будет )   Приглашаем программиста-разработчика Kotlin для доработки и переработки Android приложения криптовалютного кошелька-биржи (только Front-End часть, связь с Back по REST API, WSS). Задачи:  Анализ и погружение в существующий проект; Командная доработка приложения (Меняем Kotlin программиста); Подготовка рефакторинга и ребилда приложения; Участие в проектировании    Мы ждем от вас:  Желание решать сложные и нестандартные задачи; Опыт коммерческой мобильной разработки; Понимание работы криптовалют и торговых систем (биржи, фондовые рынки, маркетплейсы)    Условия:   Трудоустройство по ТК РФ   Участие в интересных проектах   Обеспечение всей необходимой техникой   Комфортный офис напротив метро Петроградская   Кухня, завтраки, кофе\чай\сладости\фрукты.   Рост и бонусы   Молодой и дружелюбный коллектив     /Будем благодарны за подробную информацию о себе в отклике/";   Трудоустройство по ТК РФ   Участие в интересных проектах   Обеспечение всей необходимой техникой   Комфортный офис напротив метро Петроградская   Кухня, завтраки, кофе\чай\сладости\фрукты.   Рост и бонусы   Молодой и дружелюбный коллектив     /Будем благодарны за подробную информацию о себе в отклике/;Желание решать сложные и нестандартные задачи. Опыт коммерческой мобильной разработки. Понимание работы криптовалют и торговых систем (биржи, фондовые рынки, маркетплейсы).;Анализ и погружение в существующий проект. Командная доработка приложения (Меняем Kotlin <highlighttext>программиста</highlighttext>). Подготовка рефакторинга и ребилда приложения. Участие в проектировании.;"Android; KOTLIN; Websockets; Git; Atlassian Jira; API; HTML; CSS; Android SDK";187;0.0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;78;Java-разработчик;1.0;1.0;Ай Ти Пром;2019-11-18T19:49:48+0300;"Компания Ай Ти Пром специализируется на разработке отраслевых решений для управления производственным процесом на промышленных предприятиях. Для усиления команды разработчиков в рамках реализации крупного проекта требуется Java-разработчик Full-Stack с общей занятостью 20 ч в неделю (0,5 ставки). Основные задачи:   Разработка frontend и backend web-приложения для промышленных предприятий;   Написание unit-тестов;   Проектирование ПО;   Участие в удаленном разверывании проектов.   Требования:  Высшее техническое образование (возможно студенты старших курсов); Опыт разработки на Java (Spring boot) \ JavaScript (JQuery, Knockout) Знание языка SQL и опыт работы с СУБД  Условия:  Срочный трудовой договор на период реализации проекта (1 год) с возможностью пролонгации; Удаленный характер работы. ";"  Срочный трудовой договор на период реализации проекта (1 год) с возможностью пролонгации; Удаленный характер работы. ";Высшее техническое образование (возможно студенты старших курсов). Опыт разработки на Java (Spring boot) \ JavaScript (JQuery, Knockout). Знание языка SQL и...;Разработка frontend и backend web-приложения для промышленных предприятий. Написание unit-тестов. Проектирование ПО. Участие в удаленном разверывании проектов.;"JavaScript; Java; SQL; Java SE; СУБД";193;0.07407407407407407;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5;12;Инженер-программист / Software Engineer – Java Developer в Австрии;0.0;0.0;ISG Personalmanagement GmbH;2019-11-20T12:07:15+0300;Предлагаем работу Инженером-программистом в успешной и быстрорастущей компании с мировым именем. У вас откроется возможность профессионально вырасти и получить глубокую компетенцию в сфере искусственного интеллекта. Команда набирается в Австрии город Вена.   Обязанности:  Разработка продукта Performance Monitoring Solution на Java (Java, GIT, Jenkins, Gradle, Eclipse / IntelliJ) Специализация Full Stack или Server-Backend Взаимодействие с местными и международными командами разработчиков    Требования:  Законченное высшее техническое образование связанное с ИТ (диплом бакалавра или магистра) Опыт разработки на Java, включая архитектурный дизайн Написание автоматических тестов на Java Готовность к изучению новых технологий Свободное владение устным и письменным английским языком    Наши преимущества:  Обучение и возможность работы с новыми технологиями Работа по настоящим Agile/Scrum практикам Коммуникация в команде профессионалов со всего мира Официальное трудоустройство, полный социальный пакет Оформление визы и полная поддержка при переезде с семьёй Годовая компенсация до вычета налогов составляет от 50 000 евро до 75 000 евро - в зависимости от конкретной квалификации и соответствующего профессионального опыта    Если вы заинтересованы в этой вакансии, мы ждем ваше резюме в формате PDF и на английском языке по электронной почте.;;Законченное высшее техническое образование связанное с ИТ (диплом бакалавра или магистра). Опыт разработки на Java, включая архитектурный дизайн. ;...Java (Java, GIT, Jenkins, Gradle, Eclipse / IntelliJ). Специализация Full Stack или Server-Backend. Взаимодействие с местными и международными командами <highlighttext>разработчиков</highlighttext>.;"Eclipse; SQL; Английский язык; Умение работать в коллективе; Java";212;0.0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
6;60;Java-разработчик;4.0;2.0;ХОСТ, Группа компаний;2019-11-19T16:17:29+0300;"Приглашаем опытного java-разработчика в нашу Команду. Группа Компаний ХОСТ входит в ТОП-100 крупнейших IT-компаний России. Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем для автоматизации процессов в области здравоохранения и предоставления услуг населению. Продукты:  интеграционная шина система сбора отчетности региональная информационно-аналитическая система автоматизация административных регламентов.  Задачи:  разработка веб-сервисов; разработка микросервисов; разработка веб-приложений.  Требования к технологическому стеку:  языки программирования: Java 8 EE, SQL, XML; базы данных: Oracle, MS SQL, PostgreSQL; ORM – Hibernate; фреймворки – Spring, Maven, ZK; контейнер для запуска веб-приложений – Apache Tomcat; система контроля версий - Git.  Мы предлагаем:  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчики, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";"  возможность удаленной работы; полноценную проектную команду: менеджер проектов, аналитик, разработчики, тестировщик, технический писатель; внутреннее и внешнее обучение; заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); уровень заработной платы обсуждается индивидуально и зависит от уровня компетенций; каждый год мы ездим на сплав, отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018 год покорили Конжак, Юрму и Зюраткуль. ";Языки программирования: Java 8 EE, SQL, XML. Базы данных: Oracle, MS SQL, PostgreSQL.;Одним из ключевых направлений бизнеса является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем для автоматизации процессов в области...;"Java; Spring Framework; SQL; Git; Java";325;0.037037037037037035;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7;43;Java-программист;5.0;0.0;iiko, Компания Aйко;2019-11-20T14:23:03+0300;Java-программист (возможно удаленно) iiko – международная компания-разработчик программного обеспечения для ресторанов и сферы услуг, основанная в 2005 году Давидом Яном (ABBYY) и Максимом Нальским (Pyrus, ФинГрад, Glowbyte). 25000+ ресторанов уже используют iiko в 29 странах мира и вы сможете гордиться своей работой каждый раз, как будете заходить в ресторан, который автоматизирован с помощью iiko.  Наши офисы: в Москве (с 2007 г), в Казани (с 2008 г), в Лондоне и ОАЭ (с 2018 г). Команда разработки серверной части ERP-системы расширяет команду и ищет Java-программиста. Возможна удаленная работа, но на начальном этапе погружения- присутствие в офисе необходимо. Ожидаем, что новый коллега будет иметь:  Опыт работы разработки коммерческих серверных решений с использованием Java-технологий от 3х лет. Уверенные знания Java 8 Standard Edition, опыт работы с технологиями: JDBC, JSPServlets. Опыт работы с SQL, промышленными СУБД (используем PostgreSQL и MS SQL). Уверенно владеть лучшими практиками разработки ПО (мы работаем по Agile (SAFe)). Знать и уметь применять ООП и шаблоны проектирования на практике.  Будет большим плюсом, если вы имеете опыт:  Оптимизации БД PostgreSQL или MS SQL Server. Разработки ERP-систем. Разработки высоконагруженных распределенных систем.  И еще будет плюсом, если вы знакомы с:  Hibernate, Spring (Beans, Security, Web), Jersey, ActiveMq/RabbitMq/JMS. Ant, Git, IntelliJ Idea, Tomcat.  Ваши задачи и обязанности:  Работа в команде разработки сервера ERP-системы. Разработка серверной бизнес-логики и БД. Оптимизация сервера и БД под высокую нагрузку. Рефакторинг существующего и ревью нового кода. Работа с документацией: создание, исправление технической документации.  Оплата и условия работы:  Официальное оформление по ТК РФ с первого дня. Заработная плата вся белая. ЗП обсуждаема, отталкиваемся от пожеланий кандидата. Гибкое начало рабочего дня. Оплата занятий спортом и занятия английским в офисе. Своя библиотека. Чай, кофе, фрукты в офисе. М. Чертановская или м. Южная. БЦ Варшавка SKY.   ;;Опыт работы разработки коммерческих серверных решений с использованием Java-технологий от 3х лет. Уверенные знания Java 8 Standard Edition...;Работа в команде разработки сервера ERP-системы. Разработка серверной бизнес-логики и БД. Оптимизация сервера и БД под высокую нагрузку. ;"Java; PostgreSQL; Agile Project Management; ERP; Spring Framework; Git";356;0.0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
8;84;Senior Go/Java Developer;7.0;1.0;Omega BaaP Limited;2019-11-18T18:55:14+0300;"Британскому банковскому стартапу на долгосрочную основу требуется удаленный Senior Go/Java Developer для участия в разработке различных элементов бекенд. В спектр задач входит :  Проектирование, разработка и поддержка микросервисов; Интеграции сервисов с внешними и внутренними системами; Написание кода;  Требования к кандидату:  Знание Java/Go Опыт back-end разработки от 3 лет Отличное знание баз данных SQL, NoSQL Опыт разработки микросервисных архитектур Понимание работы сети (ip, tcp, udp, http) Опыт работы с Amazon AWS и различными ее элементами желателен  Бонусы  Премии при достижении KPI Опция переезда в центральный офис в Лондон. Удаленная работа Работа в международной команде профессионалов Конкурентная компенсация в долларах США   ";;Знание Java/Go. Опыт back-end разработки от 3 лет. Отличное знание баз данных SQL, NoSQL. Опыт разработки микросервисных архитектур. ;Проектирование, разработка и поддержка микросервисов. Интеграции сервисов с внешними и внутренними системами. Написание кода.;"Java; Git";365;0.07407407407407407;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;92;JAVA / Spring разработчик;1.0;2.0;СКБ ЛАБ;2019-11-18T12:33:53+0300;"Мы - СКБ ЛАБ. У нас в работе есть МНОГО интересных проектов, требующих незамедлительного участия.Мы набираем команду разработчиков, с желанием развиваться, которые смогут не просто реализовать идеи, но и сделать это красиво. У нас работают талантливые разработчики, архитекторы, проектировщики, тестировщики, использующие новые технологии в реальных проектах, которые мы создаем с нуля.Ниже описаны возможные варианты применения Ваших профессиональных интересов. Что делать:  Разработка нового и доработка текущего функционала ДБО.  Мы ждем от вас:  Опыт разработки на Java, Spring от 1 года. Иметь представление JMS, Hibernate, PostgreSQL. Умение работать с системой контроля версий, CI. Знание классических алгоритмов и структур данных Стремление повышать собственный уровень профессиональной квалификации. Знание технического английского языка.  Что предлагаем:  Уровень дохода зависит от ваших навыков и технических знаний; Премии. Не только по итогам года; Возможность развить профессиональную мускулатуру, работая вместе с профессионалами. Познакомиться с лучшими практиками. Возможность участвовать в развитии, предлагать идеи и технологии; Участвовать в мероприятиях для профессионального развития. Тренинги, учебные курсы; Удобное рабочее место с современной техникой; Компенсация занятий спортом; Оплата паркинга для автолюбителей, и Е-карта для пешеходов; Отличный офис с великолепным панорамным видом на город, кухней (фрукты, булки, чай, кофе прилагаются - как без глюкозы? ;)) и зонами релакса; Велопарковка, душ, кикер, теннисный стол, боксёрская груша :) и гимнастический станок; Отлаженные процессы. Минимум бюрократии; Лояльный график рабочего дня.  Мы ценим:   Тех, кто уважает мнение Заказчика Тех, кто не боится ответственности Тех, кто работает на результат. Тех, кто не требует микроменеджмента и постоянного менторства Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером Тех, кто готов делиться своим опытом Красивый код Чувство юмора  Мы живем:  По agile (скрам, канбан - знакомо? Отлично! Нет- не страшно!  Приходите. Ждем Вас в нашем офисе! Обсудим больше подробностей.   З/Ы: При любых вопросах - не стесняйтесь писать.";;Опыт разработки на Java, Spring от 1 года. Иметь представление JMS, Hibernate, PostgreSQL. Умение работать с системой контроля версий, CI. ;Разработка нового и доработка текущего функционала ДБО.;"PostgreSQL; Опыт с Continuous Delivery; Умение писать Unit/Integration Test; Unit Testing; Integration Test; JVM profiling; Databases; database profiling; Java; Spring Framework";468;0.07407407407407407;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
