;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;city_Екатеринбург;city_Москва;city_Новосибирск;city_Санкт-Петербург;city_Тюмень;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; JavaScript;PHP; MySQL; Git; PHP; ООП;MySQL; PHP5; Linux; HTML;Другие навыки
0;57;Back-end разработчик / PHP программист;3.0;6.0;Social Media Holding;2019-11-20T17:24:50+0300;"О нас:  Компания занимается комплексным продвижением и привлечением трафика из социальных сетей, под потребности медиа-агентств, крупных корпораций и малого бизнеса. На данный момент компании принадлежит более 150 млн аудиторией сообществ постоянных пользователей в Вконтакте, Одноклассники, YouTube, Instagram и других социальных сетей. Основной деятельностью компании, разработка технологических проектов по работе с трафиком и использование обширных возможностей для поддержки маркетинговых, pr и рекламных проектов крупных агентств и корпораций. На площадках компании размещались World of Tanks, Microsoft, Альфа-банк, Coca-Cola, ASUS и других 200 корпораций.    Требования:  Опыт разработки не менее 2-х лет; Знание PHP, PostgreSQL, JavaScript; Опыт работы с фреймворком Yii2; Настройка nginx; Способность самостоятельно решать сложные и нестандартные задачи; Ответственность и умения доводить свою работу до логического завершения; Умение разбираться в чужом коде. Опыт работы в команде И обязательно желание познавать новое, решать интересные задачи и развиваться в области программирования :)    Обязанности:  Проектирование сложной и интересной архитектуры; Улучшение качества внутренних продуктов; Участие в создании, планировании, разработке и поддержке ключевых частей системы; Проектирование и написание запросов к СУБД; Взаимодействие с разработчиками и аналитиками. Рефакторинг существующих решений. Ревью кода разработчиков.    Условия:  Просторный офис в стиле Loft 5 минут от метро Тульская (серая ветка) Рабочий день 5/2, для тех, кто не любит пробки - начало рабочего дня можно согласовать на собеседовании. Разработка нового перспективного программного продукта. Работа в сильной дружной слаженной команде. В офисе: чай, кофе, фрукты и печеньки в неограниченном количестве :) Итоговая заработная плата зависит от ваших компетенций и определяется по результатам собеседования. Все зависит от того, как вы себя проявите. ";  Просторный офис в стиле Loft 5 минут от метро Тульская (серая ветка) Рабочий день 5/2, для тех, кто не любит пробки - начало рабочего дня можно согласовать на собеседовании. Разработка нового перспективного программного продукта. Работа в сильной дружной слаженной команде. В офисе: чай, кофе, фрукты и печеньки в неограниченном количестве :) Итоговая заработная плата зависит от ваших компетенций и определяется по результатам собеседования. Все зависит от того, как вы себя проявите. ;Опыт разработки не менее 2-х лет. Знание PHP, PostgreSQL, JavaScript. Опыт работы с фреймворком Yii2. Настройка nginx. ;...ключевых частей системы. Проектирование и написание запросов к СУБД. Взаимодействие с <highlighttext>разработчиками</highlighttext> и аналитиками. Рефакторинг существующих решений. Ревью кода <highlighttext>разработчиков</highlighttext>.;"PHP; Yii2; PostgreSQL; PHP5; SQL; Yii; JavaScript; REST";6;0.0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
1;34;Senior PHP-developer (full-stack);3.0;5.0;Банк горящих туров, Туристическая компания;2019-11-20T09:37:46+0300;Банк Туров - активно развивающаяся международная компания по продаже туристических путевок. Делаем упор на продажи в мобильных устройствах и онлайн в целом (на это направлена существенная часть разработки), также у нас самописная CRM-система (тот же стэк технологий, что и для сайта). Задач и работы много. В связи с переходом отдела разработки на удаленный режим работы, укомплектовываем команду заново. Полный рабочий день. 80% задач связаны с бэкендом (задачи правки верстки, текстов, создания статичных страничек тоже бывают) Стэк технологий: ubuntu+nginx+mysql+php7.2+symfony2.8+memcached+redis+sphinx От Вас мы ждем опыта в крупных проектах (т.е. если вы работали только с тривиальными сайтами на CMS - верстка шаблона + подгон готовых модулей - не подойдете), если быть точнее опыт работы в крупных проектах подразумевает:- умение проектировать сложные системы- знание паттернов, ООП, умение придумывать свои подходы (умение изобразить идеи в понятном виде)- умение оптимизировать SQL запросы (писать запросы с учетом нагрузки на БД, у нас гигабайтные базы, миллионы строк)- умение самостоятельно развернуть рабочее место (ubuntu с необходимым стэком, наличие подходящего рабочего места соответственно) В замен за ответственную работу предлагаем достойную ЗП с возможностью работать удаленно, гибкое начало рабочего дня (выбираете заранее и придерживаетесь согласованного графика, в рабочее время важно быть онлайн) Рекомендации для сопроводительного письма: - указать логин в скайпе - приготовиться к собеседованию по скайпу с трансляцией вашего экрана 30-60 минут, включая техническую часть, сразу с непосредственным руководителем. - в сопроводительном должны быть отражены результаты вашей работы (примеры, которые можно посмотреть вживую, с подробным указанием вашего личного вклада в этот проект);;умение проектировать сложные системы. - знание паттернов, ООП, умение придумывать свои подходы (умение изобразить идеи в понятном виде). - умение самостоятельно развернуть...;80% задач связаны с бэкендом (задачи правки верстки, текстов, создания статичных страничек тоже бывают). Рекомендации для сопроводительного письма: - приготовиться к...;"MySQL; JavaScript; ООП; PHP7";16;0.0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
2;91;PHP-программист;3.0;5.0;Николь;2019-11-20T18:07:12+0300;"Мы - крупная и активно развивающаяся Компания, входящая в ТОП 5 России в сегменте товаров для домашних любимцев. Уже более 10-ти лет мы предлагаем нашим клиентам широчайший ассортимент высококачественных товаров: корма, средства по уходу, аксессуары и многое другое. В связи с активным развитием интернет-продаж мы ищем в свою команду WEB-программиста Честность и профессионализм - основные приоритеты нашей Компании. Что надо будет делать:  Написание нового функционала согласно текущим планам разработки; Рефакторинг существующего кода / оптимизация работы; Выполнения задач от TeamLeader.  Требования к кандидату:  Опыт работы в команде; Знание VCS и уметь работать; Хорошие знания php (мы используем php 7.0); Хорошие знание MySQL (мы используем MySQL 5.6); Хорошие знания в области Frontend; Обязательно понимание принципов ООП, паттернов проектирования и умение их применять.  Плюсом будут:  Опыт разработки на php 7+; Владение Linux, bash; Высокая скорость мышления; Умение эффективно находить информацию для решения рабочих задач; Умение разбирать legacy код; Навыки эффективного использования рабочих ресурсов.  Условия:  график работы пятидневка с 10.00 до 19.00 в офисе. оформление по ТК РФ; оплачиваемый ежегодный отпуск, оплата больничного листа; возможность карьерного роста; уютный, просторный офис рядом с метро Рязанский проспект; большая кухня (итальянский натуральный кофе, элитные сорта чая); живой уголок с экзотическими животными (василиск шлемоносный, шиншилла). ";"  график работы пятидневка с 10.00 до 19.00 в офисе. оформление по ТК РФ; оплачиваемый ежегодный отпуск, оплата больничного листа; возможность карьерного роста; уютный, просторный офис рядом с метро Рязанский проспект; большая кухня (итальянский натуральный кофе, элитные сорта чая); живой уголок с экзотическими животными (василиск шлемоносный, шиншилла). ";Опыт работы в команде. Знание VCS и уметь работать. Хорошие знания php (мы используем php 7.0). Хорошие знание MySQL...;Написание нового функционала согласно текущим планам разработки. Рефакторинг существующего кода / оптимизация работы. Выполнения задач от TeamLeader.;"MySQL; PHP; 1С-Битрикс; Linux; Bash; ООП";23;0.0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0
3;77;Middle/ Senior PHP-программист;3.0;4.0;Egamings, филиал г. Псков;2019-11-18T13:45:02+0300;"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Санкт-Петербург. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Санкт-Петербурге. Требования:  Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП (middle, senior); Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis;    Обязанности:    Поддержка и написание новых модулей для внутренних web-приложений компании;    Условия:    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";"    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП (middle, senior). Основы Debian/Ubuntu Linux на уровне...;Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест (вопросы php, sql -основные html, css, js - дополнительные...;"PHP; MySQL; PHP5; HTML5; JavaScript; Git; ООП";26;0.07407407407407407;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
4;6;PHP-программист (Middle, Senior);3.0;4.0;Egamings, филиал г. Псков;2019-11-20T10:49:57+0300;"PHP-программист (уровень Middle, Senior) Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Новосибирск. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Новосибирске. Требования:  Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis;    Обязанности:    Поддержка и написание новых модулей для внутренних web-приложений компании;    Условия:    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете:  Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве ";"    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете:  Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве ";Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП. Основы Debian/Ubuntu Linux на уровне пользователя. ;Поддержка и написание новых модулей для внутренних web-приложений компании.;"PHP; MySQL; PHP5; HTML5; JavaScript; Git; ООП";27;0.0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0
5;22;PHP-разработчик (Middle, Senior);3.0;4.0;Jump Taxi;2019-11-20T13:08:57+0300;О команде и проектеПривет! Мы – Just look, команда, которая специализируется на разработке собственных IT продуктов и их выводе на рынок. Jump Taxi – один из наших продуктов, он помогает сотням таксопарков в РФ с автоматизацией рутинных процессов и ростом бизнеса. Проект активно развивается, в своем сегменте он лидер. В связи с этим, мы не успеваем реализовывать сотни фич реквестов от наших клиентов и ищем разработчиков для расширения команды. У нас совсем нет бюрократии и начальства в офисе. Командой разработки руководит очень скилованный тимлид Олег, который поможет и с правильными подходом к архитектуре проекта и с формированием индивидуального плана развития, когда в этом есть потребность. Прямо сейчас мы снимаем два офиса на Фрунзе, 86, один из которых как раз под продакшен – тихий и уютный. В самое ближайшее время планируем переезд в один большой и красивый офис в стиле лофт, будет совсем хай-левел.О поиске и перспективах С точки зрения скиллов нужен минимум миддл, обязательно самостоятельный. В Jump Taxi работаем на Lumen (это Laravel без UI), придерживаемся микросервисной архитектуры и стараемся жить без легаси и с правильным кодом.Так как Jump Taxi – не единственный наш проект, это значит, что расти и развиваться можно не только в его рамках. Мы регулярно запускаем что-то новое и часто это проекты за передовой текущих технологий – тут и machine learning с python и много другого, в том числе, и на PHP. Живем без внешних инвестиций – компания стабильно прибыльна. Зарплата белая, все согласно ТК. Необходимое оборудование для рабочего места обсуждаем и подбираем индивидуально. В общем, максимально человеческий подход. Будем рады видеть тебя.;;;О команде и проекте.;"Git; MySQL; PHP";31;0.0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
6;78;PHP разработчик / Senior PHP developer;4.0;4.0;Bazon;2019-11-20T09:53:03+0300;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече!   Что мы уже делаем! Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Решать задачи самого разного плана: начиная от исправления небольшого бага до разработки и внедрения сложных бизнес-процессов компании; Рефакторить, оптимизировать и искать узкие места в уже существующем коде; Предлагать и обсуждать идеи, внедрять свои собственные решения.    Чего тебе делать не придется:  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Опыт разработки проектов на PHP + MySQL не менее 5 лет; Знание любого современного фреймворка (Yii2, Laravel, Symfony); Понимание принципов построения HighLoad-сервисов с высоким SLA; Хорошее знание любой СУБД (MySQL, PostgreSQL и т.д.); Понимание и опыт применения паттернов проектирования (понимание принципов SOLID и MVC); Знание UNIX-подобных ОС (уровень продвинутого пользователя); Опыт командной разработки с использованием Git или Mercurial; Опыт разработки коммерческих продуктов; Ориентация на результат, а не процесс.    Условия:  Официальное трудоустройство; Работа в небольшой команде; Просторный офис с видом на реку; Современное рабочее место; Гибкий график работы; Только полная занятость и работа в офисе; Перспективы для профессионального и карьерного роста.    Уровень заработной платы по результатам собеседования.";"  Официальное трудоустройство; Работа в небольшой команде; Просторный офис с видом на реку; Современное рабочее место; Гибкий график работы; Только полная занятость и работа в офисе; Перспективы для профессионального и карьерного роста.    Уровень заработной платы по результатам собеседования.";Опыт разработки проектов на PHP + MySQL не менее 5 лет. Знание любого современного фреймворка (Yii2, Laravel, Symfony). ;Решать задачи самого разного плана: начиная от исправления небольшого бага до разработки и внедрения сложных бизнес-процессов компании. ;"PHP; HTML; MySQL; CSS; XML; jQuery; JavaScript; Ajax";42;0.0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
7;53;Backend-разработчик (PHP/Symfony);3.0;3.0;Like Центр;2019-11-20T15:41:51+0300;"Мы создаем платформу для управления бизнесом, которая станет главным рабочим инструментом начинающего предпринимателя. Ищем в команду сильного разработчика с амбицией стать техническим лидом всей команды, которая будет расширяться с ростом функционала платформы. Задачи:   Рефакторинг и оптимизация существующего кода;   Разработка архитектуры новых модулей;   Доработка функционала и создание новых модулей;   Много работы с внешними интеграциями: Яндекс.Метрика, Яндекс.Директ, рекламные кабинеты социальных сетей и так далее;   Разработка и сопровождение REST API.   Базовые требования:   Опыт работы PHP-разработчиком от 2 лет;   Опыт работа с фреймворком Symfony;   Опыт разработки и поддержки Backend для SPA;   Умение работать с кэшем (файловый, Redis);   Знание ООП, MVC;   Опыт работы с БД через PDO (мы используем Doctrine);   Тебя не должны пугать просьбы сделать сложные запросы на чистом MySQL;   Опыт интеграции сторонних REST API и написания собственного;   Умение работать с командной строкой Linux.    Преимуществом будет:   Опыт проектирование веб-решений от 100 000 уников в месяц;   Опыт работы с нереляционными базами данных;   Опыт созданий кастомной авторизации и аутентификаци на фреймворке;   Опыт работы на Python;   Опыт написания автотестов;   Опыт работы с импортом и экспортом (csv);   Понимание принципов микросервисной разработки;   Условия работы:   Работа в комфортном офисе в «Москва-Сити».   Мы работаем по Agile, двухнедельными спринтами, поэтому ты сможешь комфортно самостоятельно выбирать темп работы   Мы уважаем сотрудников, поэтому никогда без твоего участия не поставим задачи, которые невозможно выполнить.   Конкурентная заработная плата: оклад + KPI по итогам месяца. Итоговый уровень будет обсуждаться с успешным кандидатом.   Официальное трудоустройство и полный социальный пакет.  ";;Опыт работы PHP-<highlighttext>разработчиком</highlighttext> от 2 лет. Опыт работа с фреймворком Symfony. Опыт разработки и поддержки Backend для SPA. ;Рефакторинг и оптимизация существующего кода. Разработка архитектуры новых модулей. Доработка функционала и создание новых модулей. Много работы с внешними интеграциями...;"MySQL; ООП; Python; Git; Redis; Symfony; Linux; REST";63;0.0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0
8;25;PHP программист (Laravel);1.0;3.0;Частный заказчик;2019-11-19T19:24:51+0300;Привет! Меня зовут Степан, я помогаю развивать сервис с умеренным онлайном пользователей. Недавно было принято решение искать разраба на удаленке, который будет помогать команде переходить на микросервисы. Какой у нас фронт работ? Есть большой монолит с кучей всего, его нужно распилить на микросервисы, т.е. работы много. Если ты умеешь объясняться русским языком и писать понятный код, знаешь что такое TDD и Микросервисы, не занудничаешь на тему Микросервис на ПХП? Камон!, а просто делаешь то, что от тебя требуется, и если ты готов хорошенько поработать - то ты именно тот, кто нам нужен! Подготовь репу с примерами кода на ларе и не забудь прикрепить ссылку в отклик Все задачи ведем в трекере. В начале недели формируем спринт с примерными затратами, в конце недели сдаешься и получаешь оплату. Если выходишь за переделы обозначенных цифр - ничего страшного. Обсуждаем и решаем что делать. Если сделал все в 2 раза быстрее - отлично, стоимость спринта не уменьшается. Можем сделать аванс после тестового задания, чтобы работалось спокойнее. Обязанности:  Помогать пилить монолит на микросервисы (Да, микросервисы на пхп пока не начнет тормозить..)  Требования:  Опыт разработки на Laravel от 2 лет Mysql Redis RabbitMQ VK API (Обязательно) Queues REST Онлайн минимум 5 часов в промежутке с 9.00 и 23.00 МСК Готовность обсуждать решения голосом  Условия:  Удаленная работа Почасовая оплата по результатам спринта  Процедура собеседования:  Перед интервью через скайп я посмотрю твой код в репе, ссылку на который ты не забудешь скинуть, когда будешь откликаться на эту ваканси Созваниваемся, знакомимся, рассказываешь пару слов о себе, рассказываешь код Выполняем тестовое задание на 2 часа. Я скажу что нужно сделать, обсуждаем реализацию, включаем таймер, ждем пока ты сделаешь, проверяем. Если код не плох и при этом работает - ОК  Агентствам: Пожалуйста не пишите! Не тратьте время! Работать буду только непосредственно с исполнителем и оплачивать непосредственно исполнителю  ;  Удаленная работа Почасовая оплата по результатам спринта  Процедура собеседования:  Перед интервью через скайп я посмотрю твой код в репе, ссылку на который ты не забудешь скинуть, когда будешь откликаться на эту ваканси Созваниваемся, знакомимся, рассказываешь пару слов о себе, рассказываешь код Выполняем тестовое задание на 2 часа. Я скажу что нужно сделать, обсуждаем реализацию, включаем таймер, ждем пока ты сделаешь, проверяем. Если код не плох и при этом работает - ОК  Агентствам: Пожалуйста не пишите! Не тратьте время! Работать буду только непосредственно с исполнителем и оплачивать непосредственно исполнителю  ;Опыт разработки на Laravel от 2 лет. Mysql. VK API (Обязательно). Queues. REST. Готовность обсуждать решения голосом.;;"MySQL; PHP; Git; Laravel";72;0.037037037037037035;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
9;82;PHP-разработчик;3.0;3.0;Восток Инновации;2019-11-18T10:05:45+0300;"Мы делаем CRM систему по модели SAAS, которая помогает бизнесу в сфере образования. Она автоматизирует добрую часть рутинных процессов (это точно), снимает головную боль и нормализует сон (это не точно). У нас небольшая, дружная и эффективная команда, поэтому мы занимаем лидирующие позиции среди конкурирующих CRM для образования. Мы ищем разработчика PHP, имеющего навыки работы с фреймворком Yii2. Если у вас другой, но релевантный опыт — все равно пишите. От нас:  Уютный офис в тихом центре, комфортное рабочее место; Качественно спроектированная сложная архитектура, highload; Отлично написанный код и продуманные стили кодирования; Дружественная атмосфера в коллективе;  От вас:  Знание PHP7, понимание ООП и MVC; Опыт работы с фреймворком Yii2; Ваша ОС — Linux; ";;От вас: Знание PHP7, понимание ООП и MVC. Опыт работы с фреймворком Yii2.;Ваша ОС — Linux.;"PHP; Git; JavaScript; MySQL; Yii; PHP7";77;0.07407407407407407;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
