;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;city_Екатеринбург;city_Москва;city_Новосибирск;city_Санкт-Петербург;city_Тюмень;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; SQL; JavaScript; C++; Python; MS SQL; Linux; C/C++; Java; C#;JavaScript;Другие навыки
0;0;Программист графики;2.0;10.0;Gaijin Entertainment;2019-11-20T10:56:23+0300;"Gaijin Entertainment - это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Mac/Linux/iOS и Android.В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии. Мы ищем в нашу команду программиста графики. У нашего кандидата есть:- Опыт разработки графических эффектов в real-time - Знание архитектуры GPU, навыки оптимизации производительности - Знание DIrectX 12 или Vulkan - Понимание алгоритмов работы PBR, SSAO, BRDF, SSR, TAA - Владение шейдерным языком (GLSL или SPIR-V) Наше предложение финалисту:   возможность карьерного роста и развития (см. описание стека выше, учиться приходится постоянно);   постоянный объем технических челленджей и творческих задач (это геймдев, здесь весело);   достойную компенсацию (мы знаем, сколько стоит хороший специалист);   оформление по ТК РФ;   ДМС;   дружественную корпоративную культуру;   комфортный офис на Петроградке, 5 минут от метро (удаленки нет, но график демократичный).   Адрес: м. Петроградская, Санкт-Петербург, Аптекарский проспект  ";;Опыт разработки графических эффектов в real-time. - Знание архитектуры GPU, навыки оптимизации производительности. - Знание DIrectX 12 или Vulkan. - ;;"С++11; SPIR-V; OpenGL; Excellent C/C++ programming skills; GLSL; SSAO; BRDF; SSR; TAA; PBR; DIrectX12; Vulkan";0;0.0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;20;Программист;5.0;5.0;Филиал «Юго-Восточный» ООО «Антей»;2019-11-20T08:59:46+0300;"  Знание:  Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий клиент» Стандарты программирования в среде 1С. Архитектура программных продуктов: 1С: ЕRP, 1С: Бухгалтерия, 1С: Зарплата и управление персоналом. Принципы бухгалтерского и налогового учетов, основы учета заработной платы. Конвертация данных 2.0 и 3.0  Обязанности:  Обработка запросов пользователей на изменения и устранение инцидентов в работе информационных систем на базе 1С. Реализация изменений в информационных системах 1С, проектирование системы, разработка функциональной модели. Сопровождение и обновление баз данных Настройка интеграции между существующими базами данных. Обучение и консультирование пользователей 1С. Подготовка технической документации к информационным системам 1С. Участие в рабочих совещаниях и рабочих группах компании по системам автоматизации 1С и связанных с ними бизнес-процессов.  Приветствуется:  Сертификаты специалиста по платформе, ЕRP, УТ.  Требования:  Эффективно и быстро разрабатывать новые модули в системе 1С, в соответствии с рекомендованными стандартами. Уточнять и структурировать запросы пользователей. Тестировать разработанные механизмы (как свои, так и чужие). Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы программистом на проектах внедрения на платформе 1С либо специалистом поддержки в крупной компании Высшее образование Наличие сертификата по профессионалу ЕRP  Условия:  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";"  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы <highlighttext>программистом</highlighttext> на проектах внедрения на платформе 1С либо...;Знание: Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий...;" SQL; JavaScript; C++; Python; MS SQL";19;0.0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2;32;Разработчик ETL / автоматизатор;5.0;4.0;HFLabs;2019-11-20T08:16:50+0300;"Привет! Меня зовут Константин Степанов. Я развиваю продукт «Единый клиент» московской компании HFLabs. «Единый клиент» приводит клиентские данные больших и очень больших компаний в порядок. Скорее всего, ты о нас никогда не слышал, но твои персональные данные «Единый клиент» обрабатывал. Большинство крупных банков, страховых и телекомов — наши клиенты. Мы быстро растем, поэтому я ищу человека в команду внедрений «Единого клиента», которому в кайф сложные задачи и работа в лучшей команде на рынке. Примеры задач:  перелить с трансформацией 100 млн клиентских записей за сутки; автоматизировать генерацию тестовых кейсов; распарсить 100 000 XML-файлов и сложить их в таблицы в БД; настроить онлайн-поток по передаче данных; разобраться с запущенными ETL-процессами, поддерживать и оптимизировать их в отсутствие сопроводительной документации; составить мэппинг на основе анализа реальных данных в БД-источнике при отсутствующей документации.  Круто, если ты:  работал с промышленными ETL-платформами (IBM DataStage, Informatica, Talend); отлично знаешь SQL и работал с промышленными БД; не боишься встретить новую СУБД, будь она хоть noSQL, хоть newSQL; программируешь для себя, любишь автоматизировать рутину; можешь не только разработать решение, но и задокументировать его, написать инструкцию по развертыванию, руководство администратора, описать логику процесса.  Я предлагаю:  Хорошую заработную плату и пересмотр минимум раз в год. Интересные задачи и сильную команду, в которой быстро растешь. Горизонтальный рост: у вас не будет десятка начальников и подчиненных. Свободный график с возможностью периодической работы из дома. Мощную технику, 2 монитора и нормальное рабочее место. Тихий и просторный офис на м. Парк Культуры (у нас кабинеты и уют, а не опенспейс и смузи). Зерновую кофе-машину с неограниченными запасами кофе, чая, сахара и сливок. А еще фрукты, печеньки и зефирки. Любые курсы и конференции по специальности.  Если вакансия оставила неравнодушным, то в сопроводительном письме напишите, почему.";;Распарсить 100 000 XML-файлов и сложить их в таблицы в БД. Отлично знаешь SQL и работал с промышленными БД. ;Перелить с трансформацией 100 млн клиентских записей за сутки. Автоматизировать генерацию тестовых кейсов. Настроить онлайн-поток по передаче данных. ;"SQL; ETL; СУБД";24;0.0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3;9;Инженер-программист;2.0;4.0;Фирма НИТА;2019-11-20T12:39:52+0300;Обязанности:  Разработка программно-аппаратных решений в области управления воздушным движением, среди которых: Системы записи информации различного вида Системы диагностики Системы защиты информации Системы управления воздушным движением Прочие системы, решающие задачи в обл. управления воздушным движением Работа в интересной отрасли высокотехнологичной промышленности Разработка “реального” продукта, который можно “потрогать руками”  Требования:  Хорошее знание С++, STL Опыт кроссплатформенной разработки Windows/Linux Опыт многопоточного программирования Опыт сетевого программирования Опыт программирования пользовательского интерфейса с использованием Qt Хорошая математическая подготовка, навыки решения алгоритмических задач Умение работать в команде, коммуникативные навыки  Условия: - ДМС после окончания испытательного срока - скидка на абонемент в фитнес  ; - ДМС после окончания испытательного срока - скидка на абонемент в фитнес  ;Хорошее знание С++, STL. Опыт кроссплатформенной разработки Windows/Linux. Опыт многопоточного программирования. Опыт сетевого программирования. Опыт программирования пользовательского интерфейса с...;Разработка программно-аппаратных решений в области управления воздушным движением, среди которых: Системы записи информации различного вида. Системы диагностики. ;"Qt; C++; Linux; STL; Windows 7";37;0.0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
4;33;Инженер-программист PLC;3.0;3.0;КОМИТАС;2019-11-20T10:57:03+0300;"В стабильную, активно развивающуюся Компанию COMITAS - лидера на рынке стеллажных конструкций и системной интеграции в интерлогистики требуется Инженер-программист PLC Обязанности:  разработка алгоритмов/программ PLC SCADA для складского оборудования: сортеры, конвейеры; конфигурирование приводной техники; тестирование оборудования; участие в пуско-наладочных работах на объектах; подготовка документации: руководство пользователя, описание ПО  Требования:  высшее техническое образование по специальности промышленная электроника, информационные технологии; опыт работы инженером-программистом АСУ ТП от 3-х лет хорошее знание электротехники, принципов построения АСУ ТП в сфере складской логистики будет являться дополнительным преимуществом; знание контроллеров Simatic S7-300/400, 1200/1500;  опыт работы с ASI интерфейсом на оборудовании Siemens;  знание интерфейсов Profinet, Ethernet программирование на LAD,STL, на С, VB знание SQL и работа с БД (будет являться преимуществом); опыт проведения пуско-наладочных работ готовность к командировкам и работе на объектах заказчиков;  Преимущества работы в ООО КОМИТАС:  место работы: м. Водный стадион, БЦВодный, в шаговой доступности от место полностью официальный доход, оклад обсуждается с успешным кандидатом; по окончании испытательного срока ДМС график работы: 5\2 с 9.00 до 18.00ч., ";;Высшее техническое образование по специальности промышленная электроника, информационные технологии. Опыт работы инженером-<highlighttext>программистом</highlighttext> АСУ ТП от 3-х лет. ;Разработка алгоритмов/программ PLC SCADA для складского оборудования: сортеры, конвейеры. Конфигурирование приводной техники. Тестирование оборудования. Участие в пуско-наладочных работах...;" SQL; JavaScript; C++; Python; MS SQL";59;0.0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5;62;Программист C (системное ПО под Linux);2.0;3.0;Кадровое агентство Алексея Сухорукова;2019-11-20T12:07:02+0300;Новосибирская компания, более 20 лет занимающаяся разработкой программного обеспечения, эффективных алгоритмов и анализом данных ищет в свою команду гениев кодирования. Штат компании - разработчики с десятилетним опытом, сильные технические специалисты, за плечами которых более 50 успешно реализованных проектов. Для развития амбициозного проекта компании требуется Программист C++. Вам предстоит: Нужен грамотный разработчик для участия в технически сложном и интересном проекте (низкоуровневое ПО, телекоммуникации, системное программирование). Компания ждет от вас:  Опыт коммерческой разработки (C) Знание С++ приветствуется Опыт реализации низкоуровневого / системного ПО под Linux, реализации сетевых протоколов Опыт чтения, понимания и реализации технических стандартов (RFC, ITU-T, 3GPP итд.) Хороший технический английский на уровне чтения и написания проектной документации Умение следовать стандарту написания и тестирования кода и требованиям QA. Умение быстро осваивать незнакомые технологии и применять их для решения конкретных задач    Компания предлагает:  З/п 80-140.000 руб. (тоже не предел). Уровень заработной платы определяется по результатам интервью Офисе в Академгородке Гибкое начало рабочего дня Работа в дружном коллективе Возможность карьерного и профессионального ростав сфере телекоммуникационных технологий Официальное трудоустройство  Почему стоит обратиться именно к нам? ✓Прежде всего наши услуги бесплатны для кандидатов! ✓Мы более 10 лет занимаемся подбором IT-специалистов для крупнейших российских и международных компаний. А наш опыт по подбору сотрудников позволяет решать вопросы любого уровня сложности. ✓Мы умеем находить для компаний самых подходящих и по духу, и по техническим навыкам кандидатов. ✓ Мы можем предложить вам выбор вакансий и работодателей не только в Новосибирске, но и в разных странах. ✓И сможем помочь успешно трудоустроиться в той из них, которая больше всего нравится именно вам и на которую вы лучше всего подходите. ✓Нет, мы не занимаемся тем, что даем шпаргалки и решаем за кандидатов тестовые задания. Но скажем, как лучше подготовиться к прохождению собеседований и решению технических задач.   Если вас заинтересовала вакансия, отправляйте нам резюме!  ;;Опыт коммерческой разработки (C). Знание С++ приветствуется. Опыт реализации низкоуровневого / системного ПО под Linux, реализации сетевых протоколов. Опыт чтения, понимания...;;"Linux; C; C++; Системное программирование";67;0.0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6;88;Инженер-программист микроконтроллеров;3.0;3.0;Компания ДЭП;2019-11-18T16:11:15+0300;"Обязанности: • Работать с унаследованным программным кодом (исправления, реинжиниринг) • Работать с datasheet микроконтроллеров и микросхем • Работать с электроизмерительной аппаратурой; • Работать в коллективных проектах • Особенности программирования для среды Linux (желательно) Требования: • высшее техническое образование; • опыт работы в области разработки и сопровождения ПО не менее трех лет; • опыт работы с языками С, ассемблер Условия: • Оформление по ТК  "; • Оформление по ТК  ;Особенности программирования для среды Linux (желательно). Высшее техническое образование. Опыт работы в области разработки и сопровождения ПО не менее трех...;Работать с унаследованным программным кодом (исправления, реинжиниринг). Работать с datasheet микроконтроллеров и микросхем. Работать с электроизмерительной аппаратурой.;"Linux; C++; Assembler; C/C++; Pascal";70;0.07407407407407407;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
7;37;Программист;2.0;3.0;Филиал СКБ Энергия АО Завод Энергия;2019-11-18T08:57:30+0300;"Обязанности:   разработка программного обеспечения;   доработка, тестирование, отладка существующего программного обеспечения;   разработка программной документации;   настройка программного обеспечения;   исправление неисправностей, проведение стыковых мероприятий с ПО сторонних организаций, в т.ч. в командировках   Требования:   опыт работы в ОС Linux, в т.ч. использование командной строки   разработка программ для Linux на C/C++ (использование make, gcc, gdb, использование средств ssh, sftp)   использование графических средств разработки (IDE)   готовность к редким командировкам   образование высшее очное (желательно специалист либо магистр)     Желательно:   опыт разработки с использованием Qt (4.6 или выше)   опыт установки, настройки ЭВМ под управлением ОС Linux (настройка и проверка сети, текущего оборудования)   опыт использования баз данных   Условия:   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада, который обсуждается на собеседовании и ежемесячных, квартальных и годовых премий, доплат;  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";"   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада, который обсуждается на собеседовании и ежемесячных, квартальных и годовых премий, доплат;  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";Опыт работы в ОС Linux, в т.ч. использование командной строки. Разработка программ для Linux на C/C++ (использование make...;Разработка программного обеспечения. Доработка, тестирование, отладка существующего программного обеспечения. Разработка программной документации. Настройка программного обеспечения. Исправление неисправностей, проведение стыковых мероприятий...;" SQL; JavaScript; C++; Python; MS SQL";73;0.07407407407407407;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8;7;Инженер-программист;2.0;3.0;OOO PSI;2019-11-20T07:56:27+0300;"Компания PSI Metals Россия (входит в конценрн PSI Software AG, Германия), ведущий международный поставщик программного обеспечения для металлургической отрасли, приглашает специалистов на должность инженера-программиста. Компания существует на рынке уже 50 лет и является поставщиком решений для ведущих мировых и российских производителей стали и алюминия. Разработанная комплексная система управления производством металлургического предприятия включает в себя следующие продукты: планирование производства, учет производства и качества, склады и логистика, учет энергоресурсов, автоматизация и интеграция. Все продукты компании непрерывно развиваются и модернизируются с использованием актуальных технологий разработки ПО. Работа в международной динамичной компании - отличное продолжение карьеры как для опытного инженера, так и для начинающих специалистов, желающих максимально раскрыть свой потенциал. Инженер-программист будет участвовать во всем жизненном цикле проектов и будет отвечать за:  Разработку проектов и внедрение систем управления производством на базе программных продуктов компании (адаптация системы под конкретный проект, пусконаладочные работы, сдача в эксплуатацию, техническое обслуживание и сопровождение); Разработку прикладного математического и программного обеспечения; Разработку эксплуатационной документации; Конфигурацию готового программного продукта; Техническую поддержку пользователей; Подготовку и обучение пользователей.    Ключевые навыки:  Высшее образование в области информатики или математики; Опыт разработки сложных моделей данных и алгоритмов; Навыки работы с базами данных (Oracle) и высокоуровневыми языками программирования (Java); Знание английского языка для общения с коллегами по всему миру устно и письменно; Не обязательны, но являются преимуществом опыт в автоматизации бизнес-процессов металлургических предприятий.    Мы предлагаем следующие условия труда:  Работа в офисе в центре Екатеринбурга с периодическими командировками; Полный рабочий день (график гибкий, ненормированный); Зарплата по результатам собеседования; Медицинская страховка; Соблюдение ТК РФ; Дружный коллектив опытных высококвалифицированных специалистов; Перспективы карьерного роста.    Присоединяйтесь к нашей команде!";;Высшее образование в области информатики или математики. Опыт разработки сложных моделей данных и алгоритмов. Навыки работы с базами данных (Oracle...;Разработку проектов и внедрение систем управления производством на базе программных продуктов компании (адаптация системы под конкретный проект, пусконаладочные работы, сдача...;"ORACLE; SQL; Java; Oracle Pl/SQL";74;0.0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
9;19;Middle Developer / Программист (Unity);2.0;2.0;Matryoshka Games;2019-11-20T11:31:46+0300;"Matryoshka Games - разработчик мобильных кэжуал игр с офисами в Новосибирске и Санкт-Петербурге. Мы создаём качественные игры с простыми и увлекательными механиками. Наш флагманский проект - Cooking Craze (в русском сторе Безумный Кулинар) был выпущен в 2017 году в партнёрстве с американским издателем Big Fish. К настоящему моменту Cooking Craze стал международным хитом с ежедневной аудиторией более миллиона игроков. Помимо поддержки Cooking Craze (ежемесячно мы запускаем новые ивенты, добавляем новые уровни и открываем новые города), наша команда занимается разработкой ещё нескольких новых проектов. Мы приглашаем к сотрудничеству талантливых программистов для работы над проектами компании. Результаты вашего труда увидят миллионы игроков по всему миру! Пожалуйста, вместе с резюме присылайте примеры вашего кода. Задачи:  Разработка механик игры (игра на Unity); Взаимодействие с нативными 3rd-party библиотеками и врапперами.  Мы ожидаем от кандидата:  Коммерческий опыт разработки игр; Знание структур данных и алгоритмов обработки данных; Знание, как происходит работа с памятью на низком уровне; Понимание, как устроены игровые движки; Опыт разработки и оптимизации мобильных игр под iOS и Android; Технический английский.  Мы предлагаем:  Официальное оформление: полностью белая зарплата, отпуск, больничные; Удобный офис в историческом центре города (две минуты от станции метро Невский проспект); С первого дня работы оформляем максимально полный пакет ДМС, включая стоматологию; Компенсация затрат на любые занятия спортом; Компенсация затрат на занятия английским языком; Профессиональный коллектив; Комфортные рабочие условия, гибкий график, на кухне всегда найдется, что перекусить; Помощь в переезде для иногородних кандидатов. ";"  Официальное оформление: полностью белая зарплата, отпуск, больничные; Удобный офис в историческом центре города (две минуты от станции метро Невский проспект); С первого дня работы оформляем максимально полный пакет ДМС, включая стоматологию; Компенсация затрат на любые занятия спортом; Компенсация затрат на занятия английским языком; Профессиональный коллектив; Комфортные рабочие условия, гибкий график, на кухне всегда найдется, что перекусить; Помощь в переезде для иногородних кандидатов. ";Коммерческий опыт разработки игр. Знание структур данных и алгоритмов обработки данных. Знание, как происходит работа с памятью на низком уровне. ;Разработка механик игры (игра на Unity). Взаимодействие с нативными 3rd-party библиотеками и врапперами.;"GameDev; Game Programming; Unity";114;0.0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
