;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;44;33994354;Программист 1С;Москва;160000.0;260000.0;Alcon Group;2019-10-18T09:29:12+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности:  Внедрение и поддержка систем бухгалтерского и налогового учета, управленческого учета, зарплаты и управление персоналом (УСО 2.4, ЗУП 8.3). Осуществление программного сопровождения и доработки существующего функционала баз данных в конфигурациях на базе 1С: 1С ERP УСО 2.4, УКФ 8.2, ЗУП 8.3, в соответствии с потребностями компании. Подготовка технических заданий для специалистов компаний-разработчиков программных продуктов в соответствии с потребностями компании. Настройка планов обслуживания БД, резервного копирования. Консультация пользователей по вопросам 1С. Осуществление взаимодействия с бухгалтерией, отделом корпоративного финансирования, департаментом основного строительства, отделом персонала по вопросам работы с программой 1С.  Требования:  Высшее профессиональное образование. Опыт работы от 5 лет. 1С: Специалист Платформа 8, УКФ 8.2, 1С ERP УСО 2.4 1С: Зарплата и управление персоналом 8.3  Условия:  Оформление в полном соответствии с трудовым законодательством. Белая заработная плата. Полный рабочий день. Офис в 5 минутах от ст. м.Сокол. ;  Оформление в полном соответствии с трудовым законодательством. Белая заработная плата. Полный рабочий день. Офис в 5 минутах от ст. м.Сокол. ;Высшее профессиональное образование. Опыт работы от 5 лет. 1С: Специалист Платформа 8, УКФ 8.2, 1С ERP УСО...;Подготовка технических заданий для специалистов компаний-<highlighttext>разработчиков</highlighttext> программных продуктов в соответствии с потребностями компании. Настройка планов обслуживания БД, резервного копирования. ;" 1С: Предприятие 8; 1С программирование;1С программирование; 1С: Зарплата и управление персоналом; 1С: Бухгалтерия";1.0
1;51;33878225;Программист 1C;Москва;150000.0;200000.0;Акушерство.ru, Компания;2019-10-17T12:24:28+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Основные задачи:• Внедрение новых, поддержание и развитие текущих информационных систем компании (КИС УПП, 1С: БП, ЗУП, СКУД, WMS, мобильная 1С);• Разработка конфигурации, совместная разработка с использованием хранилища конфигурации 1С;• Интеграция 1С со сторонними системами;• Тестирование собственного кода;• Техническая поддержка пользователей: 5-10 %;• ESB, XSD, WSDL, JS, XDTO и прочее;• Выполнение поставленных задач в сроки;• Работа в команде, работа на результат. Какие знания вам потребуются:• Образование - высшее;• Опыт работы разработчиком 1C от года;• Умение разбираться в чужом коде;• Умение работать в команде, групповая разработка;• Понимание ТЗ, предложение лучших альтернатив решений задачи;• Готовность развиваться, осваивать новые технологии. Мы предлагаем:• Высокий уровень зарплаты, а также бонусную систему за результат;• Интересные и амбициозные задачи;• Молодой и дружный коллектив профессионалов;• Посещение профильных мероприятий, обучение;• Оформление по ТК РФ;• График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно);• Офис: м. Рязанский пр-т или ж/д. ст. Плющево, Вешняки (10 мин пешком).";"• Высокий уровень зарплаты, а также бонусную систему за результат;• Интересные и амбициозные задачи;• Молодой и дружный коллектив профессионалов;• Посещение профильных мероприятий, обучение;• Оформление по ТК РФ;• График работы: 5/2, с 9 до 18 или с 10 до 19 (обсуждаем как удобно);• Офис: м. Рязанский пр-т или ж/д. ст. Плющево, Вешняки (10 мин пешком).";Какие знания вам потребуются: Образование - высшее. Опыт работы <highlighttext>разработчиком</highlighttext> 1C от года. Умение разбираться в чужом коде. ;Внедрение новых, поддержание и развитие текущих информационных систем компании (КИС УПП, 1С: БП, ЗУП, СКУД, WMS, мобильная 1С). ;" 1С: Предприятие 8; 1С программирование;1С программирование; 1С: Зарплата и управление персоналом; 1С: Бухгалтерия";1.0
2;2;33927599;Программист 1С;Москва;120000.0;170000.0;Металл Трейд;2019-10-18T19:37:19+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Мы - Металл Трейд. Работая в сфере торговли металлом с 2009 года, мы ни раз доказали, что название компании, наша миссия и ценности наших первоклассных специалистов органично сливаются в единый механизм. Мы продаем нержавеющую сталь уже 10 лет и знаем о ней всё! В связи с расширением бизнеса мы ищем сильного 1-С программиста, способного оказать необходимую поддержку нашей команде! В нашем понимании успешный кандидат:   Знает работу 1-С (бухгалтерия, управление торговлей);   Готов находить оригинальные решения рабочих задач   Имеет опыт работы с программой 1С Бухгалтерия, Торговля и склад   Какие у Вас будут задачи:   Обеспечение бесперебойной работы 1-С   Написание алгоритмов для 1-С, необходимых для эффективной работы;   Работа с обновлением 1С   Откат изменений программе, исправление ошибок и т.п.   За нами не заржавеет:   Мы предлагаем достойную заработную плату;   Удобный график работы: начало рабочего дня с 9-00 либо 10-00   Официальное трудоустройство.   Комфортный офис, чай, кофе за счет компании   Сотрудничая с нами Вы также приобретаете:   Корпоративную мобильную связь;   Дружный и сплочённый коллектив, возглавляемый успешными и уверенными лидерами;   Уровень конечной заработной платы обсуждается с успешным кандидатом!    Возможна удаленная работа из дома с посещением офиса по требованию руководителя.  ";;Знает работу 1-С (бухгалтерия, управление торговлей). Готов находить оригинальные решения рабочих задач. Имеет опыт работы с программой 1С...;Обеспечение бесперебойной работы 1-С. Написание алгоритмов для 1-С, необходимых для эффективной работы. Работа с обновлением 1С. ;"C/C++; Творческое мышление; MS PowerPoint; C++; 1С: Бухгалтерия; 1С: Бухгалтерия и склад; 1С: Предприятие 8; 1С: Торговля и склад";0.0
3;47;33795207;Программист 1C 8.3;Москва;70000.0;160000.0;Алмаз-Антей управленческое консультирование;2019-10-17T16:42:34+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Разработка собственного продукта на базе 1С: Бухгалтерия предприятия и 1С: ЗУП; Разработка собственного продукта на базе 1С: ERP; Внедрение разработанных продуктов (перенос начальных остатков, разработка отчетов, доп. функциональности и т.д.); Сопровождение разработанных продуктов (обновление конфигураций до актуального релиза 1С, помощь в поиске и устранении ошибок);  Требования:  Знание языка программирования 1С: Предприятие 8.3; Знание механизмов схемы компоновки данных; Умение работать со сложными запросами; Опыт работы программистом 1С не менее 1 года; Желательно знание основ бухгалтерского учета; Приветствуется наличие сертификатов 1С;  Условия:  Полный рабочий день, оформление по ТК, соц. пакет; Зарплата от 70 000 р. до 160 000 р. в зависимости от квалификации (определяется по результатам собеседования); Возможны командировки в другие города; На территории работодателя ";"  Полный рабочий день, оформление по ТК, соц. пакет; Зарплата от 70 000 р. до 160 000 р. в зависимости от квалификации (определяется по результатам собеседования); Возможны командировки в другие города; На территории работодателя ";Знание механизмов схемы компоновки данных. Умение работать со сложными запросами. Опыт работы <highlighttext>программистом</highlighttext> 1С не менее 1 года. ;Разработка собственного продукта на базе 1С: Бухгалтерия предприятия и 1С: ЗУП. Разработка собственного продукта на базе 1С...;" 1С: Предприятие 8; 1С программирование;1С программирование; 1С: Зарплата и управление персоналом; 1С: Бухгалтерия";1.0
4;68;33738395;Ведущий программист 1C;Москва;160000.0;160000.0;ТД ТИНКО;2019-10-18T10:40:21+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности: 1. Участие в проектах: интеграция 1С с сайтом; с базами на SQL; электронный документооборот; взаимодействие со сторонними программами по API; 2. Разработка новой функциональности; 3. Анализ существующего кода, выявление, устранение ошибок; 4. Оптимизация производительности; 5. Консультация пользователей и формализация их требований.Требования:1. Опыт работы с 1С v 8 и программирования от 2 лет; 2. Знание двух и более типовых конфигураций 1С 8.2 или 8.3: УТ, БП, ЗУП; 3. Знание языка запросов, СКД, конвертации данных; 4. Навыки администрирования серверов предприятия и SQL будет плюсом; 5. Ответственность, умение работать в команде; 7. Желательно наличие сертификатов 1С и знание основ бухгалтерского и управленческого учета; 8. Английский язык технический; 9. Образование высшее- специалитет, магистратура (техническое). Условия:График работы с 9.00 до 18.00, пятидневная рабочая неделя (суббота, воскресенье - выходные дни), трудоустройство по ТК, наличие социального пакета, оплата больничных. Программы развития, корпоративные мероприятия. Карьерный и профессиональный рост. Обучение и сертификация.";График работы с 9.00 до 18.00, пятидневная рабочая неделя (суббота, воскресенье - выходные дни), трудоустройство по ТК, наличие социального пакета, оплата больничных. Программы развития, корпоративные мероприятия. Карьерный и профессиональный рост. Обучение и сертификация.;1. Опыт работы с 1С v 8 и программирования от 2 лет. 2. Знание двух и более типовых конфигураций...;"1. Участие в проектах: интеграция 1С с сайтом; с базами на SQL; электронный документооборот; взаимодействие со сторонними программами по...";"1С: Бухгалтерия; 1С: Предприятие 8; SQL; 1С программирование; Английский язык";0.0
5;96;33370427;Программист 1 С (Ведущий программист 1 С);Санкт-Петербург;60000.0;150000.0;ВендингПро;2019-10-15T16:52:34+0300;От 1 года до 3 лет;Полный день;Полная занятость;"В нашей Компании:  Демократичная атмосфера без дресс-кода; Лояльный непосредственный руководитель со здоровым чувством юмора; Интересные проекты и возможность обучения за счет Компании; Реалистичные сроки выполнения задач; График работы 5/2; Официальное трудоустройство по ТК РФ; Стабильная выплата заработной платы; Корпоративные социальные гарантии и выплаты; Возможность пить много вкусного зернового кофе.  Время работы и уровень дохода обсуждается по итогам собеседования с успешным кандидатом. Зоны ответственности:  Разработки по ТЗ и сопровождение самописной конфигурации (разработка нового функционала на управляемых формах, доработка модулей, отчетов, разработка новых печатных форм и обработок, разработка принципиально нового функционала); Настройка и поддержка программных продуктов семейства 1С (1С: Торговля, 1С: Бухгалтерия, 1С: ЗУП, CRM, 1С: Мобильное приложение (для работы «полевых» сотрудников); Настройка прав пользователей, интерфейсов, консультационная поддержка внутренних пользователей; Настройка электронных устройств (КПК, планшеты и пр.) для дистанционной работы сотрудников.  Цели и ожидаемый результат работы:  Детально разбираться бизнес-процессах Компании; Уметь читать и редактировать чужие программные коды; Грамотно оценивать и проектировать выполнение ТЗ от внутренних клиентов; Выполнять взятые на себя обязательства в срок; Связывать внешние ресурсы и 1С.  Мы ждем от кандидата:  Уверенного знания платформы 8.3; Знакомства с конфигурацией УТ 10.2, а также понимания её недостатков; Знания механизма построения отчетов с использованием СКД; Уверенного навыка оптимизации запросов и чтения чужих кодов; Опыта разработки управляемых форм от 1 года; Опыта разработки под толстый и тонкий клиент; Опыта разработки через хранилище конфигураций; Деловых качеств: системность мышления, высокая скорость работы и многозадачность, нацеленность на результат, внимательность, творческий подход к решению задач, любовь к своей профессии и постоянное самосовершенствование, адаптивность.  Вашим преимуществом может стать:  Опыт оценки трудоемкости задач по программированию (чел/час) и ведению проектов; Опыт построения прямых запросов к MS SQL; Второе высшее образование или профессиональная переподготовка по специальности Экономика, Бухгалтерский учет и аудит; Опыт глубокого погружения в бизнес-процессы компании и построения схем бизнес-процессов (частичное выполнение функций бизнес-аналитика); Опыт внедрения CRM-систем и телеметрии; Опыт решения интеграционных задач через http-сервисы, web-сервисы; Опыт WEB-разработок HTML+CSS+JavaScript (Vue.Js). ";;Детально разбираться бизнес-процессах Компании. Уметь читать и редактировать чужие программные коды. Грамотно оценивать и проектировать выполнение ТЗ от внутренних...;Разработки по ТЗ и сопровождение самописной конфигурации (разработка нового функционала на управляемых формах, доработка модулей, отчетов, разработка новых печатных форм...;"JavaScript; 1С: Управление Торговлей; CSS; 1С: Бухгалтерия; HTML; CRM; MS SQL; Обновление конфигурации 1С; 1С программирование; Системное мышление; Многозадачность; http-сервисы; web-сервисы; Телеметрия; СКД; Программные продукты семейства 1С";3.0
6;42;34163217;Программист 1С;Москва;100000.0;150000.0;ЛИНДЕКС;2019-10-18T14:13:18+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Доработка типовых конфигураций 1С под задачи компании. Обновление типовых конфигураций 1С. Настройка и разграничение прав пользователей. Поддержка и обучение пользователей Знание функционала и задач конфигураций: Управление торговлей 11, Бухгалтерия предприятия.  Требования:  Опыт работы Желателен опыт работы в компании – интеграторе. Желательно наличие сертификатов: 1С:Профессионал и 1С:Специалист по программному продукту 1С:Управление торговлей ред. 11  Условия:  Пятидневная рабочая неделя, рабочий день с 09:30 — 18:30. Оформление по ТК, оплачиваемый отпуск - 28 календарных дней, больничный лист. Зарплата выплачивается 2 раза в месяц без задержек. Возможность профессионального и карьерного роста Оплата обучения за счет компании Система премирования; ";"  Пятидневная рабочая неделя, рабочий день с 09:30 — 18:30. Оформление по ТК, оплачиваемый отпуск - 28 календарных дней, больничный лист. Зарплата выплачивается 2 раза в месяц без задержек. Возможность профессионального и карьерного роста Оплата обучения за счет компании Система премирования; ";"Опыт работы. Желателен опыт работы в компании – интеграторе. Желательно наличие сертификатов: &quot;1С:Профессионал&quot; и &quot;1С:Специалист&quot; по программному...";Доработка типовых конфигураций 1С под задачи компании. Обновление типовых конфигураций 1С. Настройка и разграничение прав пользователей. ;" 1С: Предприятие 8; 1С программирование;1С программирование; 1С: Зарплата и управление персоналом; 1С: Бухгалтерия";0.0
7;69;33913279;Программист 1С;Москва;120000.0;150000.0;Компания Аскорт аудит-эскорт;2019-10-18T21:25:51+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности: -Программирование на 1С:Предприятие 8.-Доработка типовых конфигураций в «1С:Предприятие 8» в соответствии с разработанными техническими заданиями, в том числе крупными.-Разработка новых конфигураций («с нуля» или на базе типовых конфигураций).-Оценка разработанных технических заданий (в части программирования). Требования: -Знание платформы «1С» версии 8.-Желательно наличие сертификата «1С:Специалист» по платформе 1С:Предприятие 8.-Знания типовых конфигураций 1С.-Опыт выполнения технических заданий. -Опыт работы с обменами в формате xml, web-сервисы - обязательное условие.-Внимательность к деталям, ответственность, порядочность. Условия: -Полный рабочий день с 10:00 до 18:00 Пн-Пт-Оклад (официальная заработная плата) + ДМС.-Обучение за счёт фирмы, испытательный срок 2 месяца.-Рабочее место в офисе, без выезда к клиентам, м. Кантемировская.   Наша организация является официальным партнером компании «1С» и имеет статус 1С:Франчайзи, что предполагает регулярное участие в масштабных проектах в области автоматизации. При этом наша компания имеет устойчивые хозяйственные связи с рядом крупных организаций, в которых осуществляются подобные проекты, что позволяет заранее планировать участие в проектах и заблаговременно составлять графики проведения работ. Договоры на сопровождение программ 1С в основном носят долгосрочный характер и составлены таким образом, чтобы равномерно распределить нагрузку на специалистов компании. В связи с этим все работы осуществляются в плановом режиме, вероятность авралов и перегрузок сведена к минимуму, что выгодно отличает нашу компанию от других аналогичных компаний, являющихся франчайзинговыми партнерами компании 1С.; -Полный рабочий день с 10:00 до 18:00 Пн-Пт-Оклад (официальная заработная плата) + ДМС.-Обучение за счёт фирмы, испытательный срок 2 месяца.-Рабочее место в офисе, без выезда к клиентам, м. Кантемировская.   Наша организация является официальным партнером компании «1С» и имеет статус 1С:Франчайзи, что предполагает регулярное участие в масштабных проектах в области автоматизации. При этом наша компания имеет устойчивые хозяйственные связи с рядом крупных организаций, в которых осуществляются подобные проекты, что позволяет заранее планировать участие в проектах и заблаговременно составлять графики проведения работ. Договоры на сопровождение программ 1С в основном носят долгосрочный характер и составлены таким образом, чтобы равномерно распределить нагрузку на специалистов компании. В связи с этим все работы осуществляются в плановом режиме, вероятность авралов и перегрузок сведена к минимуму, что выгодно отличает нашу компанию от других аналогичных компаний, являющихся франчайзинговыми партнерами компании 1С.;"Знание платформы «1С» версии 8. -Желательно наличие сертификата «1С:Специалист» по платформе &quot;1С:Предприятие 8&quot;. -";"Программирование на &quot;1С:Предприятие 8&quot;. -Доработка типовых конфигураций в «1С:Предприятие 8» в соответствии с разработанными техническими заданиями...";"1с; 1С программирование; 1С: Зарплата и управление персоналом; 1С: Управление Производственным Предприятием; 1С: Предприятие 8; 1С: Бухгалтерия; Бухгалтерский учет; 1C: Бухгалтерия; 1С: Комплексная автоматизация";0.0
8;99;34016645;Ведущий программист 1C;Санкт-Петербург;120000.0;150000.0;Невская Палитра;2019-10-16T09:55:24+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Разработка новых модулей на платформе 1С : УТ 10.3, Бухгалтерия 3.0 Разработка/доработка функционала и поддержка конфигураций 1С под бизнес-процессы компании. Выполнение задач по интеграции с другими информационными системами компании. Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении программист 1С) Участие в проектной деятельности , в части автоматизации бизнес-процессов компании  Требования:  Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование Опыт разработки на платформе 1С (УПП, УТ: 10.3, 1С Зарплата и управление персоналом 2.5./3.0) Понимание основ бухгалтерского и операционного учета компании Приветствуется опыт работы с обменами в форматах:COM– соединение,XML ,JSON. Знание ERP  Условия:  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Служебные командировки; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";"  Полностью белая заработная плата, достойный уровень оплаты труда (обсуждается индивидуально в зависимости от опыта и квалификации: оклад + премия); Официальное трудоустройство; График работы понедельник -четверг с 9 час.00 мин. до 18 час.15 мин., пятница - 9 час.00 мин. до 16 час.00 мин.; Служебные командировки; Удобное месторасположение: в пешей доступности от м. Черная речка; Дружный коллектив. ";Успешный опыт работы в аналогичной должности от 2-х лет. Высшее техническое образование. Опыт разработки на платформе 1С (УПП...;Разработка/доработка отчетов обработок, составление инструкций к своим работам. Управление персоналом ( в подчинении <highlighttext>программист</highlighttext> 1С). Участие в проектной деятельности...;"1С: Управление Производственным Предприятием; 1С: Бухгалтерия; 1С: Управление Торговлей; 1С программирование; 1С: Зарплата и управление персоналом";2.0
9;28;34057268;Руководитель группы разработчиков 1С;Новосибирск;120000.0;150000.0;Кадры-54;2019-10-17T06:25:24+0300;Более 6 лет;Полный день;Полная занятость;Требуется Руководитель группы разработчиков (1С) На постоянную работу у крупного Новосибирского производителя. Цель проекта - оптимизировать текущую ИТ структуру, с учетом потребностей предприятий Этапы проекта (рабочая версия, детали обсуждают):  Аудит текущей ИТ структуры, аудит ИТ бизнес-процессов. Выработка предложения по оптимальной и приемлемой структуре Оценка ресурсов (сроки, бюджет, персонал) Формирование ТЗ и требований Внедрение решение (управление командой разработчиков, организация переноса данных, тестирования, обучение пользователей и пр)  Требования:  Опыт работы Руководителем группы разработчиков, Ведущим программистом , Тим-лидом Опыт самостоятельного ведения проектов, успешных внедрений продуктов на базе платформы 1С Опыт разработки решений на платформе 1С 8.2/8.3 Знание конфигураций 1С:УПП, 1С:ERP (желательно) Знание прикладных областей (производство, торговая деятельность, складской учет, логистика) Навыки оценки задач на автоматизацию на предмет влияния на существующие бизнес-процессы  Условия:  Позиция топ-менеджера в компании Высокая заработная плата (есть премии и бонусы) Профессиональная команда ИТ отдела и менеджеров Интересные масштабные проекты Работа на стабильного крупного производителя График работы 5/2 с 8.00 до 17.00, соц. пакет полный Уютная рабочая атмосфера (кафе, дружные кооперативы и пр) ;  Позиция топ-менеджера в компании Высокая заработная плата (есть премии и бонусы) Профессиональная команда ИТ отдела и менеджеров Интересные масштабные проекты Работа на стабильного крупного производителя График работы 5/2 с 8.00 до 17.00, соц. пакет полный Уютная рабочая атмосфера (кафе, дружные кооперативы и пр) ;Опыт работы Руководителем группы <highlighttext>разработчиков</highlighttext>, Ведущим <highlighttext>программистом</highlighttext> , Тим-лидом. Опыт самостоятельного ведения проектов, успешных внедрений продуктов на базе платформы 1...;Оценка ресурсов (сроки, бюджет, персонал). Формирование ТЗ и требований. Внедрение решение (управление командой <highlighttext>разработчиков</highlighttext>, организация переноса данных, тестирования, обучение пользователей...;"Управление проектами; 1С: Управление Производственным Предприятием; 1С: Предприятие 8; 1С: Производство; 1С: Зарплата и управление персоналом; ERP-системы на базе 1С; руководство командой разработчиков; 1С программирование; Ведение переговоров; 1С: Управление предприятием; Оптимизация бизнес-процессов";2.0
