;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;72;32965833;SQL-разработчик;Самара;40000.0;120000.0;БАСС;2019-10-18T07:51:38+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Сотрудники, работающие в компании, имеют 20-летний опыт разработки и внедрения информационных систем для здравоохранения, включая развитие всей сопутствующей технической инфраструктуры, сопровождение, модернизацию и распространение программ, обучение и консалтинг пользователей. В связи с расширением компания ведет набор трудолюбивых, талантливых, желающих достигать командных целей разработчиков. Обязанности:  программирование и проектирование БД  Требования:  проектирование БД, хорошее знание SQL; знание plsql, plpgsql; опыт разработки под СУБД Oracle или PostgreSQL не менее 1 года.  Приветствуются навыки:  администрирование Oracle или PostgreSQL; опыт разработки технической документации.  Условия:  Заработная плата - от 40 000 рублей до 120 000 рублей.  График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно ТК РФ. Оформление полиса ДМС (добровольное медицинское страхование) за счёт работодателя. Честная система премирования. Возможности самореализации. Сложные задачи в инновационных секторах IT-рынка. Индивидуальный подход в организации труда полезных сотрудников. Перспектива профессионального и карьерного роста. Обучение в компании и учебных центрах, участие в выставках и конференциях. Комфортный офис в тихом районе города. Дружный демократичный коллектив увлеченных профессионалов!   ";  Заработная плата - от 40 000 рублей до 120 000 рублей.  График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно ТК РФ. Оформление полиса ДМС (добровольное медицинское страхование) за счёт работодателя. Честная система премирования. Возможности самореализации. Сложные задачи в инновационных секторах IT-рынка. Индивидуальный подход в организации труда полезных сотрудников. Перспектива профессионального и карьерного роста. Обучение в компании и учебных центрах, участие в выставках и конференциях. Комфортный офис в тихом районе города. Дружный демократичный коллектив увлеченных профессионалов!   ;Проектирование БД, хорошее знание SQL. Знание plsql, plpgsql. Опыт разработки под СУБД Oracle или PostgreSQL не менее 1 года. ;Программирование и проектирование БД.;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";1.0
1;30;27055293;Разработчик баз данных;Тюмень;70000.0;120000.0;Сервис заказа такси Максим;2019-10-18T14:30:22+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки. Кого мы хотим найти: - человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть опыт с другими СУБД, если вы готовы учиться :) ); - желателен опыт работы с веб-технологиями; - желателен опыт командной разработки; - обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться и делать реально полезные вещи. Что мы предлагаем: - множество интересных задач; - дружелюбный коллектив; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть...;;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";0.0
2;12;33838185;Программист-разработчик (SQL);Москва;80000.0;120000.0;Business Solutions Consulting;2019-10-18T15:24:34+0300;От 1 года до 3 лет;Полный день;Полная занятость;Задачи:  Разработка бизнес приложений Построение отчетов. Первичное тестирование и документирование продукта  Необходимо:  Образование высшее Уверенное знание T-SQL, С/С++ Опыт разработки под MS SQL server, написания хранимых процедур Технический английский язык Знание Visual Basic, Delphi желательно  Опыт работы:  Разработчик ПО (постановщик задач) – от 2-х лет Желательно разработка финансовых или кадровых приложений    Дополнительная информация:  Желательно знание бухгалтерского учета ;;Технический английский язык. Знание Visual Basic, Delphi желательно. Опыт работы: <highlighttext>Разработчик</highlighttext> ПО (постановщик задач) – от 2-х лет. ;Разработка бизнес приложений. Построение отчетов. Первичное тестирование и документирование продукта. Необходимо: Желательно разработка финансовых или кадровых приложений. Дополнительная информация:;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";0.0
3;10;33857084;Инженер-программист Oracle (разработка);Самара;50000.0;100000.0;Старт-МС;2019-10-16T13:33:47+0300;Нет опыта;Полный день;Полная занятость;ООО Старт-МС - российская развивающаяся IT-компания. Наш основной программный продукт - информационная система Старт КС, предназначенная для автоматизации расчетов за жилищно-коммунальные услуги. В настоящий момент компания реализует несколько перспективных проектов по внедрению и разработке своего программного продукта и объявляет об открытии вакансии инженера-программиста Oracle. Обязанности:  Разработка и поддержка программных продуктов в составе проектных команд. Оптимизация кода. Участие в проектировании архитектуры системы. Возможно участие в проектах внедрения на стороне заказчика и командировки.  Требования:  Знание реляционной базы данных Oracle. Профессиональное знание PL/SQL. Опыт оптимизации процедур и запросов под БД Oracle (Oracle 11g или 12c, SE или EE). Желательно знание FastReport. Желательно опыт работы с БД PostgreSQL (SQL, PL/pgSQL). Желательно знание других реляционных баз данных (MS SQL, MySQL, IBM DB2). Желание и способность изучать новые технологии.  Условия:  Оклад по итогам собеседования, премии (белая з/п, на карту Сбербанка), оплата достойная. Социальный пакет согласно ТК РФ (больничный лист, отпуск, начисления). Реальный профессиональный и карьерный рост. Современный и просторный офис (ул. Владимирская). Удобные рабочие места, не open-space. Дружный коллектив, доброжелательное отношение к новым сотрудникам. Возможность изменения режима работы. Ланч-зона с кулером, холодильниками, микроволновками. Удобная большая парковка. ;  Оклад по итогам собеседования, премии (белая з/п, на карту Сбербанка), оплата достойная. Социальный пакет согласно ТК РФ (больничный лист, отпуск, начисления). Реальный профессиональный и карьерный рост. Современный и просторный офис (ул. Владимирская). Удобные рабочие места, не open-space. Дружный коллектив, доброжелательное отношение к новым сотрудникам. Возможность изменения режима работы. Ланч-зона с кулером, холодильниками, микроволновками. Удобная большая парковка. ;Знание реляционной базы данных Oracle. Профессиональное знание PL/SQL. Опыт оптимизации процедур и запросов под БД Oracle (Oracle 11g...;Разработка и поддержка программных продуктов в составе проектных команд. Оптимизация кода. Участие в проектировании архитектуры системы. Возможно участие в проектах...;"Oracle Pl/SQL; ORACLE; База данных: Oracle; Разработка ПО";2.0
4;23;33857102;Инженер-программист PostgreSQL (разработка);Самара;50000.0;100000.0;Старт-МС;2019-10-16T13:34:17+0300;Нет опыта;Полный день;Полная занятость;ООО Старт-МС - российская развивающаяся IT-компания. Наш основной программный продукт - информационная система Старт КС, предназначенная для автоматизации расчетов за жилищно-коммунальные услуги. В настоящий момент компания реализует несколько перспективных проектов по внедрению и разработке своего программного продукта и объявляет об открытии вакансии инженера-программиста PostgreSQL Обязанности:  Разработка и поддержка программных продуктов в составе проектных команд, Оптимизация кода. Участие в проектировании архитектуры системы. Возможно участие в проектах внедрения на стороне заказчика и командировки.  Требования:  Знание реляционной базы данных PostgreSQL. Профессиональное знание PL/pgSQL. Опыт оптимизации процедур и запросов под БД PostgreSQL 11. Желательно знание FastReport. Желательно опыт миграции с БД Oracle. Желательно знание PL/SQL. Желание и способность изучать новые технологии.  Условия:  Оклад по итогам собеседования, премии (белая з/п, на карту Сбербанка), оплата достойная. Социальный пакет согласно ТК РФ (больничный лист, отпуск, начисления). Реальный профессиональный и карьерный рост. Современный и просторный офис (ул. Владимирская). Удобные рабочие места, не open-space. Дружный коллектив, доброжелательное отношение к новым сотрудникам. Возможность изменения режима работы. Ланч-зона с кулером, холодильниками, микроволновками. Удобная большая парковка. ;  Оклад по итогам собеседования, премии (белая з/п, на карту Сбербанка), оплата достойная. Социальный пакет согласно ТК РФ (больничный лист, отпуск, начисления). Реальный профессиональный и карьерный рост. Современный и просторный офис (ул. Владимирская). Удобные рабочие места, не open-space. Дружный коллектив, доброжелательное отношение к новым сотрудникам. Возможность изменения режима работы. Ланч-зона с кулером, холодильниками, микроволновками. Удобная большая парковка. ;Знание реляционной базы данных PostgreSQL. Профессиональное знание PL/pgSQL. Опыт оптимизации процедур и запросов под БД PostgreSQL 11. ;Разработка и поддержка программных продуктов в составе проектных команд. Оптимизация кода. Участие в проектировании архитектуры системы. Возможно участие в проектах...;"PostgreSQL; Разработка ПО; Работа с базами данных; pgSQL";2.0
5;54;27963618;Разработчик баз данных;Челябинск;50000.0;100000.0;Сервис заказа такси Максим;2019-10-18T14:30:22+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки. Кого мы хотим найти: - человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть опыт с другими СУБД, если вы готовы учиться :) ); - желателен опыт работы с веб-технологиями; - желателен опыт командной разработки; - обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться и делать реально полезные вещи. Что мы предлагаем: - множество интересных задач; - дружелюбный коллектив; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).";;человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть...;;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";0.0
6;76;32121647;Разработчик FoxPro;Самара;40000.0;80000.0;БАСС;2019-10-18T07:51:38+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности:  Проектирование БД, знание SQL; Опыт работы с какой-либо СУБД (MS SQL, Oracle, PostgreSQL).  Приветствуются навыки:  REST, SOAP; Проектирование БД, знание SQL.  Требования:  Опыт разработки на Visual FoxPro не менее 3 лет; Знание ООП и понимание в его применении; Опыт работы с какой-либо СУБД (MS SQL, Oracle, PostgreSQL); Желание учиться новому и добиваться поставленных целей; Ответственность и пунктуальность; Умение работать быстро и аккуратно.  Условия:  Заработная плата: оклад (назначается по результатам собеседования) + премия по итогам месяца/квартала/года, бонусы; Полный социальный пакет, оплачиваемые больничные, отпуск 28 календарных дней в год; Гарантированный рост заработной платы при условии повышения профессионального уровня; Трудоустройство в соответствии с ТК РФ (стабильная заработная плата 2 раза в месяц, полностью «белая»); Забота о здоровье: ДМС; Работа по графику 5/2; Работа на территории работодателя, удаленная поддержка разработанных блоков, выезды к заказчику для проведения обучений и сбора информации; Обучение и повышение квалификации за счет работодателя; Работа у крупнейшего системного интегратора Самарской области; Корпоративные мероприятия в дружной команде единомышленников; Активное участие в запусках крупных проектов; Приветствуется инициативность и нестандартное решение поставленных задач. ";"  Заработная плата: оклад (назначается по результатам собеседования) + премия по итогам месяца/квартала/года, бонусы; Полный социальный пакет, оплачиваемые больничные, отпуск 28 календарных дней в год; Гарантированный рост заработной платы при условии повышения профессионального уровня; Трудоустройство в соответствии с ТК РФ (стабильная заработная плата 2 раза в месяц, полностью «белая»); Забота о здоровье: ДМС; Работа по графику 5/2; Работа на территории работодателя, удаленная поддержка разработанных блоков, выезды к заказчику для проведения обучений и сбора информации; Обучение и повышение квалификации за счет работодателя; Работа у крупнейшего системного интегратора Самарской области; Корпоративные мероприятия в дружной команде единомышленников; Активное участие в запусках крупных проектов; Приветствуется инициативность и нестандартное решение поставленных задач. ";Проектирование БД, знание SQL. Опыт работы с какой-либо СУБД (MS SQL, Oracle, PostgreSQL). Приветствуются навыки: REST, SOAP. ;Работа на территории работодателя, удаленная поддержка разработанных блоков, выезды к заказчику для проведения обучений и сбора информации. Активное участие в...;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";1.0
7;55;34146317;Junior разработчик БД MS SQL;Москва;60000.0;80000.0;Бионика;2019-10-18T16:50:51+0300;Нет опыта;Полный день;Полная занятость;Компания АльфаРМ, входящая в ГК Бионика и специализирующаяся на создании и предоставлении аналитических баз данных по всем сегментам фармацевтического рынка России, а также проведении любых видов маркетинговых исследований фармацевтического рынка России, приглашает Junior разработчика БД MS SQL Требования:  Знание MS SQL и T-SQL. Понимание механизмов транзакций, блокировок Наличие навыков оптимизации запросов  Будет плюсом:  Умение разбираться в плане запроса (анализ плана, индексов и т.д.)  Обязанности:  Выполнение этапов бизнес процесса компании Создание сложных запросов для построения отчетов и анализа данных Анализ планов выполнения запросов и их оптимизация Работа с большим объемом данных (Таблицы порядка 500 млн записей, БД более 1 ТБ)  Условия:  Оформление в соответствии с Трудовым кодексом РФ График работы 5/2 Отпуск 28 календарных дней Современный уютный офис в пешей доступности от станции метро Калужская ;  Оформление в соответствии с Трудовым кодексом РФ График работы 5/2 Отпуск 28 календарных дней Современный уютный офис в пешей доступности от станции метро Калужская ;Знание MS SQL и T-SQL. Понимание механизмов транзакций, блокировок. Наличие навыков оптимизации запросов. Умение разбираться в плане запроса (анализ...;Выполнение этапов бизнес процесса компании. Создание сложных запросов для построения отчетов и анализа данных. Анализ планов выполнения запросов и их...;"MS SQL; SQL; Работа с базами данных; Transact-SQL";0.0
8;96;33100285;OEBS Консультант-разработчик junior;Ростов-на-Дону;21000.0;0.0;DBI;2019-10-18T14:37:40+0300;Нет опыта;Сменный график;Полная занятость;Даже если вы недавно окончили ВУЗ, у вас есть прекрасная возможность начать карьеру в DBI. У нас вы сможете приобрести опыт работы с продуктами одного из крупнейших мировых вендоров баз данных и ERP-систем, а также взаимодействия со многими международными компаниями, которые являются нашими клиентами. Мы приглашаем начинающих специалистов пройти обучение и трудоустроиться на позицию Консультант-разработчик Oracle e-Business Suite (OEBS). Пройдя внутреннее обучение, Вы приобретете навыки работы с OEBS и получите знания по основным модулям системы. Требования:  знание теоретических основ проектирования реляционных баз данных обязательное знание любого языка программирования на хорошем уровне, пример: basic, pascal, C/C++, java, javascript, php, python, SQL, PL/SQL и др. (SQL и PL/SQL предпочтительнее) обязательное владение английским языком на уровне Intermediate и выше (письменный / разговорный) для свободного общения с англоязычными клиентами компании по телефону / e-mail  Успешные кандидаты должны обладать следующими качествами:  внимательность развитые аналитические способности (решите для себя Загадку Эйнштейна и потом расскажите, сколько времени это у Вас заняло) способность осваивать большие объемы информации в сжатые сроки высокая самообучаемость самомотивация  Обязанности:  удаленная поддержка клиентов по всему миру поиск и устранение неисправностей в системе OEBS работа с Oracle Support и командой администраторов с целью совместного решения проблем заказчика  Условия:  социальный пакет согласно ТК РФ внутреннее обучение с выплатой стипендии (обучение длится 3 месяца), после обучения конкурентная з/п, зарплата увеличивается по мере роста компетенции график 5/2 профессиональный и карьерный рост работа в дружном молодом коллективе спортивные тимбилдинги корпоративные мероприятия ;  социальный пакет согласно ТК РФ внутреннее обучение с выплатой стипендии (обучение длится 3 месяца), после обучения конкурентная з/п, зарплата увеличивается по мере роста компетенции график 5/2 профессиональный и карьерный рост работа в дружном молодом коллективе спортивные тимбилдинги корпоративные мероприятия ;Знание теоретических основ проектирования реляционных баз данных. Обязательное знание любого языка программирования на хорошем уровне, пример: basic, pascal, C/C++...;Удаленная поддержка клиентов по всему миру. Поиск и устранение неисправностей в системе OEBS. Работа с Oracle Support и командой администраторов...;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";0.0
9;80;33413104;Разработчик баз данных;Санкт-Петербург;90000.0;0.0;Элисофт;2019-10-18T16:12:31+0300;От 1 года до 3 лет;Полный день;Полная занятость;Задачи: -Администрирование баз данных и отказоустойчивого кластера под управлением MS SQL (настройка резервирования, репликации, администрирование групп доступности, миграция данных, и т.п.) -Внедрение сервера отчётов SQL Server Reporting Services (SSRS) (установка, настройка, создание отчётов, администрирование) -Разработка SQL запросов для отчётов, SQL скриптов модификации данных -Оптимизация существующих SQL запросов, заданий -Участие в разработке и сопровождении программного комплекса по автоматизации бизнес-процессов организации -Диагностика и оптимизация производительности программного обеспечения, базы данных Требования: -Высшее техническое образование (желательно - разработка ПО) -Опыт установки, настройки и администрирования СУБД MS SQL Server 2008-2016 -Опыт настройки и администрирования отказоустойчивого кластера Always ON -Опыт работы с SQL Server Reporting Services -Уверенное знание SQL, опыт разработки процедур, функций, триггеров -Опыт оптимизации SQL запросов -Опыт работы с SQL Server Integration Services Будет плюсом: -Опыт внедрения, сопровождения или разработки ПО -Опыт администрирования серверов на базе ОС Windows 2008 и/или 2012 -Опыт работы с Active Directory -Опыт проектирования и разработки структур БД -Знание perl, python и/или powershell Мы предлагаем:  Работа в надежной и успешной компании, в коллективе профессионалов, при поддержке коллег Достойная оплата труда, соответствующая рыночной стоимости специалиста Ежемесячные и ежеквартальные премии и бонусы по результатам работы Официальное оформление согласно ТК РФ, полный соц. пакет Бесплатные обеды в корпоративном кафе Собственная парковка Уютный, светлый open-офис в шаговой доступности от метро «Обводный канал» Возможность профессионального и карьерного роста  Сумма денежного вознаграждения обсуждается индивидуально с финальным кандидатом! Мы приветствуем развитие и открыты всему новому! Присоединяйся!;  Работа в надежной и успешной компании, в коллективе профессионалов, при поддержке коллег Достойная оплата труда, соответствующая рыночной стоимости специалиста Ежемесячные и ежеквартальные премии и бонусы по результатам работы Официальное оформление согласно ТК РФ, полный соц. пакет Бесплатные обеды в корпоративном кафе Собственная парковка Уютный, светлый open-офис в шаговой доступности от метро «Обводный канал» Возможность профессионального и карьерного роста  Сумма денежного вознаграждения обсуждается индивидуально с финальным кандидатом! Мы приветствуем развитие и открыты всему новому! Присоединяйся!;Высшее техническое образование (желательно - разработка ПО). -Опыт установки, настройки и администрирования СУБД MS SQL Server 2008-2016. -Опыт настройки и...;Администрирование баз данных и отказоустойчивого кластера под управлением MS SQL (настройка резервирования, репликации, администрирование групп доступности, миграция данных, и т...;" SQL; MS SQL; Transact-SQL; Oracle Pl/SQL; Разработка ПО";0.0
