;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;0;33814562;PHP-программист (Backend);Самара;80000.0;150000.0;Wowworks;2019-10-18T17:18:16+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Wowworks - online сервис по поиску частных специалистов для обслуживания розничной сети, распределенных офисов и удаленных точек. Наши специалисты работают в области обслуживании компьютеров, электрики, кондиционеров, ремонта помещений. Мы помогаем нашим клиентам экономить до 40% затрат на содержание торговых точек и офисов. Наши клиенты - розничные сети, аптеки, магазины одежды, розничные сети сотовых операторов, банков (Аптеки Ригла, Связной, Адидас, Fix Price, Золотой, Снежная Королева и другие). Мы приглашаем присоединиться к команде разработки опытного и амбициозного PHP-разработчика, чтобы делать этот мир лучше. Все это возможно благодаря веб приложению, к работе над улучшением которого мы и приглашаем вас присоединиться. Мы готовы посвятить время обучению кандидата, понимая, что в дальнейшем он станет полноценным участником нашей команды.   Вам будет нужно:  разрабатывать новый функционал под новые бизнес задачи; проводить рефакторинг уже существующего кода.    Что вы должны знать и уметь:  отлично знать PHP (PHP7.2); владеть ООП и использовать паттерны программирования (проект большой, код нужно организовывать гибко и красиво); иметь опыт работы с фреймворком Yii2 (или любым другим MVC фреймворком); понимать REST и в идеале иметь опыт его проектирования и реализации; уверенно владеть SQL (Мы используем PostgreSQL + PostGIS, но для старта будет достаточно и опыта работы с MySQL); решать сложные архитектурные/функциональные задачи; уверенно понимать процессы Git; знать английский язык настолько, чтобы читать спецлитературу и документацию.  Мы предлагаем:  достойная зарплата; официальное оформление по ТК РФ; график работы 5/2 с 10:00 до 19:00; оплачиваемый отпуск; современный удобный офис в Постниковом овраге, недалеко от ст.м. Российской; в офисе всегда корпоративный чай/кофе.  Бонусы:  дружный и профессиональный коллектив. Действительно дружный – у нас нет «офисной пищевой цепочки»; интересные рабочие задачи, возможность развиваться и применять современные интересные технологии; корпоративные мероприятия; рабочее место в удобном офисе с видом на волгу; игровая комната с PS3 и PS4, настольным теннисом, виниловым проигрывателем и креслами-мешками.   ";"  достойная зарплата; официальное оформление по ТК РФ; график работы 5/2 с 10:00 до 19:00; оплачиваемый отпуск; современный удобный офис в Постниковом овраге, недалеко от ст.м. Российской; в офисе всегда корпоративный чай/кофе.  Бонусы:  дружный и профессиональный коллектив. Действительно дружный – у нас нет «офисной пищевой цепочки»; интересные рабочие задачи, возможность развиваться и применять современные интересные технологии; корпоративные мероприятия; рабочее место в удобном офисе с видом на волгу; игровая комната с PS3 и PS4, настольным теннисом, виниловым проигрывателем и креслами-мешками.   ";Отлично знать PHP (PHP7.2). Владеть ООП и использовать паттерны программирования (проект большой, код нужно организовывать гибко и красиво). ;Разрабатывать новый функционал под новые бизнес задачи. Проводить рефакторинг уже существующего кода.;"PHP; Yii";0.0
1;82;34032811;PHP-программист / Back-end developer;Санкт-Петербург;100000.0;120000.0;LTD BeGet;2019-10-17T02:07:28+0300;От 1 года до 3 лет;Полный день;Полная занятость;Мы занимаемся хостингом, входим в Топ-3 компаний России в этой отрасли. Нас более 100 человек, и в основном - IT-специалисты. Мы ищем коммуникабельных и трудолюбивых специалистов, способных стать частью команды и делать действительно полезные продукты и сервисы для наших пользователей. Со своей стороны мы предоставляем все условия для этого. Каждый день наша команда занимаемся созданием самого быстрого, стабильного, удобного и клиент-ориентированного хостинга. И это нам удается. В прошлом году было открыто новое направление - VPS, а так же мы стали международным регистратором доменных имен ICANN. Основные продукты - это панель управления, которая под капотом имеет микросервисную архитектуру, а так же весь парк серверов хостинга и внутренний инструментарий.   Стек технологий  PHP 7+ Yii 2 GRPC API / Protobuf SQL Redis, Memcache Docker  О нашей архитектуре вы можете почитать в статье на хабре, мы там довольно подробно все описывали.Чем нужно будет заниматься  Разработкой новых и улучшением текущих сервисов хостинга. Разработка микросервисов, выделение монолитного кода в отдельные сервисы с GRPC API Поддержка и исправление багов в текущих клиентских сервисах  Мы ожидаем  Опыт разработки на PHP Опыт работы с ORM и фреймворками Умение проектировать API, понимать задачи сервиса и пользователей  Основные условия  Офис у метро Ладожская Работа в офисе 5/2. Время прихода на работу довольно гибкое (с 8 до 12) Полностью официальное оформление по ТК (в том числе полностью белая зарплата)  Бонусы  Минимум бюрократии Компенсация питания  ДМС после года работы   Поездки на конференции  Чай/кофе/печеньки в любых количествах Оплата любых необходимых книг, своя небольшая библиотека Дружный веселый коллектив (тем, кто морщится от нецензурных слов и не имеет чувства юмора, будет тяжело)   ;;Опыт разработки на PHP. Опыт работы с ORM и фреймворками. Умение проектировать API, понимать задачи сервиса и пользователей.;Разработкой новых и улучшением текущих сервисов хостинга. Разработка микросервисов, выделение монолитного кода в отдельные сервисы с GRPC API. ;"PHP; MySQL; Linux; PostgreSQL; Git; Yii 2";2.0
2;52;32709851;Java-программист (back-end);Самара;85000.0;115000.0;Отраслевой центр разработок и внедрения информационных систем / ОЦРВ;2019-09-26T12:22:04+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:  Участие в разработке единой геоинформационной платформы ОАО РЖД; Развитие фронтовой части разработки Геопортала; Редизайн, рефакторинг, написание нового функционала; Взаимодействие с командой бекэнда; Участие в принятии технических решений.  Требования:  Знание Java Core (коллекции, рефлексия, исключения); Знание принципов ООП и умение применять их на практике; Знание SQL; Знание XML, JSON; Понимание REST/SOAP; Опыт работы с системой контроля версий Git; Опыт работы с системой отслеживания задач Jira; Умение самостоятельно разбираться в новых технологиях; Знание JavaScript (будет преимуществом).  Условия:  Оформление по ТК РФ, белая стабильная заработная плата 85-115 000 gross (в зависимости от компетенции) + премии Оплачиваемый отпуск Медицинская страховка Дружный коллектив профессионалов. ";  Оформление по ТК РФ, белая стабильная заработная плата 85-115 000 gross (в зависимости от компетенции) + премии Оплачиваемый отпуск Медицинская страховка Дружный коллектив профессионалов. ;Знание Java Core (коллекции, рефлексия, исключения). Знание принципов ООП и умение применять их на практике. Знание SQL. Знание XML, JSON. ;"Участие в разработке единой геоинформационной платформы ОАО &quot;РЖД&quot;. Развитие фронтовой части разработки Геопортала. Редизайн, рефакторинг, написание нового функционала. ";"SQL; XML; JSON; ООП; Java Core; Git; Jira; JavaScript; REST; SOAP";22.0
3;0;34086243;Backend-программист;Тюмень;40000.0;100000.0;CDS Company;2019-10-18T09:27:10+0300;От 1 года до 3 лет;Полный день;Полная занятость;"CDS Company - студия веб-разработок.Мы специализируемся на разработке крупных проектов, регионального и федерального уровня.Мы разрабатываем высоконагруженные интернет-магазины, CRM-системы для различных предприятий, профессиональные корпоративные порталы, модернизируем порталы СМИ и много других сложных, нетривиальных проектов. В разработке мы используем передовые технологии и крутые решения технического характера. В разработке используем нашу внутреннюю CRM систему для оптимизации внутренних бизнес-процессов. На сегодняшний день разработано и запущено свыше 50 проектов и находится более 100 сайтов на технической поддержке. На текущий момент набираем команду программистов для развития своих кодерских навыков и для разработки крутых проектов в связи с расширением штата и увеличением объема работ. Есть team-lead, наставник, который справится с любой задачей и любым вопросом. Обязанности: - Программирование сайтов с 0 на Битриксе через обучение;- Разработка CRM систем на базе bitrix;- Разработка модулей и классов на PHP7;- Работа с Laravel + PostgreSQL (OctoberCMS) через обучение;- Обслуживание сайтов на Битриксе, WP и других CMS; Требования: - Базовые знания web-разработки;- Умение программировать на PHP (жестко и много, только хард-код);- Опыт работы с большими проектами;- Знание ООП;- Знание JavaScript, JQuery;- Опыт работы на Битриксе приветствуется. Но если не знаете, то научим.- Пунктуальность;- Ответственность;- Не бояться учиться чему-то новому;- Знание PHP7, MySQL, PostgreSQL Условия: - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после 1 месяца испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";" - Работа в офисе в будни, график вы устанавливаете себе сами;- Перерыв на обед - 1 час в любое время;- Предоставляем рабочее место с хорошим компьютером (2 монитора, производительный компьютер);- За Вами будет закреплен руководитель, который будет помогать решать технические вопросы и руководить процессом разработки;- Обучение и повышение квалификации;- Официальное трудоустройство после 1 месяца испытательного срока;- Чай и печеньки за наш счет;- Корпоративчики и пятничные посиделки;- Офис в центре города;- ВОЗМОЖНА УДАЛЕННАЯ РАБОТА;- Соц.пакет: выплата больничных, выплата отпускных, выплата квартальных премий, мед. страховка; На текущем этапе развития компании гарантируем карьерный рост до руководителя отдела разработки и выше.";Базовые знания web-разработки. - Умение программировать на PHP (жестко и много, только хард-код). - Опыт работы с большими проектами. - ;Программирование сайтов с 0 на Битриксе через обучение. - Разработка CRM систем на базе bitrix. - Разработка модулей и классов на PHP...;"PHP; jQuery; CSS3; 1С-Битрикс; CSS; ООП; MySQL; CMS Wordpress; HTML; HTML5; JavaScript; Ajax";1.0
4;41;33534568;Backend Developer;Тюмень;35000.0;70000.0;Ключевой фактор;2019-10-17T16:29:24+0300;От 1 года до 3 лет;Полный день;Полная занятость;Junior Backend Developer / Веб-разработчик (Backend) Чем предстоит заниматься:  Разрабатывать backend часть для веб и мобильных приложений Поддерживать серверную часть существующих приложений Конструктивно взаимодействовать в команде  Ты нам подходишь, если:  Знаешь хотя-бы один из серверных языков (NodeJS, Python, PHP, Ruby) Умеешь писать простой и понятный код, следуя принятой методологии Понимаешь принципы ООП Умеешь разбираться в чужом коде  Будет круто, если:  Имеешь какой-то опыт разработки backend систем Знаком с какой-то системой контроля версий Работал с API внешних сервисов  Условия:  Работа в скрам-команде гибкий график, полная занятость Офис в БЦ Альянс, центр города  Сайт компании: http://kfactor.ru/;  Работа в скрам-команде гибкий график, полная занятость Офис в БЦ Альянс, центр города  Сайт компании: http://kfactor.ru/;Знаешь хотя-бы один из серверных языков (NodeJS, Python, PHP, Ruby). Умеешь писать простой и понятный код, следуя принятой методологии. ;Разрабатывать backend часть для веб и мобильных приложений. Поддерживать серверную часть существующих приложений. Конструктивно взаимодействовать в команде. Имеешь какой-то...;"Node.js; Python; PHP; Ruby; Java; C#; Django Framework; C++; MS SQL Server; SQL; Управление проектами; ООП; Ruby On Rails";1.0
5;42;33723234;Back-end разработчик (Стажер);Новосибирск;30000.0;40000.0;R2 Робототехника;2019-10-17T14:55:01+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Стартап R2 robotics, разрабатывающий автоматизированную систему для ритейла на базе RFID и машинного зрения, ищет Back-end разработчика. Обязанности:  Разработка и сопровождение серверной и клиентской части приложения;  Мы ожидаем от кандидата:  Реальный интерес к своей специальности, желание реализовывать себя и развиваться; Умение писать на JS, PHP; Опыт работы с БД SQL, NOSQL, MySQL; Умение работать с GIT; Опыт HTML и CSS; Знание Python/C#/Java;  Будет плюсом:  Опыт работы с одним из фреймворков VueJS, React, Angular и т.п.; Опыт написания rest api, soap api; Знание NodeJS;  Мы предлагаем:  комфортное рабочее место в Академгородке; оформление в соответствии с ТК РФ; уровень заработной платы соответствующий вашим навыкам. ";"  комфортное рабочее место в Академгородке; оформление в соответствии с ТК РФ; уровень заработной платы соответствующий вашим навыкам. ";Реальный интерес к своей специальности, желание реализовывать себя и развиваться. Умение писать на JS, PHP. Опыт работы с БД SQL...;Разработка и сопровождение серверной и клиентской части приложения.;"MySQL; NoSQL; CSS; HTML; PHP; C#; Java; Python";1.0
6;39;33900682;PHP-программист / Back-end разработчик;Челябинск;45000.0;0.0;Шаимов Марат Шагишарифович;2019-10-03T11:42:23+0300;От 3 до 6 лет;Полный день;Полная занятость;"Мы расширяем нашу команду разработчиков! Приглашаем в свою команду PHP-разработчика. Ищем специалиста, которому интересно работать над крупным облачным сервисом, развиваться и развивать свой уровень. Обязанности:  Разработка и поддержка крупного облачного проекта Выполнение больших и небольших заданий, ведение текущих проектов.  Требования:  Отличное знание PHP, MySQL, JS, Ajax, HTML, CSS; Опыт работы с фреймворками;  Знание теории программирования и опыт разработки высоконагруженных Internet-проектов. Умение использовать современные технологии AJAX, уметь и понимать и иметь желание разбираться с API интерфейсами.     График работы: полный рабочий день.   Условия работы программиста: Официальное трудоустройство, социальный пакет (праздники, оплата отпуска, больничного). Стабильная высокая заработная плата. Уютный офис, рядом команда сильных и опытных программистов (всегда можно спросить и посоветоваться, поднять свой уровень). Офис в центре города, чай, кофе, печеньки, пицца. Рабочий день с 9 до 18 часов (обед с 13 до 14) с понедельника по пятницу, все праздничные дни также отдыхаем. Карьерный и финансовый рост. Оплата от 40 000 и выше, в зависимости от вашей квалификации и опыта (ежегодная индексация заработной платы в зависимости от количества отработанных лет в нашей компании). Высококвалифицированным специалистам оплата определяется индивидуально.    ";;Отличное знание PHP, MySQL, JS, Ajax, HTML, CSS. Опыт работы с фреймворками. Знание теории программирования и опыт разработки высоконагруженных Internet...;Разработка и поддержка крупного облачного проекта. Выполнение больших и небольших заданий, ведение текущих проектов.;"Codeigniter; Modx; PHP; HTML; HTML5; MySQL; CMS Wordpress; CSS3; Java; JavaScript; Ajax; PHP5; Bootstrap; ООП; Laravel; Symfony";15.0
7;49;30031050;Backend-разработчик;Тюмень;45700.0;85000.0;ГАУ ТО МФЦ;2019-10-17T09:42:18+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Требования:  Высшее образование в сфере информационных технологий; Опыт работы по специальности от 1 года; Знание одного из языков программирования: функциональные языки программирования, Java, Kotlin, C, C++, C#, Scala, Python; Навыки работы с базами данных. Знание SQL; Опыт работы с системами контроля версий (желательно Gitlab); Понимание принципов Agile, Scrum, TDD; Желание работать в команде и осваивать новые технологии.  Обязанности:  Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.  Условия:   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";"   Трудоустройство согласно ТК РФ; Рабочее место на ул. Первомайская; Повышение квалификации; 40-часовая рабочая неделя. ";Высшее образование в сфере информационных технологий. Опыт работы по специальности от 1 года. Знание одного из языков программирования: функциональные языки...;Участие в проектах по разработке многопользовательских, высоконагруженных информационных систем. Разработка, модификация и сопровождение имеющихся систем организации.;"Java; Linux";1.0
8;28;34113683;Backend-программист;Екатеринбург;50000.0;0.0;Elgrow;2019-10-16T11:07:28+0300;Нет опыта;Полный день;Полная занятость;Всем привет!  Случилось так, что нам снова нужны люди: умные, целеустремленные, любящие интернеты и не любящие Оdinass и прочие битриксы. Занимаемся мы, как бы это странно не звучало, в контексте данной вакансии, разработкой мобильных и веб-приложений. Проекты у нас большие, сложные, непонятные (меньше чем пол года не разрабатываем). Люди нам нужны умные, энергичные, целеустремленные и готовые всегда учиться и развиваться. Конкретно сейчас нам актуален backend-разработчик:   php 7 (Yii2, Laravel5-6 или желающий их оперативно освоить) NodeJS (Sales JS или см. выше)  Если ты интересуешься бэком, не подвержен истерии вокруг React-хайпа мы тебя ждем. Что нужно будет делать:  Писать бэк (как бы это удивительно ни было) для мобильных приложений и веб-сервисов REST API и все такое  Чего не нужно будет делать:  Верстать Немного подправлять JS, потому что тыжпрограммист и заниматься прочей непрофильной штукой  Минимальные требования:  Знание php ООП  Рекомендуемая конфигурация:  Yii2 Laravel 5-6 опыт в писании API для приложений на React  РАССМОТРИМ УДАЛЕНЩИКОВ;;"Php 7 (Yii2, Laravel5-6 или желающий их оперативно освоить). NodeJS (Sales JS или &quot;см. выше&quot;). ";Чего не нужно будет делать: Верстать. Рекомендуемая конфигурация:;"MySQL; PHP5; Yii; PHP; JavaScript; Git; ООП; Node.js; MVC; REST";2.0
9;36;34022817;PHP-разработчик Backend;Казань;50000.0;0.0;iQteco;2019-10-16T12:53:55+0300;Нет опыта;Удаленная работа;Полная занятость;Ищем в команду Backend разработчика с опытом разработки продуктов с использованием PHP, JavaScript (Ajax, jQuery). Мы дадим вам кусок продукта (без чужого кода), который дает ценность для клиента и имеет метрики. Вы будете полностью отвечать за этот кусок и вести его с нуля. Желательно иметь опыт работы в небольшой команде и удаленной разработки. Мы продуктовая компания: развиваем несколько собственных продуктов для России и США.  Вы будете работать над новым продуктом:   apps.shopify.com/answers-chat — продукт для рынка США. Чат для сайта на базе Facebook Messenger, в котором клиент интернет магазина может прочитать FAQ, проверить статус своего заказа и получить информацию от чат-бота.    Что мы даем  Оформление по ТК РФ Гибкий график работы ;;Ищем в команду Backend <highlighttext>разработчика</highlighttext> с опытом разработки продуктов с использованием PHP, JavaScript (Ajax, jQuery). Желательно иметь опыт работы в...;Вы будете работать над новым продуктом: Apps.shopify.com/answers-chat — продукт для рынка США. Чат для сайта на базе Facebook Messenger...;"PHP; MySQL; MongoDB";2.0
