;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;23;33809410;Старший программист (gamedev);Санкт-Петербург;180000.0;250000.0;JoyCraft Games;2019-10-18T14:10:08+0300;От 3 до 6 лет;Полный день;Полная занятость;Компания JoyCraft Games ищет опытных программистов для разработки видеоигр мирового уровня. JoyCraft Games - это команда профессионалов, которые любят играть и создают настоящие хиты. Выпущенные нами продукты успели оценить миллионы игроков во всем мире. Наш стратегический партнер компания Creative Mobile с аудиторией более 500 млн. человек. Мы ищем разработчика, для работы на амбициозном проекте.   Требования к соискателю:  Опыт работы с Unity3D не менее года Хорошее знание C# и принципов ООП Уверенное знание основных алгоритмов и структур данных Опыт работы с системами контроля версий Английский язык (умение читать техническую документацию) Законченное высшее образование  Будет большим плюсом:  Участие в разработке уже изданной игры Хорошая математическая подготовка (линейная алгебра, аналитическая геометрия, матанализ, дискретная математика) Письменный/разговорный английский язык Знание C++, Java, Objective-C Опыт интеграции/написания игровых сервисов (реклама, аналитика и т.д.) Разговорный английский язык для участия в конференциях  Условия:  Заработная плата: от 180 000 р по результатам собеседования Расположение: Офис в 5 минутах от ст. Петроградская Дружный коллектив ;  Заработная плата: от 180 000 р по результатам собеседования Расположение: Офис в 5 минутах от ст. Петроградская Дружный коллектив ;Опыт работы с Unity3D не менее года. Хорошее знание C# и принципов ООП. Уверенное знание основных алгоритмов и...;Участие в разработке уже изданной игры.;" SQL; C#; JavaScript; CSS; HTML";0.0
1;5;33732475;Программист-разработчик;Новосибирск;56250.0;200000.0;ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ГУЗИК;2019-10-18T05:34:46+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности: Разработка алгоритмов и программирование: - на C и/или C++, в т.ч. с применением технологий GPGPU (CUDA); - на Verilog с использованием FPGA   Требования: Высокий уровень математических знаний. Желателен опыт в программировании на C и/или C++ задач обработки данных, в тот числе с применением технологий GPGPU (CUDA); программировании встроенного кода на Verilog с использованием FPGA. Разработка ведется преимущественно в операционной среде MS Windows.Приветствуется опыт разработки низкоуровнего и встроенного ПО, разработки и применения алгоритмов цифровой обработки сигналов. Резюме желательно в 2-х вариантах (одновременно):на русском и английском языках. Условия: Работа в стабильной IT-Компании (12 лет в Новосибирском Академгородке),компания ООО «Исследовательский центр Гузик»  является дочерней от компании «Guzik Technical Enterprises» , которая производит измерительные программно-аппаратные комплексы, предназначенные для исследования процессов магнитной записи в системах хранения данных: устройства механического позиционирования с субнанометровой точностью, высокоскоростные устройства считывания сигналов (40 GHz), высокоскоростные устройства цифровой обработки сигналов (7 GS/sec); высокая з/плата, премии (до 200 000 руб. в месяц); официальное трудоустройство, для магистрантов и аспирантов возможно совместительство и гибкий график работы; комфортные рабочие помещения в офисе, кухня (чай, кофе, печенье прилагаются). Нужно быть готовым к командировкам в США (Калифорния, Mountain View).";" Работа в стабильной IT-Компании (12 лет в Новосибирском Академгородке),компания ООО «Исследовательский центр Гузик»  является дочерней от компании «Guzik Technical Enterprises» , которая производит измерительные программно-аппаратные комплексы, предназначенные для исследования процессов магнитной записи в системах хранения данных: устройства механического позиционирования с субнанометровой точностью, высокоскоростные устройства считывания сигналов (40 GHz), высокоскоростные устройства цифровой обработки сигналов (7 GS/sec); высокая з/плата, премии (до 200 000 руб. в месяц); официальное трудоустройство, для магистрантов и аспирантов возможно совместительство и гибкий график работы; комфортные рабочие помещения в офисе, кухня (чай, кофе, печенье прилагаются). Нужно быть готовым к командировкам в США (Калифорния, Mountain View).";Высокий уровень математических знаний. Желателен опыт в программировании на C и/или C++ задач обработки данных, в тот числе с...;Разработка алгоритмов и программирование: - на C и/или C++, в т.ч. с применением технологий GPGPU (CUDA). - на Verilog с...;"C и/или C++, в т.ч. с применением технологий GPGPU (CUDA);; Verilog с использованием FPGA";1.0
2;1;34043065;Программист;Новосибирск;50000.0;150000.0;Промышленная маркировка;2019-10-17T13:12:43+0300;От 3 до 6 лет;Гибкий график;Полная занятость;Компания Промышленная маркировка является частью международного холдинга Markem Image в области маркировки и кодировки товара. Уже 13 лет наша компания является надежным поставщиком крупным производителям Сибири и Дальнего Востока качественных и инновационных устройств для промышленной маркировки: каплеструйных, термотрансферных, принтеров-аппликаторов и лазерных систем печати и оригинальных расходных материалов. Наша компания производит полный цикл работ: продажа, запуск линий, обслуживание гарантийное и постгарантийное.Требуется инженер - программистДля написания и адаптации Программного обеспечения производства и маркировочного оборудования.Ваша задача находить решение в нестандартных ситуацияхРабота не совсем простая но очень интересная. Требования:  Разработка программ для промышленного комплекса, высокое быстродействие систем, архивация и обработка данных. Написание програм с нуля для управления производством Написание программ для управления маркировочным оборудованием на производстве адаптация программного обеспечения с линиями производства и маркировочного оборудования. написание протоколов связи 1С Предприятие с маркировочным оборудованием Работа с C++, SQL сервер, C#/, s-sharp Работа с ERP Системами Знание технического английского будет Вашим преимуществом.  Условия:  Официальное трудоустройство Заработная плата: оклад + % с реализации проекта по результатам собеседования. Краткосрочные командировки по РФ на пусконаладочные работы программного обеспечения. Официальное трудоустройство или как фрилансер удаленно мы готовы заключить договор на взаимовыгодных условиях. ;  Официальное трудоустройство Заработная плата: оклад + % с реализации проекта по результатам собеседования. Краткосрочные командировки по РФ на пусконаладочные работы программного обеспечения. Официальное трудоустройство или как фрилансер удаленно мы готовы заключить договор на взаимовыгодных условиях. ;Знание технического английского будет Вашим преимуществом.;Для написания и адаптации Программного обеспечения производства и маркировочного оборудования. Ваша задача находить решение в нестандартных ситуациях. Разработка программ для...;" SQL; C#; JavaScript; CSS; HTML";1.0
3;53;34067997;Программист-разработчик;Москва;90200.0;140000.0;Центр Митоинженерии МГУ им.М.В.Ломоносова;2019-10-17T12:06:28+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Наш компания (mitotech.ru) ищет программиста с уверенным знанием Linux. Нужен Linux-админ (или продвинутый пользователь Linux) и веб-разработчик в одном лице. Задачи интересные: от клинических испытаний нового лекарства до создания роботизированного биологического эксперимента, мы находимся на территории МГУ Сейчас в компании все отлажено, работы, связанной непосредственно с администрированием Linux сервисов, будет немного и есть человек, который сейчас этим всем занимается, но в конце года уходит. Что касается программирования, то эти навыки мы можем помочь развить, так как наша команда состоит из программистов с 20-летним стажем - в основном пишем на Java (/Python/C++). Windows администрирования не будет, в команде уже есть специалист, который занимается всеми клиентскими станциями и Windows серверами. Обязанности:  Поддержка Linux-сервисов (эпизодически) Участие в разработке WEB-приложений  Требования:  Linux - уверенный пользователь (навыки настройки WEB сервисов) Опыт в разработке WEB-приложений Умение и желание разбираться в новых технологиях  Условия:  Оформление в соответствии с ТК РФ Оплачиваемый отпуск (28 дней) и больничный; Стандартный график работы - 5/2 (10:00-19:00 или как удобно, но полный день) , суббота, воскресенье - выходные дни; Командировок нет Полный рабочий день Месторасположение - ст. м. Университет, ст. м. Ломоносовский проспект ";"  Оформление в соответствии с ТК РФ Оплачиваемый отпуск (28 дней) и больничный; Стандартный график работы - 5/2 (10:00-19:00 или как удобно, но полный день) , суббота, воскресенье - выходные дни; Командировок нет Полный рабочий день Месторасположение - ст. м. Университет, ст. м. Ломоносовский проспект ";Linux - уверенный пользователь (навыки настройки WEB сервисов). Опыт в разработке WEB-приложений. Умение и желание разбираться в новых технологиях.;Поддержка Linux-сервисов (эпизодически). Участие в разработке WEB-приложений.;"Linux; JavaScript; ООП; SQL; Web Application Development; CSS; HTML";1.0
4;38;33941234;Программист;Санкт-Петербург;60000.0;130000.0;Филиал СКБ Энергия АО Завод Энергия;2019-10-16T07:51:52+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:   разработка программного обеспечения;   доработка, тестирование, отладка существующего программного обеспечения;   разработка программной документации;   настройка программного обеспечения;   исправление неисправностей, проведение стыковых мероприятий с ПО сторонних организаций, в т.ч. в командировках   Требования:   опыт работы в ОС Linux, в т.ч. использование командной строки   разработка программ для Linux на C/C++ (использование make, gcc, gdb, использование средств ssh, sftp)   использование графических средств разработки (IDE)   готовность к редким командировкам   образование высшее очное (желательно специалист либо магистр)     Желательно:   опыт разработки с использованием Qt (4.6 или выше)   опыт установки, настройки ЭВМ под управлением ОС Linux (настройка и проверка сети, текущего оборудования)   опыт использования баз данных   Условия:   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада и премий (надбавок);  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";"   компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада и премий (надбавок);  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";Опыт работы в ОС Linux, в т.ч. использование командной строки. Разработка программ для Linux на C/C++ (использование make...;Разработка программного обеспечения. Доработка, тестирование, отладка существующего программного обеспечения. Разработка программной документации. Настройка программного обеспечения. Исправление неисправностей, проведение стыковых мероприятий...;" SQL; C#; JavaScript; CSS; HTML";3.0
5;14;33931362;Программист-разработчик;Екатеринбург;45000.0;120000.0;ТЭГ-Групп;2019-10-16T17:03:13+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности: • Участие в проектах по внедрению корпоративных информационных систем на базе «1С: Комплексная автоматизация 2», «1С:Бухгалтерия», «1С:Документооборот» в качестве ведущего разработчика; • Разработка интеграционных решений со сторонними системами; • Выбор оптимальных форм и методов реализации поставленных задач; • Участие в проектировании решений; • Разработка технической документации. Требования: • Хорошее знание архитектуры и возможностей технологической платформы «1С:Предприятие 8.3»; • Хорошее значение архитектуры одной или нескольких типовых конфигураций 1С (в т.ч. БСП); • Знание системы стандартов и методик разработки конфигураций для платформы «1С:Предприятие 8»; • Опыт интеграции решений 1С с прочими информационными системами (в т.ч. с использованием конфигурации «1С: Конвертация данных»); • Готовность развиваться и повышать свой профессиональный уровень; • Высшее образование в области информационных технологий или математики. Приветствуется (является преимуществом): • Наличие опыта разработки в создании модулей и конфигураций с нуля; • Знания бухгалтерского и налогового учета; • Понимание бизнес-процессов производственных и торговых предприятий; • Навыки администрирования, оптимизации и настройки СУБД MS SQL; • Наличие сертификатов;   Условия:  Стабильная работа в крупной логистической компании; Интересные задачи по развитию крупной компании с сильным продуктом и массой возможностей; Заработная плата: обсуждается с финальным кандидатом; Обучение за счет компании; Возможность финансового, профессионального и карьерного роста; Корпоративная мобильная связь; Действительно дружный, молодой коллектив, корпоративные мероприятия, чай/кофе/фрукты и другие приятные плюшки; Официальное оформление согласно ТК РФ с первого дня работы; ";"  Стабильная работа в крупной логистической компании; Интересные задачи по развитию крупной компании с сильным продуктом и массой возможностей; Заработная плата: обсуждается с финальным кандидатом; Обучение за счет компании; Возможность финансового, профессионального и карьерного роста; Корпоративная мобильная связь; Действительно дружный, молодой коллектив, корпоративные мероприятия, чай/кофе/фрукты и другие приятные плюшки; Официальное оформление согласно ТК РФ с первого дня работы; ";Хорошее знание архитектуры и возможностей технологической платформы «1С:Предприятие 8.3». Хорошее значение архитектуры одной или нескольких типовых конфигураций...;...2», «1С:Бухгалтерия», «1С:Документооборот» в качестве ведущего <highlighttext>разработчика</highlighttext>. Разработка интеграционных решений со сторонними системами. Выбор оптимальных форм...;1С программирование;2.0
6;19;34126612;Программист-разработчик;Екатеринбург;30000.0;100000.0;Гаев Максим Александрович;2019-10-16T17:43:48+0300;От 1 года до 3 лет;Удаленная работа;Проектная работа;"Обязанности:   Разрабатывать и настраивать интеграции с внешними системами: телефония, 1С, самописные системы на стороне клиента; работа с API.   Разработка типовых и не типовых бизнес-процессов.  Разработка новых модулей и модификация стандартных для реализации процессов в CRM, проектном управлении, системе документооборота, внедрения интернет-порталов в организациях.  Тестирование разработок.   Системное администрирование проектов.  Поддержка и доработка существующих проектов компании; Анализ кода, поиск и исправление ошибок в существующем функционале; Проектирование, разработка и внедрение новых приложений, интеграция с другими сервисами; Учиться, помогать и делиться знаниями;  Требования:  Знание PHP и принципов ООП. Опыт программирования на PHP от 3 лет. Уверенные знания HTML, CSS, Javascript. Навыки использования системы контроля версии GIT. Опыт внедрения и разработки на базе «Битрикс24». Знание и опыт работы с БД, SQL, mySQL, JavaScript, jQuery. Сданные экзамены 1С-Битрикс – преимущество.  Условия:  Возможность работать удаленно, плавающее начало рабочего дня. Гибкий рабочий график, возможность самостоятельной организации своего рабочего дня с учетом задач и командной работы. Высокий уровень заработной платы по итогам собеседования, обсуждаем ожидания кандидатов (почасовая или оклад+премии); Реальные возможности профессионального и карьерного роста (обучение и повышение квалификации: корпоративные курсы, семинары, тренинги, возможность получить сертификаты 1С ). ";"  Возможность работать удаленно, плавающее начало рабочего дня. Гибкий рабочий график, возможность самостоятельной организации своего рабочего дня с учетом задач и командной работы. Высокий уровень заработной платы по итогам собеседования, обсуждаем ожидания кандидатов (почасовая или оклад+премии); Реальные возможности профессионального и карьерного роста (обучение и повышение квалификации: корпоративные курсы, семинары, тренинги, возможность получить сертификаты 1С ). ";Знание PHP и принципов ООП. Опыт программирования на PHP от 3 лет. Уверенные знания HTML, CSS, Javascript. Навыки использования системы...;"Разрабатывать и настраивать интеграции с внешними системами: телефония, 1С, самописные системы на стороне клиента; работа с API. ";"MySQL; JavaScript; jQuery; ООП; PHP5; 1С-Битрикс";2.0
7;66;33176705;Программист-математик;Екатеринбург;60000.0;100000.0;Прософт-Биометрикс;2019-10-15T10:54:23+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Инжиниринговая компания Прософт-Биометрикс приглашает специалиста на должность Программиста-математика (С++). «Прософт-Биометрикс» - российский разработчик комплексных систем в области информационной и технической безопасности, контроля и управления доступом, учета рабочего времени с использованием методов биометрической идентификации. Компания входит в состав мировых лидеров, активно продвигающих высокотехнологичные биометрические решения и комплексы. Один из наших ключевых продуктов - биометрическая система BioSmart. В нее входят ПО BioSmart Studio, контроллеры и терминалы по венам ладони и отпечаткам пальца. Для развития системы мы ищем математика, которого надеемся увлечь биометрией. Направление деятельности: биометрические системы контроля доступа и учета рабочего времени по отпечаткам пальцев и венам ладоней. Основные задачи:  Разработка алгоритмов биометрической идентификации по отпечаткам пальцев, венам ладоней, лицу. Реализация алгоритмов на языке С++ на ОС Linux, Windows, платформы X86, ARM9. Отладка алгоритма на тестовых биометрических базах.  Требования к квалификации:  Желательно профильное образование в области распознавания изображений и сигналов; Обязательно базовые знания в области цифровой обработки изображений, алгоритмах фильтрации изображений, мат. Анализе, распознавании образов; Опыт программирования на С++ от 1 года; git или опыт использования любой другой CVS; Опытный пользователь Windows; Быстрая обучаемость, умение работать в команде программистов; Активность, энергичность; Ответственный подход.  Условия работы:  Заработная плата: оклад + ежеквартальные и годовые премии; Трудовые отношения в полном соответствии с ТК РФ; ДМС, компенсация спортивного абонемента; Место работы: Зоологическая, 9. Если Вы заинтересованы в данной вакансии и Ваш опыт соответствует заявленным требованиям - ждем Ваше резюме!  ";;Git или опыт использования любой другой CVS. Опытный пользователь Windows. Быстрая обучаемость, умение работать в команде <highlighttext>программистов</highlighttext>. Активность, энергичность. ;Разработка алгоритмов биометрической идентификации по отпечаткам пальцев, венам ладоней, лицу. Реализация алгоритмов на языке С++ на ОС Linux, Windows, платформы...;"Git; Linux; C/C++; C++; SQL";3.0
8;25;34167697;Программист-разработчик;Москва;70000.0;100000.0;Софтлоджик Рус;2019-10-18T16:49:35+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности:  поддержка и доработка существующих проектов, а также участие в разработке новых  Требования:   уверенные знания Python  хорошие знания библиотек Open CV/Scikit-learn опыт разработки модулей/приложений интеллектуальной видеоаналитики(распознавание образов/объектов, характеристик предмета, пересечение границ/зон и т.п.)  базовые знания библиотек Caffe и Tensorflow   опыт работы с ОС семейства Linux, знание Bash/Unix shell   умение работать в команде   Не обязательно, но приветствуется:  знание C опыт параллельного и асинхронного программирования знание Docker, Git  Условия:  З/п в испытательный срок (2мес.) 70,000руб/мес, после испытательного срока 100,000руб/мес. Дальнейшее повышение по результатам ведения/выполнения проектов. Офис находится в 2 мин от метро Технопарк. Работу по удалёнке не рассматриваем. ;  З/п в испытательный срок (2мес.) 70,000руб/мес, после испытательного срока 100,000руб/мес. Дальнейшее повышение по результатам ведения/выполнения проектов. Офис находится в 2 мин от метро Технопарк. Работу по удалёнке не рассматриваем. ;Уверенные знания Python. Хорошие знания библиотек Open CV/Scikit-learn. Опыт разработки модулей/приложений интеллектуальной видеоаналитики(распознавание образов/объектов, характеристик...;Поддержка и доработка существующих проектов, а также участие в разработке новых.;"Python; Linux; Git";0.0
9;3;33820864;Программист-разработчик;Новосибирск;60000.0;90000.0;Неолаб-Нск;2019-10-18T05:24:33+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"В компании NEOLAB мы решаем задачи игровой индустрии в областях искусственного интеллекта, машинного обучения и больших данных. Мы разрабатываем приложения и сервисы для обработки данных, помощи в принятии решений и аналитики. Офисы компании находятся в Москве, Омске и Новосибирске. Neolab работает с компаниями из США, Китая, Индии и других стран. И мы смело называем себя экспертами в игровой индустрии. С какими технологиями столкнёшься?  Спойлер: владеть всеми технологиями не нужно. Будет достаточно, если ты знаком хотя бы с частью нашего списка, остальному мы тебя научим.  Распределенные системы. Например, CAP теорема, типичные сбои и способы их избежать, алгоритмы консенсуса, понятие идемпотентности операции. Distributed lock и системы с leader election; CQRS и Event Sourcing; IDL и связанные с ними протоколы сериализации (например, gRPC или ZeroC Ice); Тестирование кода. У себя мы используем jest; Функциональное программирование, pure functions, referential transparency, сайд-эффекты; FRP. В частности, мы используем RxJS; Различные DX инструменты: Chrome DevTools, Redux DevTools, React DevTools; Бандлеры кода для фронтенда, в частности, webpack, rollup и parcel; Техники асинхронного программирования, в частности, у нас активно используются coroutines и, конечно, promises. Современные подходы к data flow в веб приложении, в частности, flux, redux, redux-saga, mobx. Но заметим, что redux-saga мы используем и на бэкенде тоже; Большая часть фронтенда использует React, Современные стадарты в web API: fetch, documentQuerySelector, History API, WebWorker, ServiceWorker. Cross-window communication; Современный CSS. Flexbox, CSS Grid. Препроцессоры и постпроцессоры. CSS-in-JS; React UI библиотеки: material-UI, blueprint; ES2018 и другие современные стандарты JS, Babel, и что такое stage-0,1,2,3, и что ждёт нас в будущем ES; git и другие системы контроля версий. Мы используем Docker образы почти для всех наших сервисов. Приложения развертываем в kubernetes кластере. Инструментирование наших сервисов метриками. Каким образом понимать, что сервис работает, работает корректно и сколько нагрузки сможет ещё выдержать.  Это далеко не полный список. Но если ты знаком с его частью или тебе интересно развиваться в каких-то направлениях, откликайся на вакансию. У нас найдутся темы для разговора. Мы ценим хорошее знание английского и твой интерес к новостям из мира IT. Мы любим обсудить на собесе, что интересного ты прочитал за последнее время, и что тебя вдохновляет на работу. В сухом остатке:  Typescript Node JS React Docker  Будет плюсом опыт: DevOps Kubernetes Eventsourcing Что тебя ждёт: Когда ты придёшь в нашу компанию, у тебя появится наставник. Ты задашь ему все вопросы, которые у тебя возникнут, он погрузит тебя в проект. Ты будешь заниматься поддержкой, развитием и интеграцией продукта. Работать в распределенной команде и взаимодействовать с коллегами в Омске. Если захочешь, организуем для тебя релокацию. Мы знаем, что работать за идею никто не хочет. Поэтому довольно гибкие в определении зарплаты. Жить на дошираках и офисной пицце тебе точно не придётся. Присоединяйся к команде, если хочешь решать задачи бизнеса, принимать новые вызовы и использовать только современные подходы разработки.  ";;Спойлер: владеть всеми технологиями не нужно. Будет достаточно, если ты знаком хотя бы с частью нашего списка, остальному мы тебя...;Тестирование кода. У себя мы используем jest. Функциональное программирование, pure functions, referential transparency, сайд-эффекты. React UI библиотеки: material-UI...;"Git; JavaScript; Python";1.0
