;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;36;33899218;Инженер-программист;Санкт-Петербург;80000.0;160000.0;Фирма НИТА;2019-10-18T11:04:40+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности:  Разработка системы панорамного видеонаблюдения, решение прикладных задач видеоаналитики Разработка и исследования в области обработки и трансляции видео Исследование функциональности сторонних библиотек для решения задач в области видео Работа в scrum/XP команде  Требования:  Отличное знание С++ (C++11, STL, boost). Опыт программирования на C/C++ под *nix , включая многопоточное, сетевое программирование Опытный Linux-пользователь Знание паттернов проектирования программного обеспечения Хорошая инженерная подготовка, навыки решения алгоритмических задач Умение работать с open source проектами и библиотеками: правка/сборка, изучение API, pull requests Умение работать в команде, коммуникативные навыки Готовность к командировкам (как по РФ так и за ее пределами) Опыт работы с чужим кодом  Будет плюсом:  Опыт работы:  В области обработки изображений и видео С мультимедиа С протоколами семейства RTSP/RTP С алгоритмами сжатия видео/аудио   Знание OpenCV Опыт разработки высоконагруженных и отказоустойчивых серверов. Работа в Agile командах Опыт написания unit-тестов  Условия: Пятидневная рабочая неделя, отпуск 28 кал.дней, ДМС после испытательного срока, частичная оплата абонемента на фитнес.    ; Пятидневная рабочая неделя, отпуск 28 кал.дней, ДМС после испытательного срока, частичная оплата абонемента на фитнес.    ;Отличное знание С++ (C++11, STL, boost). Опыт программирования на C/C++ под *nix , включая многопоточное, сетевое программирование. ;Разработка системы панорамного видеонаблюдения, решение прикладных задач видеоаналитики. Разработка и исследования в области обработки и трансляции видео. Исследование функциональности сторонних...;" C++; C/C++;1С: Предприятие 8; 1С: Документооборот; Linux";0.0
1;60;33662156;Инженер-программист;Санкт-Петербург;60000.0;130000.0;Филиал СКБ Энергия АО Завод Энергия;2019-10-16T08:10:49+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:   разработка программного обеспечения;   доработка, тестирование, отладка существующего программного обеспечения;   разработка программной документации;   настройка программного обеспечения;   исправление неисправностей, проведение стыковых мероприятий с ПО сторонних организаций, в т.ч. в командировках.   Требования:   опыт работы в ОС Linux, в т.ч. использование командной строки   разработка программ для Linux на C/C++ (использование make, gcc, gdb, использование средств ssh, sftp)   использование графических средств разработки (IDE)   готовность к редким командировкам   образование высшее очное (желательно специалист либо магистр)   Желательно:   опыт разработки с использованием Qt (4.6 или выше)   опыт установки, настройки ЭВМ под управлением ОС Linux (настройка и проверка сети, текущего оборудования)   опыт использования баз данных   Условия:     компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада и премий (надбавок);  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";"     компания полностью белая;   пятидневная рабочая неделя (выходные: суббота, воскресенье);  уровень з/п зависит от личного вклада в работу компании и состоит из фиксированного оклада и премий (надбавок);  возможность выбора начала рабочего дня от 7:30ч до 9:30ч (обед 30 мин);  ";Опыт работы в ОС Linux, в т.ч. использование командной строки. Разработка программ для Linux на C/C++ (использование make...;Разработка программного обеспечения. Доработка, тестирование, отладка существующего программного обеспечения. Разработка программной документации. Настройка программного обеспечения. Исправление неисправностей, проведение стыковых мероприятий...;"Linux; C++";3.0
2;73;33710066;Инженер-программист микроконтроллеров и ПЛИС;Санкт-Петербург;90000.0;110000.0;МИНИТЕХ;2019-10-17T09:59:03+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности:   разработка алгоритмов работы устройств, компьютерное моделирование;   разработка технических требований для аппаратной части устройств;   разработка и отладка ПО;   разработка тестового ПО;   разработка сопроводительной документации на ПО по ЕСПД   Требования:  языки программирования: С, verilog/VHDL; базовые знания цифровой и аналоговой электроники; владение пакетами программ для разработки ПО для микроконтроллеров и ПЛИС; знание ЕСПД  Условия:  работа в развивающейся стабильной производственной компании; официальное трудоустройство по ТК РФ; полный соц. пакет, гарантированный государством; шаговая доступность от метро Политехническая; дружный коллектив профессионалов-единомышленников ";"  работа в развивающейся стабильной производственной компании; официальное трудоустройство по ТК РФ; полный соц. пакет, гарантированный государством; шаговая доступность от метро Политехническая; дружный коллектив профессионалов-единомышленников ";Языки программирования: С, verilog/VHDL. Базовые знания цифровой и аналоговой электроники. Владение пакетами программ для разработки ПО для микроконтроллеров и...;Разработка алгоритмов работы устройств, компьютерное моделирование. Разработка технических требований для аппаратной части устройств. Разработка и отладка ПО. Разработка тестового ПО. ;"языки программирования: С, verilog/VHDL; знания цифровой и аналоговой электроники; программы для разработки  ПО для микроконтроллеров и ПЛИС; знание ЕСПД";1.0
3;98;32322427;Computer Vision Developer;Санкт-Петербург;77857.14;100000.0;Протей, НТЦ;2019-10-18T12:25:21+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;НТЦ ПРОТЕЙ - российская IT-компания, более 15 лет работающая в сфере телекоммуникаций. Мы занимаемся разработкой и производством собственных программно-аппаратных продуктов и решений, которые используются операторами мобильной и фиксированной связи (в России и за рубежом), государственными структурами, силовыми ведомствами. Мы ищем коллегу в Отдел анализа данных - разработчика компьютерного зрения. Направления работы Отдела - Machine Learning / Computer Vision / (Big) Data Science / IoT. Актуальный проект — видеоаналитика в рамках АПК Безопасный Город: мы создаем решение для эффективного обеспечения общественной безопасности, анализа и предотвращения антисоциального поведения. Что предстоит:  Разработка детекторов и трекеров объектов для системы видеоаналитики Разработка, обучение, тестирование и внедрение нейросетевых детекторов Многопоточное программирование на C++ Создание удобных инструментов для эффективной работы Работа в команде, занимающейся алгоритмами компьютерного зрения  Необходим опыт в:  C++  OpenCV TensorFlow Английский язык  Будет плюсом, если Вам знакомы:  Linux (под ним мы работаем) Python (ветка 3.x) Git, YouTrack, Docker, etc. HTTP, WebSocket, JS  Мы предлагаем:  Гибкий график Белую заработную плату + годовой бонус Современный офис в пешей доступности от Выборгской (зерновой кофе и оборудованная кухня) ДМС со стоматологией, компенсацию обедов, корпоративные занятия йогой, футболом, волейболом ;  Гибкий график Белую заработную плату + годовой бонус Современный офис в пешей доступности от Выборгской (зерновой кофе и оборудованная кухня) ДМС со стоматологией, компенсацию обедов, корпоративные занятия йогой, футболом, волейболом ;C++. OpenCV. TensorFlow. Английский язык.;Разработка детекторов и трекеров объектов для системы видеоаналитики. Разработка, обучение, тестирование и внедрение нейросетевых детекторов. Многопоточное программирование на C++. ;"Computer Vision; C++; Python; OpenCV; TensorFlow; Linux";0.0
4;42;34102591;Разработчик ПЛИС;Челябинск;60000.0;90000.0;Планар;2019-10-18T16:34:58+0300;От 3 до 6 лет;Полный день;Полная занятость;В отдел по разработке оборудования для формирования, тестирования, анализа сигналов кабельного, спутникового, эфирного и IP-телевидения (и других перспективных тем) требуется разработчик ПЛИС. Должностные обязанности:  Командная разработка модулей и программ ПЛИС на языках Verilog / VHDL. Моделирование работы, отладка программ ПЛИС.  Требуемые навыки:  Успешный опыт разработки программ ПЛИС на Verilog / VHDL от 3 лет. Успешный опыт разработки алгоритмов цифровой обработки сигналов. Умение работать в команде.  Вашим преимуществом будет:  Опыт работы с ПЛИС Xilinx. Умение читать электрические схемы. Знание технического английского для чтения документации. Опыт использования ядер для: TCP/IP, цифровой фильтрации сигналов. Умение работать с системой контроля версий Git.  Мы предоставляем:  Интересные задачи. Возможность профессионального и карьерного роста. Официальное трудоустройство по ТК РФ. Своевременную выплату заработной платы. Помощь в переезде в Челябинск. Офис в центре города с собственной парковкой. Собственную столовую с питанием по льготным ценам. Обучение английскому языку на территории предприятия. Участие в корпоративных мероприятиях и праздниках. ;;Успешный опыт разработки программ ПЛИС на Verilog / VHDL от 3 лет. Успешный опыт разработки алгоритмов цифровой обработки сигналов. ;Командная разработка модулей и программ ПЛИС на языках Verilog / VHDL. Моделирование работы, отладка программ ПЛИС.;"ПЛИС; FPGA; Verilog; VHDL; DSP; ЦСП; Xilinx";0.0
5;44;34102164;Инженер-программист встроенных систем;Челябинск;60000.0;90000.0;Планар;2019-10-18T16:20:41+0300;От 3 до 6 лет;Полный день;Полная занятость;В отдел по разработке приборов для формирования, тестирования, анализа сигналов кабельного, спутникового, эфирного и IP-телевидения требуются программисты C/C++ для создания ПО встроенных (embedded) систем (на базе контроллеров семейства ARM, Cortex-XX). Должностные обязанности:  Командная разработка программ для встроенных (Embedded) систем. Разработка внутренних алгоритмов (Application backend) программ для встроенных систем. Разработка интерфейса пользователя (Application frontend) для встроенных систем.  Требования к соискателям:  Успешный опыт разработки программ на C / С++ от 3-6 лет. Умение работать в команде. Опыт разработки для встроенных систем.  Будет преимуществом:  Владение современными приемами программирования: объектно-ориентированное, функциональное программирование. Опыт разработки многопоточных приложений (под управлением OS, RTOS). Понимание работы аппаратных прерываний и стандартной периферии микроконтроллеров. Знание технического английского. Опыт работы с системой контроля версий Git. Опыт работы в команде по методологии Scrum. Знания в области цифровой обработки сигналов.  Мы предоставляем:  Интересные задачи. Возможность профессионального и карьерного роста. Официальное трудоустройство по ТК РФ. Своевременную выплату заработной платы. Помощь в переезде в Челябинск. Офис в центре города с собственной парковкой. Собственную столовую с питанием по льготным ценам. Обучение английскому языку на территории предприятия. Участие в корпоративных мероприятиях и праздниках. ;;Успешный опыт разработки программ на C / С++ от 3-6 лет. Умение работать в команде. Опыт разработки для встроенных систем. ;Командная разработка программ для встроенных (Embedded) систем. Разработка внутренних алгоритмов (Application backend) программ для встроенных систем. Разработка интерфейса пользователя (Application...;"Git; C/C++; ARM; IAR; RTOS; Embedded; микроконтроллер; Cortex";0.0
6;94;33744530;Инженер-программист;Санкт-Петербург;50000.0;80000.0;Теккноу, головная компания;2019-10-18T13:26:01+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности:  Разработка Программного обеспечения (верхний уровень) для собственного продукта согласно Техническому заданию. Сопровождение текущих проектов. Участие в смежных работах и проектах по отделу.  Требования:  Уверенный пользователь С#, NET Framework, WinForms. Понимание принципов ООП и паттернов проектирования. Практический опыт написания программного обеспечения для PC! Опыт работы с основными каналами данных: RS485, CAN, Ethernet, USB. Опыт разработки БД с использованием MS SQL Server. Опыт работы с системами контроля версий. Работа в составе коллектива: умение работать командой; оперативно решать потребности, в том числе заказчика. Владение английским языком достаточное для чтения технической документации и общения с поставщиками оборудования.  Условия:    Опытный, дружный коллектив. Официальная стабильная оплата труда. Квартальные премии по результатам работы. Соблюдение всех требований Трудового законодательства. ДМС после прохождения испытательного срока. МНОГО разнохарактерной работы и задач. Полный рабочий день.  ​​​​​";    Опытный, дружный коллектив. Официальная стабильная оплата труда. Квартальные премии по результатам работы. Соблюдение всех требований Трудового законодательства. ДМС после прохождения испытательного срока. МНОГО разнохарактерной работы и задач. Полный рабочий день.  ​​​​​;Уверенный пользователь С#, NET Framework, WinForms. Понимание принципов ООП и паттернов проектирования. Практический опыт написания программного обеспечения для PC! ;Разработка Программного обеспечения (верхний уровень) для собственного продукта согласно Техническому заданию. Сопровождение текущих проектов. Участие в смежных работах и проектах...;"Пользователь ПК; Работа с людьми; С#; NET Framework; WinForms; MS SQL Server";0.0
7;81;34164871;Инженер-программист (АСУ ТП);Казань;60000.0;80000.0;Основа +;2019-10-18T15:12:16+0300;От 3 до 6 лет;Полный день;Полная занятость;"Наш заказчик, известная инжиниринговая компания приглашает программистов АСУ ТП   Обязанности:  Разработка проектов АСУ ТП. Программирование PLC (CodeSys v.2.3); Разработка SCADA - проектов. Выпуск рабочей (пользовательской) документации; Выезд на объект для проведения пусконаладочных работ    Требования:  Высшее образование техническое, в области АСУ ТП. Опыт работы в сфере разработки АСУ ТП от 3-х лет. Опыт программирования PLC. Опыт разработки SCADA-проектов Опыт настройки, наладки промышленных сетей Modbus, Ethernet. Знание современного оборудования АСУ ТП и КИП. Опыт работы с базами данных Знание языка программирования C#    Условия:  Пятидневка с 8-00 до 17-00. Оклад - 60000 + Премии от реализованных проектов. Ориентир 60000-80000. Редкие командировки по РФ ";  Пятидневка с 8-00 до 17-00. Оклад - 60000 + Премии от реализованных проектов. Ориентир 60000-80000. Редкие командировки по РФ ;Высшее образование техническое, в области АСУ ТП. Опыт работы в сфере разработки АСУ ТП от 3-х лет. ;Разработка проектов АСУ ТП. Программирование PLC (CodeSys v.2.3). Разработка SCADA - проектов. Выпуск рабочей (пользовательской) документации. Выезд на объект...;"Опыт программирования PLC.; Опыт в сфере разработки АСУ ТП от 3-х лет";0.0
8;69;30918105;Инженер-программист;Челябинск;60000.0;80000.0;ЧЕЛЯБИНВЕСТБАНК;2019-10-17T10:50:57+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Уважаемые соискатели! Просьба к письму прилагать образцы исходных текстов.  Обязанности:  Интересные задачи по разработке новых масштабных проектов; Сопровождении существующих модулей корпоративной информационной системы.  Требования:  Высшее образование (профильное); Знания методологий разработки программного обеспечения; Владение одним или несколькими языками программирования (Java, C#, Python, C++ и т.п.); Уверенное владение объектно-ориентированным подходом к разработке ПО; Знакомство с шаблонами проектирования; Понимание, чем хороший код отличается от плохого; Code-review; Знание технического английского языка; Навыки написания программ для современных реляционных СУБД, серверов приложений, web-серверов, многопоточных приложений.  Условия:  Сильная команда профессионалов; Программа наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";"  Сильная команда профессионалов; Программа наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";Высшее образование (профильное). Знания методологий разработки программного обеспечения. Владение одним или несколькими языками программирования (Java, C#, Python, C++ и т...;Интересные задачи по разработке новых масштабных проектов. Сопровождении существующих модулей корпоративной информационной системы.;" C++; C/C++;1С: Предприятие 8; 1С: Документооборот; Linux";1.0
9;91;33891896;Инженер-программист;Екатеринбург;55000.0;65000.0;НИПИГОРМАШ;2019-10-03T06:52:08+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности:  Поиск и устранение неисправностей на готовом изделии. Проверка алгоритмов работы оборудования. Диагностика, внесение корректировок в работу оборудования.  Требования:  Знание TIA Portal. Знание основ Pascal/Delphi. Понимание протоколов Modbus RTU/TCP. Понимание интерфейсов 4-20мА, RS485, CAN. Умение настраивать TPM фирмы OBEH. Понимание принципов работы частотных преобразователей и принципов их настройки. Личные качества: желание учиться и развиваться, 100% персональная ответственность за результаты работы. Готовность к командировкам.  Условия:  Мы предлагаем работу в динамично развивающейся компании с интересными международными проектами. Мы создаем комфортные условия для саморазвития обучения и профессионального роста. Профессиональное обучение за счет средств компании. Мы прозрачны и стабильны в рамках трудового законодательства. Выплата заработной платы 2 раза в месяц на банковскую карту. Ежегодная индексация, выплата 13 заработной платы. Место работы: Вторчермет. Уважаемые кандидаты! Опубликованные требования базовые и не являются исчерпывающими. ;  Мы предлагаем работу в динамично развивающейся компании с интересными международными проектами. Мы создаем комфортные условия для саморазвития обучения и профессионального роста. Профессиональное обучение за счет средств компании. Мы прозрачны и стабильны в рамках трудового законодательства. Выплата заработной платы 2 раза в месяц на банковскую карту. Ежегодная индексация, выплата 13 заработной платы. Место работы: Вторчермет. Уважаемые кандидаты! Опубликованные требования базовые и не являются исчерпывающими. ;Знание TIA Portal. Знание основ Pascal/Delphi. Понимание протоколов Modbus RTU/TCP. Понимание интерфейсов 4-20мА, RS485, CAN. ;Поиск и устранение неисправностей на готовом изделии. Проверка алгоритмов работы оборудования. Диагностика, внесение корректировок в работу оборудования.;" C++; C/C++;1С: Предприятие 8; 1С: Документооборот; Linux";16.0
