;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;99;32759783;IOS разработчик;Москва;190000.0;250000.0;Доктор на работе;2019-10-18T16:06:05+0300;От 3 до 6 лет;Полный день;Полная занятость;"Доктор на работе» – одна из самых успешных IT-компаний в медицине в России расширяет команду приглашает в команду второго iOS разработчика. Кроме этого у нас в команде: .Net программисты, HTML-верстальщики, тестировщики, DBD, разработчики мобильных приложений Основная задача: разрабатывать один из мобильных проектов с нуля, т.е. долой легаси и старые костыли в шкафу! Все разработки только внутри компании, на внешних заказчиков мы не работаем. Задачи, которые предстоит решать:   разработка нового мобильного приложения под платформу iOS;   проектирование архитектуры приложений и сервисов;   взаимодействие с дизайнерами и тестировщиками;   проведение code review.   Сотрудники, которых мы ждем:   обладают хорошими знаниями языка Swift (знание Objective-C будет плюсом);   понимают как происходит управление памятью в iOS;   имеют опыт работы с различными архитектурами (MVC, MVVM, VIPER);   имеют опыт работы с Alamofire, Codable, Realm, RxSwift;   понимают принципы проектирования SOLID и придерживаться их;   имеют опыт работы с REST API, HTTP, JSON, APNs;   имеют опубликованные проекты в App Store.   А еще мы используем в работе Jira, Confluence, Git, Slack. Что мы предлагаем:   белый оклад от 190 000 рублей (на руки);   квартальная премия в размере заработной платы;   все выплаты полностью белые;   посещение митапов и профильных конференций;   оплата профильного обучения в размере 50%;   мы работаем в 3 минутах ходьбы от метро Менделеевская/Новослободская;   гибкое начало рабочего дня, но просим приходить до 10-ти часов утра;   дресс-код для нас - это только то, в чем удобно работать;   Новый Macbook Pro 15 уже ждёт вас, приходите!     Как будет проходить процесс отбора: 1. Грузить кандидатов тестовыми заданиями - не наш метод. Мы просим указывать в резюме ссылки на проекты на github. В репозитории необязательно должен быть идеальнейший код. Хочется увидеть как вы писали в последнее время. 2. Стараемся проходить все этапы за одно собеседование (hr и техническое собеседование одновременно). 3. Можем беседовать удаленно (skype c возможностью видео), а можем и у нас в офисе.";;Обладают хорошими знаниями языка Swift (знание Objective-C будет плюсом). Понимают как происходит управление памятью в iOS. Имеют опыт работы...;Разработка нового мобильного приложения под платформу iOS. Проектирование архитектуры приложений и сервисов. Взаимодействие с дизайнерами и тестировщиками. Проведение code review.;"Swift; Objective-C; MVC; iOS; MVVM; Viper; SOLID; JSON API; HTTP";0.0
1;24;32871573;IOS разработчик;Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-10-18T14:30:22+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 7 миллионов установок в App Store. Мы хотим найти человека, который: - знает ООП и шаблоны проектирования, понимает принципы SOLID; - знает iOS SDK (UIKit, Foundation, CoreGraphics, CoreLocation и др.); - хорошо понимает клиент-серверные модели взаимодействия приложений; - знает основные сетевые технологии; - понимает Multithreading/GCD/NSOperationQueue; - отлично знает Interface Builder, Storyboard, AutoLayout; - имеет опыт работы с системами контроля версий Git;   Будем большим плюсом, если: - есть опыт коммерческой разработки на Objective-C (Swift будем плюсом) для iOS; - есть опубликованные IOS-приложения (AppStore).   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и шаблоны проектирования, понимает принципы SOLID. - знает iOS SDK (UIKit, Foundation, CoreGraphics, CoreLocation...;хорошо понимает клиент-серверные модели взаимодействия приложений.;" iOS;iOS; Swift; Objective-C; Git";0.0
2;88;34015550;IOS разработчик;Екатеринбург;0.0;200000.0;ИТ-ЛИНК;2019-10-10T09:23:29+0300;От 3 до 6 лет;Полный день;Полная занятость;Ищем профессиональных программистов в наш комфортабельный офис, который расположен в самом центре города в БЦ Панорама. Удаленной работы у нас нет! Что мы ждём:  Высшее техническое образование Опыт программирования нативных iOS-приложений на Objective-C (включая некоммерческие и хобби-проекты) Готовность разбираться в чужом коде и поддерживать единый стиль  Будет плюсом:  Опыт самостоятельной разработки интерфейсов Опыт поддержки устаревших версий iOS Умение работать без ТЗ, с самостоятельной фиксацией задач в таск-трекер по результатам обсуждений Готовность задавать вопросы и консультироваться с коллегами  Что мы можем предложить:  Зарплату 2 раза в месяц без задержек Быстрый компьютер, не сковывающий поток мысли Кофе из кофемашины, чай, печеньки :-) Работа в офисе , не рассматриваем кандидатов на удаленную работу! ;;Высшее техническое образование. Опыт программирования нативных iOS-приложений на Objective-C (включая некоммерческие и хобби-проекты). Готовность разбираться в чужом...;;"Pascal; Turbo Pascal; Objective-C; iOS";9.0
3;45;34035519;IOS разработчик;Ростов-на-Дону;60000.0;150000.0;GrowApp Solutions;2019-10-17T09:15:08+0300;От 1 года до 3 лет;Полный день;Полная занятость;Компании-разработчику мобильных приложений требуется iOS-разработчик уровня Middle или выше. В обязанности будет входить разработка известных и интересных проектов, среди которых:  социальные сети и сервисы знакомств (пример - Теамо.ру) букмекерская контора (Winline) охранные системы финансовые приложения курьерские службы и многие другие!    Заработная плата определяется по результатам собеседования.   Обязанности:  Разработка iOS-приложений Поддержка существующих проектов Тестирование собственного кода автоматическими тестами Изучение и внедрение новых возможностей iOS SDK    Требования:  Знание Objective-C или Swift Понимание внутренней работы с памятью в iOS Умение работать с базами данных Понимание многопоточности и умение работать с разными потоками Понимание основных структур данных (массивов, списков, и т. п.) Желание расти и развиваться в команде профессионалов    Условия:  Трудоустройство по ТК РФ Оплачиваемые больничные и отпуска Работа в комфортном офисе в центре города (отдельный этаж, кухня, игровая:-)) Премии по результатам работы Интересные проекты и карьерный рост Чай, кофе и печеньки всегда в наличии Корпоративный английский от лучших преподавателей ;  Трудоустройство по ТК РФ Оплачиваемые больничные и отпуска Работа в комфортном офисе в центре города (отдельный этаж, кухня, игровая:-)) Премии по результатам работы Интересные проекты и карьерный рост Чай, кофе и печеньки всегда в наличии Корпоративный английский от лучших преподавателей ;Знание Objective-C или Swift. Понимание внутренней работы с памятью в iOS. Умение работать с базами данных. Понимание многопоточности и...;Социальные сети и сервисы знакомств (пример - Теамо.ру). Букмекерская контора (Winline). Охранные системы. Финансовые приложения. Курьерские службы. И многие другие! ;"iOS; Objective-C; Git; SQL; Swift; MVC; MVP; VIPER";2.0
4;65;33722576;IOS Developer (Middle);Тюмень;80000.0;150000.0;Строительный Двор;2019-10-15T13:38:29+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи!Требования:  опыт разработки клиент-серверных приложений; знание Swift; понимание основных паттернов проектирования мобильных приложений; умение работать с базами данных (Core data, Realm, sqlite); опыт работы с CocoaPods, Pub, swift package manager; Публикация в AppStore; опыт работы с Git; опыт разработки UI/Unit тестов; умение работать с Auto Layout, UIKit.  Будет плюсом:  опыт работы с RxSwift, RxCocoa; опыт разработки клиент-серверных приложений.  Обязанности:  разработкой мобильного приложения для торговых представителей  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт разработки клиент-серверных приложений. Знание Swift. Понимание основных паттернов проектирования мобильных приложений. Умение работать с базами данных (Core data...;Разработкой мобильного приложения для торговых представителей.;"Git; iOS; AppStore; UI/Unit; Swift; Realm; SQLite; Auto Layout; CocoaPods; Core data; UIKit";3.0
5;85;33473812;IOS разработчик;Тюмень;60000.0;130000.0;Этажи, федеральная компания;2019-10-09T11:02:57+0300;От 1 года до 3 лет;Полный день;Полная занятость;Компания Этажи с 2000 года помогает клиентам найти оптимальное решение при поиске недвижимости, а также, предоставляет комплекс услуг, которые помогут безопасно оформить сделку.Ежемесячно к нам обращаются два миллиона клиентов с вопросами по работе с недвижимостью, а услугами компании пользуются в 8 странах и 87 городах. В компанию Этажи входит ИТ-подразделение ООО ESoft, где команды разрабатывают внутренние сервисы и автоматизированные системы. В подразделении есть разработчики, тестировщики, тех.поддержка, менеджеры продуктов и системные аналитики, всего 130 человек.В команде мобильной разработки 12 человек, они разрабатывают мобильное приложение на IOS и Android. Мы хотим усилить команду новыми разработчиками. Стек используемых технологий в команде iOS: Swift 4.2, RxSwift, Clean Architecture(VIP), Realm, Auto Layout/SnapKit, Quick/Nimble. У вас получится, если вы:  разрабатываете на iOS больше 1 года уверенно знаете Swift, iOS SDK, UIKit, CoreData, GCD работали с RxSwift и использовали JSON, REST API умеете работать с Git и пишете unit тесты знаете, что значит работать по Agile в продуктовой команде  Мы ищем разработчика, который:   примет участие в разработке мобильного приложения “Этажи: квартиры и дома”   примет участие в создании общей инфраструктуры и компонентов   сможет обмениваться опытом с коллегами и принимать участие в их развитии   сможет попробовать на практике современные технологии и подходы к разработке iOS приложений   Мы предлагаем:  гибкий график работы по согласованию с командой  возможность посещения профильных конференций и курсов обучений за счет компании   профессиональный и карьерный рост, курирования IT проектов   офис возле ТРЦ «Солнечный», на работу — без пробок :)   уровень заработной платы, который зависит от ваших технических знаний и навыков (оклад + задачи по KPI, бонусы за реализованные проекты)    ;  гибкий график работы по согласованию с командой  возможность посещения профильных конференций и курсов обучений за счет компании   профессиональный и карьерный рост, курирования IT проектов   офис возле ТРЦ «Солнечный», на работу — без пробок :)   уровень заработной платы, который зависит от ваших технических знаний и навыков (оклад + задачи по KPI, бонусы за реализованные проекты)    ;Стек используемых технологий в команде iOS: Swift 4.2, RxSwift, Clean Architecture(VIP), Realm, Auto Layout/SnapKit, Quick/Nimble. ;В команде мобильной разработки 12 человек, они разрабатывают мобильное приложение на IOS и Android. Мы хотим усилить команду новыми <highlighttext>разработчиками</highlighttext>. ;"iOS; CoreData; Objective-C; JSON";9.0
6;84;33970519;IOS разработчик;Тюмень;63333.33;130000.0;Минт Рокет;2019-10-08T09:39:46+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;"Требования:  Опыт разработки под iOS от 1 года; Понимание принципов ООП и паттернов проектирования; Знание языка Swift или Objective-C; Опыт работы с Git; Опыт разработки мобильных клиент-серверных приложений; Умение эффективно использовать сторонние библиотеки; Умение и желание писать чистый и понятный код; Умение работать в команде;  Будет плюсом:  Наличие опубликованных проектов в Apple Store.  Что мы предлагаем:  Работа над крупными проектами для отечественных и иностранных заказчиков; Вы сможете увидеть результаты своей работы практически сразу после выполнения задачи, почувствовать себя действительно важным участником проекта, от работы которого зависит успех всей компании; В зависимости от вашего опыта, возможностей и амбиций мы можем предложить, как простые, так и задачи архитектурного и инфраструктурного характеров; Коллеги, открытые к коммуникациям, которые помогут в работе и адаптации на новом месте; Пятидневная рабочая неделя: с 9:00 до 18:00 (по согласованию можно менять график); Изучение новых технологий на практике; Интересные и сложные задачи; Возможность роста и курирования IT проектов; Кофе, печеньки; ";;Опыт разработки под iOS от 1 года. Понимание принципов ООП и паттернов проектирования. Знание языка Swift или Objective-C. ;Работа над крупными проектами для отечественных и иностранных заказчиков.;"iOS; Objective-C; Git; Swift; RxSwift; VIPER; Clean Architecture; Unit Testing";10.0
7;71;34100366;IOS Developer / Middle;Омск;80000.0;120000.0;Эксело Медиа;2019-10-15T15:29:02+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности  Разработка iOS приложений с нуля. Поддержка и доработка существующих проектов. Подготовка и публикация приложений в AppStore.  Требования  Уверенное знание Swift (опыт от 2 лет), iOS SDK. Знание Objective-C (достаточно базовых знаний). Глубокое понимание паттернов проектирования (MVC/MVP/VIPER), REST, классических алгоритмов и структур данных. Обязательно опыт работы с In App Purchases. Знание CocoaPods. Опыт работы с Git (знать Git flow). Опыт разработки коммерческих приложений. Наличие опубликованных приложений в AppStore.  Приветствуется  Опыт работы от трех лет. Today Extension, Siri Extension и другие. Universal/Deep Linking. Url schemes. Умение находить ответы на вопросы самостоятельно в гугле, Stackoverflow и на хабре. Желание изучать и использовать новые подходы и технологии. Умение оценивать объем и сроки работ.  Условия  Работа ведется в тесном контакте с командой разработки: продукт-менеджерами, маркетологами и дизайнерами. Это идеальные условия для профессионального развития и роста. Мы работаем с удовольствием и просыпаемся по утрам без мысли «когда же пятница». У нас молодой дружелюбный коллектив, где каждый с уважением относится друг к другу. Просторный офис в центре Омска. Изучение английского языка внутри компании. Комната отдыха: playstation на проекторе‚ настольный теннис‚ покер по вечерам. Компенсация обедов. Соблюдение ТК РФ. Кофе, чай и плюшки без ограничений. Корпоративы и тимбилдинги. Рост зарплаты с ростом опыта и эффективности. ;;Уверенное знание Swift (опыт от 2 лет), iOS SDK. Знание Objective-C (достаточно базовых знаний). Глубокое понимание паттернов проектирования (MVC...;Разработка iOS приложений с нуля. Поддержка и доработка существующих проектов. Подготовка и публикация приложений в AppStore.;"Objective-C; Git; iOS";3.0
8;68;34096593;IOS разработчик (удаленно);Санкт-Петербург;0.0;120000.0;Элком +;2019-10-18T13:50:00+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"О компании и продукте  Международная IT компания, разработчик программных продуктов диспетчеризации и аппаратных средств для систем технологической радиосвязи: офисы компании - в России (Томск, Москва, Санкт-Петербург, Иркутск), в США (Майями); аккредитованный партнёр по разработке приложений «Motorola Solutions», Платиновый партнёр «Motorola Solutions» - ведущего производителя цифрового радиооборудования в мире; ключевые продукты – диспетчерское ПО SmartPTT, Smart PTT Express, Radius-IP работают 365 дней в году, 24 часа в сутки, в 73 страна мира, помогая добывать и транспортировать полезные ископаемые, обеспечивать подачу тепла и электроэнергии людям, охранять правопорядок, спасать человеческие жизни.  Задачи  Разработка нового протокола взаимодействия с сервером; Реализация отображения визуальной составляющей; Реализация новых функций в продукте (передача голоса, данных и тп).  Мы ожидаем  Опыт программирования под iOS от двух лет (middle/senior); Владение Swift 3, Swift 4; Знание и умение применять принципы ООП и шаблоны проектирования; Широкий кругозор в области мобильной разработки и смежных направлений; Умение оценивать и выдерживать сроки выполнения задач; Знание английского языка на уровне чтения технической документации.  Плюсы для вас  Интересная работа в динамичной международной Компании в сфере высоких технологий; Возможна удаленная работа; Полное соблюдение ТК РФ, соцпакет; Продуктовая разработка - в стратегических планах компании активное развитие направления мобильной разработки; Возможность профессионального обучения и участия в конференциях; Достойная, полностью белая заработная плата (фикс определяется индивидуально по результатам собеседования в зависимости от уровня кандидата); Уникальная система наставничества и обучения каждого сотрудника на основе индивидуальных планов развития; Развитие профессионального и управленческого потенциала - всё зависит от Ваших амбиций. ";;Опыт программирования под iOS от двух лет (middle/senior). Владение Swift 3, Swift 4. Знание и умение применять принципы ООП...;Разработка нового протокола взаимодействия с сервером. Реализация отображения визуальной составляющей. Реализация новых функций в продукте (передача голоса, данных и тп).;"iOS; Swift";0.0
9;31;32681151;Swift разработчик;Новосибирск;70000.0;100000.0;FullStack;2019-10-17T23:55:13+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Требуется iOS разработчик для работы в команде над мульти-платформенным продуктом (Android, iOS) в сфере горнолыжного спорта. Продукт свой, никакого аутсорса, поэтому самые высокие требования к качеству кода и приложения в целом. Что из себя представляет продукт и остальные детали расскажем на собеседовании.   Требования:  Знание Swift, iOS SDK, CoreData, Xcode, iOS Guidelines; Знание принципов ООП и шаблонов проектирования; Желателен опыт разработки клиент-серверных приложений; Технический английский;    Что мы предлагаем:  Оформление в соответствии с ТК РФ; Оплачиваемые занятия спортом; Оплачиваемое питание; Гибкий график работы; ";;Знание Swift, iOS SDK, CoreData, Xcode, iOS Guidelines. Знание принципов ООП и шаблонов проектирования. Желателен опыт разработки клиент-серверных приложений. ;;" iOS;iOS; Swift; Objective-C; Git";1.0
