;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;50;34085080;Senior asp.net developer (Ведущий asp.net разработчик/ C#);Москва;150000.0;300000.0;Аналитические решения;2019-10-18T08:40:35+0300;От 3 до 6 лет;Полный день;Полная занятость;"В связи с развитием новых проектов мы в поисках крутых C# разработчиков, которые любят интересные задачи и готовы покорять новые вершины вместе с нами. Наши продукты - сложные высоконагруженные системы. У нас Вы можете выбрать удобный график работы и иногда работать из дома. Каждый день наши разработчики сталкиваются с интересными задачами: финансовые сервисы, микросервисная архитектура, аналитические и интеграционные системы, машинное обучение, рекомендательные системы, анализ данных, поисковые системы, парсеры и многое другое. В разработке мы используем современные инструменты и методологии - SRCUM, TeamCity для CI\CD, Bitbucket и Git Flow для управления версиями, Jira для управления разработкой и есть своя база знаний на базe Confluense. Если эта вакансия для вас, но у вас недостаточно опыта или больше потребности — напишите об этом в сопроводительном. Рассматриваем кандидатов за рамками вакансии. Что мы предлагаем:  Высокую БЕЛУЮ зарплату и оформление строго по ТК РФ с первого рабочего дня; Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы; В решении задач использовать широкий стек технологий - .Net Core, C#, ASP.NET, WebAPI, Microservices, RabbitMQ, KAFKA, ElasticSearch, MS SQL Server, PostgreSQL, Vue.js Все, что нужно для комфортной работы:  Современное рабочее место с мощным ноутбуком, вторым монитором и любыми аксессуарами, которые сделают разработку удобной и быстрой; Возможность организовывать и участвовать в meetup встречах на территории офиса; Посещение конференций, например, HighLoad++, DevConf; Медицинское страхование (ДМС, включая стоматологию); Компенсация обедов, бесплатные чай / кофе; Место в основном составе волейбольной команды OTC.RU; Комфортный и креативный офис в БЦ А класса (м. Нагатинская); Лояльное руководство; Прозрачность рабочего процесса, демократичность; Гибкий график и возможность работать из дома при необходимости; Отсутствие дресс-кода.    Чего мы ждем от Вас:  Опыт разработки с использованием C#, ASP.NET MVC от 3 лет; Опыт работы с MSSQL или PostgreSQL от 2 лет; Опыт разработки web приложений от 1 года; Уверенное знание html, css, javascript; Опыт работы с одним из js фреймоворков и пониманием паттернов, которые они используют; Желание и умение работать в команде; Уметь работать с требованиями и оценивать предстоящие задачи; Хороший технический английский. Чтение документации, статей, профессиональных книг на английском; Желание развиваться и развивать продукты, над которыми придется работать; Будет плюсом, если: работали с микросервисами .NET Core / Vue.js     ";;Опыт разработки с использованием C#, ASP.NET MVC от 3 лет. Опыт работы с MSSQL или PostgreSQL от 2 лет. ;Разрабатывать продукт, которым ежедневно пользуются тысячи клиентов. Разрабатывать архитектурные решения, оптимизировать существующие алгоритмы и процессы. Возможность организовывать и участвовать в...;"JavaScript; Git; ASP.NET; MS SQL; C#; SQL; MVC; RabbitMQ; PostgreSQL; Высоконагруженные системы; Микросервисы; KAFKA; Python; NET Core; Vue.js";1.0
1;12;33750077;Старший Web-разработчик .Net Core + Angular;Санкт-Петербург;180000.0;250000.0;Alloy Software Inc.;2019-10-18T16:24:15+0300;Более 6 лет;Полный день;Полная занятость;"Компания Alloy Software – ведущий разработчик программных решений для технической поддержки и управления IT-активами. Мы ищем старшего разработчика в отдел веб-разработки. Предполагается, что это опытный специалист, который будет вести разработку нового облачного решения, а также поддерживать уже существующие продукты компании. Требования:  Опыт работы с C# (.Net Core) Знание JavaScript Опыт работы с Angular = 2 Опыт работы с облачными платформами (предпочтительно AWS) Отличное знание принципов ООП, шаблонов проектирования Кандидат должен иметь 3 – 6 лет опыта проектирования и разработки приложений уровня Enterprise. Технический английский – intermediate low (reading)  Будет плюсом:  Опыт работы с SQL (T-SQL, PostgreSQL) Опыт работы с WebForms/MVC Опыт работы с JQuery, extJS Опыт вёрстки страниц HTML5, CSS3; Опыт разработки стилей с использованием LESS или SASS Опыт работы с Docker Понимание шаблонов интеграции корпоративных приложений, архитектурных фреймворков, концепции DDD  Обязанности:  Участие в проекте по разработке ПО в области IT Service Management, на Senior позиции. Поддержка работы приложений, сопровождение разработанного ПО Участие в проектировании архитектуры новых распределенных приложений Участие в составлении технической (не пользовательской) документации на разрабатываемое ПО Анализ требований к продукту, участие в их обсуждении Помощь другим разработчикам, контроль за общим качеством кода продукта Поддержка принятых в компании процедур разработки, отчеты о результатах Самому писать много хорошего кода  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ;"Опыт работы с C# (.Net Core). Знание JavaScript. Опыт работы с Angular &gt;= 2. Опыт работы с облачными платформами (предпочтительно AWS). ";Анализ требований к продукту, участие в их обсуждении. Помощь другим <highlighttext>разработчикам</highlighttext>, контроль за общим качеством кода продукта. Поддержка принятых в...;" C#; SQL;C#; Git; .NET Framework";0.0
2;77;33776535;Senior Full-Stack Developer (C#, MS-SQL, Javascript);Санкт-Петербург;180000.0;250000.0;TradeTheNews.com;2019-10-17T00:41:30+0300;Более 6 лет;Удаленная работа;Полная занятость;"Remote Senior Full-Stack Developer (C#, MS-SQL, Javascript)   Required work experience: more than 8 years, fluent oral English is obligatoryFull time, remote work from homeTradeTheNews.com - financial news analysis company, invites 2-3 new employees. Majority of people in our team speak two languages: Russian and English. That is a good opportunity to improve your skills of working on the challenging projects.Note: You will work directly with the company founder and his engineering team. The company works 24 hours/6 days a week and provide services to clients based in more than 100 countries all over the world. We are able to adjust to your working schedule, if will find a right candidate. You will work using the most modern technologies making outstanding and significant things for our grateful clients; youre going to cooperate with energetic, smart and goal-seeking technical specialists. Opportunity to work during the whole project life cycle.Required skills:  Experience in web development, including ASP.NET MVC and Webapi; Multi-threading development deep understanding; In-depth knowledge of modern JavaScript, including React framework; Experience with ElectronJS, including C#; Experience with modern HTML and CSS.  Bonus skills:  Experience with web real-time pushing technologies like websocket, SignalR; Experience with Elastic Search.  Required experience:  Professional development experience with .Net and C# language 5+ years of JavaScript  web-development Experience with relational database design and development (SQL, MSSQL) EDUCATION: Degree of computer science / higher mathematics or other natural science preferred, Master or PHD degree is welcomed. Fluent oral and written English is obligatory  Responsibilities:  Work in the group on a global level. You should be responsible, passionate and active person, who wants to be a part of an elite team in creation new solutions to change and reinvent the way the world works.    APPLY: If your skills match the requirements for this challenging opportunity, please send us your resume today! Please do not apply if you dont have the required experience.";;"5+ years of JavaScript &amp; web-<highlighttext>development</highlighttext>. Experience with relational database design and <highlighttext>development</highlighttext> (SQL, MSSQL). EDUCATION: Degree of computer...";;"C#; CSS; HTML; SPA frameworks; .NET Framework; SQL; MS SQL; Webapi; Typescript; ReactJS; websocket; JavaScript; ASP.NET; SignalR; MVC";2.0
3;58;33825412;Ведущий программист C++;Казань;160000.0;243000.0;Тензор;2019-09-30T09:56:52+0300;От 3 до 6 лет;Гибкий график;Полная занятость;"Тензор – это крупная российская IT-компания. Наш основной продукт СБИС–сеть деловых коммуникаций. СБИС позволяет решать в одной программе все задачи современной компании: сдавать отчетность, обмениваться документами, проверять партнеров и искать торги, общаться через видеозвонки и вебинары и многое другое. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. Позиция ведущего программиста предполагает не просто кодирование, а управление кодом, проектирование архитектуры систем. Причем не только и не столько своими руками, сколько руками команды (от трех до десяти человек). Вы сможете попробовать применить на практике любые методики управления, но от вас всегда будет требоваться результат. Чтобы руководить разработкой вы должны быть сами отличным разработчиком. И всегда стремится изучать новое. Задавать себе вопрос: “Как сделать еще лучше?” …   Мы ждем от Вас:  Знания в области C++ ; SQL Понимание принципов ООП; Желание и умение писать красивый, структурированный, системный код; Опыт и желание руководить группой;  Мы предлагаем:  Интересные задачи, работа с BigData (анализ, получение, хранение); Хороший, дружный коллектив; Собственную группу разработчиков для реализации поставленных задач. Официальное трудоустройство по ТК РФ; Премии по результатам работы; ДМС после года работы в компании; Курсы английского языка; Компенсация занятий спортом; Уютный, современный офис в центре города. ";"  Интересные задачи, работа с BigData (анализ, получение, хранение); Хороший, дружный коллектив; Собственную группу разработчиков для реализации поставленных задач. Официальное трудоустройство по ТК РФ; Премии по результатам работы; ДМС после года работы в компании; Курсы английского языка; Компенсация занятий спортом; Уютный, современный офис в центре города. ";"Знания в области C++ ; SQL. Понимание принципов ООП. Желание и умение писать красивый, структурированный, системный код. Опыт и желание руководить...";Интересные задачи, работа с BigData (анализ, получение, хранение).;" C#; SQL;C#; Git; .NET Framework";18.0
4;50;34090338;Ведущий программист C++;Новосибирск;146000.0;230000.0;Тензор;2019-10-15T10:59:59+0300;От 3 до 6 лет;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. Задачи, которые вам предстоит реализовывать - многогранны и весомы. В основном это проекты федерального масштаба . Позиция ведущего программиста предполагает не просто кодирование, а управление кодом, проектирование архитектуры систем. Причем не только и не столько своими руками, сколько руками команды (от трех до десяти человек). Вы сможете попробовать применить на практике любые методики управления, но от вас всегда будет требоваться результат. Чтобы руководить разработкой вы должны быть сами отличным разработчиком. И всегда стремится изучать новое. Задавать себе вопрос: “Как сделать еще лучше?” … Мы ждем от Вас:  Знания в области C++ ; Понимание принципов ООП; Желание и умение писать красивый, структурированный, системный код; Опыт и желание руководить группой; Способность работать в команде; Опыт работы от 5 лет.  Мы предлагаем:  Интересные задачи, работа с BigData (анализ, получение, хранение); Заработная плата в зависимости от квалификации и уровня ответственности; Оформление по ТК РФ; ДМС после года работы в компании; Премии от 5 до 20% по итогам работы за месяц; Корпоративные праздники, совместные мероприятия, курсы иностранных языков.   ";"  Интересные задачи, работа с BigData (анализ, получение, хранение); Заработная плата в зависимости от квалификации и уровня ответственности; Оформление по ТК РФ; ДМС после года работы в компании; Премии от 5 до 20% по итогам работы за месяц; Корпоративные праздники, совместные мероприятия, курсы иностранных языков.   ";Знания в области C++ . Понимание принципов ООП. Желание и умение писать красивый, структурированный, системный код. Опыт и желание руководить группой. ;Интересные задачи, работа с BigData (анализ, получение, хранение).;" C#; SQL;C#; Git; .NET Framework";3.0
5;90;33942960;Senior Machine learning developer (C++);Тюмень;146000.0;230000.0;Тензор;2019-10-07T09:09:16+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. У нас всегда много планов и задумок, и именно поэтому мы в поиске опытного специалиста по машинному обучению. Большое разнообразие продуктов компании позволит вам применить свои знания в интересующей вас области машинного обучения. А большое количество клиентов не оставит вас без данных для обучения. Мы ждем от Вас:  Экспертные знания C++ или Python; Опыт промышленного использования Machine Learning и Deep Learning; Опыт и желание руководить группой таких же единомышленников; Опыт работы от 5 лет, в направлении ML/DL от 2-х лет.  Мы предлагаем:  Интересные задачи; ДМС после года работы в компании; Премии по итогам работы за месяц; Корпоративные праздники, совместные мероприятия, курсы иностранных языков.  А еще у нас один из лучших офисов в городе с несколькими собственными кафе (одно из них в летнем саду на крыше), своим спортзалом, столовой и кучей других удобств.";"  Интересные задачи; ДМС после года работы в компании; Премии по итогам работы за месяц; Корпоративные праздники, совместные мероприятия, курсы иностранных языков.  А еще у нас один из лучших офисов в городе с несколькими собственными кафе (одно из них в летнем саду на крыше), своим спортзалом, столовой и кучей других удобств.";Экспертные знания C++ или Python. Опыт промышленного использования Machine Learning и Deep Learning. Опыт и желание руководить группой таких же...;;" C#; SQL;C#; Git; .NET Framework";12.0
6;14;34160544;Разработчик C++ (Qt);Москва;200000.0;230000.0;Новотранс Актив;2019-10-18T12:35:01+0300;От 3 до 6 лет;Полный день;Полная занятость;"Описание: На проект по разработке Системы внутреннего технологического документооборота для вагоноремонтных предприятий требуется разработчик бизнес-приложений на кроссплатформенном фреймворке Qt на языке С++. Обязанности: - проектирование/разработка мобильных приложений для ОС Android на платформе Qt (C++), связанных с вагоноремонтной отраслью; - работа с обратной связью и улучшение программных решений. Требования: - высшее техническое образование; - требуемый опыт работы: от 3 лет; - опыт разработки на платформе Qt/C++; - знания методологий разработки, ООП, принципов SOLID паттернов проектирования и рефакторинга, понимание современных подходов к архитектуре и разработке, использование unit-тестирования, continuous integration; - опыт использования средств контроля версий git; - успешно законченные проекты в портфолио, демонстрирующие наличие декларируемых навыков;- знание технического английского; - высокая личная ответственность за результат, желание активно развиваться и самообучаться. Условия: - полная занятость, полный день; - расположение офиса: БЦ «Аэродом» (м. Динамо);- з/п по результатам собеседования (от 200.000 руб. до 230.000 руб.); - комфортное рабочее место, всё необходимое для работы оборудование и ПО;- оформление по ТК РФ, ДМС.  ";" - полная занятость, полный день; - расположение офиса: БЦ «Аэродом» (м. Динамо);- з/п по результатам собеседования (от 200.000 руб. до 230.000 руб.); - комфортное рабочее место, всё необходимое для работы оборудование и ПО;- оформление по ТК РФ, ДМС.  ";высшее техническое образование. - требуемый опыт работы: от 3 лет. - опыт разработки на платформе Qt/C++. - знания методологий разработки, ООП, принципов...;На проект по разработке Системы внутреннего технологического документооборота для вагоноремонтных предприятий требуется <highlighttext>разработчик</highlighttext> бизнес-приложений на кроссплатформенном фреймворке Qt на...;"Git; Qt; Android; ООП; C++; Linux; PostgreSQL; SQL";0.0
7;89;25931766;Ведущий программист С# (Unity 3D)/ Lead разработчик;Ростов-на-Дону;120000.0;200000.0;Craft Games - разработка и продвижение игр для мобильных устройств;2019-10-18T15:11:05+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Приглашаем в нашу команду Ведущего программиста С# (Unity 3D)/ Lead разработчика для руководства разработкой мобильной игры (мобильный мультиплеерный шутер). Требования к кандидату:   Отличное знание C#, Unity;   Коммерческий опыт разработки мобильных игр от 3 лет, ведущим программистом/лидом от года;   Знание структур данных и алгоритмов обработки данных;   Практические знания DI, IoC, DI-контейнеры (zenject, ninject), GoF;   Умение разбираться в чужом коде;   Умение работать с различными системами контроля версий (Git, SVN, Mercurial);   Знания паттернов проектирования.   Задачи:   Разработка игр на unity3d (C#);   Проработка механик в тесном сотрудничестве с гейм-дизайнером;   Разработка архитектуры и механик игры (игра на Unity);  Руководство командой разработки (3 программиста); Code review.  Условия работы:  Участие в разработке интереснейшего проекта; Оформление по ТК, полный социальный пакет; Уровень дохода высокий, определяется индивидуально по результатам собеседования, с максимальным учетом ваших ожиданий; Бесплатные курсы английского языка; Вакансия открыта в г. Ростов-на-Дону, рассматриваем кандидатов, готовых к переезду, оказываем помощь в релокации; Рассматриваем кандидатов, готовых к удаленной работе; Работает система бонусов за успешную рекомендацию.     ";;Коммерческий опыт разработки мобильных игр от 3 лет, ведущим <highlighttext>программистом</highlighttext>/лидом от года. Знание структур данных и алгоритмов обработки данных. ;...тесном сотрудничестве с гейм-дизайнером. Разработка архитектуры и механик игры (игра на Unity). Руководство командой разработки (3 <highlighttext>программиста</highlighttext>). Code review.;"С#; Unity; Git";0.0
8;58;33801718;Ведущий/Старший программист (.Net C# Developer);Москва;150000.0;200000.0;Центр инноваций и информационных технологий;2019-10-18T09:40:11+0300;От 1 года до 3 лет;Полный день;Полная занятость;"О нас: Фонд Центр инноваций и информационных технологий при Федеральной нотариальной палате занимается разработкой платформы обработки юридических сведений. У нас большая информационная система, которая состоит из множества подсистем. Интегрирована с банками, реестрами и другими высоконагруженными системами. Вокруг нашего решения строится инфраструктура из интернет порталов, личных кабинетов и автоматизированных рабочих мест. Свой ЦОД и Удостоверяющий центр.   Наши задачи: Сейчас мы переходим на новую стадию развития наших продуктов и активно разрабатываем новые сервисы. Новые продукты строим на основе микросервисной архитектуры, существующие модернизируем. Стек технологий: back: Java, .Net, docker; front: Angular, Php, .Net; db: Oracle, Mysql.   Основные требования:  Уверенное знание платформы .Net Core; Опыт разработки сервисов WebApi, Asp.Net; Высокий уровень работы с реляционными СУБД; Опыт работы с WinForms, WPF; Коммуникабельность, открытость, дружелюбность.    Будет плюсом: Docker; RabbitMQ, Kafka; Oracle, MySQL, Redis; Angular, Php;   Если какие-то технологии незнакомы, но есть желание изучить, то мы готовы обсуждать. Мы будем рады разработчикам разных уровней.   Обязанности:  Проектирование и разработка интерфейсов приложений, технологических и прикладных микросервисов платформы; Разработка интеграционных сервисов; Написание автотестов, исправление багов, участие в ревью кода; Выработка предложений по рефакторингу, участие в создании и развитии внутренних стандартов и практик.    Мы предлагаем:  «Белую» заработную плату, оформление по ТК РФ; Ежемесячное премирование до 20% от оклада; Ежегодная индексация заработной платы; ДМС после прохождения испытательного срока; 100% оплата больничного после полугода работы; Материальная помощь к отпуску в размере оклада после года работы; Различные программы обучения и повышения квалификации; Комфортный офис в центре Москвы в 5 минутах от метро. ";"  «Белую» заработную плату, оформление по ТК РФ; Ежемесячное премирование до 20% от оклада; Ежегодная индексация заработной платы; ДМС после прохождения испытательного срока; 100% оплата больничного после полугода работы; Материальная помощь к отпуску в размере оклада после года работы; Различные программы обучения и повышения квалификации; Комфортный офис в центре Москвы в 5 минутах от метро. ";Уверенное знание платформы .Net Core. Опыт разработки сервисов WebApi, Asp.Net. Высокий уровень работы с реляционными СУБД. Опыт работы с WinForms...;Проектирование и разработка интерфейсов приложений, технологических и прикладных микросервисов платформы. Разработка интеграционных сервисов. Написание автотестов, исправление багов, участие в ревью...;"ASP.NET; Entity Framework; .NET Framework; C#; Windows Forms; SQL; MVC; WPF; WCF";0.0
9;72;33811525;С# Developer;Санкт-Петербург;150000.0;200000.0;B2Broker;2019-10-18T15:09:28+0300;От 3 до 6 лет;Гибкий график;Полная занятость;"Международная компания B2Broker — это финтех, разработчик и провайдер технологий для брокерских компаний, банков и инвестиционных фондов. Мы не занимаемся брокерской деятельностью — но предлагаем законченные решения для других компаний. С чем предстоит работать:   Торговая система на .Net Core под Linux;   С сервисной организацией;   И многопоточной обработкой.   Что мы ожидаем:   Имеет опыт разработки C# с использованием .Net Core от 5 лет;   Обладает отличным знанием ASP.Net Core;   Владеет опытом написания Unit и интеграционных тестов (NUnit, XUnit, MSTest);   Знает SQL и умеет оптимизировать запросы;   Знает структуры хранения данных и алгоритмы работы с ними;   Технически грамотен;   Обладает аналитическими навыками;   Имеет образование в области прикладной математики или информационных систем;   Имеет опыт разработки с применением концепций: асинхронности, lock-free структур, много-поточности и распределённых систем;   Имеет опыт работы с различными протоколами обмена информацией;   Используемые технологии:   C# / ASP.NET Core;   PostgreSQL / и др. БД;   HTTP(S) / SignalR / gRPC;   Protobuf / JSON / XML / NATS;   Docker / AWS.   Мы предлагаем:   Оформление по ТК РФ;   Возможность оплачиваемой релокации в СПб;   ДМС со стоматологией после испытательного срока;   Возможность практики английского языка;   Неограниченный профессиональный рост и возможность работать в развивающейся международной компании;   Ресурсы на реализацию смелых идей;   Работу по гибкому графику в уютном офисе в центре города.  ";"   Оформление по ТК РФ;   Возможность оплачиваемой релокации в СПб;   ДМС со стоматологией после испытательного срока;   Возможность практики английского языка;   Неограниченный профессиональный рост и возможность работать в развивающейся международной компании;   Ресурсы на реализацию смелых идей;   Работу по гибкому графику в уютном офисе в центре города.  ";Имеет опыт разработки C# с использованием .Net Core от 5 лет. Обладает отличным знанием ASP.Net Core. Владеет опытом написания Unit...;Торговая система на .Net Core под Linux. С сервисной организацией. И многопоточной обработкой.;" C#; SQL;C#; Git; .NET Framework";0.0
