;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;58;33961663;Программист Python (Middle);Санкт-Петербург;110000.0;150000.0;Энерджи Софт;2019-10-16T13:47:39+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Совместно с норвежской Fintech-компанией, базирующейся в Бергене, ищем в команду Python разработчика. Основа бизнеса: услуги и продукты в сфере инвестиций. Клиентами являются крупные европейские банки (в первую очередь скандинавских стран), управляющие компании и частные инвесторы. Посредством открытых API и алгоритмов машинного обучения мы расширяем возможности наших инвестиционных компонентов для партнеров, чтобы предоставить их клиентам разные инструменты - от автоматических недорогих портфелей сбережений до сложных инвестиционных стратегий, обычно предназначенных для физических лиц HNW. В конечном счете, мы стремимся демократизировать создание материальных ценностей, предлагая сложные финансовые консультации для всех. Наша команда состоит из специалистов, предпринимателей, трейдеров и разработчиков PhD. Схема работы выглядит примерно так:   Мы покупаем информацию у различных партнеров-поставщиков (данные о ежедневных котировках и другие финансовые показатели);   DataScientist выбирает методики и разрабатывает алгоритмы для первичной обработки и подготовки полученных данных;   Разработчик интегрирует эти алгоритмы и методики в существующий процесс, т.н. Pipeline;   Pipeline - это почти полностью автоматизированный многоэтапный процесс обработки и подготовки данных, который состоит из инфраструктуры (серверы, хранилища) и логики (скрипты на Python);   На выходе из Pipeline мы имеем “готовые” данные, представленные в удобной форме для дальнейшей работы финансовых аналитиков.   Также нами разработаны:   Robo-adviser, помогающий неопытным инвесторам принимать решение о том, куда и сколько инвестировать;   Веб-приложение, предоставляющее удобный интерфейс для работы с нашими данными на более “низком” уровне. Инструмент для продвинутых специалистов в области финансов;   Бэкенд-система, осуществляющая “тяжелые” расчеты в фоновом режиме (rabbitmq, celery).   Мы ищем в команду специалиста для работы в первую очередь над Pipeline-ом. Для этого требуется:   Хорошее знание языка и экосистемы Python;   Хорошее знание структур данных и алгоритмов эффективной обработки (поиск, трансформация);   Очень желательно иметь опыт работы с пакетом pandas;   Умение работать с инфраструктурой на уровне продвинутого пользователя (windows, linux shell). В команде есть выделенные DevOps infrastructure инженеры, но они занимаются более глубокой настройкой и поддержкой;   Владение английским на разговорном уровне для общения с иностранными коллегами.   Предпочтительно:   Знание платформы Azure (виртуальные серверы, хранилища) и опыт работы с различными облачными сервисами;   Опыт построения сложных, устойчивых систем.   Условия:  Возможность присоединиться к одной из самых интересных FinTech-компаний Норвегии; Гибкий график; Корпоративный английский язык; Трудоустройство согласно ТК РФ. ";"  Возможность присоединиться к одной из самых интересных FinTech-компаний Норвегии; Гибкий график; Корпоративный английский язык; Трудоустройство согласно ТК РФ. ";Хорошее знание языка и экосистемы Python. Хорошее знание структур данных и алгоритмов эффективной обработки (поиск, трансформация). Очень желательно иметь опыт...;Мы покупаем информацию у различных партнеров-поставщиков (данные о ежедневных котировках и другие финансовые показатели). DataScientist выбирает методики и разрабатывает...;Python;2.0
1;19;33698182;Программист Python;Тюмень;60000.0;120000.0;Оранж Рокетс;2019-09-20T16:14:43+0300;От 1 года до 3 лет;Полный день;Полная занятость;В связи с увеличением задач нам нужны помощники в команду разработчиков.Обязанности:  Участие в разработке серверной части мобильного приложения.  Требования:  Знание языка Python и фреймворка Django Хорошее знание SQL и опыт работы с PostgreSQL Желательно:  Опыт работы с AWS      Условия:  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;Знание языка Python и фреймворка Django. Хорошее знание SQL и опыт работы с PostgreSQL. Желательно: Опыт работы с AWS.;Участие в разработке серверной части мобильного приложения.;"Python; Django Framework; Git; PostgreSQL; ООП";28.0
2;52;33833014;Программист Python;Москва;100000.0;120000.0;Смарт Текнолоджис,ООО;2019-10-18T12:59:32+0300;От 3 до 6 лет;Полный день;Полная занятость;"Описание вакансии Мы ищем в наш проект талантливых программистов с опытом коммерческой разработки. Вам предстоит работать над уникальным проектом в сфере ИИ. Если вы более 3 лет работаете с python, знаете разницу между списком и кортежем, понимаете как устроен словарь и где его нужно применять то это вакансия для вас. Требования:  Опыт коммерческой разработки. Опыт работы python программистом более 3х лет. Отличное знание Python(3.6), ООП, паттернов проектирования. Наличие реализованных проектов на Python. Знание реляционных СУБД и языка SQL. Опыт работы в ОС Linux (Debian/Ubuntu) на уровне пользователя, также базовые знания на уровне программиста. Знанием систем контроля версий и умение с ними работать(git). Английский язык на уровне свободного чтения технической документации. Будет плюсом опыт работы с Elasticsearch, PHP, NodeJs.  Что нужно делать:  Разработка и поддержка приложений в сфере ИИ. Разработка диалоговых систем. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового. Написание тестов. Решение нестандартные задач и изучение новых технологий.    Условия:  Участие в уникальных передовых проектах в сфере ИИ и голосовых технологий; Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив.  PS: Ищутся кандидаты только с опытом, начинающих просьба не беспокоить.";"  Участие в уникальных передовых проектах в сфере ИИ и голосовых технологий; Возможности для профессионального развития. Командная работа, общение и обмен опытом. Дружный и творческий коллектив.  PS: Ищутся кандидаты только с опытом, начинающих просьба не беспокоить.";"Опыт коммерческой разработки. Опыт работы python <highlighttext>программистом</highlighttext> более 3х лет. Отличное знание Python(&gt;3.6), ООП, паттернов проектирования. ";Разработка и поддержка приложений в сфере ИИ. Разработка диалоговых систем. Реализация бизнес-логики. Рефакторинг старого кода и проектирование нового. ;"Git; Linux; SQL; ООП; JavaScript; Nginx; MySQL";0.0
3;88;33941667;Программист Python;Тюмень;70000.0;110000.0;Тензор;2019-10-07T08:15:54+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 центрах разработки. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России. Мы будем рады узнать о наличии у вас:  опыта разработки на указанных выше ЯП или любом диалекте SQL; способности чувствовать «красоту кода»; опыта командной разработки; профильного (ИТ/инженерного) образования; желания развиваться – как вместе с нами, так и самостоятельно.    Мы предлагаем:  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";"  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия. ";Опыта разработки на указанных выше ЯП или любом диалекте SQL. Способности чувствовать «красоту кода». Опыта командной разработки. Профильного (ИТ/инженерного...;;"SQL; Python; PostgreSQL";12.0
4;67;29974997;Python программист (middle);Тюмень;60000.0;100000.0;Строительный Двор;2019-10-15T13:38:29+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт работы от 2+ года в разработке Python, или других языках; практический опыт работы с операционными системами семейства *nix; опыт использования какой-либо реляционной СУБД (MySQL, Postgre SQL, SQL Server, Oracle); использование тестов в процессе разработки, покрытие своего кода тестами; работа в команде разработчиков.  Обязанности:  качественное и своевременное исполнение задач web-проекта и непосредственного руководителя; поддержка и доработка уже существующих сайтов; разработка концепции развития веб-сервера; оптимизация БД и запросов‚ сопровождение существующего кода.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";...СУБД (MySQL, Postgre SQL, SQL Server, Oracle). Использование тестов в процессе разработки, покрытие своего кода тестами. Работа в команде <highlighttext>разработчиков</highlighttext>.;Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб...;"Python; MySQL; SQL; ORACLE; СУБД";3.0
5;93;33939143;Middle Python Developer;Новосибирск;80000.0;100000.0;Группа Компаний СТАРТЕКС;2019-10-18T21:09:20+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Команда разработки крупного федерального интернет-магазина ищет опытного back-end (SQL + Django) разработчика: более 100 Гб медиа-данных, 10+ тыс. уникальных посетителей в сутки, 10+ млн. записей в основной БД проекта. Развитая клиентская и администраторская часть, автоматизация работы в ERP-системе, интеграции с внешними сервисами, а так же ряд других интернет-проектов внутри холдинга - все это гарантирует разносторонние и сложные задачи. Внимание! Удаленная работа допустима, но только для жителей Новосибирска, потому что требуется посещение офиса раз в неделю на планерку и обмен информацией с коллегами! Фронт работ:  участие во всем процессе разработки, начиная с проектирования web-приложений и сервисов, заканчивая итоговой реализацией в команде более 10 человек, включающей как опытных, так и молодых и перспективных; реализация и поддержка REST-сервера и WEB-API на его основе; решения прикладных задач проекта как на стороне back-end, как на SQL, так и на Django; интеграция сторонних, но проверенных решений и технологий: Redis, RabbitMQ, Docker и др. постоянная оптимизация существующего и внедрение нового функционала для крупного интернет-магазина и ряда других интернет-проектов компании, в том числе с использованием нейронных сетей, технологий CDN, анализа big data и т.д.    Требования:  опыт программирования в любой среде — от 5 лет; опыт программирования на Python — от 3 лет; умение работать с Git; отличные знания SQL вообще, и PostgreSQL, в частности; знание less/grunt, nodejs, react, openfire — будет дополнительным плюсом; умение соблюдать сроки, сигнализировать о проблемах и конструктивно обсуждать пути их решения.    Условия работы:  заработная плата выше рынка; работа в компании, которая растет каждый год уже более 10 лет; возможности для серьезного профессионального и личного роста; корпоративные мероприятия за счет компании. ";;Опыт программирования в любой среде — от 5 лет. Опыт программирования на Python — от 3 лет. Умение работать с Git. ;Участие во всем процессе разработки, начиная с проектирования web-приложений и сервисов, заканчивая итоговой реализацией в команде более 10 человек...;"Python; SQL; Git; Django Framework; Nginx; Redis; REST";0.0
6;43;33385705;Python разработчик (Middle);Тюмень;75000.0;90000.0;Строительный Двор;2019-10-17T09:57:03+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт коммерческой разработки на языке Python от 2-х лет; практический опыт работы с операционными системами семейства *nix; опыт работы с реляционными СУБД (в приоритете PostgreSQL), умение писать сложные запросы и оптимизировать их, понимание что такое материализованные представления и с чем их едят; опыт проектирования высоконагруженных сервисов, понимание принципов их построения; уверенное знание парадигмы ООП и паттернов проектирования; опыт работы с Celery, Redis, Rabbit и умение их настроить; опыт работы с Django / Flask / aio-http; умение применять асинхронные / многопоточные подходы в разработке; умение правильно настроить кэш; опыт в сфере DevOps (мы используем Kubernetes, GitLab CI).  Обязанности:  качественное и своевременное исполнение задач web-проекта; поддержка и доработка уже существующих сайтов; оптимизация БД и запросов‚ сопровождение существующего кода.  Бонусы:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";;Опыт коммерческой разработки на языке Python от 2-х лет. Практический опыт работы с операционными системами семейства *nix. ;Качественное и своевременное исполнение задач web-проекта. Поддержка и доработка уже существующих сайтов. Оптимизация БД и запросов‚ сопровождение существующего кода.;"PostgreSQL; Python; Django; Flask; DevOps; Kubernetes; GitLab CI; Celery; Redis; RabbitMQ; ООП";1.0
7;27;33474960;Python developer (Middle) / Python разработчик;Казань;65000.0;75000.0;Raccoon Studio;2019-10-17T11:06:37+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Обязанности:  Программирование на языке Python; БД SQL; PostgreSQL.  Требования:  Уверенное знание Python, всех его особенностей и подводных камней; Опыт работы с фреймворками для создания REST API Знание и понимание концепции RESTful API Знание ООП Понимание и построение бизнес-логики проектов Умение закладывать архитектуру с расчётом на её будущее расширение или изменение Умение оптимизировать тяжёлые запросы и алгоритмы Опыт работы с базами данными(MySQL/PostgreSQL/MongoDB)  ... а также:  умение работать в команде; активная жизненная позиция; Пунктуальность; Ответственность; Опыт работы желателен, но не обязателен; Целеустремленность; Коммуникабельность; Обучаемость/  Условия:  Официальное трудоустройство; Карьерный рост; 5-дневная рабочая неделя; Гибкий рабочий график; Офис в центре города; Достойную конкурентную заработную плату; Сформированную команду и четкие задачи в работе. ";"  Официальное трудоустройство; Карьерный рост; 5-дневная рабочая неделя; Гибкий рабочий график; Офис в центре города; Достойную конкурентную заработную плату; Сформированную команду и четкие задачи в работе. ";Уверенное знание Python, всех его особенностей и подводных камней. Опыт работы с фреймворками для создания REST API. Знание и понимание...;Программирование на языке Python. БД SQL. Умение закладывать архитектуру с расчётом на её будущее расширение или изменение.;"Разработка ПО; Python; back end; Веб-программирование; Git; Oracle Pl/SQL; ООП";1.0
8;37;28225940;Программист Python (прикладная математика);Ростов-на-Дону;30000.0;50000.0;ЗАЗЕКС;2019-10-17T09:51:27+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Программист Python (прикладная математика) Наша компания занимается предоставлением полного спектра услуг по разработке ПО для заказчиков со всего мира. Компания состоит из двух офисов – девелоперский центр в Ростове-на-Дону (он же головной офис) и офис продаж в Мельбурне, Австралия. Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна.   Мы приглашаем на работу Программиста Python в отдел математического прикладного программирования в головной офис в Ростове-на-Дону.   Требования:  знания и опыт разработки Python (2 или 3, знание отдельных версий и понимание различий приветствуется); опыт работы с различными научными и специализированными пакетами (numpy, scipy, matplotlib, pandas); работа на различных версиях среды разработки не должна представлять для вас проблем; знание базовых алгоритмов и структур данных, понимание принципов оценки эффективности алгоритмов; приветствуются базовые знания в одной или нескольких из следующих областей:- машинное зрение, обработка изображений;- обработка текстов на естественных языках;- машинное обучение;- обработка сигналов;- математическое моделирование. желание развиваться в области прикладной математики, машинного обучения и программирования; умение быстро искать информацию в интернете; умение разбираться в чужом коде; английский на уровне чтения профессиональной литературы (по математике и программированию), а также написания технической документации; желательно наличие примеров написанных программ; ответственность; обучаемость; умение работать в команде.    Будет плюсом, если вы:  знакомы с другими языками программирования или математическими пакетами (R, Matlab, C++, C#); имеете опыт работы с базами данных и знаете, что такое SQL; знакомы хотя бы на уровне пользователя с операционной системой linux; имеете опыт работы в команде и опыт использования программных сред для этого; имеете желание не останавливаться на достигнутом и хотите изучить другие языки программирования и технологии.    ​​​​Условия:  оформление согласно Трудовому Кодексу РФ; только крупные и сложные проекты; большое количество коллег по цеху, скучать не будете; система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); оплачиваемые переработки для трудоголиков (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); возможность корпоративного обучения; полный соц. пакет; достойная заработная плата; уважительное отношение к сотрудникам; подвозка к месту работы/домой для жителей ЗЖМ; свой повар + своя столовая; большой, хороший‚ уютный офис в натуральном деревянном стиле с большим количеством зелени; неограниченная парковка для сотрудников компании; бесплатные снэки (перекусы); доступный досуг (настольный футбол‚ PlayStation VR, Sega Mega Drive 2‚ турник‚ брусья‚ электрогитара‚ басуха‚ пианино, свежий воздух); массажное кресло Yamaguchi Ya-6000; офис вблизи транспортной развязки Квадро; восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; все вышеперечисленное - правда. ";"  оформление согласно Трудовому Кодексу РФ; только крупные и сложные проекты; большое количество коллег по цеху, скучать не будете; система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); оплачиваемые переработки для трудоголиков (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); возможность корпоративного обучения; полный соц. пакет; достойная заработная плата; уважительное отношение к сотрудникам; подвозка к месту работы/домой для жителей ЗЖМ; свой повар + своя столовая; большой, хороший‚ уютный офис в натуральном деревянном стиле с большим количеством зелени; неограниченная парковка для сотрудников компании; бесплатные снэки (перекусы); доступный досуг (настольный футбол‚ PlayStation VR, Sega Mega Drive 2‚ турник‚ брусья‚ электрогитара‚ басуха‚ пианино, свежий воздух); массажное кресло Yamaguchi Ya-6000; офис вблизи транспортной развязки Квадро; восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; все вышеперечисленное - правда. ";Знания и опыт разработки Python (2 или 3, знание отдельных версий и понимание различий приветствуется). Опыт работы с различными научными...;Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, математического прикладного программирования, проектирования, тестирования и создания графического дизайна. - ;"Python; MATLAB; C++; Математический анализ; Математическое моделирование; Математическое программирование; Математическая статистика";1.0
9;25;33795877;Стажер-программист Python;Санкт-Петербург;105000.0;40000.0;Quest Software;2019-10-17T17:06:00+0300;От 1 года до 3 лет;Гибкий график;Частичная занятость;If you are eager to work with new technologies to design and develop software solutions used for local, networked and internet-related programs, Quest is the place to be. Currently we are looking for Intern Dev Engineer to join us in St. Petersburg to work together with our talented team on the Recovery Manager for Azure AD. Key responsibilities:  Develop features for SaaS product, cover by acceptance tests and automate deployment Work in the team that uses the Agile methodology Optimize development, maintenance cost and minimize product COGs Work with customer, understand business problem and implement the solution  Essential requirements:  Programming experience on Python Experience with Linux (Ubuntu, Alpine, CentOS …) Reading technical literature in English  Would be a plus:  Enterprise SaaS application development Experience with Amazon and Azure Cloud services (computational, storage, database, networking) Programming experience with Microsoft Graph API, Azure AD Graph API Docker and Kubernetes experience Web application development experience Micro-services development experience  Benefits:  Fixed-term contract with the possibility of further employment with permanent contract Stable white salary Flexible schedule Experienced mentors Free Tea, coffee, snacks in comfortable office ;;Programming experience on Python. Experience with Linux (Ubuntu, Alpine, CentOS …). Reading technical literature in English.;Work in the team that uses the Agile methodology. Optimize <highlighttext>development</highlighttext>, maintenance cost and minimize product COGs. Work with customer...;Python;1.0
