;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
0;Программист графики;Санкт-Петербург;;400000.0;Gaijin Entertainment;2019-11-20T10:56:23+0300;3;6;Гибкий график;Полная занятость;"Gaijin Entertainment - это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Mac/Linux/iOS и Android.В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии. Мы ищем в нашу команду программиста графики. У нашего кандидата есть:- Опыт разработки графических эффектов в real-time - Знание архитектуры GPU, навыки оптимизации производительности - Знание DIrectX 12 или Vulkan - Понимание алгоритмов работы PBR, SSAO, BRDF, SSR, TAA - Владение шейдерным языком (GLSL или SPIR-V) Наше предложение финалисту:   возможность карьерного роста и развития (см. описание стека выше, учиться приходится постоянно);   постоянный объем технических челленджей и творческих задач (это геймдев, здесь весело);   достойную компенсацию (мы знаем, сколько стоит хороший специалист);   оформление по ТК РФ;   ДМС;   дружественную корпоративную культуру;   комфортный офис на Петроградке, 5 минут от метро (удаленки нет, но график демократичный).   Адрес: м. Петроградская, Санкт-Петербург, Аптекарский проспект  ";;Опыт разработки графических эффектов в real-time. - Знание архитектуры GPU, навыки оптимизации производительности. - Знание DIrectX 12 или Vulkan. - ;;"С++11; SPIR-V; OpenGL; Excellent C/C++ programming skills; GLSL; SSAO; BRDF; SSR; TAA; PBR; DIrectX12; Vulkan"
98;JavaScript-разработчик;Москва;150000.0;350000.0;5Вижинс;2019-11-20T12:33:44+0300;3;6;Полный день;Полная занятость;"Ищем разработчика, способного писать на чистом JS, с соответствующим опытом работы. Требуемые знания и навыки:  Глубокое знание чистого JavaScript`а ООП: прототипы, классы, объекты Понимание области видимости, контекста выполнения функций, особенностей анонимных функций (а также bind, apply и т.д.) Умение работать с DOM-деревом, XHR, JSON, XML без вспомогательных фреймворков Умение работать с canvas и webgl Умение работать с HTML5 Video и Audio Умение работать с WebSocket Умение работать с Promise и понимание их работы Знание современных возможностей языка Знание современного API браузеров  Будет плюсом:  Понимание HTML/CSS-верстки, знание особенностей браузеров Опыт работы с ECMA 6, 7 Опыт самостоятельной разработки анимаций или использования библиотеки TweenLite  Обязанности:  делать html-версию продукта. Пример ТикТок / YouTube /Лента / профиль / сообщения и тд.  Условия:  график работы гибкий в разумных пределах (5/2); команда профессионалов; современный офис в Москва-сити; по желанию в 2020г релокация в Штаты со всей командой (оказываем визовую поддержку).   ";"  график работы гибкий в разумных пределах (5/2); команда профессионалов; современный офис в Москва-сити; по желанию в 2020г релокация в Штаты со всей командой (оказываем визовую поддержку).   ";Глубокое знание чистого JavaScript`а. ООП: прототипы, классы, объекты. Понимание области видимости, контекста выполнения функций, особенностей анонимных функций (а также...;Делать html-версию продукта. Пример ТикТок / YouTube /Лента / профиль / сообщения и тд.;
70;Back-end Laravel developer;Москва;200000.0;300000.0;Soshace;2019-11-20T11:16:32+0300;3;6;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with PHP 1+ year of professional experience with Laravel A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with PHP. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"PHP; Laravel"
42;Front-end React/Angular Developer;Санкт-Петербург;200000.0;300000.0;Soshace;2019-11-19T11:20:47+0300;3;6;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework"
92;Senior Android Developer;Тюмень;200000.0;290000.0;Тензор;2019-11-15T09:56:52+0300;3;6;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшна”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. В нашу компанию требуется ведущий Android-разработчик. Вам предстоит:  разрабатывать мобильные приложения на базе Android для продуктов компании, которыми пользуется более миллиона клиентов по всей России; проектировать и разрабатывать большие функциональные части приложения с привлечением других программистов.  Мы ждём от Вас:  опыт разработки под Android от 3-х лет; понимание паттернов архитектуры MVP и MVVM; отличное знание Java/Kotlin и Android SDK; опыт работы с Git, Dagger 2, RxJava. знание шаблонов проектирования; опыт параллельного и многопоточного программирования; знание классических алгоритмов и структур данных.  Будет плюсом:  наличие своих проектов на github или аналогичном сайте.  Мы предлагаем:  оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; ДМС после года работы в компании; курсы иностранных языков; корпоративные праздники и различные совместные мероприятия, спортивные программы. ";"  оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; ДМС после года работы в компании; курсы иностранных языков; корпоративные праздники и различные совместные мероприятия, спортивные программы. ";Опыт разработки под Android от 3-х лет. Понимание паттернов архитектуры MVP и MVVM. Отличное знание Java/Kotlin и Android...;...компании, которыми пользуется более миллиона клиентов по всей России. Проектировать и разрабатывать большие функциональные части приложения с привлечением других <highlighttext>программистов</highlighttext>.;
39;Backend разработчик (.NET);Москва;150000.0;260000.0;Эверис, Представительство;2019-11-20T09:50:45+0300;3;6;Гибкий график;Полная занятость;"В подразделение французской компании, специализирующейся на разработке программного обеспечения требуется Backend разработчик (.NET). Компания Everys (Франция) существует с 1994 года. Сейчас компания входит в тройку основных игроков на своём рынке. Профиль компании - разработка программного обеспечения для автоматизации аптек. Основной продукт - программно-аппаратный комплекс WinPharma - используется в более чем в 4800 аптек только во Франции. Также наш продукт популярен во франкоговорящих странах Африки, Новой Каледонии, Полинезии, Мартинике. Требования  Высшее техническое образование Твердые знания .NET, С#, JavaScript Хорошее знание структуры клиент-серверных приложений Желательно опыт разработки web-приложений Желательно знание MS SQL Server, принципов БД (типа Oracle, MySQL, MS SQL и т.п.)  Плюсами будут  Базовые знания языка С++ Базовый уровень французского языка или желание его изучить  Обязанности  Создание гибридных приложений (web+desktop) Разработка программных компонентов для продуктов и сервисов компании  Условия  Интересная работа, возможность профессионального роста; Тихий и светлый офис, 4 минуты пешком от м.Серпуховская, 10 от м.Павелецкая; Гибкий график (в плане начала и конца рабочего дня); ТК РФ, 100% белая заработная плата + премии; Медицинская страховка, страховка для выезжающих за рубеж, дотация на питание, дополнительный отпуск; Бесплатное обучение французскому языку, корпоративные скидки на изучение английского. ";;Высшее техническое образование. Твердые знания .NET, С#, JavaScript. Хорошее знание структуры клиент-серверных приложений. Желательно опыт разработки web-приложений. ;Создание гибридных приложений (web+desktop). Разработка программных компонентов для продуктов и сервисов компании.;
57;Back-end разработчик / PHP программист;Москва;100000.0;250000.0;Social Media Holding;2019-11-20T17:24:50+0300;1;3;Полный день;Полная занятость;"О нас:  Компания занимается комплексным продвижением и привлечением трафика из социальных сетей, под потребности медиа-агентств, крупных корпораций и малого бизнеса. На данный момент компании принадлежит более 150 млн аудиторией сообществ постоянных пользователей в Вконтакте, Одноклассники, YouTube, Instagram и других социальных сетей. Основной деятельностью компании, разработка технологических проектов по работе с трафиком и использование обширных возможностей для поддержки маркетинговых, pr и рекламных проектов крупных агентств и корпораций. На площадках компании размещались World of Tanks, Microsoft, Альфа-банк, Coca-Cola, ASUS и других 200 корпораций.    Требования:  Опыт разработки не менее 2-х лет; Знание PHP, PostgreSQL, JavaScript; Опыт работы с фреймворком Yii2; Настройка nginx; Способность самостоятельно решать сложные и нестандартные задачи; Ответственность и умения доводить свою работу до логического завершения; Умение разбираться в чужом коде. Опыт работы в команде И обязательно желание познавать новое, решать интересные задачи и развиваться в области программирования :)    Обязанности:  Проектирование сложной и интересной архитектуры; Улучшение качества внутренних продуктов; Участие в создании, планировании, разработке и поддержке ключевых частей системы; Проектирование и написание запросов к СУБД; Взаимодействие с разработчиками и аналитиками. Рефакторинг существующих решений. Ревью кода разработчиков.    Условия:  Просторный офис в стиле Loft 5 минут от метро Тульская (серая ветка) Рабочий день 5/2, для тех, кто не любит пробки - начало рабочего дня можно согласовать на собеседовании. Разработка нового перспективного программного продукта. Работа в сильной дружной слаженной команде. В офисе: чай, кофе, фрукты и печеньки в неограниченном количестве :) Итоговая заработная плата зависит от ваших компетенций и определяется по результатам собеседования. Все зависит от того, как вы себя проявите. ";  Просторный офис в стиле Loft 5 минут от метро Тульская (серая ветка) Рабочий день 5/2, для тех, кто не любит пробки - начало рабочего дня можно согласовать на собеседовании. Разработка нового перспективного программного продукта. Работа в сильной дружной слаженной команде. В офисе: чай, кофе, фрукты и печеньки в неограниченном количестве :) Итоговая заработная плата зависит от ваших компетенций и определяется по результатам собеседования. Все зависит от того, как вы себя проявите. ;Опыт разработки не менее 2-х лет. Знание PHP, PostgreSQL, JavaScript. Опыт работы с фреймворком Yii2. Настройка nginx. ;...ключевых частей системы. Проектирование и написание запросов к СУБД. Взаимодействие с <highlighttext>разработчиками</highlighttext> и аналитиками. Рефакторинг существующих решений. Ревью кода <highlighttext>разработчиков</highlighttext>.;"PHP; Yii2; PostgreSQL; PHP5; SQL; Yii; JavaScript; REST"
48;Senior/Middle Front-end разработчик;Москва;130000.0;250000.0;БОЛЬШАЯ ТРОЙКА;2019-11-20T11:55:54+0300;3;6;Удаленная работа;Полная занятость;Ищем того, кто будет помогать кодить огромную и действительно нужную систему. В приоритете именно навыки программирования, только Angular. Самое главное – квалификация и желание работать, все остальное решаемо. Придется очень много думать, очень много расти и развиваться, даже если вам кажется, что вы уже бог программирования. Зато мало где в России можно поработать с настолько интересными задачами, как у нас. Очень дружелюбная, неформальная атмосфера в команде. Отдельное преимущество – работа среди таких же фанатов своего дела.   Чем нужно будет заниматься:   В основном, кодить. Еще архитектурить, верстать, иногда дизайнить и привносить эстетику. Создавать новое, поддерживать существующее.    Что необходимо кандидату:   Уверенное владение Angular, TypeScript Опыт использования командной строки, git, docker. Приветствуется опыт работы с RxJS, LeafletJS, REST API, RAML. Умение писать чистый код для комфорта коллег и уменьшать общий технический долг. Умение внятно выражать свои мысли устно, письменно, схематически. Умение оценивать и отслеживать сроки на реализацию своих задач.    Требования:  портфолио с лучшими front-end кейсами и парой абзацев описания вашей роли по каждому кейсу.    Условия:  Сложный и значимый продукт, на который не жалко тратить свое время Испытательный срок 3 мес Демократичная, почти семейная атмосфера в команде Гибкие условия работы, когда главное – результат, а не исполнение формальных требований Высокая по рынку, стабильная зарплата по уровню квалификации:  Middle – 130-180 Senior – 180-250   ;  Сложный и значимый продукт, на который не жалко тратить свое время Испытательный срок 3 мес Демократичная, почти семейная атмосфера в команде Гибкие условия работы, когда главное – результат, а не исполнение формальных требований Высокая по рынку, стабильная зарплата по уровню квалификации:  Middle – 130-180 Senior – 180-250   ;Уверенное владение Angular, TypeScript. Опыт использования командной строки, git, docker. Приветствуется опыт работы с RxJS, LeafletJS, REST API, RAML. ;В основном, кодить. Еще архитектурить, верстать, иногда дизайнить и привносить эстетику. Создавать новое, поддерживать существующее. Портфолио с лучшими front-end...;"AngularJS; TypeScript; HTML5; CSS3; Sass; ES6"
31;Senior Full-Stack Developer (C#, MS-SQL, Javascript);Санкт-Петербург;180000.0;250000.0;TradeTheNews.com;2019-11-19T23:02:21+0300;6;0;Удаленная работа;Полная занятость;"Remote Senior Full-Stack Developer (C#, MS-SQL, Javascript)   Required work experience: more than 8 years, fluent oral English is obligatoryFull time, remote work from homeTradeTheNews.com - financial news analysis company, invites 2-3 new employees. Majority of people in our team speak two languages: Russian and English. That is a good opportunity to improve your skills of working on the challenging projects.Note: You will work directly with the company founder and his engineering team. The company works 24 hours/6 days a week and provide services to clients based in more than 100 countries all over the world. We are able to adjust to your working schedule, if will find a right candidate. You will work using the most modern technologies making outstanding and significant things for our grateful clients; youre going to cooperate with energetic, smart and goal-seeking technical specialists. Opportunity to work during the whole project life cycle.Required skills:  Experience in web development, including ASP.NET MVC and Webapi; Multi-threading development deep understanding; In-depth knowledge of modern JavaScript, including React framework; Experience with ElectronJS, including C#; Experience with modern HTML and CSS.  Bonus skills:  Experience with web real-time pushing technologies like websocket, SignalR; Experience with Elastic Search.  Required experience:  Professional development experience with .Net and C# language 5+ years of JavaScript  web-development Experience with relational database design and development (SQL, MSSQL) EDUCATION: Degree of computer science / higher mathematics or other natural science preferred, Master or PHD degree is welcomed. Fluent oral and written English is obligatory  Responsibilities:  Work in the group on a global level. You should be responsible, passionate and active person, who wants to be a part of an elite team in creation new solutions to change and reinvent the way the world works.    APPLY: If your skills match the requirements for this challenging opportunity, please send us your resume today! Please do not apply if you dont have the required experience.";;"5+ years of JavaScript &amp; web-<highlighttext>development</highlighttext>. Experience with relational database design and <highlighttext>development</highlighttext> (SQL, MSSQL). EDUCATION: Degree of computer...";;"C#; CSS; HTML; SPA frameworks; .NET Framework; SQL; MS SQL; Webapi; Typescript; ReactJS; websocket; JavaScript; ASP.NET; SignalR; MVC"
63;Старший Web-разработчик .Net Core + Angular / React;Санкт-Петербург;180000.0;250000.0;Alloy Software Inc.;2019-11-19T13:11:08+0300;6;0;Полный день;Полная занятость;"Компания Alloy Software – ведущий разработчик программных решений для технической поддержки и управления IT-активами. Мы ищем старшего разработчика в отдел веб-разработки. Предполагается, что это опытный специалист, который будет вести разработку нового облачного решения, а также поддерживать уже существующие продукты компании. Требования:  Опыт работы с C# (.Net Core) Знание JavaScript Опыт работы с Angular = 2 и / или с React Опыт работы с облачными платформами (предпочтительно AWS) Отличное знание принципов ООП, шаблонов проектирования Кандидат должен иметь 3 – 6 лет опыта проектирования и разработки приложений уровня Enterprise. Технический английский – intermediate low (reading)  Будет плюсом:  Опыт работы с SQL (T-SQL, PostgreSQL) Опыт работы с WebForms/MVC Опыт работы с JQuery, extJS Опыт вёрстки страниц HTML5, CSS3; Опыт разработки стилей с использованием LESS или SASS Опыт работы с Docker Понимание шаблонов интеграции корпоративных приложений, архитектурных фреймворков, концепции DDD  Обязанности:  Участие в проекте по разработке ПО в области IT Service Management, на Senior позиции. Поддержка работы приложений, сопровождение разработанного ПО Участие в проектировании архитектуры новых распределенных приложений Участие в составлении технической (не пользовательской) документации на разрабатываемое ПО Анализ требований к продукту, участие в их обсуждении Помощь другим разработчикам, контроль за общим качеством кода продукта Поддержка принятых в компании процедур разработки, отчеты о результатах Самому писать много хорошего кода  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможна удаленная работа Корпоративные мероприятия и активный досуг Компенсация расходов на профессиональное обучение, спорт ;"Опыт работы с C# (.Net Core). Знание JavaScript. Опыт работы с Angular &gt;= 2 и / или с React. Опыт работы с...";Анализ требований к продукту, участие в их обсуждении. Помощь другим <highlighttext>разработчикам</highlighttext>, контроль за общим качеством кода продукта. Поддержка принятых в...;
26;.Net C# developer;Санкт-Петербург;;225000.0;Studio 8;2019-11-20T11:06:03+0300;1;3;Удаленная работа;Полная занятость;В настоящее время мы ищем себе в команду .Net С# разработчика в связи c увеличением штата. Обязанности:  Разработка backendа и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.  Требования:  Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. Желателен опыт работы с RabbitMq, NetMq, GRPС.  Условия:  Заработная плата обсуждается индивидуально. График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени. Удаленная работа. ;  Заработная плата обсуждается индивидуально. График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени. Удаленная работа. ;Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. ;"Разработка backend&#39;а и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.";"С#; Entity Framework; .NET Framework; LINQ; Design Patterns; MySQL; Git; MS Visual Studio"
