;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;1С программирование; 1С программирование; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Управление Торговлей; 1С: Бухгалтерия; 1С: Управление Производственным Предприятием; 1С: Документооборот; 1С: Комплексная автоматизация; ERP-системы на базе 1С; SQL; Обновление конфигурации 1С; 1С: Розница; CSS;1С: Зарплата и управление персоналом;1С: Предприятие 8;1С: Бухгалтерия; Создание конфигурации 1С; 1C: Бухгалтерия; jQuery;Другие навыки
0;2;Программист 1С;3.0;4.0;Спектр, 1С: Франчайзинг.;2019-12-10T17:37:52+0300;В связи с активным развитием компании и появлением масштабных интересных проектов мы ищем талантливых коллег в свою команду! Чем Вам нужно будет заниматься:  Доработкой типовых конфигураций на платформе 1С: Предприятие 8.x Созданием конфигураций на основе БСП и с нуля на платформе 1С: Предприятие 8.x Созданием внешних отчетов и обработок Доработкой конфигураций для мобильного приложения 1С  Наши основные требования:  Понимание принципов работы 1С Управление Торговлей 10 (11), 1С Бухгалтерия, 1C ЗУП, 1С УНФ Умение услышать от пользователя проблему и решить ее наиболее эффективным способом Желание общаться с клиентами, клиентоориентированость Желание развиваться как 1С разработчик Опыт работы от 2-х лет  Вашим преимуществом будет:  Умение погрузиться в бизнес клиентов, желание разобраться в проблеме и решить её Наличие сертификатов 1С Опыт программирования конфигурация с 0 (разработки которые реально используются)  Условия:  Интересные долгосрочные проекты Собственные продукты Постоянная и стабильная загрузка Небольшой коллектив умных и амбициозных людей Мы постоянно развиваемся и стараемся использовать все последние возможности платформ Офис в историческом центре Петербурга Оформление по ТК РФ Возможна частично удаленная работа, но с посещением офиса  Ждем Ваши резюме!;Желание общаться с клиентами, клиентоориентированость. Желание развиваться как 1С <highlighttext>разработчик</highlighttext>. Опыт работы от 2-х лет. Умение погрузиться в...;Доработкой типовых конфигураций на платформе 1С: Предприятие 8.x. Созданием конфигураций на основе БСП и с нуля на платформе...;"Обновление конфигурации 1С; 1С программирование; Создание конфигурации 1С";  Интересные долгосрочные проекты Собственные продукты Постоянная и стабильная загрузка Небольшой коллектив умных и амбициозных людей Мы постоянно развиваемся и стараемся использовать все последние возможности платформ Офис в историческом центре Петербурга Оформление по ТК РФ Возможна частично удаленная работа, но с посещением офиса  Ждем Ваши резюме!;2;0.034482758620689655;1C;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
1;4;Программист 1С;3.0;3.0;Ювелирный завод «Санис»;2019-12-10T13:42:39+0300;"Компания «САНИС» — лидер рынка производства ювелирных изделий из золота в СЗФО, основанная в 1992 году, объявляет конкурс на вакансию Программист 1С Должностные обязанности:  поддержка и эксплуатация баз 1С типовых и не типовых (Бухгалтерия, ЗУП, Производство, Торговля); выполнение доработок по техническим заданиям; обновление типовых конфигураций; составление документации; решение сложных интеграционных задач (xml, json, t-sql, ws); участие в автоматизации новых бизнес-процессов в команде профессионалов;  Требования:  техническое образование; опыт разработки на платформе 1С Предприятие 8.Х (управляемые и/или обычные формы); наличие сертификатов 1С будем Вашим преимуществом.  Условия:  График работы: с 9-00 до 17-30 (5/2); Премия по итогам работы за 6 месяцев в размере оклада; Заработная плата по итогам собеседования; Кураторство опытным наставником; Оформление согласно ТК РФ; Скидки на продукцию завода «САНИС» Отпуск в летнее время; Корпоративное обучение; Работа в историческом центре города; Бесплатный кофе и дружный коллектив! ";Техническое образование. Опыт разработки на платформе 1С Предприятие 8.Х (управляемые и/или обычные формы). Наличие сертификатов 1С...;Поддержка и эксплуатация баз 1С типовых и не типовых (Бухгалтерия, ЗУП, Производство, Торговля). Выполнение доработок по техническим заданиям. ;"1С программирование; 1С программирование; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Управление Торговлей";"  График работы: с 9-00 до 17-30 (5/2); Премия по итогам работы за 6 месяцев в размере оклада; Заработная плата по итогам собеседования; Кураторство опытным наставником; Оформление согласно ТК РФ; Скидки на продукцию завода «САНИС» Отпуск в летнее время; Корпоративное обучение; Работа в историческом центре города; Бесплатный кофе и дружный коллектив! ";4;0.06896551724137931;1C;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;17;Программист 1C;4.0;3.0;Партнер Премиум;2019-12-12T12:51:51+0300;"Требуется лучший программист 1С! Приходите будет интересно. Работаем для наших Клиентов с 2001 года. Вакансия открыта в связи с расширением. Мы рады видеть специалиста с опытом работы программистом 1С от 10 лет. Будет плюсом высшее техническое образование и наличие сертификатов(1с-специалист).   Задачи:  Разработка нового функционала, отчетов, интеграции, локализация и устранение ошибок в системах на платформе 1С 8.3 (УТиВсК, БП, ЗУП), тестирование и внедрение. Техническая поддержка пользователей по программным продуктам 1С: типовым конфигурациям и конфигурациям собственной разработки (консультации, помощь в решении проблем); Написание пользовательских инструкций; Выполнение типовых задач поддержки систем на базе 1С 8.3; Администрирование базы УТиВсК.    Мы предлагаем Вам:  40-часовую рабочую неделю: в выходные мы отдыхаем, в праздники - празднуем. Подчинение одному руководителю (принцип одного окна). Гарантируем выплату заработной платы без задержек. Выплачиваем 2 раза в месяц. Специалисты 1C находится в отдельном офисе. Всего 2 человека. Идеальная тишина для работы. Кофе машина к Вашим услугам. Прохождение курсов и семинаров. Конкурентоспособная зарплата: от 100.000 рублей. Офис на ул.Тамбасова, ст.м. Ветеранов.     Добро пожаловать на борт! Каждому новому сотруднику после двух недель работы полагается подарок. Акция «приведи Друга». Получи половину от среднего годового оклада. В компании продаёт каждый! Продавай друзьям и знакомым продукцию Olmio - получай бонусы. На любой должности. Получай кэшбэк 5% от суммы своих покупок. Кредиты для сотрудников по ставкам ниже, чем в банке. Обучение за счёт компании. Подробности на собеседовании. ";Мы рады видеть специалиста с опытом работы <highlighttext>программистом</highlighttext> 1С от 10 лет. Будет плюсом высшее техническое образование и наличие...;Разработка нового функционала, отчетов, интеграции, локализация и устранение ошибок в системах на платформе 1С 8.3 (УТиВсК, БП, ЗУП...;"1С программирование; SQL; 1С: Бухгалтерия; 1С: Зарплата и управление персоналом; 1С: Предприятие 8";;17;0.0;1C;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;23;Программист 1С;3.0;4.0;Кореана, оптово-розничный холдинг;2019-12-12T09:31:45+0300;Кого мы ищем? Активного, профессионального и ответственного человека, который может отходить от шаблонов, способного предлагать и реализовывать собственные идеи. Обязанности:  Доработка и сопровождение по ТЗ типовых, доработанных и созданных с нуля конфигураций Обновление доработанных конфигураций Поиск ошибок, исправление и оптимизация кода Создание нового функционала (мобильные приложения, интеграцией с другими платформами и другие интересные проекты)  Требования:  Опыт работы программистом 1С – от 3-х лет Отличное знание платформ 8,3/8,2 Разработка управляемых форм СКД и оптимизация сложных запросов  Желаемый опыт:  XDTO и Web сервисы Работа с торговым оборудованием (ККМ, эквайринг и т.п.) Настройка РИБ и синхронизация нетиповых конфигураций  Условия:  Работа в офисе компании на Дальневосточном пр. Через 3 месяца возможен гибкий график работы и работа из дома Работа в крупной стабильной компании Адекватное руководство нацеленное на результат Минимальные коммуникации с конечным заказчиком Возможности для профессионального роста Официальное трудоустройство ;Опыт работы <highlighttext>программистом</highlighttext> 1С – от 3-х лет. Отличное знание платформ 8,3/8,2. Разработка управляемых форм. ;Доработка и сопровождение по ТЗ типовых, доработанных и созданных с нуля конфигураций. Обновление доработанных конфигураций. Поиск ошибок, исправление и оптимизация...;"1С программирование; 1С: Розница; 1С: Предприятие 8; 1С: Управление Торговлей; Обновление конфигурации 1С";  Работа в офисе компании на Дальневосточном пр. Через 3 месяца возможен гибкий график работы и работа из дома Работа в крупной стабильной компании Адекватное руководство нацеленное на результат Минимальные коммуникации с конечным заказчиком Возможности для профессионального роста Официальное трудоустройство ;23;0.0;1C;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;29;Программист 1С: ERP;6.0;6.0;КРЕЙТ;2019-12-12T05:59:48+0300;"Обязанности:  Разработка и проектирование системы автоматизации предприятия на базе 1С: ERP Управление предприятием 2.4; Доработка конфигурации 1С по ТЗ; Обучение персонала работе в 1С.  Требования:  Хорошие знания конфигурации 1С ERP 2.4; Опыт работы в должности программиста 1С ERP Управление предприятием 2.4; Приветствуется наличие сертификатов 1С; Общие познания предметной области (бухгалтерский и управленческий учет); Опыт проектирования и разработки конфигураций на платформе 1С с нуля; Коммуникабельность и ответственность.  Условия:  Работа в тихом офисе совместно с командой программистов, предоставляется компьютер и др.; Оформление по трудовой книжке‚ все взаимоотношения в соответствии с Трудовым Кодексом РФ; Полная оплата отпусков и больничных листов, вся зарплата Белая; График работы: с 9:00 до 18:00‚ пятидневка. ";Хорошие знания конфигурации 1С ERP 2.4. Опыт работы в должности <highlighttext>программиста</highlighttext> 1С ERP Управление предприятием 2.4. ;Разработка и проектирование системы автоматизации предприятия на базе 1С: ERP Управление предприятием 2.4. Доработка конфигурации 1С по...;"Хорошее знание 1С : ERP; 1С: Управление Производственным Предприятием; 1С: Документооборот; 1C: Бухгалтерия; 1С: Производство; 1С: Предприятие 8; 1С программирование";"  Работа в тихом офисе совместно с командой программистов, предоставляется компьютер и др.; Оформление по трудовой книжке‚ все взаимоотношения в соответствии с Трудовым Кодексом РФ; Полная оплата отпусков и больничных листов, вся зарплата Белая; График работы: с 9:00 до 18:00‚ пятидневка. ";29;0.0;1C;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
5;32;Программист 1С;2.0;3.0;АйТи План;2019-12-11T06:46:42+0300;Обязанности:  Участие в проектах различной степени сложности (зависит от квалификации) Разработка управляемых форм (при наличии опыта) Разработка в режиме обычного приложения (при наличии опыта)  Требования:  Наличие профильного высшего образования обязательно Опыт разработки на любых языках программирования Знания встроенного языка 1С, языка запросов (любой уровень знаний) Умение четко формулировать свои мысли в письмах Наличие сертификатов будет преимуществом Опыт программирование от полугода  Условия:  Работа в офисе (600 метров от метро Петроградская) Окладная система оплаты труда На время испытательного срока 50 000 - 70 000 После испытательного срока 70 000 - 90 000 ДМС Отсутствие переработок Возможность удаленной работы после прохождения испытательного срока Испытательный срок 1 месяц. На время испытательного срока оплата оговаривается индивидуально Большое количество интересных задач, участие в крупных проектах Повышение квалификации за счет компании Тесное сотрудничество в ведущими разработчиками компании с целью улучшения навыков программирования  ВАЖНО! В резюме или отклике на вакансию обязательно должны быть описаны навыки разработки на встроенном языке 1С.;Разработка управляемых форм (при наличии опыта). Разработка в режиме обычного приложения (при наличии опыта). Требования: Наличие профильного высшего образования обязательно. ;;1С программирование;  Работа в офисе (600 метров от метро Петроградская) Окладная система оплаты труда На время испытательного срока 50 000 - 70 000 После испытательного срока 70 000 - 90 000 ДМС Отсутствие переработок Возможность удаленной работы после прохождения испытательного срока Испытательный срок 1 месяц. На время испытательного срока оплата оговаривается индивидуально Большое количество интересных задач, участие в крупных проектах Повышение квалификации за счет компании Тесное сотрудничество в ведущими разработчиками компании с целью улучшения навыков программирования  ВАЖНО! В резюме или отклике на вакансию обязательно должны быть описаны навыки разработки на встроенном языке 1С.;32;0.034482758620689655;1C;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;35;Младший программист 1С;2.0;3.0;Балтика-Транс Логистика;2019-12-10T16:17:21+0300;"Крупная международная компания, лидер рынка логистических услуг «Балтика- Транс Логистика», представленная в 70 городах России и за рубежом, открывает вакансию Младший программист 1С! Обязанности:  Работа по заявкам пользователей (через Service-Desk, 1-я линия); Разработка и внедрение новых модулей под руководством старших специалистов; Программирование не типовых конфигураций.    Требования:  Высшее образование (профиль ИТ) / Среднее профессиональное (профиль ИТ) Стремление учиться и развиваться Минимальный опыт программирования, написания скриптов и т.д. Опыт работы с 1С в качестве разработчика желателен От соискателя ждем стремления развиваться в профессии, от нас разнообразные задачи и консультации ведущих программистов .    Условия:  место работы: БЦ Портал, Бумажная ул.; оформление в соответствие с Трудовым законодательством РФ, все соц. гарантии, корпоративное обучение и коучинг от штатного бизнес-тренера, библиотека бизнес литературы и классики; полностью оборудованное рабочее место в комфортном офисе, график: 5/2 с 9-18, 10-19 возможны другие графики работы. Возможность профессионального роста внутри компании    Если Вы хотите работать в крупной и стабильной компании с отличной репутацией на рынке – присылайте своё резюме!";...С в качестве <highlighttext>разработчика</highlighttext> желателен. От соискателя ждем стремления развиваться в профессии, от нас разнообразные задачи и консультации ведущих <highlighttext>программистов</highlighttext> .;Работа по заявкам пользователей (через Service-Desk, 1-я линия). Разработка и внедрение новых модулей под руководством старших специалистов. ;"1С программирование; 1С программирование; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Управление Торговлей";"  место работы: БЦ Портал, Бумажная ул.; оформление в соответствие с Трудовым законодательством РФ, все соц. гарантии, корпоративное обучение и коучинг от штатного бизнес-тренера, библиотека бизнес литературы и классики; полностью оборудованное рабочее место в комфортном офисе, график: 5/2 с 9-18, 10-19 возможны другие графики работы. Возможность профессионального роста внутри компании    Если Вы хотите работать в крупной и стабильной компании с отличной репутацией на рынке – присылайте своё резюме!";35;0.06896551724137931;1C;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;36;Программист 1С;4.0;3.0;Радиофид;2019-12-10T09:57:09+0300;"Слышали про интернет вещей, умный дом или автоматизацию промышленности? Мы в Радиофид уже двенадцать лет создаём оборудование для решения этих задач. Наша специализация - беспроводная передача данных: промышленные модемы, GSM-роутеры, GPS-трекеры и поисковые маяки. У нас трудятся люди, не представляющие свою жизнь без электроники. И сейчас мы ищем в нашу команду человека, влюблённого в программирование, и готового помогать людям, нам нужен Программист 1С. Ваши задачи:   Реализация ТЗ по разработке в различных конфигурациях 1С 8.2 и 8.3;   Участие в составлении ТЗ;   Оптимизация кода программы 1С;   Разработка функционала систем 1С;   Поддержка пользователей, консультирование   Наши ожидания:   Опыт программирования на языке 1С:Предприятие 8 от 1 года;   Знание механизмов платформы 1С 8.3;   Добросовестность, пунктуальность, исполнительность   Наши предложения:  Уютный офис в 5 мин. пешком от метро Гражданский пр. или Пл. Мужества Молодой, дружный коллектив единомышленников, готовых помочь, подсказать Оформление по ТК РФ (оплачиваемые больничные листы и ежегодный отпуск, «белая» заработная плата) График работы: понедельник-пятница, с 9:30 до 18:00 Компенсация абонемента в тренажерный зал, ДМС, а также вкусный кофе за счет компании Уровень вашей заработной платы обсуждаем по результатам встречи  Ждем вас в нашу команду!  ";Опыт программирования на языке 1С:Предприятие 8 от 1 года. Знание механизмов платформы 1С 8.3. ;Реализация ТЗ по разработке в различных конфигурациях 1С 8.2 и 8.3. Участие в составлении ТЗ. ;1С программирование;;36;0.06896551724137931;1C;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;46;Программист 1С (разработчик 1 С);3.0;5.0;Гудвин;2019-12-12T09:50:12+0300;"Обязанности:  Интеграция 1С с внешними сервисами: CRM, сайт, электронная заявка. Доработка и сопровождение конфигурации УТ 11 (Автоматизация всех основных процессов компании дистрибьютора: закупки, продажи, складская и транспортная логистика);  Требования:   Знание Битрикс;   Знание 1С УТ, управляемые формы;   Владение web-сервисами 1С;   Backend - опыт разработки;   Базовые знания Frontend (Java/HTML/CSS) – для координации и приёмки работ подрядчиков;   Желательно наличие сертификата 1С Специалист УТ. Возможна сдача экзамена за счет работодателя при прохождении испытательного срока.   Условия:  Работа на территории работодателя, 5/2, начало рабочего дня 8:00-10:00; Большие возможности профессионального развития и самореализации в интересных проектах; Официальное трудоустройство; Корпоративные футбольные игры и йога; Уровень ЗП - по итогам интервью. ";Знание Битрикс. Знание 1С УТ, управляемые формы. Владение web-сервисами 1С. Backend - опыт разработки. Базовые знания Frontend (Java...;Интеграция 1С с внешними сервисами: CRM, сайт, электронная заявка. Доработка и сопровождение конфигурации УТ 11 (Автоматизация всех основных процессов...;"1С программирование; 1С программирование; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Управление Торговлей";"  Работа на территории работодателя, 5/2, начало рабочего дня 8:00-10:00; Большие возможности профессионального развития и самореализации в интересных проектах; Официальное трудоустройство; Корпоративные футбольные игры и йога; Уровень ЗП - по итогам интервью. ";46;0.0;1C;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;51;Ведущий программист 1С;4.0;3.0;Содружество Северо-Запад, Промышленная группа;2019-12-09T15:52:37+0300;"Обязанности:  Сопровождение и доработка существующих модулей системы 1С (основной продукт – УПП 1.3); Работа с торговым оборудованием (подключение, настройка, нестандартная интеграция); Разработка функционала систем 1С; Обновление типовых и не типовых конфигураций 1С; Оптимизация кода; Написание отчетов и обработок (СКД); Модификация существующих документов, обработок и форм; Работа с пользователями :устранение ошибок по запросу, консультирование, разработка инструкций.  Требования:  Высшее техническое образование.Опыт работы программистом 1С от 3 лет. Опыт работы с обычными и управляемыми формами, запросами, СКД. Знание механизмов платформы 1С 8.3. Знание конфигурации 1С: УПП 1.3 (РАУЗ), УТ 10.3, БП 2.0. Опыт обновления типовых и не типовых конфигураций. Опыт написания и поддержки переносов данных между конфигурациями. Знание и понимание основных принципов ведения оперативного, управленческого, бухгалтерского учета, принципов расчета заработной платы, производственного учета. Опыт установки, настройки и администрирования сервера 1С. Опыт настройки автоматического обновления платформы.  Личные качества: системность, аналитичность. Контактность, умение работать с пользователями различного уровня. Условия: с 9.00 до 18.00.";Высшее техническое образование.Опыт работы <highlighttext>программистом</highlighttext> 1С от 3 лет. Опыт работы с обычными и управляемыми формами, запросами, СКД. ;Сопровождение и доработка существующих модулей системы 1С (основной продукт – УПП 1.3). Работа с торговым оборудованием (подключение, настройка, нестандартная...;"1С программирование; 1С: Управление Производственным Предприятием"; с 9.00 до 18.00.;51;0.10344827586206896;1C;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
