;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; Java;Java; Spring Framework; Git; SQL; Apache Maven; Hibernate ORM; JUnit; PostgreSQL; Atlassian Jira; ООП;Spring Framework; Java SE; JavaScript; Java EE; Linux; Docker;JavaScript; MySQL; REST;Другие навыки
0;47;Программист Kotlin/Java;5.0;4.0;MGS Trading Limited;2019-12-10T20:04:19+0300;Молодая развивающаяся компания ищет в команду талантливого и стремящегося развиваться программиста на языке Kotlin/Java. Мы предлагаем официальное трудоустройство в иностранную компанию. Обязанности:  Разработка программного обеспечения Работа в команде  Требования:  Знание Spring Framework 5 SQL (MySQL 8.1+ приветствуется) Spring JDBC HTML5 + CSS3 Javascript Опыт разработки серверных приложений не менее 1 года  Желательно:  Опыт разработки под кассовое оборудование Наличие завершенных проектов  Условия:  Официальный контракт с компанией Возможна удаленная работа (Рассматривается вариант релокации) Испытательный срок 5 дневная рабочая неделя Возможны командировки ;Знание Spring Framework 5. SQL (MySQL 8.1+ приветствуется). Spring JDBC. HTML5 + CSS3. Javascript. ;Разработка программного обеспечения. Работа в команде.;"JavaScript; MySQL; HTML5; CSS3; SQL; Kotlin; Java";  Официальный контракт с компанией Возможна удаленная работа (Рассматривается вариант релокации) Испытательный срок 5 дневная рабочая неделя Возможны командировки ;47;0.034482758620689655;Java;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
1;52;Senior Developer (Java, Kotlin);5.0;4.0;Intellogic;2019-12-12T14:30:18+0300;Мы в Botkin.AI (https://botkin.ai) занимаемся разработкой системы ранней диагностики заболеваний с помощью технологий искусственного интеллекта. Наша система - это облачная платформа, которая интегрируется с клиниками, предоставляет модели детектирования патологических изменений на снимках пациентов, в том числе онкологических образований, web инструменты для разметки и анализа медицинских изображений, сервисы для хранения медицинских данных. Наша цель - повысить выявляемость заболеваний на ранних стадиях, когда лечение для человека еще возможно и доступно. Мы ищем бэкенд разработчика, который станет важной частью нашей команды и поможет нам создавать лучший продукт в своем классе. Технологии, которые используются в проекте: Java, Kotlin, Kubernetes, Istio, Spring, Python, React.JS Обязанности:  Технический анализ требований, участие в планировании и оценке сроков Развитие и разработка микросервисов Участие в задачах интеграции в клиники  Требования:  Отличные знания JVM стэка  Java 8+ SE Spring (IoC, MVC, JPA, Cloud) Multithreading, Concurrency Понимание принципов функционального программирования - плюс Scala \ Kotlin - плюс   SQL, ACID, PostgreSQL Опыт работы с медицинскими стандартами DICOM, HL7, FHIR - плюс Опыт работы с распределенными системами  Понимание прицнипов микросервисной архитектуры, владение отдельными паттернами (Service Discovery, Circuit Breaker, Gateway, SSO, Distributed Tracing, Event Bus, etc) Понимание механизмов работы таких систем как Consul \ Eureka \ Zookeeper - плюс   Понимание принципов реактивного программирования  Опыт работы с Akka \ Vert.x - плюс   Linux, bash, Docker Опыт работы с Kubernetes - плюс Опыт работы с Python - плюс Опыт работы с Javascript - плюс  Условия:  уютный офис на Петроградской (БЦ Гайот) Компенсация обедов Чай, кофе, печеньки Гибкий график Оформление по ТК, белая ЗП ;Отличные знания JVM стэка. Java 8+ SE. Spring (IoC, MVC, JPA, Cloud). Multithreading, Concurrency. Понимание принципов функционального программирования - плюс. ;Технический анализ требований, участие в планировании и оценке сроков. Развитие и разработка микросервисов. Участие в задачах интеграции в клиники.;"Linux; PostgreSQL; Kotlin; Java; Spring Framework";  уютный офис на Петроградской (БЦ Гайот) Компенсация обедов Чай, кофе, печеньки Гибкий график Оформление по ТК, белая ЗП ;52;0.0;Java;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2;33;Java-разработчик;5.0;6.0;УМНЫЙ ПОИСК;2019-12-12T15:08:59+0300;"Мы создаем сервис единого окна для покупки квартиры. Мы ведем пользователя от подбора квартиры по 97 параметрам, организации просмотра объекта до онлайн процессинга сделки. Для достижения этой цели мы ставим перед собой амбициозные задачи, такие как:  робот-помощник с распознаванием речи; автоматизация процессинга сделки от записи на просмотр до получения ипотеки и покупки квартиры.  Мы ищем сильного и талантливого разработчика, который усилит нашу команду и поможет быстрее достичь поставленных целей. Обязательно:  Java Spring; Java 8+; PgSQL на уровне понимания, чем отличается INNER JOIN от OUTER JOIN; понимание и умение применять SOLID, KISS, DRY. Умение оценивать объем и сроки работ, и выполнять их вовремя; Уметь работать в команде, общаться и решать возникшие вопросы, а не умалчивать их; Уметь получать удовольствие от работы;  Желательно:  понимание Domain Driven Design будет огромным плюсом; опыт работы с Apache Lucene; знание PgSQL на уровне использования CTE, триггеров и процедур; понимание GRASP; поверхностное знание Docker, PHP, Yii2 (необязательно, но будет плюсом);  Условия:  Полностью белая з/п, официальное трудоустройство по ТК РФ; Размер з/п обсуждается с успешными кандидатами по итогам собеседования; ДМС; офис рядом с торговым центром «Охта-Молл», метро Новочеркасская или Ладожская (бесплатная парковка, развозка от метро); ";"  Полностью белая з/п, официальное трудоустройство по ТК РФ; Размер з/п обсуждается с успешными кандидатами по итогам собеседования; ДМС; офис рядом с торговым центром «Охта-Молл», метро Новочеркасская или Ладожская (бесплатная парковка, развозка от метро); ";Java Spring. Java 8+. PgSQL на уровне понимания, чем отличается INNER JOIN от OUTER JOIN. Понимание и умение применять...;Робот-помощник с распознаванием речи. Автоматизация процессинга сделки от записи на просмотр до получения ипотеки и покупки квартиры.;"Java; Spring Framework; PostgreSQL";133;0.0;Java;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3;64;Старший бэкенд-разработчик (Java/Scala/Kotlin);5.0;4.0;ТРА РОБОТИКС;2019-12-11T17:30:33+0300;"Мы в Arrival Robotics (formerly TRA Robotics) создаем 100% роботизированную промышленную фабрику (индустрия 4.0), которая сможет принимать и выполнять любой новый дизайн или конфигурацию продукта в режиме реального времени, без необходимости изменения компоновки производственного процесса. На текущий момент мы работаем над внедрением наших технологий в процесс сборки электромобилей. О проекте Factory Control – это серия веб-приложений и поддерживающих их микро-сервисов для управления производственными процессами на фабриках, использующих технологии Arrival Robotics. С помощью системы диспетчеры фабрики могут осуществлять мониторинг, планировать и запускать процесс производства, обнаруживать неисправности и реагировать на них, проводить аналитику, управлять оборудованием, если требуется ручное вмешательство. Наша продуктовая команда плотно взаимодействует со всеми фабриками Arrival, участвует в сборе требований и автоматизации производства. Для успешной работы необходимо  Знать один из языков: Java/Scala/Kotlin; Понимать принципы микросервисной архитектуры; Понимать, как сделать хороший REST-api; Иметь опыт работы с SQL- и noSQL- базами данных; Иметь желание разрабатывать архитектуру вместе с нами; Уметь продумать и реализовать небольшой сервис с нуля до поставки в продакшн; Уметь работать с Linux; Быть готовым использовать git и docker; Владеть английским языком достаточно для несложной инженерной дискуссии с коллегами; Уметь пользоваться каким-либо популярным фреймворком для разработки web backend.  Для вакансии важнее ширина кругозора и личные качества, чем конкретный технологический стек — большинство дизайн-решений по бэкенду системы еще только предстоит принять. Мы предлагаем  Принять участие в создании фундаментальных технологий в индустрии робототехники, учиться, создавать новое и выбирать курс движения вместе с нами; Получить уникальной опыт работы в среде талантливых инженеров и исследователей — экспертов в своих областях; Личный годовой бюджет на профессиональное развитие за пределами компании; Достойную заработную плату, оформление по ТК, ДМС и другие «сервисные» мелочи, делающие нашу жизнь проще и приятнее. ";;Понимать принципы микросервисной архитектуры. Понимать, как сделать хороший REST-api. Иметь опыт работы с SQL- и noSQL- базами данных. ;Мы в Arrival Robotics (formerly TRA Robotics) создаем 100% роботизированную промышленную фабрику (индустрия 4.0), которая сможет принимать и выполнять...;"SQL; Linux; Java; SCALA; Kotlin; NoSQL; REST";164;0.0;Java;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;73;Intern Java Developer/Стажер;2.0;2.0;Айфьючер;2019-12-10T23:55:56+0300;Приглашаем начинающих Java-разработчиков на стажировку! Вам предстоит принять участие в разработке и развитии крупного клиент-серверного ПО на уровне JavaSE. Все желающие пройти стажировку проходят отбор, по результатам которого, будет предложено выполнить тестовое задание. Кандидатов которые выполнили задание лучше всех мы пригласим на собеседование, а прошедшим собеседование будет предложено присоединиться к команде разработки в качестве Intern Java Developer. Нам важно, чтобы Вы имели:  Отличные знания Java Core и ООП. Знания основ Java SE. 3-4 курса профильного высшего образования или недавно выпустились. Желание впитывать информацию и развиваться в области клиент-серверного программирования.  Что будет на стажировке и после: • Стажировка длится 3 месяца и, при успешном завершении стажировки, мы берем стажера на полноценную позицию без испытательного срока. • На нашей стажировке Вы получите только реальные задачи для бизнеса, никаких учебных проектов «в стол» - Ваш код пойдет в продакшен (после проверки более опытными коллегами и отделом тестирования, разумеется). • Стажировка оплачивается (сумма обсуждается по итогам финального собеседования). • После успешного прохождения стажировки, у Вас появится возможность воспользоваться нашим социальным пакетом: компенсация занятий спортом, корпоративный ДМС со стоматологией, уроки английского с преподавателем в рабочее время и т.д. • Комфортный офис не в openspace в 5 мин. от ст.м. Старая Деревня.Ждем Ваших откликов!;;Отличные знания Java Core и ООП. Знания основ Java SE. 3-4 курса профильного высшего образования или недавно выпустились. ;" Java;Java; Spring Framework; Git; SQL";"Java SE; ООП; Java Core";173;0.034482758620689655;Java;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;77;Java разработчик;5.0;4.0;ДОХОДЪ, Инвестиционная Компания;2019-12-10T15:55:11+0300;Что нужно делать:  Разрабатывать, поддерживать и развивать существующие и новые проекты в составе команды разработчиков (личный кабинет, мобильные приложения, платёжные сервисы и многое другое) Интегрировать и разрабатывать новые сервисы  Ты наш кандидат, если у тебя есть:  Отличные знания Java 8 Знания Spring Framework (Spring Data, Spring MVC), ORM-фреймворками (EclipsLink, Hibernate) Умение использовать различные инструменты для тестирования кода и приложений различной сложности Опыт работы с базами данных, в частности PostgreSQL Знание принципов и шаблонов проектирования и умение применять их на практике Желание работать с большими и сложными проектами Умение разбираться в чужом коде и модифицировать его  Отлично, если ты:  Хочешь делать процесс разработки эффективным Считаешь, что работа разработчика не заканчивается на написании кода  Что мы предлагаем:  Стабильный и белый доход: размер заработной платы обсуждается по итогам собеседования Гибкий график работы: ты сможешь планировать время так, как удобно тебе Сложные и интересные задачи, современный стек технологий Среду для развития: у нас регулярно проходят вебинары, митапы и демо, оплата посещения профильных конференций и курсов Чувство локтя: у нас дружелюбная атмосфера и сплоченный коллектив, который всегда поможет Оформление по ТК, компенсация больничного и отпуска  Где и с кем работать:  Васильевский остров, м. «Приморская» (7 мин пешком). В сильной команде профессионалов, в компании с 26-летней историей. ;;Отличные знания Java 8. Знания Spring Framework (Spring Data, Spring MVC), ORM-фреймворками (EclipsLink, Hibernate). Умение использовать различные инструменты для...;Разрабатывать, поддерживать и развивать существующие и новые проекты в составе команды <highlighttext>разработчиков</highlighttext> (личный кабинет, мобильные приложения, платёжные сервисы и многое...;;177;0.06896551724137931;Java;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6;12;Java разработчик (middle/senior);5.0;4.0;ТекФорс Инжиниринг;2019-12-11T14:36:30+0300;"Привет! Мы - компания TecForce. Занимаемся разработкой программных решений в финансовой сфере. С 2009 года мы собрали хорошее портфолио выполненных проектов для крупных Заказчиков. Мы ориентированы на создание команды профессионалов, способных решать сложные и интересные задачи. Сейчас мы ищем Java-разработчиков для работы над одним из наших продуктов. Если ты любишь решать сложные нестандартные задачи и готов прокачивать свои навыки в свободное время, то будем рады с тобой познакомиться! Чем конкретно предстоит заниматься:  Проектировать и разрабатывать высоконагруженные и отказоустойчивые системы; Исправлять ошибки в разрабатываемых продуктах; Рефакторить существующий код; Обеспечивать высокое качество программных продуктов.  Что мы хотим видеть в кандидате:  Отличное знание языка Java; Аналитические способности; Опыт разработки корпоративных приложений; Опыт проектирования сложных систем или их компонент Хорошее знание структур данных и алгоритмов; Твердое знание принципов ООП и умение их применять; Понимание принципов проектирования архитектуры приложения; Понимание процессов разработки; Опыт оптимизации кода на производительность.  Языки и технологии, которые мы используем:  Java Spring Framework (Boot, Core, Web, Security, Integration,..) Hibernate PostgreSQL, PL/PgSQL React.js (понимание базовых принципов для backend разработчиков) Gradle, Maven Liquibase, Flyway Git(GitLab) Tomcat, Jboss EAP 6.4  Плюсом будет:  Опыт работы с Linux; Умение самостоятельно анализировать поставленную задачу; Желание писать красивый код, тесты и хорошую документацию; Увлечённость профессией, постоянное саморазвитие, энтузиазм и креативность; Желание работать в команде; Умение проводить код ревью; Умение давать точные оценки по задачам; Опыт работы с бизнес требованиями, создание формальных требований.  Что мы предлагаем:  Официальное трудоустройство с полностью белой ЗП; Работу с интересными нестандартными задачами; ДМС или компенсацию спорта на выбор; Скидки на изучение английского и покупку техники; Гибкий график работы, с возможностью иногда работать из дома; Участие в профильных конференциях и курсах за счет компании; Дополнительные льготы, предусмотренные в компании.  Условия для иногородних кандидатов:Если ты готов переехать в Санкт-Петербург или Самару из другого города, то мы компенсируем стоимость билетов и стоимость первого месяца аренды жилья.";;Hibernate. PostgreSQL, PL/PgSQL. React.js (понимание базовых принципов для backend <highlighttext>разработчиков</highlighttext>). Gradle, Maven. Liquibase, Flyway. Git(GitLab). Tomcat, Jboss EAP...;Проектировать и разрабатывать высоконагруженные и отказоустойчивые системы. Исправлять ошибки в разрабатываемых продуктах. Рефакторить существующий код. Обеспечивать высокое качество программных продуктов.;;212;0.034482758620689655;Java;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
7;97;Senior Go/Java Developer;10.0;4.0;Omega BaaP Limited;2019-12-09T19:31:05+0300;"Британскому банковскому стартапу на постоянную основу требуется удаленный Senior Go/Java Developer для участия в разработке различных элементов бекенд. В спектр задач входит :  Проектирование, разработка и поддержка микросервисов; Интеграции сервисов с внешними и внутренними системами; Написание кода;  Требования к кандидату:  Знание Java/Go Опыт back-end разработки от 3 лет Отличное знание баз данных SQL, NoSQL Опыт разработки микросервисных архитектур Понимание работы сети (ip, tcp, udp, http) Опыт работы с Amazon AWS и различными ее элементами желателен  Бонусы  Премии при достижении KPI Опция переезда в центральный офис в Лондон. Удаленная работа Работа в международной команде профессионалов Конкурентная компенсация в долларах США   ";;Знание Java/Go. Опыт back-end разработки от 3 лет. Отличное знание баз данных SQL, NoSQL. Опыт разработки микросервисных архитектур. ;Проектирование, разработка и поддержка микросервисов. Интеграции сервисов с внешними и внутренними системами. Написание кода.;"Java; Git";297;0.06896551724137931;Java;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8;6;Java-разработчик;5.0;4.0;Бест2пей;2019-12-09T15:49:45+0300;Best2Pay ищет Java-разработчика в свою команду по разработке платежного шлюза. Мы успешно работаем на рынке e-commerce в течение 7 лет и за это время создали систему, которая сделала финансовые операции удобными и простыми. Среди наших клиентов - десятки крупнейших банков России, сотни магазинов и различные агрегаторы, что выдвигает особые требования к надежности, безопасности и доступности системы. А благодаря тому, что продукт наш собственный - мы имеем возможность делать его именно таким, каким видим сами, без многочисленных совещаний со внешними заказчиками. Работать предстоит в офисе компании, который находится в бизнес-центре класса А на Петроградской стороне в Санкт-Петербурге. Мы готовы предложить гибкий график, чай-печеньки в офисе, а также при желании - можем помочь с обучением и сертификатами. Мы ищем опытного бэк-разработчика, который глубоко понимает принципы разработки ПО, интересуется последними трендами в мире разработки и понимает, как можно их применить для улучшения существующих разработок. Среди обязанностей будет разработка новых продуктов нашего платежного шлюза в соответствии со всеми требованиями безопасности, а также поддержка и оптимизация существующего функционала. Мы ожидаем, что наш кандидат:  Имеет высшее техническое образование и опыт коммерческой разработки на Java от трех лет Уверенно владеет Java EE (EJB, JMS, JPA) или Java SE + Spring Framework и знает, что такое масштабируемые системы Имеет коммерческий опыт работы с PostgreSQL или Oracle Умеет работать с SVN, Git, Maven, Unix-системами Знает английский язык на уровне чтения технической документации Документирует код  А также желательно  Работал с библиотеками Apache Camel Имеет представление о том, что такое Docker и для чего он нужен Имел опыт работы с Hazelcast или прочими IMDG  Условия:  Полный рабочий день с гибким графиком Испытательный срок - 3 месяца Официальное оформление и полностью белая заработная плата по результатам собеседования, в т.ч. на испытательный срок После прохождения испытательного срока - возможность посещения профессиональных конференций и курсов ;  Полный рабочий день с гибким графиком Испытательный срок - 3 месяца Официальное оформление и полностью белая заработная плата по результатам собеседования, в т.ч. на испытательный срок После прохождения испытательного срока - возможность посещения профессиональных конференций и курсов ;Имеет высшее техническое образование и опыт коммерческой разработки на Java от трех лет. Уверенно владеет Java EE (EJB, JMS, JPA...;" Java;Java; Spring Framework; Git; SQL";"Java; PostgreSQL; Oracle Pl/SQL; SVN; Spring Framework; EJB; JPA; Git; Linux; SQL";306;0.10344827586206896;Java;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;16;Java разработчик (внешние проекты);5.0;4.0;Litota Labs;2019-12-12T11:49:14+0300;ГК Litota Labs - группа компаний, которая успешно создает и внедряет уникальные ИТ-решения более 12 лет. Мы ищем опытного backend разработчика, который сможет присоединиться к нашей команде и будет заниматься разработкой и поддержкой проектов по заказной разработке ПО. Мы ценим время наших сотрудников: путешествуя или живя в любой точке мира мы добиваемся успеха, имея лишь большое желание и стабильный доступ к интернету. Мы предлагаем возможность удаленной работы в молодой проактивной команде разработчиков, и обеспечим всем, что необходимо для успешного решения задач. Мы поручим:   Разработку новой функциональности в проектах заказной разработки ПО.   Рефакторинг и оптимизацию существующей функциональности.   Исправление найденных дефектов.   Написание модульных и интеграционных тестов.   Написание технической документации.   Для выполнения задач необходимы:   Уверенное знание Java Core.   Опыт работы на Spring, представление о работе на Hibernate.   Опыт работы с большими XML-файлами (понимание различий DOM и SAX парсеров).   Опыт написания RPC/REST сервисов.   Понимание принципов SOLID.   Будет плюсом:   Опыт работы c SOAP, JMS.   Опыт на Kotlin, Groovy/Grails.   Опыт с БД PostgreSQL.   Инструментарий GitLAB, Jenkins, Jmeter.   Опыт работы с MQ брокерами, active/open/zero.   Понимание CAP/BASE.   Понимание работы AOP.   Опыт написания модульных и интеграционных тестов (JUnit 4/5).   Мы предлагаем:   Удаленную работу - возможность распоряжаться своим временем с наибольшей эффективностью, но при этом чувствовать свою причастность к делу и команде. Возможность работать в часовых поясах от GMT+2 до GMT+6. Оформление по ТК РФ (full time).   Применяемые технологии Back-end: Java, Spring, Hibernate, Groovy/Grails, PostgreSQL.   Интересные проекты - возможность реализовать свой потенциал в создании новых, интересных проектов, повышая свои skills и обмениваясь знаниями с коллегами.   Понятная система грейдов, которая позволяет определить достижения и результаты сотрудника, скорректировать текущие цели и направление дальнейшего развития.   Возможность профессионального развития до руководителя группы разработки.   Прокаченные коллеги - всегда можно получить мастер-классы от опытных сотрудников.   Корпоративная жизнь - мы заботимся о комфорте внутри компании, поэтому ценим дружественное общение и хорошее чувство юмора.   ;   Удаленную работу - возможность распоряжаться своим временем с наибольшей эффективностью, но при этом чувствовать свою причастность к делу и команде. Возможность работать в часовых поясах от GMT+2 до GMT+6. Оформление по ТК РФ (full time).   Применяемые технологии Back-end: Java, Spring, Hibernate, Groovy/Grails, PostgreSQL.   Интересные проекты - возможность реализовать свой потенциал в создании новых, интересных проектов, повышая свои skills и обмениваясь знаниями с коллегами.   Понятная система грейдов, которая позволяет определить достижения и результаты сотрудника, скорректировать текущие цели и направление дальнейшего развития.   Возможность профессионального развития до руководителя группы разработки.   Прокаченные коллеги - всегда можно получить мастер-классы от опытных сотрудников.   Корпоративная жизнь - мы заботимся о комфорте внутри компании, поэтому ценим дружественное общение и хорошее чувство юмора.   ;Уверенное знание Java Core. Опыт работы на Spring, представление о работе на Hibernate. Опыт работы с большими XML-файлами (понимание...;Разработку новой функциональности в проектах заказной разработки ПО. Рефакторинг и оптимизацию существующей функциональности. Исправление найденных дефектов. Написание модульных и интеграционных...;"Spring Framework; Hibernate ORM; PostgreSQL; Java";316;0.0;Java;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
