;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;JavaScript; CSS; Git; JavaScript; HTML; HTML5; CSS3; React; ООП; AngularJS; jQuery; Node.js; REST; Ajax; Redux;Python; Linux; Java; MySQL; SQL;Другие навыки
0;0;Веб-программист;4.0;3.0;ГК «РОСОХРАНА»;2019-12-09T14:24:16+0300;"Какие задачи необходимо решить:  Активная разработка, поддержка сервиса «личный кабинет» и его взаимодействие с мобильным приложением; Развитие, оптимизация и поддержка интеграционных механизмов; Разработка с «нуля», внедрение и поддержка собственных сервисов; Развитие и поддержка корпоративного портала Bitrix24; Поддержка сайтов компании;  Наши ожидания от кандидата:  Отличные знания РНР 5, CMS Bitrix, Bitrix24, HTML. Опыт администрирования вебсервисов Apachе и nginx на Linux. Опыт разработки API; Опыт работы с СУБД MySQL, MS SQL и PostgreSQL; Опыт работы с системами мониторинга (PRTG) желательно Опыт ведения документации и написания инструкций Желателен опыт использования практик DevOps (Bitbucket, Jira) и методологий Agile.  Что мы предлагаем:  Официальное трудоустройство. График работы: с понедельника по четверг с 09.00 до 18.00, в пятницу с 09.00 до 17.00 Достойную заработную плату: оклад (обсуждаем с кандидатами на собеседовании) Интересные разносторонние задачи. Работа в комфортном офисе возле ст. м Чкаловская. Возможность обучения, в рамках корпоративных программ. Корпоративная программа ДМС. Разнообразная корпоративная жизнь. ";Отличные знания РНР 5, CMS Bitrix, Bitrix24, HTML. Опыт администрирования вебсервисов Apachе и nginx на Linux. Опыт разработки API. ;Активная разработка, поддержка сервиса «личный кабинет» и его взаимодействие с мобильным приложением. Развитие, оптимизация и поддержка интеграционных механизмов. ;"JavaScript; CSS; Git; JavaScript; HTML";;0;0.10344827586206896;Web;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1;Junior Frontend-разработчик;2.0;3.0;Sendsay.ru;2019-12-11T13:50:32+0300;"Sendsay.ru ищет младшего frontend-разработчика, знающего ES6, дружащего с React, Redux, Webpack, способного расти и развиваться в команде. У вас будет возможность набраться опыта в одной из крупнейших платформ автоматизации маркетинга, которой пользуются топ-20 российских банков, крупные интернет-магазины и b2b-компании. Мы ищем разработчика «на вырост», поэтому нужно будет показать, что вы умеете учиться и расти. За год вы прокачаетесь до сильного фронтендера.   Что нужно будет делать: В первую очередь вам придётся научиться тому, как:  Проектировать архитектуру тестов. Писать документацию, которую смогут понять коллеги. Исследовать и оценивать новые технологии для применения в проекте.  Если вы уже умеете, то мы начнём с наладки процесса e2e-тестирования приложения:  Настроить тестовое окружение для разработчиков и CI. Написать первые тест-кейсы и рассказать как это работает коллегам на примерах. Наладить вместе с командой процесс Shift-Left Testing — это когда тесты пишутся параллельно с разрабатываемой функциональностью (https://en.wikipedia.org/wiki/Shift-left_testing). Задокументировать лучшие практики написания тестов для коллег. Следить за актуальностью и простотой системы тестов — мы не хотим чтобы тесты превратились во что-то запутанное и громоздкое.    Несколько фактов о разработчике которого мы ищем: Требования:  Уметь вести диалог с командой и быть её частью, а не баррикадироваться за экраном монитора. Быть ответственным, аккуратным во всём человеком, с хорошим вкусом и блеском в глазах. Понимать, что хороший фронтендер это не только о коде, но прежде всего о пользователях. Понимать, что заниматься надо не только веселыми, но и рутинными задачами. Уметь оценивать объем и сроки работ с адекватными погрешностями. Уметь быстро учиться и разбираться с задачами по технической документации Читать по-английски.    Что мы предлагаем:  дружный коллектив единомышленников, ценящий индивидуальность и желание развиваться; индексируемая зарплата (белая, конечно) по результатам собеседования и премии по результатам работы; быстрый профессиональный рост; ДМС после окончания испытательного срока; офис в 10 минутах ходьбы от метро Петроградская, рядом с ИТМО и ЛЭТИ; пятидневка без крайностей, c последующим гибким графиком когда сработаемся;    ☝️ Сделайте тестовое задание:  Посмотрите продукт, над которым будете работать https://app.sendsay.ru/ Ознакомьтесь с доменом деятельности нашей компании — на собеседовании мы спросим, чем занимается компания в целом Так как мы начнем с e2e-тестирования, то предлагаем выполнить тестовое задание: http://bit.ly/JR-FRONTEND В сопроводительном письме, напишите что вы делали во фронтенде, к чему пришли, и как планируйте двигаться дальше   Без тестового, смотреть и реагировать не будем   P. S. Дорогие эйчары, мы не планируем сотрудничать с вами по этой вакансии.";Уметь вести диалог с командой и быть её частью, а не баррикадироваться за экраном монитора. Быть ответственным, аккуратным во всём...;Проектировать архитектуру тестов. Писать документацию, которую смогут понять коллеги. Исследовать и оценивать новые технологии для применения в проекте.;"JavaScript; React; Redux; Cypress";;1;0.034482758620689655;Web;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
2;10;Frontend разработчик;3.0;3.0;Cинтез-АТ;2019-12-11T13:10:47+0300;"Компания была образована в 2013 году. Основным направлением деятельности компании является разработка инновационных цифровых решений в области автоматизации бизнес-процессов. Обязанности:  Доработка существующего функционала Переноса старого функционала на современные технологии  Требования:  Знание Javascript(ES6/ES7), HTML, CSS (CSS/SCSS); Опыт в работе с ReactJS и его экосистемой (Babel, Redux, Router etc.); Умение настраивать окружение и сборку проектов (Webpack, Gulp, NPM Scripts);  Будет плюсом:  Знание технологий для бекенд-разработки (для лучшего понимания нюансов взаимодействия с бекендом); Опыт написания тестов  Мы предлагаем:  Интересные задачи Достойный уровень заработной платы Оформление в соответствии ТК РФ Перспективы профессионального и карьерного роста Уютный и комфортный офис у метро Василеостровская ";Знание Javascript(ES6/ES7), HTML, CSS (CSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...;Доработка существующего функционала. Переноса старого функционала на современные технологии.;"Frontend; REST; React; Redux";  Интересные задачи Достойный уровень заработной платы Оформление в соответствии ТК РФ Перспективы профессионального и карьерного роста Уютный и комфортный офис у метро Василеостровская ;10;0.034482758620689655;Web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
3;21;JavaScript разработчик;2.0;3.0;Расчетные системы;2019-12-11T17:24:12+0300;"В молодой и дружный коллектив, занимающийся развитием сервиса электронных платежей в пользу федерального бюджета РФ, требуется опытный JavaScript разработчик со здоровым чувством юмора и неутомимой тягой к чистому коду. Мы предлагаем работу по современным бизнес-процессам, интересные задачи, возможность профессионального и карьерного роста.   Обязанности:  разработка мобильных приложений на базе гибридного фреймворка (Ionic); разработка новых архитектурных решений, код ревью, участие в развертывании проектов; рефакторинг существующей кодовой базы.    Требования:   опыт разработки мобильных приложений от года;  отличные знания нативного JavaScript; хорошие знания одного из современных frontend фреймворков (Angular/React/Vue);  опыт клиентской/серверной разработки;   опыт использования/внедрения ui/unit тестов;   знания HTML/CSS;   опыт работы с Git.     Будет плюсом:  знания хотя бы одного из гибридных фреймворков (Ionic, Phonegap, Cordova, Native); знание паттернов проектирования и умение их применять;  опыт работы с TypeScript.     Условия:  соответствие ТК РФ, 5/2, отпуск 28 календарных дней; испытательный срок 3 месяца; ДМС при работе более 6 месяцев; офис в центре города (5 минут от с/м Чернышевская), чай, кофе, фрукты, PlayStation; дружная команда frontend-разработки; гибкий график: начало рабочего дня в 09:00-11:00; «белая» ЗП, оклад определяется по результатам собеседования. ";Опыт разработки мобильных приложений от года. Отличные знания нативного JavaScript. Хорошие знания одного из современных frontend фреймворков (Angular/React/Vue). ;Разработка мобильных приложений на базе гибридного фреймворка (Ionic). Разработка новых архитектурных решений, код ревью, участие в развертывании проектов. ;"JavaScript; Ionic";"  соответствие ТК РФ, 5/2, отпуск 28 календарных дней; испытательный срок 3 месяца; ДМС при работе более 6 месяцев; офис в центре города (5 минут от с/м Чернышевская), чай, кофе, фрукты, PlayStation; дружная команда frontend-разработки; гибкий график: начало рабочего дня в 09:00-11:00; «белая» ЗП, оклад определяется по результатам собеседования. ";21;0.0;Web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;22;Python Middle Developer (backend программист);3.0;5.0;Умный полис;2019-12-09T17:20:25+0300;"Умный полис — платформа для бизнеса, позволяет запустить продажи страховок (например ОСАГО) с своего сайта или моб. приложения, для клиентов со всей страны. Над продуктом работает единая команда разработчиков, аналитиков, маркетологов а также экспертов в страховом бизнесе. 35+ сотрудников в команде 200 000 000р.+ ежемесячный объем продаж через платформу Мы ищем в команду людей с горящими глазами, желающих поучаствовать в развитии ФинТех проекта с большими целями. Если не знаете какую-либо из наших технологий, но очень хотите выучить — пишите, научим. Что интересного в наших проектах:  Распределенная архитектура, позволяющая обрабатывать миллионы запросов (автоматизации развёртывания, масштабирования и управления контейнеризированными приложениями) Используем технологии blockchain для учета фин. балансов (через наши сервисы, продаются страховки на миллиарды рублей) Обучаем нашу нейросеть определять вероятность наступления страховых случаев на 150 000 договоров ОСАГО ежемесячно продающихся через нашу платформу.  Чем нужно будет заниматься:  Разработка микро-сервисов, проектирование rest API (мы работаем с Django и postgresql) DevOps (CI CD, Doker, Kubernetes) Ежедневные код ревью коллег и улучшение собственного кода; Взаимодействие с командами тестирования и аналитики;  Условия:  Гибкое начало рабочего дня (с 11:00 до 17:00 часы обязательного присутствия в офисе); Работу в комфортном офисе в современном стиле (в пешей доступности от ст.м. Василеостровская и ст.м. Спортивная); Возможности и перспективы для профессионального и карьерного роста; Работу в дружной команде и неформальной обстановке, где коллеги всегда помогут со сложными задачами в процессе работы, а вечером вместе сыграют в PlayStation или настольные игры. :) Достойный уровень дохода (премии, бонусы); Корпоративное обучение (участие в конференциях, тренинги, семинары, а также мы компенсируем покупку профессиональной литературы); Официальное оформление по ТК РФ;  Мы ищем азартного и заинтересованного в развитии специалиста!  ";;Распределенная архитектура, позволяющая обрабатывать миллионы запросов (автоматизации развёртывания, масштабирования и управления контейнеризированными приложениями). Используем технологии blockchain для учета фин. ;"Python; Git; Django Framework; ООП; TDD";"  Гибкое начало рабочего дня (с 11:00 до 17:00 часы обязательного присутствия в офисе); Работу в комфортном офисе в современном стиле (в пешей доступности от ст.м. Василеостровская и ст.м. Спортивная); Возможности и перспективы для профессионального и карьерного роста; Работу в дружной команде и неформальной обстановке, где коллеги всегда помогут со сложными задачами в процессе работы, а вечером вместе сыграют в PlayStation или настольные игры. :) Достойный уровень дохода (премии, бонусы); Корпоративное обучение (участие в конференциях, тренинги, семинары, а также мы компенсируем покупку профессиональной литературы); Официальное оформление по ТК РФ;  Мы ищем азартного и заинтересованного в развитии специалиста!  ";22;0.06896551724137931;Web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
5;24;Бекенд-разработчик /Back-end developer на Python (Flask/Django);3.0;3.0;Группа компаний «SWEB GROUP»;2019-12-11T12:03:57+0300;"Приглашаем в нашу команду бекенд-разработчика на Python(Flask/Django). О команде. Мы EdTech проект, меняем традиционное образование в сфере охраны труда с помощью технологий. Наша IT-команд растет и развивается, у нас есть продуктовая команда, большая команда по разработке, а также сильная экспертиза в данной области. Наша разработка — обучающая платформа с более 200 различных обучающих курсов. Это уникальный продукт для нашего рынка. Под капотом. Наш продукт состоит из двух направлений - технического и методического, мы и разрабатываем специализированную техническую платформу и образовательные материалы. На каждой направление у нас есть свой проджект менеджер. Мы профи как в ИТ сфере, так и в области создания методических материалов. Делимся тем, с чем мы работаем здесь: proffstandart.pro. Срочно ищем еще одного крутого Backendera, у которого уже есть определенный опыт, но он хочет расти, развиваться и главное кодить, много и качественно кодить! В общем, ждем тебя. Что нужно будет делать:   Разработка web-сервиса в качестве backend-разработчика;   Ревью кода;   Работа по технологиям Scrum/Kanban в Youtrack.   Для нас важны:   Отличные навыки программирования на Python;   Опыт работы с Flask / другими RESTful фреймворками;   Опыт работы с базами данных (MySQL, PgSQL и т.д.);   Базовые знания любого Frontend framework’а (у нас vue.js);   Опыт работы в коммерческих проектах и наличие портфолио;   Опыт работы бекенд-разработчиком на Python от года;   Опыт работы ведущим разработчиком будет преимуществом;   Общее видение и понимание архитектуры проекта;   Наши достижения: - Слаженная многоплановая команда, способная решать любые задачи; - Уникальная обучающая платформа для нашего рынка; - NPS (удовлетворенность пользователей) продуктом 93%; - Более 1000 заявок и более 600 клиентов с мая 2019 года. Мы предлагаем:   Работу над интересным проектом;   Конкурентоспособную заработную плату;   Гибкий график работы(либо в офисе, либо удаленно по выбору сотрудника);   Разноплановые задачи;   Молодой дружный коллектив.  ";Опыт работы бекенд-<highlighttext>разработчиком</highlighttext> на Python от года. Опыт работы ведущим <highlighttext>разработчиком</highlighttext> будет преимуществом. Общее видение и понимание архитектуры проекта.;Разработка web-сервиса в качестве backend-<highlighttext>разработчика</highlighttext>. Ревью кода. Работа по технологиям Scrum/Kanban в Youtrack.;"Python; Git; PostgreSQL; JavaScript; HTML; ООП; SQL; CSS; HTML5; CSS3; REST; vue; Ajax";"   Работу над интересным проектом;   Конкурентоспособную заработную плату;   Гибкий график работы(либо в офисе, либо удаленно по выбору сотрудника);   Разноплановые задачи;   Молодой дружный коллектив.  ";24;0.034482758620689655;Web;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0
6;26;JavaScript-разработчик;4.0;4.0;Дзенмани.ру;2019-12-09T15:26:54+0300;Привет! Я Антон — руководитель проекта Дзен-мани. Мы разрабатываем приложение, которое помогает контролировать расходы без лишних усилий, благодаря синхронизации с банками.Нам в команду нужен вдумчивый самостоятельный разработчик, готовый возглавить разработку интеграций с банками.Каждый месяц мы подключаем несколько новых банков и поддерживаем текущие. Мы строим лучшую систему агрегации данных из банков в России и нам нужна помощь.Вы идеально подходите, если не боитесь слов реверс-инжиниринг, в юности читали журнал Хакер, у вас есть опыт работы с Java, Node.js, Babel, Webpack и большое желание работать на стыке нативных и веб технологий. В работе мы придерживаемся таких принципов:  Не стоим над душой, даём время на проектирование и рефакторинг, требуем качество. Команда распределённая, где вы живёте — не имеет значения. Общаемся через Slack. Работаем недельными итерациями. Зимой за счёт компании встречаемся в тёплых странах. Зарплата растёт вместе с ростом прибыли компании.  Присоединяйтесь к единственной в России команде, которая занимается агрегацией данных из банков!;"Вы идеально подходите, если не боитесь слов реверс-инжиниринг, в юности читали журнал &quot;Хакер&quot;, у вас есть опыт работы с...";Каждый месяц мы подключаем несколько новых банков и поддерживаем текущие. Мы строим лучшую систему агрегации данных из банков в России...;"JavaScript; Node.js";;26;0.10344827586206896;Web;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;28;Web-программист;3.0;3.0;Агентство недвижимости М16;2019-12-12T11:05:28+0300;"Обязанности:   Разработка корпоративных сайтов, адаптивных, мобильных версий   Доработка текущих проектов   Требования:  PHP 5+ HTML, CSS, JavaScript (native), jQuery (в том числе AJAX, JSON, плагины), кросс-браузерная верстка Уверенное знание фреймворков CodeIgniter Уверенное знание MySQL с опытом написания запросов к БД с большим объемом данных Верстка: HTML5, CSS, Ajax, Bootstrap Умение быстро разбираться с чужим кодом и осваивать новое Умение работать в команде, ответственность, инициативность  Условия:  Дружный молодой коллектив; Оформление по ТК РФ; График работы 5/2 с 10-00 до 19-00; ";PHP 5+. HTML, CSS, JavaScript (native), jQuery (в том числе AJAX, JSON, плагины), кросс-браузерная верстка. Уверенное знание фреймворков...;Разработка корпоративных сайтов, адаптивных, мобильных версий. Доработка текущих проектов.;"JavaScript; CSS; Git; JavaScript; HTML";"  Дружный молодой коллектив; Оформление по ТК РФ; График работы 5/2 с 10-00 до 19-00; ";28;0.0;Web;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;42;Senior Go backend developer;8.0;3.0;Cryptopay Ltd.;2019-12-12T13:27:46+0300;"О компании Вот уже больше 5 лет Cryptopay создает платформу, на которой можно совершать денежные переводы, хранить средства и распоряжаться ими с легкостью обычных денег. Ради наших пользователей: криптоэнтузиастов и криптопараноиков — мы создаем новые инструменты, позволяющие взаимодействовать с регуляторами по всему миру, а также исследуем передовой край крипторазработки, чтобы внедрять лучшие решения в нашу систему.   Что нужно будет делать:  Разработка сервисов для использования их в основном приложении; Перевод приложения из монолита на микросервисы; Поддержка существующих продуктов на Golang; Сопровождение проекта от оценки до поддержки  Наши ожидания:  Отличные знания Golang Хорошие знания PostgreSQL Опыт работы с: Redis, RabbitMQ, ELK Опыт работы с: Docker Умение работать с чужим кодом Отличная самоорганизация  Будет плюсом:  Знание/Умение читать код Ruby и Ruby on Rails Опыт работы с gRPC Опыт работы с NATS Опыт профилирования Golang-приложений Наличие опыта работы с криптовалютами Опыт работы с Ansible  Техническая составляющая проекта: Наш кошелек сейчас проходит этап роста - мы разделяем монолитный проект на микросервисы, переходим на SPA, оптимизируем AWS инфраструктуру. Наш стэк - Ruby / RoR + GoLang, PostgreSQL, Sidekiq, Redis, Elasticsearch, gRPC, NATS. Очень большим плюс будет наличие опыта в финтехе / крипто индустрии. Что мы можем предложить   Куча стандартных плюшек Возможность заниматься проектом, который меняет криптоландшафт  ";Отличные знания Golang. Хорошие знания PostgreSQL. Опыт работы с: Redis, RabbitMQ, ELK. Опыт работы с: Docker. Умение работать с чужим...;Разработка сервисов для использования их в основном приложении. Перевод приложения из монолита на микросервисы. Поддержка существующих продуктов на Golang. ;"PostgreSQL; Redis; gRPC; NATS; Sidekiq; GoLang; Ruby; elas";;42;0.0;Web;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
9;43;Full stack разработчик (Java, Kotlin);8.0;3.0;ЛИПТ Софт;2019-12-10T14:36:29+0300;Lipt Soft – компания-разработчик ПО для банка Санкт-Петербург. Наш продукт входит в тройку лидеров юзабилити-рейтинга интернет-банков. В данный момент мы планируем существенно увеличить команду разработки для освоения новых направлений.   Что мы делаем:   Проектируем и создаём микросервисы, решающие определенные бизнес-задачи банка. Сами выбираем инструменты с учётом лучших практик   Развиваем собственную инфраструктуру для поддержания отказоустойчивости и мониторинга внутренних компонентов   Технологический стек: Java 11 / Kotlin, Javascript, Ktor, Oracle DB Инструменты: Git, Gradle, Jenkins, OpenShift, Docker Наш идеальный кандидат:   Имеет опыт разработки на Java от 4-х лет   Отлично знает Java Core, Collections, Stream API, основы Computer Science   Уверенно владеет SQL (опыт с NoSQL будет плюсом)   Имеет опыт разработки на Javascript   Привык тестировать свой код и понимает, почему это важно   Почему у нас хорошо:   Маленькая команда опытных профессионалов, плоская иерархия и никакой бюрократии. Минимум шагов от идеи до её воплощения   Экстремальное программирование: работа в парах, недельные спринты   Новый офис в БЦ класса «А» («Санкт-Петербург Плаза», м. Новочеркасская)   Не боимся экспериментов с любыми доступными технологиями и решениями   Оплачиваем участие в конференциях и техническую литературу   ДМС (со стоматологией), курсы английского в офисе, абонемент в спортзал   Отсутствие дресс-кода, гибкое начало дня с 9:00 до 11:00   Регулярные премии и бонусы по результатам работы  ;Имеет опыт разработки на Java от 4-х лет. Отлично знает Java Core, Collections, Stream API, основы Computer Science. ;Проектируем и создаём микросервисы, решающие определенные бизнес-задачи банка. Сами выбираем инструменты с учётом лучших практик. Развиваем собственную инфраструктуру для...;"JavaScript; Git; SQL; Java; kotlin";;43;0.06896551724137931;Web;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0
