;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; Java; Android SDK; Kotlin; ООП; Android;Android;Java;Android SDK;Git; C++; SQL; Мобильность; kotlin;Разработка программного обеспечения для Android. Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до конечной реализации).;Руководство командой <highlighttext>разработчиков</highlighttext>. Организация процессов разработки, публикации и сопровождения мобильных приложений для Android. Участие в проектах федерального масштаба на всех...;Разрабатывать мобильные приложения под Android и улучшать уже существующие. Писать много новых фич, принимать участие в рефакторинге существующего кода и...;Разработка, поддержка и усовершенствование приложения АТИ-Поиск и грузы. Оценка времени и сложности реализации. Выбор оптимального пути решения. ;+ завершенные проекты.;Написание кода с комментариями.;Аккуратизм и идеализм в вопросах интерфейсов. Участие в разработке open-source проектов компании и активная работа с сообществом. ;Другие навыки
0;3;Middle+ Android developer (kotlin);4.0;4.0;ИнтерВис;2019-12-12T13:00:31+0300;"​​​​​Вы нам подходите, если:  Имеете опыт коммерческой разработки мобильных приложений под Android от 3х лет (пример приложения в Google Play обязателен) Пишите на Kotlin; Знаете базовые принципы ООП; Понимаете принципы работы клиент-серверных приложений; умеете разобраться и интегрироваться с любым API. Владеет стеком Android и разбирается в вопросе совместимости с разными версиями Android; Использует Git, в частности GitLab  Будет плюсом:  Опыт работы с Rx; Умение писать unit-тесты или ui-тесты; Знание паттернов MVVM, MVI, Redux; Понимание принципов DI; Опыт работы с Zeplin и Figma.  Условия:   Работа в стабильно развивающейся компании   Перспективы профессионального развития   Офис в шаговой доступности от ст.м. Невский проспект   Пятидневная рабочая неделя   Гибкий график   Дружный коллектив  ";Имеете опыт коммерческой разработки мобильных приложений под Android от 3х лет (пример приложения в Google Play обязателен). ;;"Git; Android; Android SDK; ООП; Мобильность; kotlin";   Работа в стабильно развивающейся компании   Перспективы профессионального развития   Офис в шаговой доступности от ст.м. Невский проспект   Пятидневная рабочая неделя   Гибкий график   Дружный коллектив  ;3;0.0;Android;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;60;Разработчик под Android (Java/Kotlin);3.0;5.0;Рокси Мобайл;2019-12-12T11:20:38+0300;"Уважаемые соискатели, пожалуйста, указывайте в резюме ссылки на примеры своего кода.   Обязанности:  Разработка программного обеспечения для Android; Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до конечной реализации).    Наши ожидания:  Опыт программирования на Kotlin/Java от 2-х лет; Опыт коммерческой разработки для мобильных устройств на базе Android от 1-го года; Понимание основных принципов ООП и шаблонов проектирования; Знание базовых структур данных и алгоритмов; Знание Android SDK, понимание архитектуры Android; Знание шаблонов проектирования пользовательских интерфейсов для Android (UI patterns); Знание принципов Material Design; Опыт работы с сетевыми протоколами (HTTP, REST, OAuth, JSON и др.); Желание и готовность изучать новые технологии и инструменты разработки.    Дополнительными преимуществами будут:  Участие в крупных проектах для мобильных платформ в составе команды; Наличие собственных опубликованных приложений в Google Play; Опыт работы с системами контроля версий (Git, Subversion) и постановки задач (JIRA, TFS, Redmine); Опыт разработки приложений со сложным UI; Опыт работы с другими мобильными платформами и/или языками программирования (Swift, C/C++, C#); Опыт работы с Dagger, Moxy, Cicerone, RxJava, AndroidAnnotations; Опыт написания Unit-тестов; Знание английского языка на уровне свободного чтения технической документации.    Мы предлагаем:  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы;  Возможность работать из дома (если процесс не требует обязательного присутствия в офисе);  Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";"  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы;  Возможность работать из дома (если процесс не требует обязательного присутствия в офисе);  Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";Опыт программирования на Kotlin/Java от 2-х лет. Опыт коммерческой разработки для мобильных устройств на базе Android от 1...;Разработка программного обеспечения для Android. Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до конечной реализации).;"Java; Android; Kotlin; ООП; Git; Android SDK; Rx; Unit Testing; Atlassian Jira; TFS";160;0.0;Android;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;94;Android developer / Андроид разработчик;6.0;5.0;Navico rus;2019-12-10T14:28:06+0300;"Navico - мировой лидер в области морской электроники. Бренды компании охватывают все сегменты рынка и предлагают такие продукты, как радары, автопилоты, карт-плоттеры, электронные датчики, GPS, гидролокаторы и многофункциональные дисплеи (MFD). Каждый из брендов относится к определённой группе пользователей: BG - продукты для парусного спорта; Simrad - для глубоководной рыбалки и развлечений на воде; Lowrance - для внутреннего и прибрежного рыболовства. Бизнес достиг успеха благодаря инновациям, эффективности и гибкости. Мы ищем опытного, инициативного и увлеченного Android-разработчика, который присоединится к нашей RD группе в Санкт-Петербурге, чтобы внести свой вклад в разработку нового поколения продуктов для морской навигации и пополнить нашу распределённую команду, состоящую из программистов, дизайнеров UX, тестеров и продакт-менеджеров. Данная роль включает в себя участие во всех этапах жизненного цикла разработки программного обеспечения, от первоначальных концепций и brainstormа до проектирования, кодирования, тестирования, отладки и релиза продукта. Это практическая роль в амбициозной организации, которая требует, чтобы вы взяли на себя ответственность за свои собственные результаты и тесно сотрудничали с руководством и остальной частью команды Navico для достижения поставленных целей. Вам необходимо обладать отличным опытом разработки под Android с хорошими навыками Java / Kotlin и интересом к работе с Kotlin в качестве основного языка. Требования к кандидатам:  Высшее инженерное образование; Уверенный опыт разработки Android приложений в полном цикле; Хорошее понимание Android SDK; Большой опыт Java / Kotlin; Опыт системной отладки; Хороший уровень английского языка.  Опыт в следующих областях будет преимуществом:  Понимание шаблонов проектирования, таких как MVVM, MVP; Опыт разработки SDK приложений; Опыт работы в проектах, где используются технологии CI, Unit Tests, TDD; Опыт создания REST/Headless APIs; Грамотное использование сторонних библиотек.  Помимо опыта нам важны:  Ответственность, самостоятельность и организованность; Умение и желание работать в Agile команде, распределённой по всему миру; Желание учиться, работать и получать результат.    За это с нас:    Достойная зарплата; Участие в интересных проектах; Условия для профессионального роста; Сильная команда специалистов, всегда готовых помочь; Офис в центре, комфортное рабочее место, чай, кофе; 5 недель отпуска; Корпоративные мероприятия; ДМС.  Ждем вас в команду!";;Высшее инженерное образование. Уверенный опыт разработки Android приложений в полном цикле. Хорошее понимание Android SDK. Большой опыт Java / Kotlin. ;" Java; Android SDK; Kotlin; ООП; Android";"Android; Android SDK; Kotlin; Java; Разработка ПО; Software Development";194;0.06896551724137931;Android;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;22;Старший разработчик под Android (Kotlin/Java);6.0;8.0;Рокси Мобайл;2019-12-12T11:27:06+0300;"Уважаемые соискатели, пожалуйста, указывайте в резюме ссылки на примеры своего кода.   Обязанности:   Руководство командой разработчиков; Организация процессов разработки, публикации и сопровождения мобильных приложений для Android; Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до конечной реализации).    Наши ожидания:  Опыт программирования на Kotlin/Java от 3-х лет; Опыт коммерческой разработки для мобильных устройств на базе Android от 2-х лет; Понимание основных принципов ООП и шаблонов проектирования; Знание базовых структур данных и алгоритмов; Знание Android SDK, понимание архитектуры Android; Знание шаблонов проектирования пользовательских интерфейсов для Android (UI patterns); Знание принципов Material Design; Опыт работы с сетевыми протоколами (HTTP, REST, OAuth, JSON и др.); Желание и готовность изучать новые технологии и инструменты разработки.    Дополнительными преимуществами будут:  Участие в крупных проектах для мобильных платформ в составе команды; Наличие собственных опубликованных приложений в Google Play; Опыт работы с системами контроля версий (Git, Subversion) и постановки задач (JIRA, TFS, Redmine); Опыт разработки приложений со сложным UI; Опыт работы с другими мобильными платформами и/или языками программирования (Swift, C/C++, C#); Опыт работы с Dagger, Moxy, Cicerone, RxJava, AndroidAnnotations; Опыт написания Unit-тестов; Знание английского языка на уровне свободного чтения технической документации.    Мы предлагаем:  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы;  Возможность работать из дома (если процесс не требует обязательного присутствия в офисе);  Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";"  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы;  Возможность работать из дома (если процесс не требует обязательного присутствия в офисе);  Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";Опыт программирования на Kotlin/Java от 3-х лет. Опыт коммерческой разработки для мобильных устройств на базе Android от 2...;Руководство командой <highlighttext>разработчиков</highlighttext>. Организация процессов разработки, публикации и сопровождения мобильных приложений для Android. Участие в проектах федерального масштаба на всех...;"Android; Java; ООП; Android SDK; Git; Rx; Unit Testing; Atlassian Jira; TFS; Kotlin";222;0.0;Android;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4;28;Android разработчик;4.0;5.0;Mygento eCommerce Solutions;2019-12-11T17:50:24+0300;"Задачи разработчика:  разрабатывать мобильные приложения под Android и улучшать уже существующие; писать много новых фич, принимать участие в рефакторинге существующего кода и code review и делать все, чтобы наши приложения становились лучше; участвовать в оценке проектов и задач; распределять задачи и отслеживать нагрузку коллег в команде; внедрять новую экспертизу.    Требования к кандидатам:  Опыт программирования под Android от трех лет; Опыт работы с:  Java/Kotlin Android SDK, Support Library MVP, MVVM, MVC SOLID Git flow RxJava Conductor RxPM Room   Знание архитектуры Android и библиотек; Опыт работы с Spring Framework. Опыт работы с *nix системами. Умение писать unit-тесты и понимание, зачем это нужно. Знание и умение применять принципы ООП и шаблоны проектирования; Наличие опубликованных приложений в Google Play; Знание английского языка на уровне чтения технической документации.  Условия:  Активная разработка и возможность увидеть созданную с вашим участием систему в проде. Дружелюбная, не бюрократизированная обстановка. Оформление по ТК. Комфортный офис в историческом центре Санкт-Петербурга. ";  Активная разработка и возможность увидеть созданную с вашим участием систему в проде. Дружелюбная, не бюрократизированная обстановка. Оформление по ТК. Комфортный офис в историческом центре Санкт-Петербурга. ;Опыт программирования под Android от трех лет. Опыт работы с: Java/Kotlin. Android SDK, Support Library. MVP, MVVM, MVC. SOLID. ;Разрабатывать мобильные приложения под Android и улучшать уже существующие. Писать много новых фич, принимать участие в рефакторинге существующего кода и...;"Kotlin; Android SDK; Android; Java";228;0.034482758620689655;Android;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
5;30;Android-разработчик;4.0;5.0;АвтоТрансИнфо;2019-12-12T15:05:05+0300;АвтоТрансИнфо ― мы создаем инновационные ИТ-решения для работы на логистическом рынке. Помогаем грузоотправителям и перевозчикам найти друг друга, договориться, оформить документы, рассчитать маршрут, справляясь с нагрузкой в сотни тысяч запросов для десятков тысяч пользователей. Наши сервисы и инструменты помогают сделать грузоперевозки выгодными и безопасными для всех пользователей. Мы создаем мобильный клиент для крупнейшей системы автоперевозок на территории РФ. Система предоставляет участникам рынка грузоперевозок современные и удобные средства обмена информацией для повышения эффективности и безопасности бизнеса. Проект быстро развивается, поэтому мы ищем в команду опытного Android-разработчика, который хотел бы реализовывать нетривиальные задачи. Вы получите возможность участвовать в развитии текущего проекта и станете важным участником команды. Работы предстоит много, но вся она интересная. Вам предстоит:   Разработка, поддержка и усовершенствование приложения АТИ-Поиск и грузы.   Оценка времени и сложности реализации.   Выбор оптимального пути решения.   Ежедневный code review.   Что мы хотим видеть в вас:   Опыт Android-разработки от 2х лет.   Понимание MVP/MVVM, DI, RxJava, и умение всё это использовать.   Понимание SOLID принципов.   Хорошие знания гайдлайнов.   Мы предлагаем:   Гибкий график без жестких рамок, VPN.   Бесплатные обеды, настольный теннис.   ДМС со стоматологией, оплата конференций, спорта, изучения английского.   Удобный офис с панорамным видом на Неву (10мин от м. «Выборгская»).   Оформление по ТК РФ.   Релокационный пакет (условия для иногородних кандидатов при переезде на работу по приглашению компании: компенсация транспортных расходов, проживания в первые месяцы, помощь при адаптации на новом месте   ;   Гибкий график без жестких рамок, VPN.   Бесплатные обеды, настольный теннис.   ДМС со стоматологией, оплата конференций, спорта, изучения английского.   Удобный офис с панорамным видом на Неву (10мин от м. «Выборгская»).   Оформление по ТК РФ.   Релокационный пакет (условия для иногородних кандидатов при переезде на работу по приглашению компании: компенсация транспортных расходов, проживания в первые месяцы, помощь при адаптации на новом месте   ;Опыт Android-разработки от 2х лет. Понимание MVP/MVVM, DI, RxJava, и умение всё это использовать. Понимание SOLID принципов. ;Разработка, поддержка и усовершенствование приложения АТИ-Поиск и грузы. Оценка времени и сложности реализации. Выбор оптимального пути решения. ;"Java; Android; kotlin";230;0.0;Android;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
6;36;Разработчик Android;4.0;5.0;Gaijin Entertainment;2019-12-10T10:55:48+0300;"Gaijin Entertainment - это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Mac/Linux/iOS/Android и Nintendo Switch. В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии. В питерской студии Gaijin Entertainment открыта вакансия разработчика игр для мобильной платформы Android . У нашего кандидата есть:   опыт разработки приложений для Android   знание С++х    умение разбираться в чужом коде   желание писать тяжелые приложения с ограниченными ресурсами   знание средств разработки/отладки   Приветствуется: + знакомство со скриптовыми языками (js,lua,squirrel и др)+ знание и использование технологий vulkan/spirv+ завершенные проекты Наше предложение финалисту:   возможность карьерного роста и развития (см. описание стека выше, учиться приходится постоянно);   постоянный объем технических и творческих задач (это геймдев, здесь весело);   достойную компенсацию (мы знаем, сколько стоит хороший специалист);   оформление по ТК РФ;   дружественную корпоративную культуру, с хорошими людьми;   комфортный офис на Петроградке, 5 минут от метро (удаленки нет, но график демократичный).   Адрес:  м. Петроградская, Санкт-Петербург, Аптекарский проспект   ";;Опыт разработки приложений для Android. Знание С++х. Умение разбираться в чужом коде. Желание писать тяжелые приложения с ограниченными ресурсами. ;+ завершенные проекты.;"Android; Linux; C++; Vulkan; Squirrel; spirv";236;0.06896551724137931;Android;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
7;37;Android developer middle;4.0;5.0;Первый ИТ Альянс;2019-12-11T15:47:23+0300;"Наша компания занимается развитием коммуникационной платформы, которая позволяет встраивать сервисы для общения в различные мобильные приложения. Мы умеем организовывать текстовые и аудио конференции, передавать файлы и координаты, идёт работа над видео-конференциями. В своей работе мы много экспериментируем, пробуем различные подходы и проверяем всевозможные идеи, что требует от всех сотрудников открытости к новым подходам и желания осваивать новые технологии. Мы ищем человека, который:- Испытывает страсть к своему делу, стремится постоянно расширять свой кругозор и углублять экспертизу- Понимает принципы работы Android и имеет опыт разработки приложений на Java (в перспективе планируем переход на Kotlin)- Имеет навык самостоятельного поиска решений дальше, чем первая страница выдачи гугла- Привык писать читаемый и поддерживаемый код, а так же готов обучать этому коллег во время code review Наш идеальный кандидат:- Имеет опыт коммерческой разработки мобильных приложений под Android (пример приложения в Google Play будет дополнительным плюсом)- ориентируется в ООП, структурах данных и распространённых алгоритмах;- На практике знаком с клиент-серверными технологиями (HTTP, REST и т.д.);- Пишет код на Java (Kotlin будет дополнительным плюсом);- Обладает пониманием паттернов архитектуры: MVC, MVP;- Владеет стеком Android и разбирается в вопросе совместимости с разными версиями Android;- Знает Firebase и другие связанные технологии;- Использует Git, в частности Git Flow;- Понимает для чего нужно покрытие кода тестами;- Понимает английский на уровне чтения комментариев к коду со StackOverflow; Компания предлагает:- Оформление по ТК- Зарплата 100 - 150 т.р. на руки (в зависимости от уровня кандидата)- Офис в 5 минутах ходьбы от м. Чёрная речка- 4 day off в год- Возможность самостоятельно организовать своё рабочее место (Linux/MacOS/Windows) и выбрать себе технику- Профессиональный рост (оплачиваемое обучение, посещение конференций, корпоративная библиотека)- Формирующуюся корпоративную культуру (мы в начале пути, но корпоративы уже стали доброй традицией)  ";;Понимает принципы работы Android и имеет опыт разработки приложений на Java (в перспективе планируем переход на Kotlin). - Имеет навык самостоятельного...;" Java; Android SDK; Kotlin; ООП; Android";"Git; Android; Android SDK; Java; Linux; Kotlin; Firebase";237;0.034482758620689655;Android;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;60;Android разработчик;1.0;2.0;Appomart;2019-12-10T10:33:22+0300;"Требуется разработчик‚ заинтересованный в работе над крупными, интересными проектами в команде Appomart! Мы – компания-разработчик Pirates.travel и других популярных стартапов Motospace, Hmsq. Также мы работаем на сеть магазинов Стройудача, производитель моторного масла ROLF. Множество других проектов также есть на сайте компании в портфолио. Для работы ищем: Android разработчик middle, junior. Условия:  удаленная работа или в стильном офисе в Санкт-Петербурге;  8 часовой рабочий день;   возможны более гибкие условия по времени и оплате;   Требования:   знания JAVA;   знание паттернов в программировании;   наличие в портфолио завершенных приложений на JAVA (либо сильная верстка, либо сильная логика/интеграции. Лучше и то и другое);   умение оперативно находить решение в нестандартных задачах;   написание кода с комментариями;   пунктуальность и дисциплинированность;   высокая производительность труда;   умение работать с системой контроля версий;   отработанные часы фиксируем в timecamp;   работа в приятной команде;   стильный офис в центре СПБ.    ";"  удаленная работа или в стильном офисе в Санкт-Петербурге;  8 часовой рабочий день;   возможны более гибкие условия по времени и оплате;   Требования:   знания JAVA;   знание паттернов в программировании;   наличие в портфолио завершенных приложений на JAVA (либо сильная верстка, либо сильная логика/интеграции. Лучше и то и другое);   умение оперативно находить решение в нестандартных задачах;   написание кода с комментариями;   пунктуальность и дисциплинированность;   высокая производительность труда;   умение работать с системой контроля версий;   отработанные часы фиксируем в timecamp;   работа в приятной команде;   стильный офис в центре СПБ.    ";Знания JAVA. Знание паттернов в программировании. Наличие в портфолио завершенных приложений на JAVA (либо сильная верстка, либо сильная логика/интеграции. ;Написание кода с комментариями.;"Java; Android; Android SDK";260;0.06896551724137931;Android;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
9;75;Android разработчик;6.0;5.0;Dialog;2019-12-12T11:48:49+0300;"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его.В нашу быстро растущую команду требуется Android разработчик для разработки клиентской части месседжинг платформы. Нужно будет заниматься поддержкой Android клиентов и разработкой новой функциональности и интерфейсов.Что ждем от вас:  знание Java, Kotlin; опыт коммерческой разработки Android-приложений не менее двух лет; опыт параллельного и многопоточного программирования; понимание жизненного цикла приложения и принципов взаимодействия приложения с Android; знание Material Design Guidelines; опыт оптимизации производительности приложения, профайлинга; самостоятельность и инициативность, не ждать, что за вас решат проблемы, а предлагать решения; быстрая смекалка и «гибкость» в решении проблем; хорошая ориентация в функциональности современного месседжинга; аккуратизм и идеализм в вопросах интерфейсов.  Желательно:  английский язык на уровне понимания технической литературы; опыт работы с VoIP, WebRTC.  Что предлагаем мы:  белая зарплата и годовые премии; гибкий график; участие в разработке open-source проектов компании и активная работа с сообществом; ДМС (после прохождения испытательного срока); возможность корпоративного обучения; техника Apple для работы; супер-адекватная и профессиональная команда; возможность оказывать влияние на продукт: обсуждать задачи не только с точки зрения методов реализации, но и с точки зрения рациональности и необходимости разрабатываемых фич, вносить свои идеи.  Несколько слов о себе всегда, как огромный плюс! :)";;Знание Java, Kotlin. Опыт коммерческой разработки Android-приложений не менее двух лет. Опыт параллельного и многопоточного программирования. Понимание жизненного цикла...;Аккуратизм и идеализм в вопросах интерфейсов. Участие в разработке open-source проектов компании и активная работа с сообществом. ;;275;0.0;Android;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
