;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; C#;C#;C++; ООП; ASP.NET; MS SQL; Git; C++; Entity Framework; .NET Framework; Linux; SQL; STL;.NET Framework; MS SQL Server; Qt; MVC; .NET Core; LINQ; MS Visual Studio;Другие навыки
0;12;Программист С++;3.0;3.0;Saber Interactive;2019-12-09T22:37:42+0300;Мы – это американская компания Saber Interactive - одна из ведущих независимых студий по производству игр ААА-класса, существующая на международном рынке уже более 18 лет, с производственным офисом в Санкт-Петербурге. Наша команда – это высококвалифицированные и талантливые специалисты в области разработки игр для next-gen консолей и PC «под ключ». Наша цель — постоянно улучшать качество наших технологий разработки, развивать команду и работать над игровыми проектами высочайшего класса! Мы работаем с удовольствием и предлагаем Вам присоединиться к нашей команде для работы над крупными и амбициозными проектами в жанре шутер для издателей с мировым именем.   Круг задач:  Программирование видеоигр под PC и консоли последнего поколения Написание, поддержка и отладка игровых подсистем и инструментария    Требования к кандидату:  Знание языка C++ Знание объектно-ориентированного дизайна, Design Patterns Общая алгоритмическая и математическая подготовка Желание создавать качественные и передовые игры в жанре FPS Опыт работы в игровой индустрии и знания в специальных областях программирования видеоигр (multiplayer, rendering, tools и т.п.) будут преимуществом    Мы предлагаем:  Интересную работу в динамично развивающейся международной компании Достойную заработную плату Участие в амбициозных проектах Профессиональный рост и развитие Дружный молодой коллектив Оформление по ТК РФ Гибкий график работы Корпоративную скидку в фитнес-клуб/бассейн Бесплатное обучение английскому языку Отсутствие дресс-кода Помощь при переезде из других городов Возможность обучения за счет компании Удобное расположение офиса (12 мин пешком от ст.м.Удельная) Оплата больничных в 100% размере ;Знание языка C++. Знание объектно-ориентированного дизайна, Design Patterns. Общая алгоритмическая и математическая подготовка. Желание создавать качественные и передовые игры...;Программирование видеоигр под PC и консоли последнего поколения. Написание, поддержка и отладка игровых подсистем и инструментария.;"С++; Game Programming; game development; C++ developer";  Интересную работу в динамично развивающейся международной компании Достойную заработную плату Участие в амбициозных проектах Профессиональный рост и развитие Дружный молодой коллектив Оформление по ТК РФ Гибкий график работы Корпоративную скидку в фитнес-клуб/бассейн Бесплатное обучение английскому языку Отсутствие дресс-кода Помощь при переезде из других городов Возможность обучения за счет компании Удобное расположение офиса (12 мин пешком от ст.м.Удельная) Оплата больничных в 100% размере ;12;0.06896551724137931;C#_C++;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;14;Инженер-программист Qt (junior);3.0;3.0;СтарЛайн, Научно-производственное объединение;2019-12-10T12:03:00+0300;Задачи:  Разработка программного кода Qt.  Требования:  Профильное образование (радиотехника, программирование) Ответственность, самостоятельность, инициативность Коммуникабельность, желание работать в команде Высокая обучаемость  Условия:  Комфортный, современный офис в 7 минутах от ст.м. Площадь Ленина. Для велосипедистов есть велопарковка Достойная оплата труда по результатам собеседования Официальное оформление с первого рабочего дня (отпуск, больничный по ТК РФ) Работа в команде профессионалов над интересными и сложными проектами Отлично оборудованное рабочее место Отдых в Семейно-дружественном санатории СтарЛайн в Черногории Завтрак, обед и ужин во вкусном кафе на территории офиса Корпоративные мероприятия, спорт (волейбол, футбол, яхтенный спорт, йога).   ;Профильное образование (радиотехника, программирование). Ответственность, самостоятельность, инициативность. Коммуникабельность, желание работать в команде. Высокая обучаемость.;Разработка программного кода Qt.;" C#;C#;C++; ООП; ASP.NET";  Комфортный, современный офис в 7 минутах от ст.м. Площадь Ленина. Для велосипедистов есть велопарковка Достойная оплата труда по результатам собеседования Официальное оформление с первого рабочего дня (отпуск, больничный по ТК РФ) Работа в команде профессионалов над интересными и сложными проектами Отлично оборудованное рабочее место Отдых в Семейно-дружественном санатории СтарЛайн в Черногории Завтрак, обед и ужин во вкусном кафе на территории офиса Корпоративные мероприятия, спорт (волейбол, футбол, яхтенный спорт, йога).   ;14;0.06896551724137931;C#_C++;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;20;Junior Developer .NET/Программист С#;3.0;3.0;Personalis;2019-12-09T15:27:17+0300;Ищем в крупный иностранный концерн Junior Developer разработчика со знанием ASP.NET. и желанием профессионально развиваться. Рассматриваем студентов последних курсов с опытом от 1-го года и хорошим письменным английским. Ждем ваши резюме!   Задачи:  Разработка Web приложений на платформе Microsoft ASP.NET MVC.  Изучение сложной и разветвленной структуры приложения, умение разбираться в чужом коде и незнакомых технологиях.   Поддержка существующего приложения: изменения, правки, исправление ошибок.     Требования:  Опыт участия в разработке ПО от 2-х лет.  Знание .NET, C#   Приветствуется опыт работы с базами данных.   Знание английского языка для ведения рабочей переписки с заказчиком.   Поддержка со стороны разработчиков компании на всех этапах. Есть перспектива карьерного и профессионального роста.   Условия:  Конкурентная заработная плата. Стабильная компания. Гибкий график работы после 12 ч. ДМС для сотрудников. Фитнес Изучение английского языка. Комфортабельный офис. Все для кофе-брейков без ограничений. ;Знание английского языка для ведения рабочей переписки с заказчиком. Поддержка со стороны <highlighttext>разработчиков</highlighttext> компании на всех этапах. Есть перспектива карьерного...;Разработка Web приложений на платформе Microsoft ASP.NET MVC. Изучение сложной и разветвленной структуры приложения, умение разбираться в чужом коде и...;".NET Framework; C#; ASP.NET; MS SQL; MS SQL Server; Entity Framework; ООП";  Конкурентная заработная плата. Стабильная компания. Гибкий график работы после 12 ч. ДМС для сотрудников. Фитнес Изучение английского языка. Комфортабельный офис. Все для кофе-брейков без ограничений. ;20;0.10344827586206896;C#_C++;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
3;25;Программист C#;3.0;3.0;Коддан Текнолоджис;2019-12-09T14:16:40+0300;"Требования к кандидату:  опыт разработки приложений с использованием С#/C++, .NET Framework, WinForms. опыт разработки многопоточных и распределенных приложений понимание принципов ООП и паттернов проектирования умение работать в команде владение английским языком, достаточное для переписки с носителями языка.  Желательно:  опыт работы с системами контроля версий и bug-tracking системами опыт разработки в сфере промышленной автоматизации.  Условия:  оформление по ТК РФ; уровень заработной платы оговаривается индивидуально с каждым кандидатом при собеседовании; дружный коллектив; обязательное и добровольное медицинское страхование; компенсация обедов; курсы английского языка в офисе. ";Опыт разработки приложений с использованием С#/C++, .NET Framework, WinForms. Опыт разработки многопоточных и распределенных приложений. Понимание принципов ООП и...;;"C#; C++; .NET Framework; Windows Forms";"  оформление по ТК РФ; уровень заработной платы оговаривается индивидуально с каждым кандидатом при собеседовании; дружный коллектив; обязательное и добровольное медицинское страхование; компенсация обедов; курсы английского языка в офисе. ";25;0.10344827586206896;C#_C++;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;37;Программист С++;2.0;3.0;О.Г.С. Руссия;2019-12-11T15:36:49+0300;Обязанности:  Разработка игр Участие в разработке программных инструментов для создания игр  Требования:  Высшее техническое образование в сфере IT Знание языка С++ (С++11) и STL Понимание принципов ООП, знание основных шаблонов проектирования Опыт работы с системами контроля версий(SVN/GIT) Умение работать в команде Знание Английского на уровне чтения документации    Приветствуется:  Опыт создания игр Опыт работы с Linux Опыт работы с OpenGL или DirectX Знание скриптовых языков Знание Английского (intermediate)  Условия:  Официальное трудоустройство согласно ТК РФ Система премирования по результатам работы за полугодие Пятидневная рабочая неделя с 9.30 до 18.30 Комфортные условия для работы и современное оборудование Белая заработная плата Комфортабельные условия: место работы – современный бизнес-центр класса А Профессиональный рост и развитие Бесплатное обучение английскому языку Кофе поинт с печеньками Отсутствие дресс-кода       ;Высшее техническое образование в сфере IT. Знание языка С++ (С++11) и STL. Понимание принципов ООП, знание основных шаблонов проектирования. ;Разработка игр. Участие в разработке программных инструментов для создания игр.;"C++; Linux; OpenGL";  Официальное трудоустройство согласно ТК РФ Система премирования по результатам работы за полугодие Пятидневная рабочая неделя с 9.30 до 18.30 Комфортные условия для работы и современное оборудование Белая заработная плата Комфортабельные условия: место работы – современный бизнес-центр класса А Профессиональный рост и развитие Бесплатное обучение английскому языку Кофе поинт с печеньками Отсутствие дресс-кода       ;37;0.034482758620689655;C#_C++;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
5;38;Программист ASP.NET C#;3.0;0.0;FullDive;2019-12-09T21:35:50+0300;"Привет, устали от Hyper-V, SSRS, SSMS, WCF и других EF? Слышали как круто в опен стеке или открываете консоль пока коллеги не видят? Переходите на светлую сторону! У нас развесистый бекэнд на кубере в google cloud. Если вы: знаете как писать годный код и чем он отличается от технического долга, знаете что такое покрытие тестами, как написать в код ревью так, чтобы не обидеть, но и не допустить непоправимого и просто хороший человек и ещё и инженер - приходите поговорить. Что мы ждем от Вас:  Опыт разработки современных web-приложений; Знание основных прикладных протоколов, используемых в веб приложениях; Умение работать в команде; Технический английский.  Желательно:  Навыки работы любым серверным языком; Опыт построения процессов развертывания веб приложений и сервисов; Знание Docker и умение его использовать на практике; MongoDB и neo4j; Понимание особенностей разработки в облачных инфраструктурах.  Обязанности:  Реализация серверного API (typescript); Создание и настройка полного цикла сопровождения программных продуктов (kubernetes, docker, метрики, CI/CD) Поддержка существующего серверных технологий и внедрение нового функционала (microservices, postgresql/mongodb, prometheus, kubernetes/docker и т.п.) ";Опыт разработки современных web-приложений. Знание основных прикладных протоколов, используемых в веб приложениях. Умение работать в команде. Технический английский. ;Реализация серверного API (typescript). Создание и настройка полного цикла сопровождения программных продуктов (kubernetes, docker, метрики, CI/CD). Поддержка существующего серверных...;"JavaScript; ASP.NET; C#";;38;0.06896551724137931;C#_C++;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6;53;Программист C#;3.0;3.0;ПОЛИСАН, научно-технологическая фармацевтическая фирма;2019-12-09T16:13:38+0300;"Обязанности: Автоматизация процессов документооборота на платформе СЭД Docsvision, разработка программных блоков на платформе СЭД Docsvision (реализация логики для работы с карточками документов, реализация бизнес-процессов Docsvision). Требования: Требования:  Высшее образование (техническое, математическое); Уверенное знание языка C#, NET Framework, Windows Forms, LINQ, DevExpress, начальные навыки написания SQL-запросов; Знание основных понятий и процессов документооборота; Навыки написания SQL-запросов; Желательно: опыт работы с СЭД Docsvision.  Условия:  Оформление в соответствии с ТК РФ; График работы: 5/2 с 9:00 до 17:30; Полис ДМС после прохождения срока испытания; Офис расположен в непосредственной близости от ст. м. Лиговский проспект. ";Высшее образование (техническое, математическое). Уверенное знание языка C#, NET Framework, Windows Forms, LINQ, DevExpress, начальные навыки написания SQL-запросов. ;Автоматизация процессов документооборота на платформе СЭД Docsvision, разработка программных блоков на платформе СЭД Docsvision (реализация логики для работы с карточками...;" C#;C#;C++; ООП; ASP.NET";"  Оформление в соответствии с ТК РФ; График работы: 5/2 с 9:00 до 17:30; Полис ДМС после прохождения срока испытания; Офис расположен в непосредственной близости от ст. м. Лиговский проспект. ";53;0.10344827586206896;C#_C++;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;70;Программист С#;3.0;4.0;Tools For Brokers;2019-12-10T11:34:53+0300;  Наша компания специализируется на ПО, расширяющем функционал торговых платформ MetaTrader 4/5.Мы ищем программистов для создания новых разработок, а также доработки и поддержки существующих продуктов компании. Обязанности:   Самостоятельная работа с кодом, без ежедневных скрамов и жестких систем контроля времени Использование API самой популярной платформы для Forex-трейдинга Написание программ с многопоточной объектно-ориентированной архитектурой    Обязательные требования:  Опыт работы от 1 года Отличное знание ООП, языка С# Навыки разработки многопоточных приложений Знание TPL, LINQ Знание английского языка в объеме‚ достаточном для чтения технической литературы Владение SQL на базовом уровне Опыт работы с системами управления версиями (мы используем Git) Знание среды разработки Microsoft Visual Studio    Желательные требования:  Опыт разработки клиентских и серверных сетевых приложений Опыт работы с SQLite, MySQL, Postgres Опыт работы с ASP.NET, ASP.NET Core 2    Бонусом будет:  Знание теории финансового рынка, опыт взаимодействия с торговыми платформами Опыт работы с Linq2db Опыт работы с очередями сообщений (RabbitMQ) Опыт разработки на C++    Условия:  Работа в офисе в 5 минутах от метро Плавающее начало рабочего дня (с 08:30 до 10:30) Дружный коллектив, частые вечерние посиделки с пиццей, настолками или xbox Бесплатные фрукты, снеки, в офисе есть кофемашина Испытательный срок до 3 месяцев Уровень заработной платы определяется по результатам собеседования ;Опыт работы от 1 года. Отличное знание ООП, языка С#. Навыки разработки многопоточных приложений. Знание TPL, LINQ. Знание английского языка...;;"C#; LINQ; Multithread Programming; MetaTrader; MS Visual Studio; ASP.NET; ASP.NET Core 2; SQL";  Работа в офисе в 5 минутах от метро Плавающее начало рабочего дня (с 08:30 до 10:30) Дружный коллектив, частые вечерние посиделки с пиццей, настолками или xbox Бесплатные фрукты, снеки, в офисе есть кофемашина Испытательный срок до 3 месяцев Уровень заработной платы определяется по результатам собеседования ;70;0.06896551724137931;C#_C++;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
8;72;Программист микроконтроллеров С++;3.0;3.0;ГК СКАУТ;2019-12-12T08:49:25+0300;Приглашаем в нашу команду программиста микроконтроллеров!   Мы предлагаем:  Высокую заработную плату, комфортные условия труда + возможность работать в интересном, творческом и молодом коллективе! Мы организуем обучение для наших сотрудников и рады, когда коллеги продвигаются по карьерной лестнице внутри компании Для наших специалистов мы предоставляем возможность пользоваться корпоративной библиотекой, которая постоянно обновляется Мы любим спорт, поэтому арендуем футбольное поле для наших сотрудников, а так же регулярно участвуем в различных спортивных мероприятиях Премии за долгосрочное сотрудничество, бонус приведи друга на работу и др. - это тоже приятные особенности работы в нашей команде. График работы: пятидневка, с 9.00 до 17.30 (с 10.00 до 18.30) Территориально мы находимся в 12 мин. пешком от ст.м. Черная речка  Наши ожидания:  Образование высшее Опыт разработки устройств на базе микроконтроллеров (опыт работы с чипами Nordic будет плюсом) Чтение принципиальных схем, знакомство с современной элементной базой (микроконтроллеры, микросхемы памяти, проводные и беспроводные интерфейсы) Опыт программирования микроконтроллеров на С++ от 2х лет Опыт работы с периферией (UART, SPI, RS485, CAN, ....) Знание стека Bluetooth Опыт работы с микросхемами памяти (EEPROM, SerialFlash) Знание и понимание объектно-ориентированной модели программирования    Основные задачи:  Участие в проектах по разработке ПО для мониторинга и позиционирования автотранспорта Программирование микроконтроллеров CortexM0, CortexM3 и CortexM4 и др. производства Nordic, TI, NXP, ST, работа с периферией, GPS/GSM Создание алгоритмов обработки сигналов как аналоговых, так и цифровых датчиков и шин.     ;Образование высшее. Опыт разработки устройств на базе микроконтроллеров (опыт работы с чипами Nordic будет плюсом). Чтение принципиальных схем, знакомство с...;Участие в проектах по разработке ПО для мониторинга и позиционирования автотранспорта. Программирование микроконтроллеров CortexM0, CortexM3 и CortexM4...;" C#;C#;C++; ООП; ASP.NET";  Высокую заработную плату, комфортные условия труда + возможность работать в интересном, творческом и молодом коллективе! Мы организуем обучение для наших сотрудников и рады, когда коллеги продвигаются по карьерной лестнице внутри компании Для наших специалистов мы предоставляем возможность пользоваться корпоративной библиотекой, которая постоянно обновляется Мы любим спорт, поэтому арендуем футбольное поле для наших сотрудников, а так же регулярно участвуем в различных спортивных мероприятиях Премии за долгосрочное сотрудничество, бонус приведи друга на работу и др. - это тоже приятные особенности работы в нашей команде. График работы: пятидневка, с 9.00 до 17.30 (с 10.00 до 18.30) Территориально мы находимся в 12 мин. пешком от ст.м. Черная речка  Наши ожидания:  Образование высшее Опыт разработки устройств на базе микроконтроллеров (опыт работы с чипами Nordic будет плюсом) Чтение принципиальных схем, знакомство с современной элементной базой (микроконтроллеры, микросхемы памяти, проводные и беспроводные интерфейсы) Опыт программирования микроконтроллеров на С++ от 2х лет Опыт работы с периферией (UART, SPI, RS485, CAN, ....) Знание стека Bluetooth Опыт работы с микросхемами памяти (EEPROM, SerialFlash) Знание и понимание объектно-ориентированной модели программирования    Основные задачи:  Участие в проектах по разработке ПО для мониторинга и позиционирования автотранспорта Программирование микроконтроллеров CortexM0, CortexM3 и CortexM4 и др. производства Nordic, TI, NXP, ST, работа с периферией, GPS/GSM Создание алгоритмов обработки сигналов как аналоговых, так и цифровых датчиков и шин.     ;72;0.0;C#_C++;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;77;C++ Senior Developer;6.0;7.0;SPB TV;2019-12-09T18:06:38+0300;SPB TV, лидер мирового уровня по разработке ТВ-решений, приглашает ксотрудничеству разработчика.Мы занимаемся созданием решений в области OTT-ТВ, и у нашего собственного сервиса SPB TV уже более 25 миллионов пользователей по всему миру. Работая программистом в SPB TV, вы будете видеть результат своей работы на устройствах ваших друзей и родных. Требования:  Знание C (11 стандарт) и С++ (14/17 стандарты) и опыт промышленной разработки многопоточных приложений Понимание архитектуры Linux (планировщик процессов, механизмы работы с памятью, работа сетевой подсистемы) Умение работать с отладчиками (gdb/valgrind) и анализаторами (strace/systemtap/perf)  Нас не столько интересует Ваше образование и диплом, сколько ум и знания. Преимуществами будут:  Понимание основ кодирования видео Опыт серверной разработки под ОС Linux Опыт программирования на Rust и Go Разработка свободного ПО  Условия:  Комфортный офис в 2 минутах от метро Старая Деревня Социальный пакет (ДМС со стоматологией, бесплатные фрукты, закуски, чай, кофе в офисе, полная оплата при покупке книг по работе на Amazon, оплата 50% спорта) Полный рабочий день в офисе (40 часов в неделю, начало в 11:00 (можно приходить раньше), оформление по трудовому договору, полностью «белая» зарплата) Содействие в переезде для иногородних ;Знание C (11 стандарт) и С++ (14/17 стандарты) и опыт промышленной разработки многопоточных приложений. Понимание архитектуры Linux (планировщик процессов...;Разработка свободного ПО.;"C++; Серверное программирование; Разработка ПО; C/C++; ООП; Git; Rust; Go";  Комфортный офис в 2 минутах от метро Старая Деревня Социальный пакет (ДМС со стоматологией, бесплатные фрукты, закуски, чай, кофе в офисе, полная оплата при покупке книг по работе на Amazon, оплата 50% спорта) Полный рабочий день в офисе (40 часов в неделю, начало в 11:00 (можно приходить раньше), оформление по трудовому договору, полностью «белая» зарплата) Содействие в переезде для иногородних ;77;0.10344827586206896;C#_C++;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
