;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; SQL; C#; MS SQL;C++; Python; Oracle Pl/SQL; MS SQL Server;Разработка и сопровождение. Работа в команде над интересным проектом. Использование git, jira, pycharm, webstorm и других инструментов.; Java; PostgreSQL;C#; Git;разработка программного обеспечения для программируемого логического контроллера (PLC), для верхнего уровня (HMI – панели оператора, SCADA – системы). - участие в подготовке документации...;Компания специализируется на разработке и поставках комплексов и систем, предназначенных для определения технического состояния узлов роторного оборудования. Мы используем современные...;Участие в доработке системы в качестве консультанта SAP ABAP. Разработка и поддержка модулей SD, MM, FI, HR, CRM. ;Разработка, отладка и оптимизация программ в рамках проекта. Проведение функционального и интеграционного тестирования совместно с функциональными консультантами. Контроль продуктивного старта...;JavaScript;SQL; Математическое программирование; JavaScript;Другие навыки
0;8;Инженер-программист АСУ ТП;2.0;3.0;ВЕРТЕК;2019-12-10T11:19:07+0300;"Обязанности:  участие в разработке технических заданий, подготовка технических решений для ТКП, оценка трудозатарт комплексная разработка программных проектов АСУ ТП на базе систем автоматизации Siemens и Allen-Bradley тестирование разработанного ПО разработка документации для программного обеспечения проведение пуско-наладочных работ  Требования:  высшее техническое образование отличное знание элементной базы линеек контроллеров Simatic S7-300/400/1200/1500 опыт самостоятельной разработки программных проектов в средах проектирования: Step7, WinCC, PCS7, TiaPortal опыт работы с приводной техникой  знание промышленных сетевых интерфейсов (Industrial Ethernet, Profibus, ProfiNet и т.д.);  опыт проведения пуско-наладочных работ и готовность к командировкам технический английский язык, разговорный английский - ваше приемущество Активная жизненная позиция, ответственность, внимательность  Что мы предлагаем?  Интересная и напряженная работа в дружном коллективе, загрузка на 101%! возможности профессионального и карьерного роста график работы с 10:00 до 18:30, работа в офисе и на объектах оформление по ТК РФ, белая заробатная плата заработная плата от 70 т.р., итоговая сумма обусждается на собеседовании с успешными кандидатами премирование по результатам выполненных проектов предоставление полиса ДМС, компенсанция затрат на сотовую связь ";Высшее техническое образование. Отличное знание элементной базы линеек контроллеров Simatic S7-300/400/1200/1500. Опыт самостоятельной разработки программных...;Участие в разработке технических заданий, подготовка технических решений для ТКП, оценка трудозатарт. Комплексная разработка программных проектов АСУ ТП на базе...;Автоматизация технологических процессов;;8;0.06896551724137931;Другие разработчики;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;9;Scala разработчик;7.0;3.0;Dialog;2019-12-12T11:53:27+0300;"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его.В нашу быстро растущую команду требуется Scala разработчик для разработки серверной части месседжинг платформы. Чем предстоит заниматься:  разработка серверной части продукта, интеграций и чат-ботов; работа с результатами нагрузочных тестов, оптимизация производительности, адаптация продакшна под живую большую нагрузку; разработка микросервисов (платформа двигается от монолита к микросервисам); разработка open-source проектов компании и активная работа с сообществом.  Что ждем от вас:  понимание принципов ФП; знание, что такое cats/scalaz, circe; знакомство с Akka (persistence, http, streams, cluster); знание основных принципов работы распределенных систем; английский язык на уровне понимания технической литературы; самостоятельность и инициативность, не ждать, что за вас решат проблемы, а предлагать решения; хорошая ориентация в функционале современного месседжинга; аккуратизм и идеализм.  Что предлагаем мы:  белая зарплата и годовые премии; гибкий график; участие в разработке open-source проектов компании и активная работа с сообществом; ДМС (после прохождения испытательного срока); возможность корпоративного обучения; техника Apple для работы; супер-адекватная и профессиональная команда; возможность оказывать влияние на продукт: обсуждать задачи не только с точки зрения методов реализации, но и с точки зрения рациональности и необходимости разрабатываемых фич, вносить свои идеи.  Несколько слов о себе всегда, как огромный плюс! :)";Понимание принципов ФП. Знание, что такое cats/scalaz, circe. Знакомство с Akka (persistence, http, streams, cluster). Знание основных принципов работы...;Разработка серверной части продукта, интеграций и чат-ботов. Работа с результатами нагрузочных тестов, оптимизация производительности, адаптация продакшна под живую большую...;" SQL; C#; MS SQL;C++; Python";;9;0.0;Другие разработчики;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;18;Инженер-программист;2.0;3.0;Городской центр экспертиз;2019-12-10T15:36:47+0300;"Обязанности:  Разработка клиент-серверного программного обеспечения; Участие во внедрении ПО на предриятиях Заказчика; Разработка документации ГОСТ 34 серии.  Требования:  Высшее образование опыт работы не менее 3 лет ; Знание: C#, MS SQL, ASP.NET, WPF, DevExpress, DevExtreme.  Условия:  Стабильная компания (работаем с 1994 года); График работы: с 10:00 до 18:00, пятидневная рабочая неделя; Широкие возможности реализации своего потенциала в наукоемких проектах. Возможны командировки. ";Высшее образование. Опыт работы не менее 3 лет . Знание: C#, MS SQL, ASP.NET, WPF, DevExpress, DevExtreme.;Разработка клиент-серверного программного обеспечения. Участие во внедрении ПО на предриятиях Заказчика. Разработка документации ГОСТ 34 серии.;" SQL; C#; MS SQL;C++; Python";"  Стабильная компания (работаем с 1994 года); График работы: с 10:00 до 18:00, пятидневная рабочая неделя; Широкие возможности реализации своего потенциала в наукоемких проектах. Возможны командировки. ";18;0.06896551724137931;Другие разработчики;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;19;Инженер-программист-технолог станков с ЧПУ (токарные, фрезерные);2.0;3.0;Группа ЭНЭКОС;2019-12-12T11:14:37+0300;"Должностные обязанности: Разработка карт технологических процессов механической обработки деталей из чугуна и сталей; Составление программ для металлообрабатывающих станков с ЧПУ на токарные, токарно-карусельные, расточные и фрезерные операции; Подбор инструмента и оснастки для металлообрабатывающих станков. Требования: Высшее профессиональное (техническое) образование; Опыт работы от 1 года. Если Вам интересно то, чем мы занимаемся, Вас устраивают наши условия, и Вы считаете, что соответствуете нашим требованиям - откликнитесь на вакансию. Условия: Работа в стабильной развивающейся компании Работа в городе, ст.м. Выборгская Оформление по ТК РФ со стабильными, официальными и своевременными выплатами заработной платы (заработная плата устанавливается по итогам собеседования) График работы с 08:00 - 16:30, пятидневная рабочая неделя";Высшее профессиональное (техническое) образование. Опыт работы от 1 года.;Разработка карт технологических процессов механической обработки деталей из чугуна и сталей. Составление программ для металлообрабатывающих станков с ЧПУ на токарные...;Станки ЧПУ; Работа в стабильной развивающейся компании Работа в городе, ст.м. Выборгская Оформление по ТК РФ со стабильными, официальными и своевременными выплатами заработной платы (заработная плата устанавливается по итогам собеседования) График работы с 08:00 - 16:30, пятидневная рабочая неделя;19;0.0;Другие разработчики;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;27;Инженер-программист / тестировщик;2.0;3.0;Специальный Технологический Центр;2019-12-10T18:15:35+0300;"Обязанности:   Проверка аппаратуры и программ в офисе и на полигоне;   Учет всех проблем;   Поиск недостатков;   Ведение документации.   Требования:   базовые знания электроники, радиосвязи, программирования, настройки локальной сети;   Linux.   Мы предлагаем:  Официальную заработную плату + хорошие премии за особые успехи + премия по итогам года; Оплачиваемый отпуск 28 календарных дней; Возможность посещать конференции и профильные мероприятия; Современное оборудование рабочего места, работа с передовыми устройствами и технологиями; Гибкий график работы (5 дней / 40 часов) (удаленно не рассматриваем).  Будет оформлена 3-я форма допуска.  ";Базовые знания электроники, радиосвязи, программирования, настройки локальной сети. Linux.;Проверка аппаратуры и программ в офисе и на полигоне. Учет всех проблем. Поиск недостатков. Ведение документации.;"Linux; Настройка сетевых подключений; Поиск информации в интернет; Assembler; Ведение документации";"  Официальную заработную плату + хорошие премии за особые успехи + премия по итогам года; Оплачиваемый отпуск 28 календарных дней; Возможность посещать конференции и профильные мероприятия; Современное оборудование рабочего места, работа с передовыми устройствами и технологиями; Гибкий график работы (5 дней / 40 часов) (удаленно не рассматриваем).  Будет оформлена 3-я форма допуска.  ";27;0.06896551724137931;Другие разработчики;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
5;50;Младший разработчик;1.0;2.0;Бизнес Технологии;2019-12-10T13:26:13+0300;Вакансия для начинающих разработчиков с небольшим или отсутствующим опытом работы. Мы всему Вас научим, от Вас требуется максимальная скорость освоения материала и высокая обучаемость. Обязанности:   Реализация задач среднего уровня сложности по разработке комплексной корпоративной информационной системы под руководством разработчика Постоянный рост квалификации  Требования:  Понимание принципов структурного программирования, желательно теории реляционных баз данных. Приветствуется опыт работы с базами данных, знание языка запросов SQL. Понимания принципов объектно-ориентированного программирования, знание одного или нескольких языков высокого уровня (C++, java, pascal). Ответственность, самостоятельность, инициативность Коммуникабельность, умение и желание работать в команде Высокая обучаемость. Желательно знание Pl/sql, опыт работы с Oracle или PostgreSQL Просьба в заголовке письма указывать код вакансии: Project05  Условия:  Работа в стабильной, динамично развивающейся компании Комфортные условия труда Отсутствие формализма и бюрократии Обширные возможности для профессионального и карьерного роста Заработная плата по итогам собеседования Оформление по ТК, оплачиваемый отпуск согласно трудовому законодательству. ;Понимание принципов структурного программирования, желательно теории реляционных баз данных. Приветствуется опыт работы с базами данных, знание языка запросов SQL. ;Реализация задач среднего уровня сложности по разработке комплексной корпоративной информационной системы под руководством <highlighttext>разработчика</highlighttext>. Постоянный рост квалификации.;" SQL; C#; MS SQL;C++; Python";  Работа в стабильной, динамично развивающейся компании Комфортные условия труда Отсутствие формализма и бюрократии Обширные возможности для профессионального и карьерного роста Заработная плата по итогам собеседования Оформление по ТК, оплачиваемый отпуск согласно трудовому законодательству. ;50;0.06896551724137931;Другие разработчики;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;54;Программист;2.0;3.0;«Научно-Проектное объединение «РИВС».;2019-12-09T10:27:22+0300;"Обязанности: Разработка программ на С# и С++ для:   управления оборудованием, входящим в систему автоматического управления;  сбора данных (результатов измерений) и их архивирования для доступа потребителей (создание и администрирование сервера системы); автоматизированных рабочих мест (визуализация оперативных и архивных данных, а также хода и состояния процесса: таблицы, тренды, просмотр диагностических сообщений и т.д.); организации обмена командами и данными с внешними компьютерами по локальной и глобальной сети для обеспечения в том числе удаленного обслуживания системы.  Требования:  Высшее техническое образование; Креативное мышление, способность решать задачи от постановки до реализации, внедрения и сопровождения.  Условия:  Работа в дружном коллективе в стабильно развивающейся компании; Современный, комфортабельный офис;  Официальное трудоустройство;   Достойная заработная плата (уровень дохода по результатам собеседования);   График работы: пятидневный с 08.30 до 17.00 ;   Возможность карьерного и профессионального роста.  ";Высшее техническое образование. Креативное мышление, способность решать задачи от постановки до реализации, внедрения и сопровождения.;Управления оборудованием, входящим в систему автоматического управления. Сбора данных (результатов измерений) и их архивирования для доступа потребителей (создание и администрирование...;" SQL; C#; MS SQL;C++; Python";"  Работа в дружном коллективе в стабильно развивающейся компании; Современный, комфортабельный офис;  Официальное трудоустройство;   Достойная заработная плата (уровень дохода по результатам собеседования);   График работы: пятидневный с 08.30 до 17.00 ;   Возможность карьерного и профессионального роста.  ";54;0.10344827586206896;Другие разработчики;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;55;Программист FPGA;2.0;3.0;НПК ТИМ;2019-12-12T11:26:13+0300;Компания НПК ТИМ в связи с открытием нового проекта приглашает к сотрудничеству Программиста FPGA. Если Вы хотите работать в команде профессионалов и единомышленников, решать интересные и амбициозные задачи, мы будем рады видеть Вас в нашей команде! Обязанности:   Цифровая обработка сигналов и программирование на базе ПЛИС (FPGA)   Разработка алгоритмов первичной обработки: фильтрация, перенос спектра   Построение цифрового фазового детектора, дискретное преобразование Фурье   Кодеры и декодеры режимов.   Формирование запросной посылки импульсов и декодирование ответной (первичная и вторичная радиолокация)   Логика сопряжения с прочими микросхемами для обеспечения работы в связке с ПЛИС: SPI, I2C шина. Создание отладочных стендов:   Создание стендов проверки и отладки изделия целиком, включающие осциллографы, анализаторы спектра, генераторы и прочие средства, технологические изделия для проведения: частотного анализ, анализ кодеров и декодеров режимов, функционала в целом.   Присутствуют командировки по России для решения вопросов с Заказчиками   Работа в команде, помощь в работе инженерному составу, участие в формирование видения конечного результата проекта.   Требования:  Высшее техническое образование Опыт работы на аналогичных должностях более 7-ми лет Разработка изделий радиоэлектронной промышленности (Разработка СВЧ устройств) Знание цифровой схемотехники, умение формировать необходимые требования Знание основ радиолокации и радионавигации Знание и умение пользоваться современными приборами: Keysight, RohdeSchawrz Приветствуется опыт работы с продуктами National Instruments Пунктуальность, честность, желание развивать молодую компанию, умение соблюдать субординацию, уважительное отношение к коллегам, инициатива в самообразовании, научная деятельность.  Условия:  Конкурентоспособная заработная плата, два раза в месяц, без задержек (обсуждается на собеседовании) Предоставление и оплата отпусков и больничных в соответствии с законодательством Пятидневная рабочая неделя с 8.30-.17.30ч. восьмичасовой рабочий день, в пятницу с 8.30 до 16.30ч. Комфортное рабочее место в шаговой доступности от станций метро “Новочеркасская” (15 мин.), ул. Шаумяна Оформление по ТК РФ.  В резюме приветствуется портфолио и желательно пожелания по вознаграждению!;Высшее техническое образование. Опыт работы на аналогичных должностях более 7-ми лет. Разработка изделий радиоэлектронной промышленности (Разработка СВЧ устройств). ;Цифровая обработка сигналов и программирование на базе ПЛИС (FPGA). Разработка алгоритмов первичной обработки: фильтрация, перенос спектра. Построение цифрового фазового детектора...;" SQL; C#; MS SQL;C++; Python";  Конкурентоспособная заработная плата, два раза в месяц, без задержек (обсуждается на собеседовании) Предоставление и оплата отпусков и больничных в соответствии с законодательством Пятидневная рабочая неделя с 8.30-.17.30ч. восьмичасовой рабочий день, в пятницу с 8.30 до 16.30ч. Комфортное рабочее место в шаговой доступности от станций метро “Новочеркасская” (15 мин.), ул. Шаумяна Оформление по ТК РФ.  В резюме приветствуется портфолио и желательно пожелания по вознаграждению!;55;0.0;Другие разработчики;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;66;Инженер-программист АСУ ТП;2.0;3.0;СИНТО;2019-12-10T11:57:43+0300;"О насКомпания с 25-летним опытом работы в сфере теплоснабжения, водоснабжения и водоотведения имеет возможность для удовлетворения любых технических запросов на создание современных высокотехнологичных инженерных систем. Клиенты компании:· Промышленные предприятия, OEM производители по всей территории России, Инжиниринговые компании, Системные интеграторы, Электромонтажные организации.Продукция компании:· Щиты (Шкафы) автоматики и управления,· Щиты (Шкафы) контрольно-пусковые,· Щиты (шкафы) вводные и распределительные.· При разработке и изготовлении щитов управления возможна установка преобразователей частоты или устройств плавного пуска, конфигурируемых или свободно программируемые контроллеров.Отраслевое применение продукции:· В электроснабжении зданий и промышленных объектов;· В инженерных системах зданий и сооружений: управление системами отопления и теплоснабжения; вентиляции и кондиционирования;· В водоснабжении и водоотведении;· В системах пожаротушения;· Как часть промышленных систем автоматизации технологических процессов. Обязанности: - разработка электрических схем щитов управления; - разработка прикладного ПО для PLC (Siemens, Schneider, Овен и т. п.) щитов управления; - сопровождение производства щитов управления; - проверка функционирования щитов управления; - разработка технической документации (паспорт, руководство по эксплуатации и т. п.); - выполнение пусконаладочных работ на объекте (возможны командировки).  ​​​​​Требования: - Высшее техническое/электротехническое образование (это обязательное требование: соискателей без высшего технического образования мы не готовы рассматривать); - Общее понимание процесса/технологий производства щитов (шкафов) автоматики; - Предыдущий опыт работы с документацией обязателен: принципиальные схемы, однолинейные схемы, функциональные и структурные схемы, кабельный журнал; - Предыдущий опыт разработки технических решений, технических предложений, взаимодействия с проектными организациями крайне желателен Условия: График работы 5/2; - оклад 40000+премиальная месячная выплата 5000+ премиальная квартальная выплата (общий среднемесячный доход составляет до 70000), з/п выплачивается без задержек 2 раза в месяц; - оплачиваемый отпуск 5 недель, больничный; - оформление согласно ТК РФ; - перспектива профессионального и материального роста. ​​​​​МЕСТО РАБОТЫ: ближайшая станция метро Девяткино, с/п Кузьмоловский (ж/д ст. Капитолово), ул. Заводская, территория завода ГИПХ.";Как часть промышленных систем автоматизации технологических процессов. - Высшее техническое/электротехническое образование (это обязательное требование: соискателей без высшего технического образования мы...;Клиенты компании: Промышленные предприятия, OEM производители по всей территории России, Инжиниринговые компании, Системные интеграторы, Электромонтажные организации. Продукция компании: Щиты (Шкафы...;" SQL; C#; MS SQL;C++; Python";" График работы 5/2; - оклад 40000+премиальная месячная выплата 5000+ премиальная квартальная выплата (общий среднемесячный доход составляет до 70000), з/п выплачивается без задержек 2 раза в месяц; - оплачиваемый отпуск 5 недель, больничный; - оформление согласно ТК РФ; - перспектива профессионального и материального роста. ​​​​​МЕСТО РАБОТЫ: ближайшая станция метро Девяткино, с/п Кузьмоловский (ж/д ст. Капитолово), ул. Заводская, территория завода ГИПХ.";66;0.06896551724137931;Другие разработчики;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;92;Инженер-программист;2.0;3.0;«Научно-Проектное объединение «РИВС».;2019-12-09T10:27:44+0300;"Обязанности:   Разработка программного обеспечения для систем автоматизации.нижний уровень: ПЛК Siemens, Beckhoff, GE.верхний уровень: WinCC, TwinCAT, Proficy HMI/SCADA.   Выбор технических средств реализации системных решений, составление спецификации.   Разработка проектной и эксплуатационной документации (AutoCAD, EPLAN).   Проведение шеф-монтажных и пуско-наладочных работ.   Требования:  Высшее техническое образование; Креативное мышление, способность решать задачи от постановки до реализации, внедрения и сопровождения. Знание промышленных протоколов передачи данных (MODBUS). Опыт разработки и внедрения электрических схем и программного обеспечения для шкафов управления полевым оборудованием. Навыки программирования на С#, С++, Delphi являются Вашим преимуществом.  Условия:  Работа в дружном коллективе в стабильно развивающейся компании; Современный, комфортабельный офис; Официальное трудоустройство; Достойная заработная плата (уровень дохода по результатам собеседования), полис ДМС; График работы: пятидневный с 08.30 до 17.00; Возможность карьерного и профессионального роста. ";Высшее техническое образование. Креативное мышление, способность решать задачи от постановки до реализации, внедрения и сопровождения. Знание промышленных протоколов передачи данных...;Разработка программного обеспечения для систем автоматизации. Нижний уровень: ПЛК Siemens, Beckhoff, GE. Верхний уровень: WinCC, TwinCAT, Proficy HMI/SCADA. ;" SQL; C#; MS SQL;C++; Python";"  Работа в дружном коллективе в стабильно развивающейся компании; Современный, комфортабельный офис; Официальное трудоустройство; Достойная заработная плата (уровень дохода по результатам собеседования), полис ДМС; График работы: пятидневный с 08.30 до 17.00; Возможность карьерного и профессионального роста. ";92;0.10344827586206896;Другие разработчики;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
