;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Python; Django Framework; Git; PostgreSQL; SQL; Linux; JavaScript; MySQL; Python; ООП;CSS; HTML; Nginx; Redis; Java; Flask; Unit Testing;Высоконагруженные распределённые системы дистрибуции и кэширования данных. Кластерные системы обработки массивов данных. Web-сервисы (backend). Системы защиты веб-ресурсов от...;Разработка инструментов для оптимизации создания рекламных материалов в рекламных системах.;Python пакет/API разрабатывается на основе уже существующего питоновского OneTick API. Помощь <highlighttext>разработчикам</highlighttext> и клиентам пользоваться пакетом и улучшать его...;Другие навыки
0;5;Python разработчик;3.0;5.0;Digital Security;2019-12-10T17:15:56+0300;"Наша команда веб-разработки ищет Python разработчика для реализации крутого веб-проекта. Мы занимаемся производством продуктов для собственной команды аудиторов информационной безопасности. Именно ты нам нужен, если: ты любишь интересные задачи, не боишься креатива, умеешь работать в команде, заинтересован в быстром росте. В нашей команде ты получишь: возможность прокачаться в сфере информационной безопасности, оформление в соответствии с ТК РФ, гибкий график присутствия в офисе, ДМС со стоматологией, уютный офис с бесплатными фруктами, PS и грушей, в самом центре СПб.   Твоя основная задача: разработка back-end нашего нового продукта   Технологии, с которыми ты должен быть знаком: Python - требуемый опыт работы с реальными проектами от 2-х лет; знание основных шаблонов проектирования и особенностей их реализации; опыт написания модульных тестов.   Желательно: REST API и/или gRPC: знакомство/работа; SQLAlchemy: опыт работы с этим или другими аналогичными ORM; PostgreSQL: необходим, хотя бы, минимальный опыт работы с этой или любой другой реляционной СУБД; Linux: хотя бы на уровне пользователя; Docker: на уровне представления; Kubernetes: на уровне представления; баг-трекеры: опыт работы; CD/CI системы: опыт работы; git: опыт работы; графовые БД (Neo4J): будет большим плюсом.";Технологии, с которыми ты должен быть знаком: Python - требуемый опыт работы с реальными проектами от 2-х лет. ;Docker: на уровне представления. Kubernetes: на уровне представления.;Python;;5;0.06896551724137931;Питон;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;39;Junior Python Developer (Django);4.0;5.0;Акрибия;2019-12-12T13:09:53+0300;"Группа компаний в сфере информационной безопасности Акрибия приглашает в штат Back-end Python-разработчика (Django). У нас очень много интересных профильных задач, дружеская, почти семейная атмосфера и отличные условия труда! Обязанности:  Проектирование и разработка нестандартных распределённых веб-приложений; Проектирование и реализация REST API; Построение связей между различными сервисами; Взаимодействие с тестовым отделом.  Требования к кандидату:  Опыт работы с Python/Django от 1 года; Опыт работы с REST API; Опыт работы в операционных системах семейства Linux; Знание основных сетевых протоколов.  Будет плюсом:  Знание DRF; Знание каких-либо других языков программирования, в т.ч. ASP || JSP || NodeJS; Опыт fullstack разработки; Знания в области информационной безопасности, в т.ч. безопасности разработки приложений.  Мы предлагаем:  Гибкий график рабочего дня - возможность посещать офис в удобное время; Современный офис в центре города; Молодой, дружный коллектив, комфортная рабочая атмосфера, лояльное руководство; Профессиональная поддержка и обучение на первом этапе работы; Для кандидатов из других городов - аренда жилья на первый месяц работы; ДМС после испытательного срока, компенсация затрат на обучение, повышение квалификации и другие программы стимулирования для сотрудников; Официальное трудоустройство по ТК РФ с первого рабочего дня; Хороший кофе, чай, сладости и фрукты в офисе. ";Опыт работы с Python/Django от 1 года. Опыт работы с REST API. Опыт работы в операционных системах семейства Linux. ;Проектирование и разработка нестандартных распределённых веб-приложений. Проектирование и реализация REST API. Построение связей между различными сервисами. Взаимодействие с тестовым...;"Python; Django Framework";"  Гибкий график рабочего дня - возможность посещать офис в удобное время; Современный офис в центре города; Молодой, дружный коллектив, комфортная рабочая атмосфера, лояльное руководство; Профессиональная поддержка и обучение на первом этапе работы; Для кандидатов из других городов - аренда жилья на первый месяц работы; ДМС после испытательного срока, компенсация затрат на обучение, повышение квалификации и другие программы стимулирования для сотрудников; Официальное трудоустройство по ТК РФ с первого рабочего дня; Хороший кофе, чай, сладости и фрукты в офисе. ";39;0.0;Питон;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;57;Junior Python разработчик;4.0;5.0;404 Group;2019-12-11T14:53:47+0300;"404 Group - международная IT компания (Fintech) ищет классного начинающего Python разработчика, которому уже есть что рассказать о своих успехах в разработке. Мы делаем продукт, который включает в себя свою финансовую платформу, содержит аналитическую систему. Система перерабатывает большой объем данных и предоставляет продуктовую и web аналитику в режиме реального времени.Проекту уже более четырех лет, он функционирует в условиях постоянных интенсивных нагрузок, спектр возникающих задач широк и чертовски сложен. Зачем тебе к нам:  Много интересных задач и минимум бюрократии; Сможешь прокачать себя как в коде, так и в архитектуре приложений; Работа с высоконагруженной системой, а не просто с сайтами и скриптами; Сможешь подходить к каждой задаче индивидуально и видеть результаты своих трудов; Мы всегда готовы обсудить новые идеи и приветствуем исследовательский подход.  Что мы хотим видеть в нашем будущем коллеге:  Опыт разработки от 1 года на Python 3 (3.5 +); Опыт работы с фреймворками Flask, Django; Опыт написания тестов: unittest, pytest; Опыт работы с SQL; Понимание принципов ООП и умение применять их на практике; Желание осваивать новое через решение сложных задач;  Будет плюсом:  знакомство с языками Golang, JS; работа с HightLoad проектами; работа с аналитическими библиотеками: pandas, numpy; работа с selenium; знакомство с ETL, лямбда-архитектурой; работа с Apache Airflow, Vertica.  Что мы предлагаем:  Дружескую атмосферу и опытного наставника;  Официальное оформление по ТК РФ и белую заработную плату;   Гибкое начало рабочего дня;   28 дней отпуска + оплачиваемые дополнительные выходные;   Доплату больничного до оклада (любое количество дней);   ДМС с возможностью прикрепить родственников к нашей программе;   Курсы английского языка в офисе;   Йогу, спорт зал в офисе и частичную компенсацию занятий спортом;   Обучение за счет компании: финансирование курсов/семинаров/тренингов;   Современный комфортабельный офис и оборудование;   Корпоративные завтраки, чай-кофе-сладости, кикер и playstation, шахматы и пуфики.  ";Сможешь подходить к каждой задаче индивидуально и видеть результаты своих трудов. Что мы хотим видеть в нашем будущем коллеге: Опыт...;Работа с высоконагруженной системой, а не просто с сайтами и скриптами. Работа с HightLoad проектами. Работа с аналитическими библиотеками: pandas...;"Python; SQL; Git; Django Framework; Flask; Unit Testing; ООП";;57;0.034482758620689655;Питон;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
3;93;Программист Python/ActionScript;4.0;5.0;Wargaming;2019-12-12T11:29:16+0300;"Компания Wargaming Saint Petersburg (Lesta Studio) приглашает Программиста (Python, AS3) на проект World of Warships. Обязанности:  Разработка функциональности интерфейсов игры World of Warships. Разработка функциональности фреймворков. Поддержка, развитие, рефакторинг существующих решений.    Требования:   Отличное знание ActionScript и/или Python;  Отличное владение ООП; Высокий уровень профессиональной эрудиции; Технический английский (на уровне чтения документации).  Приветствуется:  Знание ActionSctipt3 и/или опыт работы с Flash IDE; Знание С++; Опыт разработки клиент – серверных приложений; Опыт работы со ScaleForm; Большой игровой опыт, желание заниматься разработкой игр.  Мы предлагаем:  Интересную сложную работу над уникальными игровыми проектами мирового уровня в составе успешной, профессиональной и слаженной команды. Разнообразные интересные задачи, свободу в работе над ними. Возможность приобрести бесценный опыт, работая плечом к плечу с ведущими специалистами отрасли. Пятидневную рабочую неделю, время работы с 9:30 до 18:30. Комфортные условия труда в современном просторном офисе в шаговой доступности от ст. м. Ладожская. ДМС, корпоративный спорт. Корпоративное обучение по специальности, изучение английского языка. Реализацию ваших лучших качеств!   ";Отличное знание ActionScript и/или Python. Отличное владение ООП. Высокий уровень профессиональной эрудиции. Технический английский (на уровне чтения документации). ;Разработка функциональности интерфейсов игры World of Warships. Разработка функциональности фреймворков. Поддержка, развитие, рефакторинг существующих решений.;"Python; Django Framework; Git; PostgreSQL; SQL";  Интересную сложную работу над уникальными игровыми проектами мирового уровня в составе успешной, профессиональной и слаженной команды. Разнообразные интересные задачи, свободу в работе над ними. Возможность приобрести бесценный опыт, работая плечом к плечу с ведущими специалистами отрасли. Пятидневную рабочую неделю, время работы с 9:30 до 18:30. Комфортные условия труда в современном просторном офисе в шаговой доступности от ст. м. Ладожская. ДМС, корпоративный спорт. Корпоративное обучение по специальности, изучение английского языка. Реализацию ваших лучших качеств!   ;93;0.0;Питон;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;95;Python разработчик (Django);2.0;3.0;Интернет Лид;2019-12-10T23:09:02+0300;"  Описание Компания-разработчик программного продукта для сферы образования «Интернет Лид» приглашает на работу активных людей для долгосрочного сотрудничества, материального и профессионального роста на позицию python full-stack разработчика в удаленную команду. О компании С 2011 года ООО “Интернет Лид” занимается разработкой и внедрением веб-сервисов для системы образования. Команда имеет опыт более 9 лет в проектировании систем и работе с образовательными организациями и пользователями образовательных услуг. О продукте Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов и центров развития (сотрудников и родителей). Требования к кандидату:  Опыт работы с Python/Django от 1 года;    Будет плюсом:  Опыт работы с REST API; Знание Linux OS and Postgres DB; Опыт работа с Version Control Systems (Git); Хорошее знание HTML, CSS, JavaScript. Знакомство с PHP, MySQL, Wordpress. Опыт работы в команде; Хороший письменный и разговорный английский; Опыт в тестировании кода.    Наши условия работы:  Удаленная работа, частичная занятость с оговариваемым графиком или full-time ; Разносторонние интересные проекты; Развитие растущего многопользовательского сервиса.     ";Опыт работы с Python/Django от 1 года. Будет плюсом: Опыт работы с REST API. Знание Linux OS and Postgres...;О продукте. Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов...;"CSS; Git; Linux; PostgreSQL; JavaScript; MySQL; Django Framework; HTML; Python";;95;0.034482758620689655;Питон;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;50;Разработчик / Инженер-программист (Python);4.0;5.0;NGENIX;2019-12-11T12:57:29+0300;"Коротко о нас NGENIX, разработчик и оператор распределённой облачной платформы ускорения и защиты веб-ресурсов, первый российский оператор CDN (Content Delivery Network), помогает компаниям ускорить свой интернет-бизнес и стать ближе к целевой аудитории, предоставляя услуги доставки контента во всемирной сети. Распределенная облачная платформа NGENIX позволяет доставлять видео-по-запросу, вести прямые интернет-трансляции, организовать надежную дистрибуцию цифрового контента, ускорять загрузку сайтов, повышать производительность веб-приложений и защищать их от внешних угроз.   Ищем разработчика в свою команду разработки, которая обеспечивает реализацию проектов, систем и сервисов, на базе которых предоставляются облачные услуги заказчикам компании. Задач много, проекты высоконагруженные. Чем предстоит заниматься? Разрабатывать  высоконагруженные распределённые системы дистрибуции и кэширования данных; кластерные системы обработки массивов данных; web-сервисы (backend); системы защиты веб-ресурсов от угроз информационной безопасности; системы автоматизации управления сервисами;    Наши ожидания относительно знаний, навыков, опыта:  высшее техническое образование; опыт коммерческой разработки на Python под Unix - не менее 3-х лет, опыт работы с асинхронными фреймворками; отличное знание SQL, знакомство с noSQL; знание устройства и принципов работы сети интернет и операционных систем Unix; способность писать документированный код и документацию; умение производить декомпозицию и адекватную оценку поставленной задачи, соблюдать согласованные сроки; опыт работы в команде, способность перенимать сложившиеся стандарты разработки; знакомство с современными методологиями проектирования, разработки и тестирования; технический английский язык (чтение документации).  А еще мы будем в восторге, если Вы:  имеете опыт обработки больших объёмов данных, опыт работы с Java+Hadoop или с ClickHouse; участвовали в разработке облачных веб-сервисов и серверного ПО; владеете навыками системного администрирования и построения комплексной инфраструктуры; знакомы с PostgreSQL; имеете опыт написания асинхронных и многопоточных приложений; имеете опыт работы с RabbitMQ; хорошо знакомы с протоколом HTTP; интересуетесь вопросами информационной безопасности, методами защиты от DDoS и взлома веб-ресурсов.  Почему NGENIX? Потому что мы:  Стабильные и надежные (на рынке с 2007, входим в группу компаний Ростелеком-Центры обработки данных); Белые (всё по ТК); Пушистые (не считаем печеньки в офисе и ДМС «плюшкой» (хотя они у нас есть). А вот, например, оплаченные компанией среды разработки, для комфортной работы- считаем); Даем комплексные задачи разработки - от проработки архитектуры программного решения до их реализации; Работаем гибко: у нас нет унылых KPI, зато есть амбициозные OKR; Ценим совместную работу: у нас нет «таймера над приходом и уходом». Рабочий день начинается с 9 до 12-ти и заканчивается с 18 до 21, соответственно. В интервале с 12 до 18 мы планируем совместные задачи, встречи и другие активности.   ";;Высшее техническое образование. Опыт коммерческой разработки на Python под Unix - не менее 3-х лет, опыт работы с асинхронными фреймворками. ;Высоконагруженные распределённые системы дистрибуции и кэширования данных. Кластерные системы обработки массивов данных. Web-сервисы (backend). Системы защиты веб-ресурсов от...;"Python; Linux; PostgreSQL; Git; Работа в команде; Scrum";150;0.034482758620689655;Питон;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
6;52;Python developer;4.0;5.0;Группа компаний eLama;2019-12-11T16:22:17+0300;"eLama.ru — IT-компания. Мы создаем инструменты для собственной платформы автоматизации интернет рекламы с 2009 г. Мы являемся международной компанией, у нас есть офисы в Бразилии, Ирландии и Казахстане. Воспользоваться нашей платформой могут клиенты из любой точки мира. В отделе разработки у нас 17 команд, более 80 программистов уровня Middle и Senior. Команда ведет 2 больших проекта: 1. Лингвогенератор - это создание рекламных материалов (ключевые слова, объявления, группы объявлений, кампании) на основе данных из YML-фида клиента и настроек проекта. Выгрузка результатов в Yandex Direct и Google Ads. Синхронизация выгруженных результатов. 2. Создание РК - это создание рекламных материалов в Facebook, Yandex Direct и Google Ads исходя из настроек пользователя, разработка инструментов для облегчения процесса создания рекламных материалов. Над чем предстоит работать:  Разработка инструментов для оптимизации создания рекламных материалов в рекламных системах  Для нас важно:  Отличное знание Python, опыт разработки от 2 лет Опыт работы с БД (PostgreSQL), проектирование структуры, оптимизация запросов Умение работать с Bash и Linux Понимание REST API  Будет плюсом:  Опыт работы с django, flask, asyncio, aiohttp Опыт работы с celery, rabbitmq Знания и опыт работы с реляционными и NoSQL БД Понимание задач и знание инструментов CI/CD (Docker, K8s, Jenkins)  Условия в eLama:  Официальное трудоустройство и вся белая зарплата; ДМС + офисный врач + массаж в офисе; Гибкое начало рабочего дня до 11.30; Свежие фрукты, чай, кофе, каши, мюсли и пр. вкусности в неограниченном количестве; Отсутствие бюрократии и классная команда; Регулярная индексация заработной платы; 50% оплаты курсов английского языка (в офисе); 50% оплаты занятий волейболом и футболом; Оплата профессиональной литературы и посещения конференций; Современная техника, комфортное рабочее место; А если ты из другого города, то мы поможем с переездом, у нас релокационный пакет. ";;Отличное знание Python, опыт разработки от 2 лет. Опыт работы с БД (PostgreSQL), проектирование структуры, оптимизация запросов. Умение работать с...;Разработка инструментов для оптимизации создания рекламных материалов в рекламных системах.;"Python; Django Framework; PostgreSQL; Linux; Интернет-реклама";152;0.034482758620689655;Питон;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
7;55;Python developer (Middle / Senior);4.0;5.0;Big Data Solutions;2019-12-11T10:49:30+0300;Big Data Solutions – международная продуктовая компания, разрабатывающая высоконагруженные системы для анализа результата торговли на финансовых рынках. Примеры наших продуктов: Trade Surveillance - широкий набор инструментов позволяющий выявить стратегии торговли, пытающиеся повлиять на рыночную цену или манипулировать другими участниками  BestEx (Best Execution) - продукт,который помогает компаниям оценить насколько хорошо их заказы исполняются на разных биржах относительно рыночной цены и насколько они влияют на рыночную цену. Нашими клиентами являются международные финансовые организации: банки, брокеры, биржи, хедж-фонды и т.д. В Санкт-Петербурге на данный момент 31 человек. Мы ищем Middle and Senior Python Developer. Вашими задачами будут:   Разработка python пакет/API с pandas like синтаксисом для анализа time series финансовых данных (market data) используя enterprise time series data base OneTick (https://www.onetick.com/time-series-database-tick-data-onetick).   Python пакет/API разрабатывается на основе уже существующего питоновского OneTick API.   Помощь разработчикам и клиентам пользоваться пакетом и улучшать его в ответ на их нужды.   Требования:   Strong python 3.   Знакомство с pytest, умение писать unit test-ы и вести разработку через TDD.   Умение писать документацию на английском языке.  Знание английского языка обязательно (письменный и разговорный). Мы работаем в международной команде.  Будет плюсом:   Знакомство с pandas.   Знакомство c jupyter.   Мы предлагаем:   Конкурентоспособная белая заработная плата (обсуждается индивидуально и зависит от Вашего опыта).   Гибкий график.   ДМС (включая стоматологию) для сотрудников и членов их семьи.   Страховка для путешествий.   Курсы английского языка в офисе.   Частичная оплата занятий спортом.   Бонусы, зависящие от результатов работы.   Регулярные performance review.   Погружение в финансовую отрасль в самой лучшей команде.   Постоянные возможности для профессионального роста и самореализации.   А еще мы классно отдыхаем! @big_data_solutions - наш инстаграм :)  ;   Конкурентоспособная белая заработная плата (обсуждается индивидуально и зависит от Вашего опыта).   Гибкий график.   ДМС (включая стоматологию) для сотрудников и членов их семьи.   Страховка для путешествий.   Курсы английского языка в офисе.   Частичная оплата занятий спортом.   Бонусы, зависящие от результатов работы.   Регулярные performance review.   Погружение в финансовую отрасль в самой лучшей команде.   Постоянные возможности для профессионального роста и самореализации.   А еще мы классно отдыхаем! @big_data_solutions - наш инстаграм :)  ;Strong python 3. Знакомство с pytest, умение писать unit test-ы и вести разработку через TDD. Умение писать документацию на...;Python пакет/API разрабатывается на основе уже существующего питоновского OneTick API. Помощь <highlighttext>разработчикам</highlighttext> и клиентам пользоваться пакетом и улучшать его...;Python;155;0.034482758620689655;Питон;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
8;97;Python developer;6.0;6.0;B2Broker;2019-12-11T15:00:09+0300;"Международная компания B2Broker — это финтех, разработчик и провайдер технологий для брокерских компаний, банков и инвестиционных фондов. Мы не занимаемся брокерской деятельностью — но предлагаем готовые IT решения для международных брокерских компаний. Мы ожидаем от разработчика, что он:  имеет опыт коммерческой разработки на Python 3 от 6 лет; знает и умеет использовать: итераторы, генераторы, потоки; отлично владеет знаниями параллелизма, многопоточностью, неблокирующими вызовами; имеет опыт работы с числами с высокой точностью используя decimals / fractions / NumPy;  Кроме конструкций языка, мы хотим видеть:  знания по регулярным выражениям, структурам данных (JSON и XML); понимание особенностей и различий REST и SOAP; опыт работы с различными базами данных (в особенности ACID подход); стремление к красоте кода; разработчика, который придерживается принципов SOLID; дополнительным преимуществом будет опыт работы с Message брокерами и очередями, а также опыт написания Юнит- и Интеграционных-тестов.  Мы предлагаем:  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; возможность практики английского языка; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию смелых идей; работу по гибкому графику в уютном офисе. ";"  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; возможность практики английского языка; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию смелых идей; работу по гибкому графику в уютном офисе. ";Опыт работы с различными базами данных (в особенности ACID подход). Стремление к красоте кода. <highlighttext>Разработчика</highlighttext>, который придерживается принципов SOLID. ;"Python; Django Framework; Git; PostgreSQL; SQL";;197;0.034482758620689655;Питон;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;50;Senior Python разработчик;6.0;5.0;CS.MONEY;2019-12-10T17:54:12+0300;"Наш продукт - это площадка для обмена виртуальными предметами (CS:GO, Dota 2) на которой обмениваются более 5 миллионов пользователей из 100 стран мира. Проект существует больше 3-х лет и занимает лидирующую позицию в своей сфере.Тебе предстоит взаимодействовать с командой фронта, qa и аналитики. Продумывать и реализовывать лучшую архитектуру кода и писать тесты на критические места в коде. Не обойдется и без ведения минимальной документации (докстринги) и репорта найденных ошибок в команде.Игровая и киберспортивная сфера последние 5 лет имеет один из самых быстрых темпов роста и для тебя это шанс влететь в быстро-несущийся космолет и отправиться с ним прямо в космос.   Что мы ждем от тебя:   Отличные знания Python 3, Flask, SQL;   Опыт в написание тестов (pytest, unittest)   Умение оптимизировать SQL запросы;   Опыт работы с брокерами очередей (Apache Kafka/RabbitMQ);   Опыт работы с асинхронными фреймворками (async/await);   Опыт контейнеризации с применением docker, docker-compose;   Опыт использования gitflow;   Опыт работы с Redis;   Опыт работы по Agile-методологии (scrum, Kanban);   Умение вести документацию к коду;   Причины работать с нами:  Мы хотим стать брендом номер один в киберспорте, а это сложная и амбициозная цель, но очень крутая. Присоединяйся! Работа в крупной и перспективной it-компании, но абсолютно без бюрократии. По своему типу мы очень близки к бирюзовой организации. Постоянно запускаем новые проекты внутри компании, а это крутая возможность вырасти как по задачам, так и по материальной компенсации. За 1 год можно вырасти так, как вы не выросли бы практически нигде. Бесконечно учимся: за счет компании покупаем любые книги, оплачиваем участие в конференциях(в том числе транспорт и проживание). Сильно вкладываемся в каждого человека в компании и от него в ответ ждем того же. Гибкий график. Можно начинать рабочий день с 12 часов; Уютный офис в центре Петербурга (Невский проспект), 3 минуты пешком от метро Площадь Восстания, 2 минуты пешком от Маяковской. У нас очень молодая команда, почти все младше 25 лет, а следовательно неформальная обстановка, шутки различной степени жесткости и ламповые разговоры на кухне. Заказываем еду(5 блюд в день), чтобы вы могли сосредоточиться на работе, саморазвитии и личной жизни, забыв, что такое готовка. Официальное трудоустройство по ТК РФ; Помощь с релокацией иногородним кандидатам. ";;Отличные знания Python 3, Flask, SQL. Опыт в написание тестов (pytest, unittest). Умение оптимизировать SQL запросы. Опыт работы с брокерами...;"Python; Django Framework; Git; PostgreSQL; SQL";"Python; CS:GO; DOTA2; Киберспорт";250;0.06896551724137931;Питон;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
