;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;1С программирование; 1С: Предприятие 8; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом; 1С: Бухгалтерия; 1C: Бухгалтерия; 1С: Управление Производственным Предприятием; 1С: Управление Торговлей; 1С: Торговля;1С: Управление Торговлей;1С: Предприятие 8; Обновление конфигурации 1С;1С: Зарплата и управление персоналом; 1С-Битрикс; XML; Обучение и развитие; Консультирование; 1С: Управление персоналом; HTML;Другие навыки
0;7;Программист 1С;8.0;6.0;АВТОСПАР;2019-12-10T09:39:07+0300;Обязанности:  Доработка, администрирование баз на платформе «1С:Предприятие» + MS SQL (Управление торговлей ред.10.3, Бухгалтерия 3.0). Консультирование пользователей Контроль и настройка синхронизации данных между базами. Контроль и модификация обменов с сайтом (API).  Требования:  Образование: высшее техническое, желательно знание основ бухгалтерского учета Хорошее знание типовой конфигурации Управление торговлей (ред.10.3) Знание специфики работы с автозапчастями. Знание технологий интеграции (API) Знание языка запросов (T-SQL)  Условия:  Официальное оформление по ТК Российской Федерации Работа в офисе м.Алтуфьево Полный рабочий день ЗАРАБОТНАЯ ПЛАТА ПО РЕЗУЛЬТАТАМ СОБЕСЕДОВАНИЯ ;  Официальное оформление по ТК Российской Федерации Работа в офисе м.Алтуфьево Полный рабочий день ЗАРАБОТНАЯ ПЛАТА ПО РЕЗУЛЬТАТАМ СОБЕСЕДОВАНИЯ ;"Образование: высшее техническое, желательно знание основ бухгалтерского учета. Хорошее знание типовой конфигурации &quot;Управление торговлей&quot; (ред.10.3). Знание специфики работы...";Доработка, администрирование баз на платформе «1С:Предприятие» + MS SQL (Управление торговлей ред.10.3, Бухгалтерия 3.0). ;"1С программирование; 1С: Предприятие 8; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом";7;0.3333333333333333;1C;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;17;Ведущий программист 1C;10.0;3.0;Logsis;2019-12-10T15:17:31+0300;"Работа в офисе, удаленный формат работы не рассматриваем. Обязанности:  Разработка архитектуры информационных систем на базе 1С: Комплексная автоматизация 2. Интеграция с производственной CRM-системой Анализ бизнес требований, поиск оптимального решения; Разработка ключевых разделов и модулей; Участие в проектах развития Компании.  Требования:  Высшее техническое образование, опыт работы – от 2-х лет на аналогичных должностях; Обязателен опыт работы с одной из типовых конфигураций 1C:Комплексная автоматизация, 1С:ERP; Хорошее знание возможностей платформы 1С:Предприятие; Знания предметных областей (бухгалтерский учет, налоговый учет) как преимущество; Опыт оптимизации тяжелых запросов 1С, знание основных инструментов для отладки запросов 1С Умение находить общий язык с пользователями, хорошие коммуникации и стрессоустойчивость; Наличие сертификатов приветствуется; Умение формировать запросы в системах 1С; Активная жизненная позиция, желание профессионального роста.  Условия:  Заработная плата обсуждается с успешным кандидатом. Просьба в резюме или сопроводительном письме указывать ожидаемый уровень з/платы. официальное трудоустройство испытательный срок – 2-3 месяца комфортные условия работы, чай, кофе для сотрудников в офисе бесплатная стоянка для сотрудников р-он м.Тульская, Шаболовская ";  Заработная плата обсуждается с успешным кандидатом. Просьба в резюме или сопроводительном письме указывать ожидаемый уровень з/платы. официальное трудоустройство испытательный срок – 2-3 месяца комфортные условия работы, чай, кофе для сотрудников в офисе бесплатная стоянка для сотрудников р-он м.Тульская, Шаболовская ;Высшее техническое образование, опыт работы – от 2-х лет на аналогичных должностях. Обязателен опыт работы с одной из типовых конфигураций...;Разработка архитектуры информационных систем на базе 1С: Комплексная автоматизация 2. Интеграция с производственной CRM-системой. Анализ бизнес требований, поиск...;"1С программирование; 1С: Предприятие 8; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом";17;0.3333333333333333;1C;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;20;Программист-разработчик 1 С;7.0;4.0;Дубовицкая Светлана Владимировна;2019-12-10T12:42:37+0300;"Компания «ФОРВАРД-АКСИОНТ» - один из ведущих игроков рынка 1С по внедрению, сопровождению и развитию систем управления предприятием и учетных систем на платформе 1С. Входим в ТОП-10 партнеров 1С как Центры компетенций КОРП и ERP. Являемся победителем конкурса 1С :Проект года в 2018 и 2016 годах. Обязанности:  Разработка/доработка программного кода в 1С:УПП (блоки бухгалтерский, налоговый учет, расчет заработной платы); Проведение внутреннего тестирования, сдача результатов работ Заказчику на тестовой среде; Работа с запросами и СКД; Консультирование пользователей.  Что нужно знать и уметь:  Умение работать с управляемыми/обычными формами; Опыт программирования на платформе 1С 8.2 от 3-х лет; Умение работать с запросами и системой компоновки данных; Обладать опытом подготовки технической документации.  Будет преимуществом:   Знание web-интерфейсов и интеграционных механизмов 1С со сторонними информационными системами;  Навыки разработки в системах 1С:ЗиУП, 1С:ДО.  Мы предлагаем:  Работу в крупной Компании нефтяной отрасли; Уровень дохода, соответствующий уровню компетенций; Место работы - центр города (м. Полянка); График работы пн-пт с 09:00 до 18:00. ";"  Работу в крупной Компании нефтяной отрасли; Уровень дохода, соответствующий уровню компетенций; Место работы - центр города (м. Полянка); График работы пн-пт с 09:00 до 18:00. ";Умение работать с управляемыми/обычными формами. Опыт программирования на платформе 1С 8.2 от 3-х лет. ;Разработка/доработка программного кода в 1С:УПП (блоки бухгалтерский, налоговый учет, расчет заработной платы). Проведение внутреннего тестирования, сдача результатов...;"1С программирование; 1C: Бухгалтерия; 1С: Управление Производственным Предприятием";20;0.3333333333333333;1C;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;21;Стажер-программист 1С;0.0;3.0;Первый Бит;2019-12-12T11:54:42+0300;Мы в поисках начинающего специалиста с горящими глазами и огромным желанием развиваться в сфере IT! Готовы предложить отличное обучение, опыт в крупнейшей IT компании и работу в коллективе профессионалов и любителей своего дела! Мы предлагаем:  Бесплатное начальное обучение, обучение программным продуктам и повышение квалификации Обучение программированию в 1С Оформление по ТК РФ График работы 5/2 Оплата проездного билета и мобильной связи Возможность бесплатного получения сертификатов 1С Реальные возможности профессионального, карьерного, финансового роста Молодой и дружный коллектив, развитая корпоративная культура Офис в пешей доступности от ст. м. Пролетарская  У Вас будет возможность:  Заниматься разработкой / доработкой конфигураций на базе 1С Развиваться в сфере 1С Научиться выявлять требования по доработкам Работать с пользователями: консультации, помощь в работе Участвовать в крупных проектах  От Вас потребуется:  Базовые знания любого языка программирования (знание языка 1С не требуется) Высшее / незаконченное высшее образование Коммуникабельность, клиентоориентированность, ответственность, пунктуальность Опытный пользователь ПК, MS Office, Интернет Наличие сертификатов 1С - желательно (не обязательно) Готовность к разъездному характеру работы (иногда работа на выходных согласно ТК РФ) Желание развиваться в IT-сфере Готовность обучаться в течение всего процесса работы ;  Бесплатное начальное обучение, обучение программным продуктам и повышение квалификации Обучение программированию в 1С Оформление по ТК РФ График работы 5/2 Оплата проездного билета и мобильной связи Возможность бесплатного получения сертификатов 1С Реальные возможности профессионального, карьерного, финансового роста Молодой и дружный коллектив, развитая корпоративная культура Офис в пешей доступности от ст. м. Пролетарская  У Вас будет возможность:  Заниматься разработкой / доработкой конфигураций на базе 1С Развиваться в сфере 1С Научиться выявлять требования по доработкам Работать с пользователями: консультации, помощь в работе Участвовать в крупных проектах  От Вас потребуется:  Базовые знания любого языка программирования (знание языка 1С не требуется) Высшее / незаконченное высшее образование Коммуникабельность, клиентоориентированность, ответственность, пунктуальность Опытный пользователь ПК, MS Office, Интернет Наличие сертификатов 1С - желательно (не обязательно) Готовность к разъездному характеру работы (иногда работа на выходных согласно ТК РФ) Желание развиваться в IT-сфере Готовность обучаться в течение всего процесса работы ;Базовые знания любого языка программирования (знание языка 1С не требуется). Высшее / незаконченное высшее образование. Коммуникабельность, клиентоориентированность, ответственность, пунктуальность. ;Заниматься разработкой / доработкой конфигураций на базе 1С. Развиваться в сфере 1С. Научиться выявлять требования по доработкам. ;"1С программирование; 1С: Предприятие 8; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом";21;0.0;1C;1;1;0;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;24;Программист 1С;6.0;3.0;Vertum;2019-12-12T12:38:01+0300;"Привет! Компания Вертум ведет свою историю с 2005 года. На сегодняшний день мы находимся в лидирующих позициях на рынке услуг по продаже кровельных материалов и аксессуаров, а также систем поверхностного водоотведения . Мы убеждены, что крайне важно не только, что мы делаем, но и КАК мы это делаем. Наша цель - быть лучшими в нашей сфере, сохранять качество и развивать долгосрочные взаимовыгодные отношения с нашими партнерами. Сила, харизма и нацеленность на результат нашей команды помогает нам стремительно двигаться вперед и развиваться.   Тебе к нам, если у тебя есть:  Образование профильное (Сертификаты будут Вашим плюсом);  · Знание типовых конфигураций 1С · Опыт создания обмена информацией между различными конфигурациями 1С  Знание и понимание основных принципов, ведения бухгалтерского учета  · Настройка обмена данными между 1С и другими информационными системами · Опыт работы программистом 1С от 2 -х лет;  Коммуникабельность ответственность;  Что нужно делать?:  Сопровождение(Поддержка, доработка) механизмов обмена между базами 1С; Доработка конфигураций и создание новых модулей по техническим заданиям (общение с пользователями) Обновление типовых и измененных конфигураций; Интеграция с другими информационными системами; Консультация и обучение пользователей компании Настройка обмена данными между 1С и другими информационными системами  Условия:  достойная заработная плата 130 тр прозрачная бонусная система; сплоченный и молодой коллектив ; стильный и светлый офис, кофе, чай и фрукты ";"  достойная заработная плата 130 тр прозрачная бонусная система; сплоченный и молодой коллектив ; стильный и светлый офис, кофе, чай и фрукты ";Образование профильное (Сертификаты будут Вашим плюсом). Знание и понимание основных принципов, ведения бухгалтерского учета. Коммуникабельность ответственность.;Сопровождение(Поддержка, доработка) механизмов обмена между базами 1С. Доработка конфигураций и создание новых модулей по техническим заданиям (общение с...;"1С программирование; 1С: Предприятие 8; 1C: Бухгалтерия; 1С: Документооборот; 1С: Управление Торговлей";24;0.0;1C;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;25;Программист 1C;6.0;3.0;Свобода;2019-12-10T08:49:40+0300;"Должностные обязанности: • Участие в решении вопросов сопровождения 1С: ERP 2.1 • Пользовательское сопровождение и поддержка существующих информационных систем компании, включая 1С: ЗУП, 1С: УАТ • Автоматизация электронного документооборота • Автоматизация различных учетных систем компании: - кадровый, бухгалтерский и зарплатный учет - участие в автоматизации взаимоотношений с клиентами EDI - управление поставками, транспортной и складской логистикой - автоматизация учета производства • Участие в формализации требований на доработку со стороны ключевых пользователей • Участие в формировании Технических проектов • Реализация доработок систем 1С на основании требований пользователей • Тестирование реализованного функционала перед запуском в опытную эксплуатацию • Поддержка пользователей • Разработка правил обмена для интеграции различных БД на базе 1С   Требования: • Высшее образование • Опыт работы с системами «1С: Предприятие», в том числе опыт самостоятельной и групповой разработки приложений не менее 3-х лет • Знание предметных областей – учет производства, принципы бухгалтерского учета и расчета зарплаты, управленческого учета • Знание и опыт работы с платформой 1С: 8.3, в частности работа с управляемыми формами и бизнес-процессами, отличное знание встроенного языка 1С:8 • Знание типовой конфигурации 1С: ERP 2.0, ЗУП 8.4 • Знание SQL • Желательно знание ISO 9000\9001, GMP • Желательно наличие сертификата Специалиста по платформе 1С 8.3 • Умение работать в коллективе   Условия: -График работы с 5/2 с 8:30 до 17:15, пятница с 8:30 до 16:00 (суббота, воскресенье-выходные); -Оформление строго по ТК РФ; -Среднемесячный заработок 120.000 руб./в месяц . -Социальный пакет; -Ежегодный оплачиваемый отпуск 28 календарных дней; -Косметический набор сотрудникам ежеквартально; -Скидка 5% в магазине при фабрике; -Карьерный рост, возможность расти профессионально. Направление на внешнее обучение, повышение квалификации; -Расположение офиса: м. Дмитровская, м.Савёловская, ул.Вятская, д.47. http://www.svobodako.ru/start2.aspx?s=0p=312";" -График работы с 5/2 с 8:30 до 17:15, пятница с 8:30 до 16:00 (суббота, воскресенье-выходные); -Оформление строго по ТК РФ; -Среднемесячный заработок 120.000 руб./в месяц . -Социальный пакет; -Ежегодный оплачиваемый отпуск 28 календарных дней; -Косметический набор сотрудникам ежеквартально; -Скидка 5% в магазине при фабрике; -Карьерный рост, возможность расти профессионально. Направление на внешнее обучение, повышение квалификации; -Расположение офиса: м. Дмитровская, м.Савёловская, ул.Вятская, д.47. http://www.svobodako.ru/start2.aspx?s=0p=312";Высшее образование. Опыт работы с системами «1С: Предприятие», в том числе опыт самостоятельной и групповой разработки приложений не менее...;Участие в решении вопросов сопровождения 1С: ERP 2.1. Пользовательское сопровождение и поддержка существующих информационных систем компании, включая 1...;"1С: Предприятие 8; 1С: Зарплата и управление персоналом";25;0.3333333333333333;1C;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;29;Программист 1С;7.0;3.0;ЭДВАНТА;2019-12-12T13:48:48+0300;"Компания Эдванта приглашает в команду Программиста 1С. Вакансия расширяет имеющийся штат IT и открыта в связи с увеличением объемов работ в области автоматизации, поддержки и обслуживания бизнес-приложений. Кого мы ищем:Мы ищем опытного специалиста, который станет полноправным членом высокопрофессиональной команды для постоянной работы на долговременной основе. Обязанности:• Разработка нового функционала, отчетов, интеграции, локализация и устранение ошибок в системах на платформе 1С 8.3;• Участие в разработке и внедрении как нетиповой конфигурации УУ, так и доработка типовых решений 1С8 Бухгалтерия и ЗУП;• Участие в построении архитектуры функциональных блоков системы;• Выполнение типовых задач поддержки систем на базе 1С 8.3;• Техническая поддержка пользователей по программным продуктам 1С: типовым конфигурациям и конфигурациям собственной разработки (консультации, помощь в решении проблем);• Участие в проектах развития Компании. Требования:• Высшее техническое образование, опыт работы – от 5-ти лет на аналогичных должностях;• Опыт разработки на платформе 1С8 не менее 3 лет;• Обязателен опыт работы с одной из типовых конфигураций 1С:БУХ, 1С:УПП, 1С:ЗУП, 1C:УТ, 1С:КА, 1С: ERP;• Общее понимание бухгалтерского и управленческого учета;• Умение находить общий язык с пользователями;• Аналитические навыки;• Наличие сертификатов 1С приветствуется;• Опыт работы в отраслях – производство или оптовая торговля. Условия:• Официальное оформление по ТК, демократичная обстановка, работа в крупной стабильной компании;• Заработная плата от 150 000 руб.; • График работы 5/2 с 9 до 18, сб и вс – выходные;• Работа в штатной команде программистов под управлением руководителя группы;• Возможности для профессионального и карьерного роста;• Обучение в рамках проектов;• Расположение офиса в 10 минутах пешком от метро «Октябрьское поле» (5 минут на троллейбусе);• Современный комфортный офис, удобное рабочее место, бесплатный чай/кофе в офисе;• В обеденный перерыв можно прогуляться по расположенному рядом парку и подышать свежим воздухом.";"• Официальное оформление по ТК, демократичная обстановка, работа в крупной стабильной компании;• Заработная плата от 150 000 руб.; • График работы 5/2 с 9 до 18, сб и вс – выходные;• Работа в штатной команде программистов под управлением руководителя группы;• Возможности для профессионального и карьерного роста;• Обучение в рамках проектов;• Расположение офиса в 10 минутах пешком от метро «Октябрьское поле» (5 минут на троллейбусе);• Современный комфортный офис, удобное рабочее место, бесплатный чай/кофе в офисе;• В обеденный перерыв можно прогуляться по расположенному рядом парку и подышать свежим воздухом.";Высшее техническое образование, опыт работы – от 5-ти лет на аналогичных должностях. Опыт разработки на платформе 1С8 не...;Разработка нового функционала, отчетов, интеграции, локализация и устранение ошибок в системах на платформе 1С 8.3. Участие в разработке...;"1С программирование; 1С: Предприятие 8; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом";29;0.0;1C;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;30;Стажер-программист 1С;5.0;3.0;АМ-ГРУПП;2019-12-11T10:51:53+0300;Обязанности: 1. Поддержка конфигураций 1С на платформе 8.3 (ERP Управление предприятием 2, БП, ЗУП). 2. Настройка и контроль работы обмена данными между различными конфигурациями системы 1С. 3. Разработка отчетов, обработок, нового функционала по требованию пользователей. 4. Консультирование и обучение пользователей. Требования: 1. Образование неполное высшее или высшее (техническое, экономическое).2. Желателен опыт работы от полугода.3. Наличие теоретической базы ведения бухгалтерского, налогового и кадрового учетов в конфигурациях БП 3.0, ЗУП 3.1.4. Знание принципов ведения управленческого, торгового учета (производственного является преимуществом).5. Базовые знания и навыки программирования в системе «1С:Предприятие».6. Желание развиваться в сфере автоматизации бизнес-процессов на базе 1С.7. Приветствуется знание типовых конфигураций (1С:ЗиК, Бухгалтерия, УТ, ERP2).8. Опыт или готовность работы в команде.Условия:  Постоянная работа в стабильной компании, профессиональный рост, достойная зарплата. Оформление по ТК РФ (социальные гарантии).Режим работы - 5/2, с 9.00 - 18.00.Испытательный срок - 3 месяцаМесто работы - м. Саларьево, м. Рассказовка, г. Москва, п. Московский. поселок Ульяновского лесопарка.Полный рабочий день на территории работодателя. ;  Постоянная работа в стабильной компании, профессиональный рост, достойная зарплата. Оформление по ТК РФ (социальные гарантии).Режим работы - 5/2, с 9.00 - 18.00.Испытательный срок - 3 месяцаМесто работы - м. Саларьево, м. Рассказовка, г. Москва, п. Московский. поселок Ульяновского лесопарка.Полный рабочий день на территории работодателя. ;1. Образование неполное высшее или высшее (техническое, экономическое). 2. Желателен опыт работы от полугода. 3. Наличие теоретической базы ведения бухгалтерского...;1. Поддержка конфигураций 1С на платформе 8.3 (ERP Управление предприятием 2, БП, ЗУП). 2. Настройка и контроль работы...;"1С программирование; 1С: Предприятие 8; 1С программирование; 1С: Документооборот; 1С: Зарплата и управление персоналом";30;0.16666666666666666;1C;1;0;1;0;0;0;1;0;0;0;1;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;31;Старший программист 1С;3.0;3.0;Королевский прайд;2019-12-10T14:34:10+0300;Обязанности: ​​​​​​  Установка и обслуживание компьютерной и офисной техники, оргтехники, внутренней АТС. Обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server). Обеспечение работоспособности и безопасности сети компании. Установка, настройка и обновление офисного и прикладного ПО (MS Office, 1С и т.п.). Обеспечение резервного копирования данных (а также восстановление данных при необходимости). Техническая поддержка и помощь пользователей. Составление отчетов о проделанной работе. Мониторинг экранов.  Требования:  Опыт установки и поддержки ОС Windows (различных версий). Опыт установки и поддержки серверного программного обеспечения. Знание распространенного программного обеспечения (MS Office, 1С и иных программ). Знание принципов работы сетевых протоколов, принципов построения компьютерных сетей. Знание аппаратной части РС и возможность диагностики и устранения неполадок. Опыт работы с удаленными пользователями.  Условия:  График работы 5/2, рабочий день с 9:00 - 18:00. Шаговая доступность от метро. ;  График работы 5/2, рабочий день с 9:00 - 18:00. Шаговая доступность от метро. ;Опыт установки и поддержки ОС Windows (различных версий). Опыт установки и поддержки серверного программного обеспечения. Знание распространенного программного обеспечения (MS...;Установка и обслуживание компьютерной и офисной техники, оргтехники, внутренней АТС. Обеспечение безошибочной работы системного программного обеспечения (ОС Windows, Windows Server). ;"Windows 7; Настройка сетевых подключений; Windows Server 2003; TCP/IP; Windows Xp";31;0.3333333333333333;1C;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
9;46;Младший программист 1С;4.0;3.0;Ювелирная сеть Залог Успеха;2019-12-11T10:27:20+0300;"Компания Залог Успеха — это динамично развивающаяся сеть ювелирных магазинов и ломбардов европейского формата.Наша главная задача — безупречный сервис для клиентов и творческая, позитивная атмосфера для сотрудников компании. Наш отдел разработки состоит из Руководителя отдела и трёх штатных программистов. Мы заинтересованы в развитии 1с направления и ищем новую боевую единицу в команду: В чем заключается работа:   поддержка пользователей Филиальной сети по вопросам 1С (2-я линия поддержки);   разработка нового и доработка существующего функционала и отчетов (простые случаи);   консультирование пользователей в центральном офисе по вопросам 1С;   написание инструкций по новому функционалу 1С;   обучение пользователей Филиалов работе в 1С (по мере необходимости, но не более 1 раза в месяц).   Наши ожидания от будущего коллеги:  опыт начального уровня разработки 1С 8.3: знание основных регистров и документов 1С, товародвижение, основы бух. учета, создание простых отчетов, создание обработок по загрузке данных, создание несложного функционала, умение найти и устранить ошибки с расхождением данных в 1С (не провёлся документ, не прошел обмен, не заполнился регистр и т.п.). умение и желание добиваться поставленных целей в заданные сроки; умение работать и взаимодействовать в команде; ответственность, внимательность.  Мы предложим вам:  оформление полностью в соответствии с ТК РФ; конкурентоспособную белую заработную плату; график работы 5/2 с 9:30 до 18:00; программу лояльности на корпоративную продукцию; работу в команде единомышленников сплоченных общей целью; расположение офиса - метро Минская или м. Ломоносовский проспект. ";;Опыт начального уровня разработки 1С 8.3: знание основных регистров и документов 1С, товародвижение, основы бух. ;Поддержка пользователей Филиальной сети по вопросам 1С (2-я линия поддержки). Разработка нового и доработка существующего функционала и отчетов...;"1С: Предприятие 8; 1С: Торговля; 1С программирование; Обучение и развитие; 1С: Розница";46;0.16666666666666666;1C;1;1;0;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
