;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; .NET Framework;C++;C#; C#; ООП; SQL; Linux; PostgreSQL; MS Visual Studio; Git; C++;Git; ASP.NET; MS SQL; WPF; Entity Framework;С#; MVC; Qt; Visual Studio C#;Другие навыки
0;1;Инженер-программист C# .Net;5.0;4.0;Финстарлабс;2019-12-11T14:54:12+0300;"Обязанности:  Разработка back-end серверных приложений на чистом C# с использованием .NET Core под Linux.Разработка full stack приложений с использованием C# и JavaScript. Вероятна кое-какая верстка HTML/CSS3 (в малых количествах).Возможно, разработка пакетов, процессов и сервисов в среде Terrasoft BPM Online (C#, JavaScript).  Требования: Знания основных концепций разработки на платформе .Net‚ принципов объектно-ориентированного программирования.Знание основных вычислительных алгоритмов и структур данных.Понимать, что такое шаблоны проектирования, понимать, когда какие шаблоны более уместны.Иметь опыт разработки приложений с использованием Web-services, socket, XML.Иметь опыт использования реляционных СУБД, хорошее знание SQL;Иметь опыт разработки многопоточных приложений. 1. Плюсом будет опыт работы с .NET Core и/или Mono.2. Очень большим плюсом будет опыт работы под Linux на иных языках и технологиях (Java, C++, Ruby, Python). Условия:  Оформление по ТК РФ ДМС Бесплатная парковка 100% оплата больничного листа Отпуск 34 календарных дня Премии ";  Оформление по ТК РФ ДМС Бесплатная парковка 100% оплата больничного листа Отпуск 34 календарных дня Премии ;Знания основных концепций разработки на платформе .Net‚ принципов объектно-ориентированного программирования. Знание основных вычислительных алгоритмов и структур данных. ;Разработка back-end серверных приложений на чистом C# с использованием .NET Core под Linux. Разработка full stack приложений с использованием...;"С#; .NET Framework; Linux; MS Visual Studio; management studio; Git; Atlassian Jira; Redmine; PostgreSQL; Terrasoft CRM";1;0.16666666666666666;C#_C++;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
1;3;Программист С++;6.0;3.0;НПЦ Эхо+;2019-12-10T10:43:40+0300;Обязанности:  Проектирование, разработка и поддержка программных продуктов. Среда разработки Visual Studio 2017.  Требования:  Уверенное знание C++, принципов ООП Владение stl (boost), .NET (framework), xml Знание геометрии, тригонометрии в объёмах средней школы Желателен опыт визуализации изображений (в том числе 3D), разработки интерфейса пользователя. Приветствуется опыт создания программно-аппаратных комплексов  Условия:  Интересная, творческая работа, отличный коллектив, соблюдение ТК (выходные, отпуск, больничные), ДМС Рабочий день 10.00 - 18.45, с возможностью смещения графика. ;  Интересная, творческая работа, отличный коллектив, соблюдение ТК (выходные, отпуск, больничные), ДМС Рабочий день 10.00 - 18.45, с возможностью смещения графика. ;Уверенное знание C++, принципов ООП. Владение stl (boost), .NET (framework), xml. Знание геометрии, тригонометрии в объёмах средней школы. ;Проектирование, разработка и поддержка программных продуктов. Среда разработки Visual Studio 2017.;"C++; Microsoft Visual Studio; .NET Framework; SVN; Scrum; SQL";3;0.3333333333333333;C#_C++;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2;4;.NET Developer (Разработчик (Программист .NET);5.0;5.0;Renaissance Capital;2019-12-11T17:42:54+0300;Инвестиционный банк Ренессанс Капитал ищет разработчика .Net для участия в проектах разработки и поддержки ИТ-систем инвестиционного банка. Требования к квалификации:   Высшее техническое образование Знание архитектурных принципов построения ИТ-систем Профессиональное владение технологиями, протоколами и продуктами:  C#, Microsoft .NET Microsoft SQL Server, ADO.NET XML, HTTP, HTML, CSS, XSLT, JSON      Приветствуется:   Опыт работы с технологиями и продуктами:  ASP.NET MVC VSTO JavaScript, Ajax, jQuery ReactJS, AngularJS (или другие клиентские фреймворки) PostgreSQL   Умение быстро переключаться между проектами Знание типовых продуктов инвестиционного банка/биржевого брокера    Обязанности:  Разработка и поддержка Web-приложений, Web и Windows сервисов:  Участие в разработке и поддержке систем обработки статических данных и биржевых котировок по финансовым инструментам Систем внутренней автоматизации и регуляторной отчетности Систем автоматизации отдела Research    Условия работы:  Работа в офисе компании Ренессанс Капитал (Москва-Cити, Пресненская наб., 10, Блок С) Профессиональная команда, интересные задачи, возможность роста, ДМС на сотрудника, супругу и детей и страхование Жизни на сотрудника (с первого рабочего дня) ;;Высшее техническое образование. Знание архитектурных принципов построения ИТ-систем. Профессиональное владение технологиями, протоколами и продуктами: C#, Microsoft .NET. ;Участие в разработке и поддержке систем обработки статических данных и биржевых котировок по финансовым инструментам. Систем внутренней автоматизации и регуляторной...;"JavaScript; ASP.NET; jQuery; AngularJS; MVC";4;0.0;C#_C++;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
3;27;Ведущий разработчик/разработчик C++/Qt (GUI Team, VMS);0.0;4.0;NetworkOptix;2019-12-12T14:21:03+0300;NetworkOptix - американская IT-компания, которая занимается разработкой систем видеонаблюдения (IP Video Management Systems). Мы делаем мощное, но при этом простое в использовании программное обеспечение для управления сетевым видео. Семь лет работы талантливых людей - и мы превратились в успешную компанию, которая активно ищет новых людей. Мы заняли 7-е место по скорости роста среди IT-компаний в США (по оценке Inc.5000 в 2016г). Уже сегодня наша система видеонаблюдения активно используется в Северной Америке, в Европе, в Азии. Наш продукт – система видеонаблюдения NX Witness. Можно скачать бесплатную версию и попробовать ее в действии. В Северной Америке мы выпускаемся под брендами DW Spectrum и WAVE.  Кого мы ищем? Разработка GUI - это интересные архитектурные задачи, это погружение в недра фреймворков, это тюнинг интерфейса до последнего пикселя, это диалог с дизайнером и реализация собственных идей. Именно от нас зависит впечатление пользователя при работе с продуктом. Нам нужны люди, готовые вместе с нами делать красивый, надёжный, быстрый и удобный в использовании продукт. Нам нужны люди мотивированные, инициативные, умеющие отстаивать свои идеи, любящие работу и умеющие отдыхать. Мы больше заинтересованы в тех людях, которые предпочитают и умеют администрировать себя сами, а не нуждаются в постоянном руководстве. Если вы любите программировать, стараетесь развиваться и узнавать что-то новое каждый день - напишите нам! К сожалению, мы не рассматриваем кандидатов на удаленную работу. Уважаемые соискатели, укажите, пожалуйста в сопроводительном письме или в резюме ссылку на примеры вашего кода. Что вы должны уметь?  Разрабатывать интерфейс не только удобный, но и красивый. Внимание к деталям очень важно. Крайне желателен большой опыт в этой области. Знать Qt Widgets, хотя бы основы. Для работы придётся изучить этот фреймворк очень глубоко. Всегда помнить о быстродействии. GUI не должен тормозить ни при каких обстоятельствах. Решать сложные задачи от начала до конца, от архитектуры классов до оптимизации FPS. Писать чистый, красивый, а главное, читабельный код. Писать и читать по-английски (Intermediate+).  Что надо будет делать?  Программировать GUI на Qt Widgets, QML, а иногда и на OpenGL. Постоянно улучшать существующий код. Нет предела совершенству. Реализовывать новые функции как в десктопном, так и в мобильном клиентах, под Windows, Linux, Mac, Android и iOS.  Что может пригодиться?  С++14/17/20. Мы всегда на острие прогресса. Умение и желание залезать во внутренности Qt (и чинить его по необходимости). Знание сетевых протоколов и основ работы с базами данных. Иногда GUI-разработчикам приходится писать и серверный код. Опыт разработки мобильных приложений на QML или нативными средствами. Опыт работы с различными медиа-форматами, кодеками, контейнерами (mkv, mpeg2-ts, h.264, webm, vp8, mjpeg etc), протоколами доставки медиа (rtsp, http, hls), ffmpeg и умение работать с ними на программном уровне. Не то чтобы это часто было нужно, но понимание того, с чем мы работаем, бывает полезно.   ;;Знание сетевых протоколов и основ работы с базами данных. Иногда GUI-<highlighttext>разработчикам</highlighttext> приходится писать и серверный код. Опыт разработки мобильных...;Программировать GUI на Qt Widgets, QML, а иногда и на OpenGL. Постоянно улучшать существующий код. Нет предела совершенству. ;"C++; GUI; Графический интерфейс пользователя; Qt; Qt Widgets; QML; OpenGL; Десктопные приложения; Мобильные приложения; Windows; Linux; Mac; Android; iOS; С++ 14/17";27;0.0;C#_C++;1;0;0;1;0;0;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
4;43;Программист С++ / Machine Learning;6.0;4.0;Megaputer Intelligence, Компания;2019-12-10T12:42:50+0300;Международная компания Megaputer Intelligence, одна из ведущих компаний в области data/text mining, в связи с расширением, ищет талантливых программистов для работы над дальнейшим развитием своих продуктов. Программы и методы решения компании Megaputer Intelligence используют в производственной сфере 20 компаний из Fortune 100, восемь федеральных правительственных служб и сотни компаний во всем мире. Требования: Обязательные требования:  Отличное знание C++, принципов ООП Хорошая математическая база Знание классических алгоритмов и структур данных Высшее образование  Приветствуется любое из нижеперечисленного:  Знание python Знание основных методов Data Mining и Text Mining Хорошее знание теорий вероятностей, математической статистики и графов Опыт распараллеливания алгоритмов Технический английский  Обязанности:  Разработка алгоритмов и инструментов для анализа и извлечения знаний из текста с использованием современных подходов (Embedding, Neural Network, Graph Analysis) Непосредственное участие на всех этапах проектирования и разработки: сбор информации, корректировка требований, формализация задачи, выбор технического решения, оценка сроков выполнения, реализация вычислительных алгоритмов Поддержание жизненного цикла и оптимизация разработанных решений  Предлагаемые условия:  Возможность профессионального развития и карьерного роста в одной из самых востребованных отраслей Стабильная и интересная работа Достойный фиксированный оклад Полное соблюдение ТК РФ Дружный коллектив единомышленников и демократичная обстановка Гибкий график работы Удобный офис в 5 мин от метро Бауманская или 10 мин от метро Красносельская ;;Отличное знание C++, принципов ООП. Хорошая математическая база. Знание классических алгоритмов и структур данных. Высшее образование. Знание python. ;Разработка алгоритмов и инструментов для анализа и извлечения знаний из текста с использованием современных подходов (Embedding, Neural Network, Graph Analysis). ;C++;43;0.3333333333333333;C#_C++;1;0;1;0;0;0;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;48;Программист C#/ASP.NET;5.0;4.0;ТКсэт;2019-12-11T15:32:15+0300;"В связи с увеличением объема оказываемых услуг компания ТКсэт, CORRECT приглашает к себе в команду ПРОГРАММИСТА C#/ASP.NET. Обязанности:  Разработка новых и развитие существующих проектов компании на платформе .Net (Web, Desktop apps)  Требования:  Владение C#; Понимание ООП и основ программирования на .NET, владение паттернами проектирования; Опыт работы с ASP.NET MVC, AJAX, HTML, CSS, Javascript, JQuery, EntityFramework; Знание MS SQL Server: умение спроектировать структуру БД, писать SQL-запросы и хранимые процедуры; Технический английский; Также приветствуется:  Опыт работы с WCF, Web Services, IIS, WPF, HTML5; Опыт работы от 2 лет.    Условия:  Высокий уровень заработной платы по результатам собеседования; Возможность профессионального развития (обучение за счет Компании) и перспективы карьерного роста; Официальное оформление; Гибкий график работы; Демократический стиль общения в дружном молодом коллективе; Удобный офис у станции метро Тульская.  Заработная плата: обсуждается по результатам собеседования Если Вы готовы к активной работе на результат - мы будем рады работать вместе!";"  Высокий уровень заработной платы по результатам собеседования; Возможность профессионального развития (обучение за счет Компании) и перспективы карьерного роста; Официальное оформление; Гибкий график работы; Демократический стиль общения в дружном молодом коллективе; Удобный офис у станции метро Тульская.  Заработная плата: обсуждается по результатам собеседования Если Вы готовы к активной работе на результат - мы будем рады работать вместе!";Владение C#. Понимание ООП и основ программирования на .NET, владение паттернами проектирования. Опыт работы с ASP.NET MVC, AJAX, HTML, CSS...;Разработка новых и развитие существующих проектов компании на платформе .Net (Web, Desktop apps).;" .NET Framework;C++;C#; C#; ООП";48;0.16666666666666666;C#_C++;1;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;53;Senior developer C#;10.0;4.0;Payment Systems;2019-12-11T13:42:28+0300;Мы - небольшая продуктовая команда, которая пять лет делает большие и прибыльные проекты в сфере платежей и работы с документами. Это мобильные приложения и немного web. У нас опытные разработчики, data-driven подход и гибкий процесс работы. И нам нужен квалифицированный и самостоятельный специалист для развития серверной части проекта. В команде уже есть два сильных разработчика С# уровня senior. Что ты будешь делать:● Заниматься разработкой нового функционала, связанного с поиском и агрегацией данных из различных источников.● Решать вопросы оптимизации производительности на всех уровнях приложения.● Создавать API для мобильных приложений.● Разрабатывать платежный шлюз.● Писать unit-тесты. Технологический стек: .NET Framework 4.6.2/Core 3.0, C#, Azure Cloud Services, Google Kubernetes Engine, ASP.NET Web API, MS SQL (Entity Framework), MongoDb, Redis Что ты знаешь и умеешь, если хочешь к нам: ● Ты знаешь и уверенно кодишь на С# не менее 3 лет.● Имеешь опыт работы с MS SQL, написанием и оптимизацией запросов, построением индексов.● Ты умеешь писать unit-тесты.● У тебя есть опыт работы с CI/CD. У нас: — Официальное трудоустройство. Да, мы выплачиваем белую зарплату на банковскую карту, а не в конверте, и делаем все налоговые отчисления. Да, это не плюшка, это наша обязанность. Пишем, потому что это важно. — Не жадничаем/не торгуемся. Мы готовы идти навстречу кандидату в его пожеланиях по зарплате, если они коррелируют с опытом. — Бизнес без финансовых рисков. Мы давно прибыльные и самоокупаемые, без инвесторов и рисков, связанных с ними. — ДМС. Компенсируем 50% стоимости медицинских услуг. — Заботимся. Купим любую технику и ПО, оплатим книги и курсы. Отправим на конференцию в России или за рубежом. Например, iOS-разработчики третий год ездят на WWDC, андроид-разработчики посещают Appsconf и Mobius. — Если ты не из Москвы, поможем с переездом. Оплатим дорогу и первый месяц аренды квартиры в размере 40 тысяч рублей. — Общаемся по-семейному. В последний четверг месяца проводим четверю. После работы проводим время на мастер-классе по рисованию или игре на джембе, на занятии по скалолазанию или фехтованию - идей масса, а потом идем в бар. Два раза в год устраиваем большой корпоратив. — Удобный офис. Он расположен в современном БЦ Manhattan в 5 минутах ходьбы от Бауманской или в 10 минутах от Красносельской. Разделен на тихую рабочую зону и лаунж с переговорками, кухней, диванами. Есть где спокойно поработать, есть где пошуметь. — Удобный график. Приходим в офис в интервале с 8 до 11 утра. Заболев, можем пару дней поработать из дома.;;Что ты будешь делать: ● Ты знаешь и уверенно кодишь на С# не менее 3 лет. ● Имеешь опыт работы с MS...;Заниматься разработкой нового функционала, связанного с поиском и агрегацией данных из различных источников. ● Решать вопросы оптимизации производительности на всех уровнях...;"С#; .NET Framework";53;0.16666666666666666;C#_C++;1;0;0;1;0;0;1;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
7;55;Младший разработчик C# (Junior C# Developer);3.0;4.0;СКРИН;2019-12-11T14:28:02+0300;"Обязанности:  Участие в разработке автономных программ по обработке структурированной и неструктурированной информации и сохранением в реляционную базу данных. Разработка автономных программ для экспорта информации из базы данных в различные форматы (XML, HTML, XLS и т.п.). Разработка пользовательского интерфейса для работы с базой данных (WPF). Используемые технологии: MS SQL, Visual Studio C#    Требования:  Высшее образование (или возможно студент последнего курса) Знание принципов объектно-ориентированного программирования, многопоточных приложений. Знание языка C#. Навык работы с базами данных: создание/изменение структуры базы данных; написание запросов/хранимых процедур.  Условия:  Белая заработная плата (оклад) обсуждается на собеседовании; Оформление по ТК РФ; Оплачиваемый отпуск и больничный лист; График работы: пн-чт. с 9.00 до 18.00, пт. с 9.00 до 16.45 часов (полный рабочий день); Работа в офисе без разъездов, в дружном коллективе; Место работы: м.Семеновская (шаговая доступность, 7 минут от метро) ";"  Белая заработная плата (оклад) обсуждается на собеседовании; Оформление по ТК РФ; Оплачиваемый отпуск и больничный лист; График работы: пн-чт. с 9.00 до 18.00, пт. с 9.00 до 16.45 часов (полный рабочий день); Работа в офисе без разъездов, в дружном коллективе; Место работы: м.Семеновская (шаговая доступность, 7 минут от метро) ";Высшее образование (или возможно студент последнего курса). Знание принципов объектно-ориентированного программирования, многопоточных приложений. Знание языка C#. Навык работы с...;Участие в разработке автономных программ по обработке структурированной и неструктурированной информации и сохранением в реляционную базу данных. Разработка автономных программ...;"C#; MS SQL; Visual Studio C#";55;0.16666666666666666;C#_C++;1;1;0;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
8;74;Full-stack разработчик .NET/C#;6.0;4.0;Quipu GmbH;2019-12-10T11:30:06+0300;"Региональное представительство компании QUIPU GmbH предлагает опытным, мотивированным, полным энтузиазма специалистам стать частью большой интернациональной команды в качестве full-stack разработчиков мобильного приложения для международного банковского холдинга.   Основные задачи и обязанности:  разработка мобильного банкинга на платформе .Net с использованием клиент-серверной архитектуры и кросс-платформенных инструментов Xamarin, следуя передовой практике и установленным стандартам; выполнение роли высокопроизводительного разработчика и эксперта по .NET в разработке финансовых приложений и программного обеспечения; разработка комплексных технических решений для финансовых учреждений в командной среде, нацеленной на результат, в соответствии с политиками и стандартами компании; анализ и понимание целого решения с помощью интерфейсов и зависимостей между техническими компонентами; поддержка и развитие текущего функционала; рефакторинг и обзор кода; постоянное совершенствование технических и бизнес знаний и навыков.    Требования к кандидату:  высшее или неполное высшее образование в сфере IT; большой опыт разработки на платформе .NET с C#; наличие достаточного опыта работы с WPF (опыт работы с Xamarin приветствуется); опыт автоматизированного тестирования и непрерывной интеграции; умение проектировать и документировать полные решения; представление о паттернах проектирования и условиях их применения; понимание реляционых БД (опыт работы с MS SQL является преимуществом); критическое мышление, внимание к деталям, умение принимать решения, ответственность и самодисциплина; личные качества, такие как стрессоустойчивость, гибкость, умение работать в команде крайне желательны; владение английским языком (желательно на уровне B1-B2); знание банковского бизнеса приветствуется.    Условия работы:  работа в молодой интересной команде; новый комфортабельный офис в нескольких шагах от метро «Раменки»; стандартная пятидневка, с 9 до 18 или с 10 до 19 по выбору сотрудника; отличная командная и международная рабочая среда; множество сложных и интересных задач; стабильная белая заработная плата и гарантированный отпуск; компания обеспечивает полис ДМС сотруднику и членам его семьи; мы на светлой стороне (оформление по ТК РФ), и у нас есть печеньки; компания предоставляет возможности совершенствовать свои профессиональные и языковые навыки; окончательная сумма оклада обсуждается по результатам собеседования. ";;Высшее или неполное высшее образование в сфере IT. Большой опыт разработки на платформе .NET с C#. Наличие достаточного опыта работы...;Выполнение роли высокопроизводительного <highlighttext>разработчика</highlighttext> и эксперта по .NET в разработке финансовых приложений и программного обеспечения. Разработка комплексных технических решений для...;"C#; .NET Framework; WPF; Visual Studio C#; MS Visual Studio; Английский язык";74;0.3333333333333333;C#_C++;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0
9;76;Ведущий разработчик .NET Core/C#;10.0;4.0;Катюша Ай Ти;2019-12-11T16:56:23+0300;Компания занимается разработкой собственных программных продуктов для корпоративных и государственных заказчиков (b2b, b2g). Все наши продукты создаются с чистого листа, поэтому есть большой простор для творчества. Наш молодой творческий коллектив остро нуждается в опытном C#-разработчике под .NET Core, который сможет решать следующие задачи.  Разработка серверного ПО: REST-сервисы на базе .Net Core, многопоточные и высоконагруженные приложения Взаимодействие с front-end (HTML5/CSS3/JS/React) Участие в анализе требований и проектировании программных компонентов. Документирование отдельных аспектов разработанных программных решений.  Наши требования  Отличное владение технологиями: ASP.Net Core, C#, EF. Владение MS SQL Server, проектирование структуры базы данных, знание SQL. Знание форматов представления данных: XML (XSD, XSL), JSON. Понимание WEB: HTML5, CSS3 (LESS/SASS), JavaScript, JS-фреймворков (ReactJS и т. п.) Опыт применения Unit-тестирования в процессе разработки. Понимание устройства вычислительной сети (модель OSI/ISO, протоколы)  Если нет опыта в чём-то из перечисленного, но есть желание освоить - поможем. Наши условия Оформляем по ТК и предлагаем очень гибкий график работы в офисе с возможностью периодической удалённой работы.      ;;Отличное владение технологиями: ASP.Net Core, C#, EF. Владение MS SQL Server, проектирование структуры базы данных, знание SQL. Знание форматов представления...;Разработка серверного ПО: REST-сервисы на базе .Net Core, многопоточные и высоконагруженные приложения. Взаимодействие с front-end (HTML5/CSS...;"C#; .NET Core; ASP.NET; Entity Framework; Высоконагруженные системы; Многопоточность; XML/Xslt; JSON API";76;0.0;C#_C++;1;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
