;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; MySQL; Git;PHP; ООП; PostgreSQL; PHP; JavaScript; HTML; jQuery; Yii; Ajax; Linux;MySQL; PHP7; CSS3; Yii2; Redis; 1С-Битрикс; SQL; Docker;Другие навыки
0;2;PHP-программист;4.0;4.0;Коммерсантъ КАРТОТЕКА;2019-12-12T10:46:07+0300;"Привет! Меня зовут Дмитрий, я руковожу отделом разработки программного обеспечения. Мне нужен девятый программист для ускорения решения задач по нашим публичным сайтам (WWW) и интеграционным системам получения и предоставления данных (ETL, API). В целом, нужно будет:  Создавать новый функционал - модели, контроллеры, базы данных. Для вьюшек у нас есть верстальщики. Развивать и модернизировать существующий функционал (компания в солидном возрасте: того, что нужно переделать - хватает).  Наша работа очень динамична: оценка продолжительности задач варьируется от 1 до 40 часов - скучно не будет. Кроме того, что вы внимательны и решительны, вам понадобятся:  PHP - наш основной инструмент (5.6), вам не обойтись без ООП. Приветствуется опыт с новыми версиями (7.2). Мы придерживаемся использования PHPDoc для комментариев - очень хорошо, если вы к нему приучены; MySQL - у нас сложные запросы. Без понимания JOIN не обойтись, приветствуется понимание EXPLAIN. Кроме того, мы активно применяем расширенные возможности баз данных - триггеры, функции, хранимые процедуры; JavaScript - повсеместно используем jQuery, AJAX; HTML/CSS - достаточное знание, чтобы договариваться с верстальщиками;  И еще:  Мы используем GIT для контроля версий - будет здорово, если вы уже сливали ветки. Приветствуется базовый опыт работы с консолью Linux, способность начальной настройки Apache или Nginx; Если вы работали с Rabbit, Sphinx, YII2, Composer - очень хорошо. Если нет - научим. Английский язык - как и любому разработчику - облегчит вашу работу.  У нас очень хорошо:  Есть как опытные технари, готовые обучать, так и молодые, готовые обучаться; Есть веселые гуманитарии; В меру уютный офис в 10 минутах от метро «Профсоюзная»; 8-часовой рабочий день + обед в 1 час (9:00-18:00, 5/2); За 15 лет, что тут работаю - ни разу не задерживали зарплату: 2 раза в месяц на карту, четко. Все белое - по ПФР и 2НДФЛ все видно; Оформление по ТК, испытательный срок до 3х месяцев; Если вы стремитесь не только работать от звонка до звонка, но и на результат - это не останется не замеченным.  Интересно?  Связывайтесь с нашим HR, Юлией, для назначения встречи.";;Кроме того, что вы внимательны и решительны, вам понадобятся: PHP - наш основной инструмент (5.6), вам не обойтись без ООП. ;В целом, нужно будет: Создавать новый функционал - модели, контроллеры, базы данных. Для вьюшек у нас есть верстальщики.;"MySQL; ООП; PHP; JavaScript; HTML; jQuery; Ajax; MVC";2;0.0;PHP;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;14;PHP-программист/WEB-программист;5.0;4.0;PIZZASUSHIWOK;2019-12-12T09:46:32+0300;"В связи с расширением штата, требуется PHP ПРОГРАММИСТ.   Требования: опыт работы с: - PHP - Postgresql - MySQL  - умение писать SQL запросы. Чем предстоит заниматься: - Разрабатывать online-сервисы для обеспечения бизнес-потребностей компании; - Улучшать работу нашего сайта, сделать его функциональнее и быстрее. Мы предлагаем:- Работу в крупной и стабильной компании;- Современный, уютный офис в центре Москвы (м. Белорусская или м. Савёловская);- Испытательный срок 3 месяца;- График работы 5/2 с 09.30-18.30, пятница с 09.30 до 17.30;- Бесплатное корпоративное питание;- Заработная плата от 100 000.";"- Работу в крупной и стабильной компании;- Современный, уютный офис в центре Москвы (м. Белорусская или м. Савёловская);- Испытательный срок 3 месяца;- График работы 5/2 с 09.30-18.30, пятница с 09.30 до 17.30;- Бесплатное корпоративное питание;- Заработная плата от 100 000.";Опыт работы с: - PHP. - Postgresql. - MySQL. - умение писать SQL запросы.;Разрабатывать online-сервисы для обеспечения бизнес-потребностей компании. - Улучшать работу нашего сайта, сделать его функциональнее и быстрее.;"MySQL; PostgreSQL; PHP; SQL";14;0.0;PHP;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
2;15;Junior PHP Developer (разработчик веб-приложений);2.0;2.0;Интеллектуальные социальные системы;2019-12-11T12:56:37+0300;"Ищем в команду начинающего и амбициозного PHP разработчика, который будет вместе с нами развивать наши проекты. Мы разрабатываем HelpDesk систему для бизнеса, которая уже сейчас используется в более чем в 40 компаниях. На нашей платформе созданы проекты для Роструда, Росатома, МФТИ, ИЦ «Сколково», MICHELIN и пр. У нас сложный продукт, который постоянно бросает вызов бэкенд разработке - если вы готовы погрузиться в разработку сложных решений для бизнеса, приходите к нам! Что мы ждём от вас:  Вы уже знакомы с PHP и применяли его на практике; У вас есть опыт работы с MySQL или другой СУБД; Вы знаете как работает Composer и Git; Вы жаждите новых знаний в области разработки, читаете профессиональную литературу и ресурсы; Вы готовы работать в офисе полный рабочий день в команде разработки.  Будет существенным плюсом, если вы уже знакомы с Yii2 или другим современным фреймворком (Laravel, Symfony, etc). В своей работе мы используем Docker, RabbitMQ, ElasticSearch, Redis и другие инструменты. Если вы уже успели что-то из этого узнать - это ещё один плюс! Мы верим, что вы очень внимательны, поэтому напишите в сопроводительном письме «Нихао!», чтобы мы поняли, что вы внимательно читали вакансию и серьёзно настроены. Что у нас есть:  минимум формальностей и множество возможностей проявить себя; погружение в изучение и использование различных практик и инструментов современной разработки; молодую, дружную и целеустремленную команду профессионалов; работу над интересными и востребованными сервисами; гибкий график работы; современный удобный офис в 10 минутах ходьбы от станции метро «Тульская». ";;У вас есть опыт работы с MySQL или другой СУБД. Вы знаете как работает Composer и Git. Вы жаждите новых...;;"PHP5; Yii; Git; SQL; ООП; Linux; PHP7; PHP; Docker; Yii2; PostgreSQL; Nginx; RabbitMQ; Redis; ElasticSearch; Zabbix; Sphinx; MySQL";15;0.16666666666666666;PHP;1;1;0;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0
3;16;Ведущий программист на PHP;9.0;5.0;Технолайт;2019-12-12T11:38:55+0300;Обязанности: Мы ищем опытного разработчика, который в состоянии изучить систему для поддержки текущих проектов, а также способного разрабатывать новые сложные приложения, которые постоянно необходимо будет дорабатывать для удобной работы конечными пользователями. Требования:  Опыт программирования от 5 лет Опыт разработки высоконагруженных порталов или интернет-магазинов с нуля  Умение программировать с помощью PHP фреймворков  Опыт командной работы с использованием систем контроля версий Опыт настройки работы крупных приложений в web проектах: elasticseach, sphinx или подобных  Условия:  Работа в офисе/удаленно График работы: 5/2 с 10 до 18 часов Парковка и обеды бесплатно От метро «Тёплый стан» корпоративный автобус (утром и вечером доставка от/до метро, в пути 15 мин) Заработная плата по итогам собеседования Оформление и социальные гарантии по ТК РФ Скидки на продукцию компании ;  Работа в офисе/удаленно График работы: 5/2 с 10 до 18 часов Парковка и обеды бесплатно От метро «Тёплый стан» корпоративный автобус (утром и вечером доставка от/до метро, в пути 15 мин) Заработная плата по итогам собеседования Оформление и социальные гарантии по ТК РФ Скидки на продукцию компании ;Опыт программирования от 5 лет. Опыт разработки высоконагруженных порталов или интернет-магазинов с нуля. Умение программировать с помощью PHP фреймворков. ;;" MySQL; Git;PHP; ООП; PostgreSQL";16;0.0;PHP;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;22;Middle/Senior разработчик PHP (Symfony);5.0;5.0;modesco;2019-12-12T09:54:59+0300;"Привет!В связи с расширением команды проекта Unitpay мы ищем сильного PHP-разработчика. Мы работаем над платежным сервисом для владельцев малого и среднего бизнеса. Каждый день мы занимаемся тем, что делаем наш продукт лучше. Чтобы быть частью нашей команды, нужно:   Иметь опыт разработки на PHP5/РНР7 от 2х лет.   Владеть паттернами, понимать основные концепции проектирования.   Владеть Symfony 3 (если есть опыт работы с другими фреймворками и готовность изучить Symfony в короткие сроки - это нам подходит:).   Работать с MySQL/PostgreSQL (сложные запросы, индексы, уровни изоляции транзакций, стратегии и режимы блокирования).   Работать с key-value хранилищами: redis, memcached.   Работать с Git, composer и bash.   Иметь бандлы или composer-пакеты вашей разработки, которые используются в рабочих проектах.   У нас есть сложные интересные задачи, а также:   Конкурентная зарплата и премии за достижение результатов.   Современные рабочие места: мощное железо - 6 ядер, быстрый SSD, 2 монитора, возможность выбрать себе мышь и клавиатуру, а также большие регулируемые по высоте столы и удобные кресла.   Оформление по ТК РФ, оплачиваемые отпуск и больничные.   Гибкий график: начинаем день в удобное для себя время с 08:00 до 11:00 и заканчиваем с 17:00 до 20:00 соответственно; возможны переносы.   Офис в современном бизнес-центре (15 мин. пешком от м. Киевская или бесплатный шаттл-бас).Удалённый формат работы не рассматриваем!   Адекватное руководство.   Кухня с вкусняшками.   Все блага корпоративной бонусной системы: 50% компенсация внешнего обучения за счет компании, бонус для сотрудников, занимающихся спортом, day off по болезни и т.д  ";;Иметь опыт разработки на PHP5/РНР7 от 2х лет. Владеть паттернами, понимать основные концепции проектирования. ;Работать с MySQL/PostgreSQL (сложные запросы, индексы, уровни изоляции транзакций, стратегии и режимы блокирования).;"PHP5; MySQL; Git; PostgreSQL; Symfony; PHP7";22;0.0;PHP;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
5;41;PHP разработчик;6.0;5.0;Премиум Бонус;2019-12-11T13:58:21+0300;Мы IT-компания, продвигающая профессиональные инновационные технологии в сфере маркетинга.   У нас есть работающий b2b продукт. В его состав входит SaaS решение, мобильные приложения, а также различные сервисы и интеграции. Для нас качество стоит на первом месте.   Мы используем: Backend: PHP 7.2, Yii2, PostgreSQL 11, Clickhouse, RabbitMQ, Memcache, Redis. Инфраструктура: Gitlab, Linux, Docker, Kubernetes, Confluence, YouTrack, Yandex Cloud. Знать все необязательно. Предоставим возможность изучить все используемые технологии. У нас монолит, который мы планируем разделить на отдельные продукты.   Вы идеальный кандидат если:  Способны самостоятельно принимать решения, искать нужную информацию, анализировать, и воплощать идеи в коде. Отлично владеете PHP. Умеете проектировать и использовать реляционные базы данных. Тестируете свой код. Умеете работать с Linux системами.    Что вам нужно будет делать:  Поддерживать существующие приложения. Принимать участие в разработке новых приложений.    Будет плюсом:  Понимание протоколов HTTP, HTTPS и архитектуры REST. Наличие проектов, которые вы можете показать. Опыт работы в команде.    Условия:  Работа в растущей компании. Конкурентная зарплата напрямую зависит от ваших способностей и растёт вместе с вами. Полная занятость, работа в офисе, график работы 5/2, плавающее начало рабочего дня. Современный компьютер + два монитора. Чай, кофе, печеньки, фрукты. Работа в офисе класса B+ м. Авиамоторная. Каждому сотруднику мы предоставляем ресурсы для профессионального и личностного роста. Приходите зарабатывать и развиваться вместе с нами! ;  Работа в растущей компании. Конкурентная зарплата напрямую зависит от ваших способностей и растёт вместе с вами. Полная занятость, работа в офисе, график работы 5/2, плавающее начало рабочего дня. Современный компьютер + два монитора. Чай, кофе, печеньки, фрукты. Работа в офисе класса B+ м. Авиамоторная. Каждому сотруднику мы предоставляем ресурсы для профессионального и личностного роста. Приходите зарабатывать и развиваться вместе с нами! ;Способны самостоятельно принимать решения, искать нужную информацию, анализировать, и воплощать идеи в коде. Отлично владеете PHP. Умеете проектировать и использовать...;Поддерживать существующие приложения. Принимать участие в разработке новых приложений.;"PHP; PostgreSQL; Linux";41;0.16666666666666666;PHP;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;45;Ведущий веб-разработчик (PHP, Yii);8.0;5.0;РУВЕНТС;2019-12-12T14:10:31+0300;"Мы занимаемся разработкой и поддержкой веб-ориентированных информационных систем, делаем самые технологичные регистрации и интерактивные сервисы на главных мероприятиях России. Так уж сложилось, что у нас не самый большой, но очень дружный и разноплановый коллектив. И мы хотим сделать его ещё немного больше :) Основные требования к соискателю (г. Москва, работа в офисе):  Хорошее знание PHP 7.1‚ ООП (опыт работы с другими языками также приветствуется); Уверенные знания Yii Framework; Опыт проектирования архитектуры приложений и/или CMS/CMF; БД (MariaDB‚ PostgreSQL): хорошее знание SQL‚ знание тонкостей оптимизации запросов, умение грамотно расставить и использовать индексы; HTML/HTML5‚ CSS‚ AJAX‚ JavaScript, Vue.js, препроцессоры – уверенные знания; Системы контроля версий – git, обязательно; Уметь оценивать сложность и временные затраты, соблюдение дедлайнов.  Задачи:  Развитие и поддержка высоконагруженных систем. Управление командой разработчиков, техническое планирование. Разработка новых веб-приложений. Участие в проектировании архитектуры информационных систем.  Бонусы:  Оплачиваемое питание в собственном кафе. Комфортный офис в центре города на закрытой территории. Возможность принять участие в работе над интереснейшими проектами. Бесплатный доступ ко многим мероприятиям (РИФ‚ RIW‚ Премия Рунета и так далее).  ⚠️ Если у вас есть активный профиль на GitHub с собственными проектами или контрибьютами в другие сервисы, смело отправляйте нам ссылку.";;Хорошее знание PHP 7.1‚ ООП (опыт работы с другими языками также приветствуется). Уверенные знания Yii Framework. Опыт проектирования архитектуры...;Развитие и поддержка высоконагруженных систем. Управление командой <highlighttext>разработчиков</highlighttext>, техническое планирование. Разработка новых веб-приложений. Участие в проектировании архитектуры информационных систем.;"PHP5; CSS3; HTML5; MySQL; PostgreSQL; Git; jQuery; ООП; Yii; MariaDB; Ajax; JavaScript; HighLoad; API; Docker; Linux";45;0.0;PHP;1;0;0;0;1;0;1;0;1;0;0;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0
7;52;PHP-программист (Web разработчик);5.0;4.0;ТАНАИС;2019-12-11T10:01:08+0300;Таможенный оператор ТАНАИС ищет в свою в команду на постоянную работу PHP-программиста на полный рабочий день. (Обратите, пожалуйста, внимание на месторасположение офиса ст.Сетунь (МЦД-1) или м.Молодежная)Суть работы: развитие и поддержка собственных разработок компании - эко-системы таможенных сервисов как для физических лиц, так и для юридических.Требования:- опыт разработки ПО,- хорошее знание PHP 7,- опыт работы с MySQL,- опыт работы с Full Rest Api,- базовые знания технологий вёрстки: HTML, CSS, JS, JQuery, Bootstrap.Будет плюсом:знание фреймворка Yii2,знание ядра Bitrix.Задачи:-участие в разработке крупного проекта по автоматизации таможенных процедур,-разработка нового функционала:-интеграция с внутренними ресурсами компании (Личный кабинет физ.лица, Личный кабинет юр.лица),-интеграция с партнёрскими системами (Rest API, SOAP),-реализация интерфейсов backend-сервиса,-документирование (apiDoc).Условия:-оформление по ТК РФ,-комфортные условия работы, отсутствие жёсткого дресс-кода, молодая, сильная команда.-высоконагруженный технологичный проект: использование методологии Agile и Scrum   После успешного прохождения испытательного срока возможно перейти на удалённый режим работы.;-оформление по ТК РФ,-комфортные условия работы, отсутствие жёсткого дресс-кода, молодая, сильная команда.-высоконагруженный технологичный проект: использование методологии Agile и Scrum   После успешного прохождения испытательного срока возможно перейти на удалённый режим работы.;опыт разработки ПО. - хорошее знание PHP 7. - опыт работы с MySQL. - опыт работы с Full Rest Api. - базовые знания технологий...;Суть работы: развитие и поддержка собственных разработок компании - эко-системы таможенных сервисов как для физических лиц, так и для юридических. -;"jQuery; Yii; JavaScript; MySQL; Git; HTML; API; SOAP; 1С-Битрикс; Разработка ПО";52;0.16666666666666666;PHP;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
8;58;Web-разработчик (php/js/jquery);7.0;4.0;Водоход;2019-12-12T10:40:40+0300;"Компания ВодоходЪ - крупнейший оператор речных круизов в России ищет в команду талантливого web-разработчика для реализации революционных проектов развития компании и создания качественно новой экосистемы веб-сервисов для своих клиентов. Обязанности:  разработка системы бронирования + API интеграция сторонних сервисов в систему бронирования по API. поддержка проекта интеграции веб-систем компании (сайт, CRM, программа лояльности и др.); поддержка имеющихся веб-сервисов для B2C и B2B клиентов  Требования:  PHP5/7 и ООП ; XML и JSON; HTML, Javascript и CSS; jQuery фреймворков будут плюсом. Понимание REST архитектуры программного обеспечения. Опыт работы с одним из популярных PHP фреймворков Yii2, Laravel, Phalcon, Symfony, CodeIgniter, Zend или другие; Опыт работы с MySQL, Git, Unit-тестами; Опыт работы с проектами 1С Битрикс, Битрикс24 Адаптивная вёрстка. Bootstrap, jQuery, jQueryUI; Понимание принципов работы web-серверов: Nginx, Apache; Английский на уровне чтения документации; дополнительным плюсом будет навык работы в online travel.  Условия:  график работы - 5/2, с 10:00 до 19:00; оформление по ТК РФ; офис в шаговой доступности от м. Белорусская; интересные и амбициозные задачи; возможности развития и роста. ";"  график работы - 5/2, с 10:00 до 19:00; оформление по ТК РФ; офис в шаговой доступности от м. Белорусская; интересные и амбициозные задачи; возможности развития и роста. ";PHP5/7 и ООП . XML и JSON. HTML, Javascript и CSS. JQuery фреймворков будут плюсом. Понимание REST архитектуры программного...;Разработка системы бронирования + API. Интеграция сторонних сервисов в систему бронирования по API. Поддержка проекта интеграции веб-систем компании (сайт...;"jQuery; HTML; PHP5; JavaScript; CSS; Yii; XML; REST";58;0.0;PHP;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
9;60;Junior PHP-программист;2.0;1.0;Profi Online Research;2019-12-10T21:23:53+0300;Фриланс не рассматривается!   Обязанности:  Программирование опросов. Доработки сайта разной сложности.    Минимальные требования:  Ответственность. Аккуратность. Привычка проверять свою работу перед релизом.  Условия:  Полный рабочий день (10 - 19). Работа в 3 минутах ходьбы от метро Университет. Оформление по ТК РФ. Комфортный офис, хорошее железо. Печеньки, кофе и приятные люди.    Знание всех нижеперечисленных навыков ОБЯЗАТЕЛЬНО.;  Полный рабочий день (10 - 19). Работа в 3 минутах ходьбы от метро Университет. Оформление по ТК РФ. Комфортный офис, хорошее железо. Печеньки, кофе и приятные люди.    Знание всех нижеперечисленных навыков ОБЯЗАТЕЛЬНО.;Ответственность. Аккуратность. Привычка проверять свою работу перед релизом.;Программирование опросов. Доработки сайта разной сложности.;"PHP; MySQL; jQuery; HTML5; CSS3";60;0.16666666666666666;PHP;1;1;0;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
