;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; CSS; JavaScript; HTML; Git; HTML5; CSS3;JavaScript; jQuery; MySQL; Node.js; ООП; PHP; Ajax; SQL; React; Кроссбраузерная верстка;Git; Bootstrap; Верстка; Redux;Другие навыки
0;5;Back-end разработчик/Программист GoLang;4.0;4.0;Свекор;2019-12-12T11:59:05+0300;В Группу компаний требуется Back-end разработчик, программист GoLang для реализации и дальнейшего сопровождения/усовершенствования платформы по совершению сделок с недвижимостью, E-commerce и другими.  Компания Swecor ищет разработчиков, которые будут:  Заниматься реализацией высоконагруженных сервисов. Проектировать архитектуру и разрабатывать решения по отказоустойчивости и производительности с нуля. Проводить Unit-тестирование. Анализировать и совершенствовать написанный код. Прорабатывать архитектуру сервисов с которыми интегрируется большое количество апи.  Требования:  Опыт промышленной разработки на GoLang от года. Знание, как минимум еще одного языка программирования (Java, Python, Javascript/Node.js, ...) с опытом промышленной разработки от 2-х лет. Хорошее знание сетевых протоколов и транспорта HTTP. Знание принципов/опыт построения высоконагруженных систем и проектирование API для них. Опыт оптимизации и профилирования кода, поиска bottle necks. Опыт работы с git.    Будет плюсом:  Опыт работы с протоколом WebSocket. Опыт работы с реляционными БД (знание SQL). Опыт работы с нереляционными БД (Redis, CouchDB и т.п.). Опыт работы с unix системами.  Мы предлагаем:  Работу в комфортном офисе в 10 минутах от станции метро Тульская с понедельника по пятницу, с 9:00 до 18:00. Всю необходимую программную инфраструктуру и аппаратуру для комфортной и результативной работы. Размер оплаты труда определяется по результатам собеседования.   ;  Работу в комфортном офисе в 10 минутах от станции метро Тульская с понедельника по пятницу, с 9:00 до 18:00. Всю необходимую программную инфраструктуру и аппаратуру для комфортной и результативной работы. Размер оплаты труда определяется по результатам собеседования.   ;Опыт промышленной разработки на GoLang от года. Знание, как минимум еще одного языка программирования (Java, Python, Javascript/Node.js, ...) с опытом...;В Группу компаний требуется Back-end <highlighttext>разработчик</highlighttext>, <highlighttext>программист</highlighttext> GoLang для реализации и дальнейшего сопровождения/усовершенствования платформы по совершению сделок с...;" CSS; JavaScript; HTML; Git; HTML5";5;0.0;Web;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;8;Разработчик Python Backend;7.0;4.0;Web Interactive World;2019-12-12T11:35:11+0300;"Веб Интерактив Ворлд занимается разработкой технологий автоматизированного анализа текстов для выявления трендов и прогнозирования событий на основе алгоритмов машинного обучения, нейронных сетей и высокоскоростной лингвистики. Мы ищем сильного разработчика Python с опытом проектов Big Data и пониманием принципов Machine Learning. Один из текущих проектов компании - Ноосфера, система принятия решений на основе выявления новых знаний о пользователях социальных сетей. На текущий момент проект уже обрабатывает несколько десятков миллионов событий в месяц. На основе этих данных мы строим собственные различные сервисы для решения задач заказчиков - определение предпочтений пользователей соцсетей, выявление трендов, прогнозирование и т.п. Задачи:  Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде Построение архитектуры решения, написание ключевых блоков кода проекта Внедрение моделей и алгоритмов выявления трендов и прогнозирования событий, создание конечных переиспользуемых сервисов Работа с API социальных сетей, парсинг больших объемов данных Создание распределенных и отказоустойчивых сервисов, которые не нужно переписывать  Требования к кандидату:  Отличное знание Python 3.6 (ООП) Опыт работы с веб-фреймворками Django, Celery Владение многопоточным multiprocessing и асинхронными подходами asyncio, aiohttp, concurrent.futures, понимание разницы между ними и областями их применения Опыт применения PostgreSQL (включая триггеры, хранимые процедуры, горизонтальный и вертикальный partitioning) Проектирование REST API, разработка внутренних и внешних API для взаимодействия между продуктами  Желательно:  Опыт развертывания, администрирования и настройки серверов (Ubuntu, Debian, CentOS) – большой плюс Kafka, Spark, docker, nginx, Redis, Mongo, Elasticsearch, RabbitMQ, git или аналогичные решения в каждой категории - если нет, нужно будет быстро изучить Понимание принципов DataScience Pipeline Владеете С/С++ - прекрасно  Преимущества для кандидата при опыте работы с NoSQL базами данных, сторонними сервисами API, написании консольных приложений, демонов. Мы предлагаем:   Возможность принять участие в разработке уникальных востребованных технологий; full time; Конкурентную заработную плату и медицинскую страховку; Уютный офис в самом центре Москвы (5 минут от м.Театральная, м.Кузнецкий мост, 1 минута от м.Лубянка); Атмосферу стартапа с высоким уровнем свободы и доверия.   ";"   Возможность принять участие в разработке уникальных востребованных технологий; full time; Конкурентную заработную плату и медицинскую страховку; Уютный офис в самом центре Москвы (5 минут от м.Театральная, м.Кузнецкий мост, 1 минута от м.Лубянка); Атмосферу стартапа с высоким уровнем свободы и доверия.   ";Отличное знание Python 3.6 (ООП). Опыт работы с веб-фреймворками Django, Celery. Владение многопоточным multiprocessing и асинхронными подходами asyncio...;Сбор данных, разработка архитектуры их хранения, представление их удобном для анализа виде. Построение архитектуры решения, написание ключевых блоков кода проекта. ;"Искусственный интеллект; Big Data; Data science; Python; Lead engineer; REST API; Django; Celery; asyncio; Nginx; Docker; devops; Redis; MongoDB; Elasticsearch; RabbitMQ; NoSQL; SocialNetwork; gevent";8;0.0;Web;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2;9;Младший программист / Web - разработчик;4.0;4.0;Власта-Консалтинг;2019-12-11T13:13:19+0300;"Требования:  Обязательное знание php + laravel; Опыт работы с большими массивами данных; Широкий кругозор в области ИТ, хорошие знания основных понятий; Знание принципов работы веб-сайтов; Знание: html, css, JavaScript, Frameworks, MySQL; Будет являться преимуществом знание socketIO, vue.js;  Обязанности:  Разработка корпоративного ПО; Анализ данных системы мониторинга; Подготовка отчётов;  Условия:  Конкурентная заработная плата; Возможность профессионального роста и развития; Оформление по ТК РФ; Офис в центре г. Москвы; ";"  Конкурентная заработная плата; Возможность профессионального роста и развития; Оформление по ТК РФ; Офис в центре г. Москвы; ";Обязательное знание php + laravel. Опыт работы с большими массивами данных. Широкий кругозор в области ИТ, хорошие знания основных понятий. ;Разработка корпоративного ПО. Анализ данных системы мониторинга. Подготовка отчётов.;" CSS; JavaScript; HTML; Git; HTML5";9;0.16666666666666666;Web;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;12;Middle Backend developer (Node.js);7.0;5.0;Содружество;2019-12-12T11:42:33+0300;"Мы занимаемся разработкой программных продуктов для анализа и скоринга контрагентов. Ищем в команду крутого Middle Backend developer (Node.js) Задачи: • проектирование и создание ПО; • разработка и отладка программного кода; • написание, тестирование и поддержка старой и новой функциональности; • анализ и оптимизация имеющегося кода; • работа со средствами автоматизированного тестирования. Требования: • опыт работы в компаниях от 2-х лет на похожей должности; • умение разбираться в чужом коде; • знание JavaScript + Node.JS на высоком уровне (дополнительным плюсом – знание Bull); • опыт работы с api, разными форматами данных(JSON, XML, CSV); • опыт работы с базами данных (MongoDB, Elasticsearch, PostgreSQL); • знание React, Gitlab, Jira • понимание Redis; • отличная самоорганизация и ответственность; Условия: • Заработная плата обсуждается на собеседовании, от 150 тыс. руб. до 200 тыс. рублей в мес. на руки; • Возможность удаленной работы либо в офисе в Москве; • Офис в БЦ «NEO GEO», 10 минут от метро Калужская; • При работе в офисе с 09:00 до 18:00 или с 10:00 до 19:00, 1 час обеденный перерыв; • Полная занятость 5/2, СБ и ВС – выходные; • Трудоустройство по ТК РФ; • Крутой стек; • Вы видите реальный результат своей работы, он сразу выходит на рынок; • Быстрый карьерный рост.";" • Заработная плата обсуждается на собеседовании, от 150 тыс. руб. до 200 тыс. рублей в мес. на руки; • Возможность удаленной работы либо в офисе в Москве; • Офис в БЦ «NEO GEO», 10 минут от метро Калужская; • При работе в офисе с 09:00 до 18:00 или с 10:00 до 19:00, 1 час обеденный перерыв; • Полная занятость 5/2, СБ и ВС – выходные; • Трудоустройство по ТК РФ; • Крутой стек; • Вы видите реальный результат своей работы, он сразу выходит на рынок; • Быстрый карьерный рост.";Опыт работы в компаниях от 2-х лет на похожей должности. Умение разбираться в чужом коде. Знание JavaScript + Node.JS...;Проектирование и создание ПО. Разработка и отладка программного кода. Написание, тестирование и поддержка старой и новой функциональности. Анализ и оптимизация...;" CSS; JavaScript; HTML; Git; HTML5";12;0.0;Web;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;13;Frontend-разработчик React (Junior / Middle);3.0;3.0;Zonesmart;2019-12-11T16:32:27+0300;"Zonesmart – официальный сервис-партнер eBay в России, экспортная платформа для прогнозируемого роста бизнеса производственных или трейдерских компаний. Размещение на Amazon, eBay и Etsy, в торгово-розничных сетях, организация логистики, получение сертификатов, маркетинг, валютный контроль — все это в едином окне Zonesmart. На текущий момент мы ищем в команду разработчика на ReactJS (Junior / Middle) для создания личного кабинета пользователя, который позволит взаимодействовать с e-commerce платформами. Что предстоит делать:  Создавать SPA на основе бэкенда, реализованного на Django REST Framework; Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов; Писать современный JavaScript код;  От нашего кандидата ожидаем:  Опыт разработки приложений с помощью React; Владение нативным JavaScript; Опыт работы с Git;  Будет плюсом, но не обязательно:  Владение кроссбраузерной вёрсткой с использованием HTML5 и CSS3; Опыт написания Unit тестов; Опыт работы с Docker; Знание принципов работы REST-приложения;  Что мы можем предложить:  Гибкий график работы; Комфортный офис; Молодой коллектив; Минимум бюрократии; Огромное множество интересных задач сегодня и в перспективе; Сокращенный испытательный срок; Официальное трудоустройство; Покупка профильной литературы;  Мы будем очень рады, если вы прикрепите ссылку на github или отправите ссылку на gist с примером React приложений.";;Опыт разработки приложений с помощью React. Владение нативным JavaScript. Опыт работы с Git. Владение кроссбраузерной вёрсткой с использованием HTML5...;Создавать SPA на основе бэкенда, реализованного на Django REST Framework. Участвовать в проектировании и обсуждении архитектурных решений для будущих и...;"JavaScript; Git; Docker; HTML; CSS; React; Frontend";13;0.16666666666666666;Web;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
5;23;Web-программист;2.0;2.0;MSferoom;2019-12-09T23:43:20+0300;Если ты умеешь кодить на viu.js, ждём тебя в нашу дружную команду. Возможность работать удаленно. Обязанности:  Работа над IT проектом  Требования:  Значение технологий front-end на viu.js  Условия: — Оплата по часам; — Оплата по часам;;;"Работа в команде; Веб-программирование";23;0.3333333333333333;Web;1;1;0;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6;28;Web-разработчик;4.0;4.0;Национальная Юридическая Служба;2019-12-12T10:53:06+0300;"Обязанности:  Верстка страниц (одностраничных сайтов); Создание простых баннеров для сайта; Изменение контента сайта с учетом требований клиентов ; Ведение нескольких проектов одновременно; Верстка страниц в Tilda;Задачи:Взаимодействие с департаментом маркетинга, технические сопровождение экспериментов и АБ тестов  Требования:  Уверенное знание HTML, CSS, JQuery Базовые знания Javascript Кроссбраузерная и кроссплатформенная вёрстка; Опыт адаптивной верстки для мобильных устройств; Знание Photoshop на уровне нарезки макета. Опыт работы с API  Будет плюсом:    Опыт работы с git Знание Bootstrap 3 и 4 (использовании сетки). Владение графическими редакторами (Adobe Photoshop, InDesign, Illustrator);    Условия:  Оформление по ТК с первого дня Работа в центре в комфортном офисе Молодой коллектив Гибкий подход к графику работы ";  Оформление по ТК с первого дня Работа в центре в комфортном офисе Молодой коллектив Гибкий подход к графику работы ;Уверенное знание HTML, CSS, JQuery. Базовые знания Javascript. Кроссбраузерная и кроссплатформенная вёрстка. Опыт адаптивной верстки для мобильных устройств. ;Верстка страниц (одностраничных сайтов). Создание простых баннеров для сайта. Изменение контента сайта с учетом требований клиентов . Ведение нескольких проектов одновременно. ;"Adobe Photoshop; Adobe Illustrator; Bootstrap; HTML; CSS; API; tilda; Верстка; jQuery; Кроссбраузерная верстка";28;0.0;Web;1;0;1;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0
7;35;Программист на laravel;4.0;4.0;Иванов Дмитрий;2019-12-11T23:53:33+0300;"Требуется программист для поддержки и доработки проектов на постоянную или проектную занятость на Laravel (front-, back-end). Обязателен опыт создания сайтов с нуля на laravel с различным функционалом. Просьба указать в сопроводительном письме Ваши навыки, какой вид трудоустройства Вам интересен (постоянная/проектная; полная/частичная занятость), Ваши начальные ожидания по окладу в месяц.";;Обязателен опыт создания сайтов с нуля на laravel с различным функционалом.;;" CSS; JavaScript; HTML; Git; HTML5";35;0.0;Web;1;0;0;1;0;0;0;1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;38;GUI программист/Frontend-разработчик;4.0;4.0;Gaijin Entertainment;2019-12-12T14:34:43+0300;"Gaijin Entertainment - это более 200 профессионалов игровой индустрии, занимающихся разработкой проектов на различных платформах: PC/PS4/ Xbox One/Nintendo Switch/Mac/Linux/iOS и Android. В портфолио команды более 30 игр, завоевавших множество наград. В своих проектах компания использует самые современные решения и технологии. Мы ищем в нашу команду GUI программист. У нашего кандидата есть: - Опыт работы от 2х лет (желательно в геймдеве);- Знание JavaSript;- Опыт работы с React или Vue или Angular или другими реактивными фреймворками;- Базовые знания об UX и UI дизайне;- Знание MobX;- Желание работать в геймдеве и делать игры. Существенным плюсом будет: - Знание Lua, Typescript или Python;- Представление о функциональном программировании. Наше предложение финалисту: - Задачи — нетривиальные с использованием инновационных, перспективных технологий, что обеспечивает нашим решениям привлекательность и актуальность в быстро изменяющихся условиях IT-рынка;- Команда, которая выпустила launch title под консоль нового поколения — неординарные личности и специалисты своего дела;- Условия — конкурентная заработная плата, гибкий график работы, комфортный офис рядом с метро Свиблово (1 минута от метро — БЦ «Снежная»), возможность подземной парковки;- Питание — готовые бесплатные обеды в офисе; две кухни, где всегда есть чай/кофе, сладости и печеньки;- Здоровье — свежевыжатые соки, фрукты, массажные кресла, душевые в офисе, ДМС.";;Опыт работы от 2х лет (желательно в геймдеве). - Знание JavaSript. - Опыт работы с React или Vue или Angular или...;Представление о функциональном программировании.;"JavaSript; MobX";38;0.0;Web;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
9;39;Frontend-разработчик;6.0;4.0;Альтуэра Лабс;2019-12-11T12:34:44+0300;"Altuera - системный интегратор решений дистанционного обслуживания. Работает на IT-рынке РФ и СНГ с 2012 года. Altuera строит контактные центры нового поколения, внедряет и разрабатывает enterprise-решения для бизнеса. Команда Altuera - это сертифицированные эксперты и профессионалы, увлеченные современными технологиями и реализацией сложных масштабных проектов. Обязанности:  Разработка web интерфейса на различных проектах для бизнес пользователей (например конструктор ботов); Доработка существующих интерфейсов компании; Покрытие тестами; Написание начальной технической документации  Требования:  Уверенное знание JavaScript, CSS,HTML; Знание React/Redux или Vue.js, ES6, babel, npm; Технический английский язык; Высшее образование; Bootstrap версии 3 и выше, TypeScript желательно.  Условия:   Оформление согласно ТК РФ;   Достойный уровень заработной платы (обсуждается по результатам собеседования);   ДМС;   Гибкий график, возможность удаленной работы;   Профессиональное развитие и карьерный рост, гибкость в выборе технологий и выстраивании процессов;   Уютный офис, дружный коллектив,.  ";"   Оформление согласно ТК РФ;   Достойный уровень заработной платы (обсуждается по результатам собеседования);   ДМС;   Гибкий график, возможность удаленной работы;   Профессиональное развитие и карьерный рост, гибкость в выборе технологий и выстраивании процессов;   Уютный офис, дружный коллектив,.  ";Уверенное знание JavaScript, CSS,HTML. Знание React/Redux или Vue.js, ES6, babel, npm. Технический английский язык. Высшее образование. ;Разработка web интерфейса на различных проектах для бизнес пользователей (например конструктор ботов). Доработка существующих интерфейсов компании. Покрытие тестами. ;"JavaScript; Bootstrap; React; Redux; HTML; CSS";39;0.16666666666666666;Web;1;1;0;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
