;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;group;city_Москва;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; Git; ООП; C#; C/C++; C++; PostgreSQL;MS SQL; JavaScript; SQL; Transact-SQL; Linux; Разработка ПО; HTML; MS SQL Server;C#; Python; Assembler; Xilinx;Python;Схемотехника электронного оборудования;Другие навыки
0;0;Программист;7.0;5.0;Филиал «Юго-Восточный» ООО «Антей»;2019-12-11T10:16:30+0300;"  Знание:  Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий клиент» Стандарты программирования в среде 1С. Архитектура программных продуктов: 1С: ЕRP, 1С: Бухгалтерия, 1С: Зарплата и управление персоналом. Принципы бухгалтерского и налогового учетов, основы учета заработной платы. Конвертация данных 2.0 и 3.0  Обязанности:  Обработка запросов пользователей на изменения и устранение инцидентов в работе информационных систем на базе 1С. Реализация изменений в информационных системах 1С, проектирование системы, разработка функциональной модели. Сопровождение и обновление баз данных Настройка интеграции между существующими базами данных. Обучение и консультирование пользователей 1С. Подготовка технической документации к информационным системам 1С. Участие в рабочих совещаниях и рабочих группах компании по системам автоматизации 1С и связанных с ними бизнес-процессов.  Приветствуется:  Сертификаты специалиста по платформе, ЕRP, УТ.  Требования:  Эффективно и быстро разрабатывать новые модули в системе 1С, в соответствии с рекомендованными стандартами. Уточнять и структурировать запросы пользователей. Тестировать разработанные механизмы (как свои, так и чужие). Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы программистом на проектах внедрения на платформе 1С либо специалистом поддержки в крупной компании Высшее образование Наличие сертификата по профессионалу ЕRP  Условия:  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";"  График работы 5/2 с 09:00 до 18:00; Для кандидатов с потенциалом внутреннее обучение для дальнейшего корпоративного роста Комфортное рабочее место. Официальное трудоустройство, соблюдение ТК РФ. Транспорт от м. Печатники, бесплатная парковка для личного а\т Комплексные обеды за счет предприятия. Оплата достойная, договорная по итогам собеседования.     ";Писать базовую техническую документацию по разработкам (инструкции, описания изменений). Опыт работы <highlighttext>программистом</highlighttext> на проектах внедрения на платформе 1С либо...;Знание: Платформа 1С 8.3, в т.ч. СКД и технологии работы с управляемыми формами и разработки под «тонкий...;" Git; ООП; C#; C/C++; C++";0;0.16666666666666666;Другие разработчики;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;6;Программист-разработчик;5.0;3.0;ТД Завод СИТОМО,ЗАО;2019-12-12T10:13:19+0300;Проект: ИС Торговля и склад, CRM, ERP, Обязанности: поддержка и доработка существующего ПО компании, по мере вхождения в проект - участие в разработке новых версий, решений. ​​​Требования:   MS SQL, Delphi, Git. работа с данными, алгоритмы, работа с памятью, многопоточность, понимание принципа исполнения программ на уровне железа.  Пригодится: DevExpress VCL, Devart UniDAC, FastReport. Будет преимуществом: PostgreSQL, Python, HTML\CSS\JS, Linux. Условия:  Оформление, трудовой договор Небольшой коллектив, отдельное помещение для группы разработчиков, канбан. График работы: 5/2, 8:50-17:30, в пятницу: 8.50-16.00 Офис в шаговой доступности от м. Шоссе Энтузиастов ;  Оформление, трудовой договор Небольшой коллектив, отдельное помещение для группы разработчиков, канбан. График работы: 5/2, 8:50-17:30, в пятницу: 8.50-16.00 Офис в шаговой доступности от м. Шоссе Энтузиастов ;MS SQL, Delphi, Git. Работа с данными, алгоритмы, работа с памятью, многопоточность, понимание принципа исполнения программ на уровне железа. ;Проект: ИС Торговля и склад, CRM, ERP. Обязанности: поддержка и доработка существующего ПО компании, по мере вхождения в проект - участие...;"MS SQL; Delphi; Python; Git; ООП; JavaScript";6;0.0;Другие разработчики;1;0;0;1;0;0;1;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
2;10;Начинающий программист (высокопроизводительные вычисления);5.0;3.0;ФГУП ГосНИИАС;2019-12-11T13:17:54+0300;О вакансии: Наше подразделение реализует крупные проекты в области технического зрения и машинного обучения. В рамках этих проектов предстоит решать задачи реализации различных алгоритмических процедур на различной вычислительной технике в условиях высоких требований к скорости работы программы. Ищем начинающих специалистов, готовых осваивать данное направление. Обязательные требования:  Владение языком программирования C, C++ или Fortran. Получаемое или оконченное высшее образование в области математики или программирования. Понимание основ математического анализа и линейной алгебры. Желание освоить высокопроизводительное программирование.  Желательно знакомство (по учебе или опыту работы) с одним из 4 направлений:  Программирование графических процессоров Nvidia или AMD (CUDA, OpenCL). Программирование на ассемблере универсальных процессоров (х86-64, ARM). Параллельное программирование (OpenMP, MPI, POSIX). Программирование на ассемблере сигнальных процессоров любых производителей (Texas Instruments, НТЦ Модуль, НПЦ Элвис).  Приветствуется, если кандидат:  Обладает опытом высокопроизводительной оптимизации кода. Имеет навыки в прикладной математике. Обладает опытом программирования на ПЛИС Xilinx (Verilog, SystemVerilog, VHDL, Vivado HLS).  Условия:  Полностью белая зарплата, работа по трудовой книжке. Уровень зарплаты - по договоренности, в зависимости от опыта и навыков кандидата. Работа от двух дней в неделю.   ;  Полностью белая зарплата, работа по трудовой книжке. Уровень зарплаты - по договоренности, в зависимости от опыта и навыков кандидата. Работа от двух дней в неделю.   ;Владение языком программирования C, C++ или Fortran. Получаемое или оконченное высшее образование в области математики или программирования. Понимание основ математического...;;"Программирование; C/C++; Ассемблер; Assembler; x86-64; ARM; SSE; Nvidia; CUDA; Оптимизация кода; MPI; OpenMP; Параллельное программирование; OpenCL; AMD; Математика; DSP; Обработка сигналов; Xilinx; Verilog HDL; System Verilog; Vivado HLS";10;0.16666666666666666;Другие разработчики;1;1;0;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
3;11;Разработчик-аналитик BI (SSRS);8.0;3.0;ФГАУ Российский фонд технологического развития;2019-12-12T10:21:33+0300;Обязанности:  Развитие системы аналитической отчетности на основе хранилища данных на стеке продуктов Microsoft (MS SQL, SSRS, SSIS) Контроль корректности данных отчетности, выявление причины сбоев и их устранение Разработка хранимых процедур, функций и запросов T-SQL Анализ производительности запросов и их оптимизация (план выполнения, индексирование) Рефакторинг скриптов Разработка/сопровождение ETL пакетов (SSIS) Взаимодействие с командой дизайнеров и аналитиков  Требования:  Высшее образование (математическое, техническое, экономическое) Опыт работы с SQL от 2 лет (T-SQL, подзапросы, оконные функции, курсоры, динамические запросы) Опыт внедрения/сопровождения SQL Server Reporting Services (или аналог) от 1 года  Будет плюсом:  Умение разбираться в плане запроса (анализ плана, индексов и т.д.) Опыт разработки ETL пакетов SSIS Опыт проектирования и построения хранилищ данных  Условия:  Полное соблюдение требований законодательства Испытательный срок: 3 месяца По окончании исп. срока: ДМС+ 50% компенсация фитнес-клуба ;  Полное соблюдение требований законодательства Испытательный срок: 3 месяца По окончании исп. срока: ДМС+ 50% компенсация фитнес-клуба ;Высшее образование (математическое, техническое, экономическое). Опыт работы с SQL от 2 лет (T-SQL, подзапросы, оконные функции, курсоры, динамические запросы). ;Развитие системы аналитической отчетности на основе хранилища данных на стеке продуктов Microsoft (MS SQL, SSRS, SSIS). Контроль корректности данных отчетности...;"MS Excel; SQL; Transact-SQL; ETL; SSRS; SSIS";11;0.0;Другие разработчики;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;18;Младший разработчик;4.0;3.0;ИТЕРАНЕТ;2019-12-12T14:36:25+0300;Программист-разработчик (возможно, выпускник профильного ВУЗа с минимальным опытом работы) Обязанности:  Сопровождение внедренных решений. Разработка дополнительных модулей. Участие в проектах по внедрению новых решений с участием внешних Подрядчиков. Тестирование решений Документирование. Взаимодействие с пользователями.  Требования:  Готовы принять на работу начинающего специалиста с минимальным опытом. Законченное высшее образование не ниже уровня специалист (техническое, профильное). Возможно, выпускник магистратуры текущего учебного года при возможности работать полный рабочий день. Высокий средний балл по диплому. Можем рассмотреть студента последнего курса магистратуры с условием возможности совмещения работы и учебы. Знание основ программирования. Опыт разработки на любом из языков в рамках учебных курсов (курсовые, диплом) и хотя бы минимальный в профессиональной деятельности. Отсутствие ограничений для оформления допуска к сведениям, составляющим государственную тайну (3, 2 форма). Или наличие допуска соответствующих форм. Креативность, готовность обучаться, ответственность, дисциплинированность.  Условия:  Работа на территории партнера - государственной организации. Территориально - ст. метро Юго-Западная, далее - 15 минут автобусом. Возможность обучения за счет работодателя. Отсрочка от призыва на срочную военную службу для военнообязанных Интересные проекты. График работы: пятидневка. Официальное трудоустройство по ТК Белая заработная плата. Социальный пакет.  Уважаемые соискатели! Если в вашем резюме нет информации о знаниях в области программирования и о среднем балле по диплому, просьба включать эту информацию в сопроводительное письмо.;  Работа на территории партнера - государственной организации. Территориально - ст. метро Юго-Западная, далее - 15 минут автобусом. Возможность обучения за счет работодателя. Отсрочка от призыва на срочную военную службу для военнообязанных Интересные проекты. График работы: пятидневка. Официальное трудоустройство по ТК Белая заработная плата. Социальный пакет.  Уважаемые соискатели! Если в вашем резюме нет информации о знаниях в области программирования и о среднем балле по диплому, просьба включать эту информацию в сопроводительное письмо.;"Готовы принять на работу начинающего специалиста с минимальным опытом. Законченное высшее образование не ниже уровня &quot;специалист&quot; (техническое, профильное). ";Сопровождение внедренных решений. Разработка дополнительных модулей. Участие в проектах по внедрению новых решений с участием внешних Подрядчиков. Тестирование решений. Документирование. ;" Git; ООП; C#; C/C++; C++";18;0.0;Другие разработчики;1;1;0;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;19;Программист;4.0;3.0;НКО Единая расчетная палата;2019-12-11T15:00:20+0300;Обязанности:   Разработка и сопровождение ПО в сфере приема и обработки платежей, сервисов платежного процессинга.  Разработка, внедрение и оптимизация процедур взаимодействия внутренних функций и внешних партнеров Разработка интеграционных решений в рамках информационной инфраструктуры со смежными IT-системами (АБС, Платежный процессинг) Поддержка разработанного функционала  Требования:   Знание языков C++, Python, SQL   Базовые навыки работы с Linux, опыт администрирования   Опыт программирования от 3-лет   Знание классических алгоритмов и структур данных   Знание основ криптографии, работы с цифровыми сертификатами   Условия:  Полный рабочий день  График работы: 5/2 с 9:00 до 18:00   Оформление в соответствии с ТК РФ   Итоговый уровень дохода готовы обсуждать на интервью  ;  Полный рабочий день  График работы: 5/2 с 9:00 до 18:00   Оформление в соответствии с ТК РФ   Итоговый уровень дохода готовы обсуждать на интервью  ;Знание языков C++, Python, SQL. Базовые навыки работы с Linux, опыт администрирования. Опыт программирования от 3-лет. Знание классических алгоритмов...;Разработка и сопровождение ПО в сфере приема и обработки платежей, сервисов платежного процессинга. Разработка, внедрение и оптимизация процедур взаимодействия внутренних...;"Python; C++; Linux; SQL";19;0.16666666666666666;Другие разработчики;1;0;0;1;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
6;34;Инженер-программист (ПЛИС);4.0;3.0;БАНС;2019-12-12T09:17:04+0300;"Обязанности:  Разработка и сопровождение ПО для ПЛИС для устройств цифровой обработки, интерфейсных модулей; Подбор элементной базы (ПЛИС, контроллер) под конкретные задачи; Отладка и сопровождение радиоэлектронного изделия; Участие в разработке, описании, сопровождении алгоритмов  Требования:   Знание цифровой элементной базы.   Опыт работы с ПЛИС фирмы Xilinx (Vivado).   Базовые знания цифровой обработки сигналов (формирования /прием сигналов с ЦАП, АЦП).   Взаимодействие с устройствами по стандартным интерфейсам UART, SPI, I2C.   Приветствуется:     Знание интерфейсов ARINC 429, Ethernet, AFDX, MIL-1553;   Знание схемотехники;   Опыт работы и понимание принципов ВОРЛ.   Условия:  Офис метро Новослободская, Долгоруковская улица; Оформление по ТК РФ; Пятидневная рабочая неделя с 09:00-18:00, пятница до 16:45; Дружный коллектив с тёплой атмосферой; Возможность реализовать свои профессиональные и личные качества  Дополнительные условия: Отклик на данную вакансию соискателем посредством сайта http://hh.ru является действием самого соискателя по предоставлению своего согласия в соответствии с Федеральным законом от 27.07.2006 г. № 152-ФЗ «О персональных данных» на осуществление со всеми указанными в том резюме соискателя на сайте http://hh.ru персональными данными (а также с самим резюме), которое включается в содержание отклика на данную вакансию, следующих действий: систематизацию, хранение, уточнение (обновление или изменение), использование, обезличивание, блокирование и уничтожение, для целей возможного трудоустройства соискателя у оператора персональных данных: АО «БАНС», ИНН 7715874440, 127015, г. Москва, ул. Большая Новодмитровская, д. 12, стр. 15, которому настоящее согласие предоставляется без ограничения срока обработки этих персональных данных, но до момента отзыва соискателем согласия на обработку этих персональных данных. Настоящее согласие на обработку персональных данных может быть отозвано соискателем путем направления соответствующего заявления по адресу оператора: 127015, г. Москва, ул. Большая Новодмитровская, д. 12, стр. 15.";"  Офис метро Новослободская, Долгоруковская улица; Оформление по ТК РФ; Пятидневная рабочая неделя с 09:00-18:00, пятница до 16:45; Дружный коллектив с тёплой атмосферой; Возможность реализовать свои профессиональные и личные качества  Дополнительные условия: Отклик на данную вакансию соискателем посредством сайта http://hh.ru является действием самого соискателя по предоставлению своего согласия в соответствии с Федеральным законом от 27.07.2006 г. № 152-ФЗ «О персональных данных» на осуществление со всеми указанными в том резюме соискателя на сайте http://hh.ru персональными данными (а также с самим резюме), которое включается в содержание отклика на данную вакансию, следующих действий: систематизацию, хранение, уточнение (обновление или изменение), использование, обезличивание, блокирование и уничтожение, для целей возможного трудоустройства соискателя у оператора персональных данных: АО «БАНС», ИНН 7715874440, 127015, г. Москва, ул. Большая Новодмитровская, д. 12, стр. 15, которому настоящее согласие предоставляется без ограничения срока обработки этих персональных данных, но до момента отзыва соискателем согласия на обработку этих персональных данных. Настоящее согласие на обработку персональных данных может быть отозвано соискателем путем направления соответствующего заявления по адресу оператора: 127015, г. Москва, ул. Большая Новодмитровская, д. 12, стр. 15.";Знание цифровой элементной базы. Опыт работы с ПЛИС фирмы Xilinx (Vivado). Базовые знания цифровой обработки сигналов (формирования /прием сигналов с...;Разработка и сопровождение ПО для ПЛИС для устройств цифровой обработки, интерфейсных модулей. Подбор элементной базы (ПЛИС, контроллер) под конкретные задачи. ;"Схемотехника электронного оборудования; Разработка ПО; ПЛИС; Xilinx";34;0.0;Другие разработчики;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0
7;37;Программист;3.0;3.0;СТОУН-XXI;2019-12-11T13:07:48+0300;В связи с развитием корпоративной информационной системы и расширением отдела прикладных разработок мы ищем в IT команду программиста с возможностью приобретения необходимых навыков в процессе работы и последующего включения в состав рабочей группы на сложных проектах. Основные задачи:  Модификация и поддержка модулей программ на VB 6.0 и C#, работающих с MS SQL. Участие в тестировании и запуске новых фич, проектов и приложений. Обработка и анализ баг-репортов.  Необходимые качества:  Хорошие коммуникативные навыки. Здоровый перфекционизм. Внимание к деталям, ответственность, аналитический склад ума, умение справляться с рутиной.  Будет отлично, если вы:  Имеете опыт самостоятельной разработки на VB 6.0, C# или схожих языках. Умеете самостоятельно писать рабочие SQL запросы. Умеете разбираться в чужом коде. Владеете английским языком на уровне чтения технической документации.  Мы предлагаем:  Оформление по ТК, социальные гарантии в полном объеме. Оклад 60 000 рублей после вычета подоходного налога (на руки). Комфортная и доброжелательная атмосфера в команде. Хорошие возможности профессионального роста, сложные задачи. Различные корпоративные активности и спортивные мероприятия. График работы 5/2, гибкое время начала рабочего дня. Офис в 2 минутах пешком от ст.м. «Нагатинская». ;  Оформление по ТК, социальные гарантии в полном объеме. Оклад 60 000 рублей после вычета подоходного налога (на руки). Комфортная и доброжелательная атмосфера в команде. Хорошие возможности профессионального роста, сложные задачи. Различные корпоративные активности и спортивные мероприятия. График работы 5/2, гибкое время начала рабочего дня. Офис в 2 минутах пешком от ст.м. «Нагатинская». ;Хорошие коммуникативные навыки. Здоровый перфекционизм. Внимание к деталям, ответственность, аналитический склад ума, умение справляться с рутиной. Имеете опыт самостоятельной разработки...;Модификация и поддержка модулей программ на VB 6.0 и C#, работающих с MS SQL. Участие в тестировании и запуске...;"MS SQL; Git; SQL; VB 6.0; C#; C++; ASP.NET; PostgreSQL; VBA; Windows Forms";37;0.16666666666666666;Другие разработчики;1;1;0;0;0;0;1;0;1;0;0;0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8;42;Инженер-программист микроконтроллеров;5.0;3.0;ЭМИКОН;2019-12-11T16:41:02+0300;"Обязанности:  программирование логических контроллеров; консультирование заказчиков по разработанному ПО; наладка систем автоматизации на объектах заказчиков( выезды в командировки).  Требования:  высшее техническое образование; знание языков программирования; опыт программирования логических контроллеров; умение работать в команде и желание развиваться.  Условия:  работа в стабильной компании; достойный уровень заработной платы (обсуждается с успешными кандидатами); полное соблюдение ТК РФ; график работы 5/2 (гибкое начало рабочего дня); возможность карьерного роста; корпоративные мероприятия, ДМС. ";"  работа в стабильной компании; достойный уровень заработной платы (обсуждается с успешными кандидатами); полное соблюдение ТК РФ; график работы 5/2 (гибкое начало рабочего дня); возможность карьерного роста; корпоративные мероприятия, ДМС. ";Высшее техническое образование. Знание языков программирования. Опыт программирования логических контроллеров. Умение работать в команде и желание развиваться.;Программирование логических контроллеров. Консультирование заказчиков по разработанному ПО. Наладка систем автоматизации на объектах заказчиков( выезды в командировки).;"Работа в команде; Пользователь ПК; Автоматизация; ПЛК; Пуско-наладочные работы; Программирование контроллеров; SCADA; Разработка ПО";42;0.16666666666666666;Другие разработчики;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
9;47;Инженер-программист (джуниор / мидл);5.0;2.0;Daturum;2019-12-11T01:00:01+0300;Обязанности:   Плановая поддержка и доработка готовых решений и компонентов в production системах   Анализ и уточнение задач вместе с постановщиком задачи (т.е. надо не бездумно выполнять задачи, а понимать, кому и зачем они понадобились)   Строгое соблюдение своих оценок сроков выполнения задач   Требования:   Внимательность и терпеливость   Опыт работы Ruby on Rails   Опыт работы с PostgreSQL   Git   Знание CSS, CoffeeScript, jQuery, Vue.js   Приветствуется:   умение писать скрипты (напр., bash, ruby)   опыт работы с Vagrant, Capistrano   профиль на GitHub с примерами кода   Условия:   Работа для людей, любящих рутину и спокойный темп. Подойдет для тех, кто недавно перешел в IT из других отраслей   Дружная команда, адекватное руководство, ориентация на результат, минимум бюрократии   Удаленная работа (свободный график, в любом городе, в часовом поясе +-4ч от Мск)   Занятость и вовлечённость полная: возможность коммерческих проектов на стороне и/или совмещение не рассматриваются   Общая информация в описании работодателя   Белая заработная плата   Если вас заинтересовала эта вакансия, пожалуйста, сразу откликнитесь на нее, заполнив сопутствующий тест.;   Работа для людей, любящих рутину и спокойный темп. Подойдет для тех, кто недавно перешел в IT из других отраслей   Дружная команда, адекватное руководство, ориентация на результат, минимум бюрократии   Удаленная работа (свободный график, в любом городе, в часовом поясе +-4ч от Мск)   Занятость и вовлечённость полная: возможность коммерческих проектов на стороне и/или совмещение не рассматриваются   Общая информация в описании работодателя   Белая заработная плата   Если вас заинтересовала эта вакансия, пожалуйста, сразу откликнитесь на нее, заполнив сопутствующий тест.;Внимательность и терпеливость. Опыт работы Ruby on Rails. Опыт работы с PostgreSQL. Git. Знание CSS, CoffeeScript, jQuery, Vue.js. ;Плановая поддержка и доработка готовых решений и компонентов в production системах. Анализ и уточнение задач вместе с постановщиком задачи (т...;"Веб-программирование; Ruby On Rails; CoffeeScript; PostgreSQL; MVC; Разработка ПО; HTML; ООП; Git";47;0.16666666666666666;Другие разработчики;1;0;1;0;0;0;0;1;1;0;0;0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
