;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;JavaScript; CSS; JavaScript; Git; HTML; React; CSS3; HTML5; AngularJS; Node.js; ООП; Redux; jQuery; REST; TypeScript; Ajax; Angular; Bootstrap; Sass;HTML5;Другие навыки
0;1;Junior Frontend-разработчик;2.0;3.0;Sendsay.ru;2019-12-11T13:50:32+0300;"Sendsay.ru ищет младшего frontend-разработчика, знающего ES6, дружащего с React, Redux, Webpack, способного расти и развиваться в команде. У вас будет возможность набраться опыта в одной из крупнейших платформ автоматизации маркетинга, которой пользуются топ-20 российских банков, крупные интернет-магазины и b2b-компании. Мы ищем разработчика «на вырост», поэтому нужно будет показать, что вы умеете учиться и расти. За год вы прокачаетесь до сильного фронтендера.   Что нужно будет делать: В первую очередь вам придётся научиться тому, как:  Проектировать архитектуру тестов. Писать документацию, которую смогут понять коллеги. Исследовать и оценивать новые технологии для применения в проекте.  Если вы уже умеете, то мы начнём с наладки процесса e2e-тестирования приложения:  Настроить тестовое окружение для разработчиков и CI. Написать первые тест-кейсы и рассказать как это работает коллегам на примерах. Наладить вместе с командой процесс Shift-Left Testing — это когда тесты пишутся параллельно с разрабатываемой функциональностью (https://en.wikipedia.org/wiki/Shift-left_testing). Задокументировать лучшие практики написания тестов для коллег. Следить за актуальностью и простотой системы тестов — мы не хотим чтобы тесты превратились во что-то запутанное и громоздкое.    Несколько фактов о разработчике которого мы ищем: Требования:  Уметь вести диалог с командой и быть её частью, а не баррикадироваться за экраном монитора. Быть ответственным, аккуратным во всём человеком, с хорошим вкусом и блеском в глазах. Понимать, что хороший фронтендер это не только о коде, но прежде всего о пользователях. Понимать, что заниматься надо не только веселыми, но и рутинными задачами. Уметь оценивать объем и сроки работ с адекватными погрешностями. Уметь быстро учиться и разбираться с задачами по технической документации Читать по-английски.    Что мы предлагаем:  дружный коллектив единомышленников, ценящий индивидуальность и желание развиваться; индексируемая зарплата (белая, конечно) по результатам собеседования и премии по результатам работы; быстрый профессиональный рост; ДМС после окончания испытательного срока; офис в 10 минутах ходьбы от метро Петроградская, рядом с ИТМО и ЛЭТИ; пятидневка без крайностей, c последующим гибким графиком когда сработаемся;    ☝️ Сделайте тестовое задание:  Посмотрите продукт, над которым будете работать https://app.sendsay.ru/ Ознакомьтесь с доменом деятельности нашей компании — на собеседовании мы спросим, чем занимается компания в целом Так как мы начнем с e2e-тестирования, то предлагаем выполнить тестовое задание: http://bit.ly/JR-FRONTEND В сопроводительном письме, напишите что вы делали во фронтенде, к чему пришли, и как планируйте двигаться дальше   Без тестового, смотреть и реагировать не будем   P. S. Дорогие эйчары, мы не планируем сотрудничать с вами по этой вакансии.";Уметь вести диалог с командой и быть её частью, а не баррикадироваться за экраном монитора. Быть ответственным, аккуратным во всём...;Проектировать архитектуру тестов. Писать документацию, которую смогут понять коллеги. Исследовать и оценивать новые технологии для применения в проекте.;"JavaScript; React; Redux; Cypress";;1;0.034482758620689655;Frontend;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;10;Frontend разработчик;3.0;3.0;Cинтез-АТ;2019-12-11T13:10:47+0300;"Компания была образована в 2013 году. Основным направлением деятельности компании является разработка инновационных цифровых решений в области автоматизации бизнес-процессов. Обязанности:  Доработка существующего функционала Переноса старого функционала на современные технологии  Требования:  Знание Javascript(ES6/ES7), HTML, CSS (CSS/SCSS); Опыт в работе с ReactJS и его экосистемой (Babel, Redux, Router etc.); Умение настраивать окружение и сборку проектов (Webpack, Gulp, NPM Scripts);  Будет плюсом:  Знание технологий для бекенд-разработки (для лучшего понимания нюансов взаимодействия с бекендом); Опыт написания тестов  Мы предлагаем:  Интересные задачи Достойный уровень заработной платы Оформление в соответствии ТК РФ Перспективы профессионального и карьерного роста Уютный и комфортный офис у метро Василеостровская ";Знание Javascript(ES6/ES7), HTML, CSS (CSS/SCSS). Опыт в работе с ReactJS и его экосистемой (Babel, Redux...;Доработка существующего функционала. Переноса старого функционала на современные технологии.;"Frontend; REST; React; Redux";  Интересные задачи Достойный уровень заработной платы Оформление в соответствии ТК РФ Перспективы профессионального и карьерного роста Уютный и комфортный офис у метро Василеостровская ;10;0.034482758620689655;Frontend;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2;21;JavaScript разработчик;2.0;3.0;Расчетные системы;2019-12-11T17:24:12+0300;"В молодой и дружный коллектив, занимающийся развитием сервиса электронных платежей в пользу федерального бюджета РФ, требуется опытный JavaScript разработчик со здоровым чувством юмора и неутомимой тягой к чистому коду. Мы предлагаем работу по современным бизнес-процессам, интересные задачи, возможность профессионального и карьерного роста.   Обязанности:  разработка мобильных приложений на базе гибридного фреймворка (Ionic); разработка новых архитектурных решений, код ревью, участие в развертывании проектов; рефакторинг существующей кодовой базы.    Требования:   опыт разработки мобильных приложений от года;  отличные знания нативного JavaScript; хорошие знания одного из современных frontend фреймворков (Angular/React/Vue);  опыт клиентской/серверной разработки;   опыт использования/внедрения ui/unit тестов;   знания HTML/CSS;   опыт работы с Git.     Будет плюсом:  знания хотя бы одного из гибридных фреймворков (Ionic, Phonegap, Cordova, Native); знание паттернов проектирования и умение их применять;  опыт работы с TypeScript.     Условия:  соответствие ТК РФ, 5/2, отпуск 28 календарных дней; испытательный срок 3 месяца; ДМС при работе более 6 месяцев; офис в центре города (5 минут от с/м Чернышевская), чай, кофе, фрукты, PlayStation; дружная команда frontend-разработки; гибкий график: начало рабочего дня в 09:00-11:00; «белая» ЗП, оклад определяется по результатам собеседования. ";Опыт разработки мобильных приложений от года. Отличные знания нативного JavaScript. Хорошие знания одного из современных frontend фреймворков (Angular/React/Vue). ;Разработка мобильных приложений на базе гибридного фреймворка (Ionic). Разработка новых архитектурных решений, код ревью, участие в развертывании проектов. ;"JavaScript; Ionic";"  соответствие ТК РФ, 5/2, отпуск 28 календарных дней; испытательный срок 3 месяца; ДМС при работе более 6 месяцев; офис в центре города (5 минут от с/м Чернышевская), чай, кофе, фрукты, PlayStation; дружная команда frontend-разработки; гибкий график: начало рабочего дня в 09:00-11:00; «белая» ЗП, оклад определяется по результатам собеседования. ";21;0.0;Frontend;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3;26;JavaScript-разработчик;4.0;4.0;Дзенмани.ру;2019-12-09T15:26:54+0300;Привет! Я Антон — руководитель проекта Дзен-мани. Мы разрабатываем приложение, которое помогает контролировать расходы без лишних усилий, благодаря синхронизации с банками.Нам в команду нужен вдумчивый самостоятельный разработчик, готовый возглавить разработку интеграций с банками.Каждый месяц мы подключаем несколько новых банков и поддерживаем текущие. Мы строим лучшую систему агрегации данных из банков в России и нам нужна помощь.Вы идеально подходите, если не боитесь слов реверс-инжиниринг, в юности читали журнал Хакер, у вас есть опыт работы с Java, Node.js, Babel, Webpack и большое желание работать на стыке нативных и веб технологий. В работе мы придерживаемся таких принципов:  Не стоим над душой, даём время на проектирование и рефакторинг, требуем качество. Команда распределённая, где вы живёте — не имеет значения. Общаемся через Slack. Работаем недельными итерациями. Зимой за счёт компании встречаемся в тёплых странах. Зарплата растёт вместе с ростом прибыли компании.  Присоединяйтесь к единственной в России команде, которая занимается агрегацией данных из банков!;"Вы идеально подходите, если не боитесь слов реверс-инжиниринг, в юности читали журнал &quot;Хакер&quot;, у вас есть опыт работы с...";Каждый месяц мы подключаем несколько новых банков и поддерживаем текущие. Мы строим лучшую систему агрегации данных из банков в России...;"JavaScript; Node.js";;26;0.10344827586206896;Frontend;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;60;Frontend-разработчик;3.0;3.0;Протей, НТЦ;2019-12-12T13:13:48+0300;НТЦ ПРОТЕЙ - российская IT-компания, более 15 лет работающая в сфере телекоммуникаций. Мы занимаемся разработкой и производством собственных программно-аппаратных продуктов и решений, которые используются операторами мобильной и фиксированной связи (в России и за рубежом), государственными структурами, силовыми ведомствами. Мы приглашаем коллегу-разработчика в команду, которая занимается разработкой Центров обслуживания вызовов (call-центры). Что предстоит делать:  Разработка web-приложений для контакт-центра на Angular 8 (новый проект, отсутствие legacy-кода)  Необходимые навыки:  Уверенное владение JavaScript (es5, es6), HTML5, CSS3 Опыт работы с Angular 2+, React или Vue Понимание паттернов проектирования, ООП Опыт работы с системами контроля версий Английский язык на уровне чтения технической документации  Будет плюсом:  Опыт работы с TypeScript Понимание адаптивной верстки Понимание принципов сборки проекта Опыт использования WebSocket Опыт работы с системами bug tracker. Мы используем YouTrack Опыт работы с Node.js Навыки работы с Linux Знание принципов REST-архитектуры  Опыт использования Thrift   Опыт создания приложений на Java (GWT)   Мы предлагаем Вам:  Гибкий график (40 часов в неделю) Белую заработную плату (размер которой обсуждается индивидуально) Современный офис в пешей доступности от Выборгской (зерновой кофе и оборудованная кухня)  возможность обучения за счет компании  ДМС со стоматологией, доплату на питание, годовой бонус, корпоративные занятия йогой, футболом, волейболом ;Необходимые навыки: Уверенное владение JavaScript (es5, es6), HTML5, CSS3. Опыт работы с Angular 2+, React...;;"HTML5; TypeScript; Angular";;60;0.0;Frontend;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
5;61;Frontend-разработчик;2.0;2.0;ПКАСКО;2019-12-12T13:25:56+0300;Федеральный Страховой Сервис ПКАСКО по праву входит в ТОП 3 компаний РФ, предоставляющих полноценный сервис для ведения страхового бизнеса для Автодилеров, Страховых Брокеров, Страховых агентов. ПКАСКО была создана в 2009 г. и очень скоро завоевала признание у наших пользователей. На сегодняшний день 90% рынка профессионалов Санкт-Петербурга, 30% рынка Москвы и Московской области и 40% остального рынка РФ используют ПКАСКО в своей каждодневной работе. Такое доверие обусловлено постоянно растущим качеством сервиса, честным партнерством, сбалансированной тарифной политикой. Такое же честное и ответственное отношение компания ПКАСКО демонстрирует и к своим сотрудниками. Мы гордимся тем, что в нашей компании кадровая ротация не превышает 5% в год. Новые вакансии появляются крайне редко и связаны исключительно с развитием бизнеса, новыми проектами или переходом действующего сотрудника на другой проект в рамках компании или в связи с повышением. Как работодатель ПКАСКО отличается стабильностью выплат, отсутствием скрытых сборов и штрафов, соблюдением трудового законодательства РФ, прозрачными KPI, миролюбивой и дружелюбной атмосферой. Наш коллектив - это слаженная команда, где вклад каждого заметен и оценен. Мы с любовью относимся к нашему делу и уважительно к друг другу. И, поскольку IT это действительно инновационная сфера, попадая в ПКАСКО , ваше стремление развивать свои профессиональные навыки окажется крайне востребованным. В связи с расширением бизнеса, мы ищем frontend-разработчика. Обязанности:  Доработка существующего функционала Реализация переноса старого функционала на современные технологии Верстка страниц Отработка задач поступающих от тех.поддержки  Что мы ждем от Вас:  Знание javascript Умение пользоваться библиотеками, например jquery Умение работать с framework Angular 1.3, (плюсом для Вас будет знания и других framework) Опыт реализации адаптивной верстки Понимание ООП Опыт работы с системами контроля версий Умение разбираться в чужом коде    Условия:  Официальное трудоустройство Испытательный срок - 3 месяца (срок адаптации и обучения - 1 месяц) по окончании испытательного срока- KPI, позволяющий увеличивать свой доход за счет роста профессионализма Оплата: 50000 оклад + KPI (на испытательный срок 50 000 без KPI)  Доброжелательный молодой коллектив единомышленников   Завидное расположение офиса- вы всегда сможете совместить обед с приятной прогулкой по уютным улицам Васильевского острова   На редкость удобная логистика - на пересечении 2-х линий метро - фиолетовой (5) и зеленой (3) веток - в 200 м ст. м. Спортивная и 500 м от ст. м. Василеостровская   5/2, с 10:00 до 19:00 (час перерыв на обед)   Интересная работа - вы не будете скучать, рабочий день будет пролетать быстро, а вы получите профессиональный рост и удовлетворение от видимых результатов своего труда   Комфортная моральная и эмоциональная атмосфера  ;Знание javascript. Умение пользоваться библиотеками, например jquery. Умение работать с framework Angular 1.3, (плюсом для Вас будет знания и...;Доработка существующего функционала. Реализация переноса старого функционала на современные технологии. Верстка страниц. Отработка задач поступающих от тех.поддержки.;"jQuery; JavaScript; ООП; .NET Framework; AngularJS; Работа в команде";  Официальное трудоустройство Испытательный срок - 3 месяца (срок адаптации и обучения - 1 месяц) по окончании испытательного срока- KPI, позволяющий увеличивать свой доход за счет роста профессионализма Оплата: 50000 оклад + KPI (на испытательный срок 50 000 без KPI)  Доброжелательный молодой коллектив единомышленников   Завидное расположение офиса- вы всегда сможете совместить обед с приятной прогулкой по уютным улицам Васильевского острова   На редкость удобная логистика - на пересечении 2-х линий метро - фиолетовой (5) и зеленой (3) веток - в 200 м ст. м. Спортивная и 500 м от ст. м. Василеостровская   5/2, с 10:00 до 19:00 (час перерыв на обед)   Интересная работа - вы не будете скучать, рабочий день будет пролетать быстро, а вы получите профессиональный рост и удовлетворение от видимых результатов своего труда   Комфортная моральная и эмоциональная атмосфера  ;61;0.0;Frontend;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6;71;Frontend-разработчик;0.0;3.0;Autobidmaster;2019-12-10T12:17:32+0300;В недавно открывшийся офис компании AutoBidMaster в Санкт-Петербурге требуется Frontend-разработчик Компания AutoBidMaster оказывает брокерские услуги в области приобретения автомобилей с аукционной площадки copart. Наше стремление - постоянное развитие, которого мы добиваемся конкурентной обстановкой внутри команды. Обязанности:  Разработка Frontend-части web-приложений компании Участие в планировании спринтов Адекватная оценка задач Написание качественного кода  Требования:  Уверенно знание современного стека JavaScript (React, ES6+) Навыки написания тестов для Frontend-приложений Умение работать в команде Умение работать с баг-трекинговыми системами (мы используем JIRA)  Условия:  Офис в центре города (3 минуты от метро Пушкинская) Молодой и дружный коллектив Интересные задачи и разнообразные проекты ;Уверенно знание современного стека JavaScript (React, ES6+). Навыки написания тестов для Frontend-приложений. Умение работать в команде. ;Разработка Frontend-части web-приложений компании. Участие в планировании спринтов. Адекватная оценка задач. Написание качественного кода.;"JavaScript; Git; React; SailsJS; CSS; Redux";  Офис в центре города (3 минуты от метро Пушкинская) Молодой и дружный коллектив Интересные задачи и разнообразные проекты ;71;0.06896551724137931;Frontend;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
7;73;Программист Node.JS;3.0;3.0;Агентство Медицинских Технологий;2019-12-11T15:05:52+0300;"Требуемый опыт работы: 3–6 лет Полная занятость, полный день Обязанности:  Проектирование и разработка API высокотехнологичной медицинской информационной системы; Документирование/тестирование/логирование собственного кода.  Требования:  Техническое образование; Понимание асинхронной модели JavaScript/Node.js; Знание ООП; Знание JavaScript (ES6+); Знание HTTP, REST, опыт проектирование/документирования API; Понимание принципов построения и опыт разработки высоконагруженных масштабируемых систем; Организация безопасность веб-приложений, авторизации, системы распределения прав доступа;   Обязательный опыт работы backend-разработчиком от 3-х лет; Обязательный опыт разработки на Node.js от 2-х лет (приветствуются Express и другие сопутствующие фреймворки); Обязательный опыт работы с Redis, MySQL, WebSocket/Socket.IO;   Умение самостоятельно разбираться с техническими проблемами различной степени сложности; Умения планировать свое рабочее время; Опциональный опыт, WebRTC;  Ответственность и выполнение данных ранее обещаний, подразумевается по умолчанию :) Условия:  Оформление по ТК РФ. График 5\2 (кроме аварийных ситуаций); ЗП белая, строго 2 раза в месяц; Достойное рабочее место (оборудование обсуждается с успешным кандидатом); Офис в центре Москвы (3 минуты ходьбы от метро); Офис в центре Санкт-Петербурга;   Удаленная работа и открытие офисов в других городах возможны по предварительной договоренности.       ";Организация безопасность веб-приложений, авторизации, системы распределения прав доступа. Обязательный опыт работы backend-<highlighttext>разработчиком</highlighttext> от 3-х лет. ;Проектирование и разработка API высокотехнологичной медицинской информационной системы. Документирование/тестирование/логирование собственного кода.;"Redis; JavaScript; Node.js; ООП; CSS; NoSQL; HTML; jQuery; Ajax";"  Оформление по ТК РФ. График 5\2 (кроме аварийных ситуаций); ЗП белая, строго 2 раза в месяц; Достойное рабочее место (оборудование обсуждается с успешным кандидатом); Офис в центре Москвы (3 минуты ходьбы от метро); Офис в центре Санкт-Петербурга;   Удаленная работа и открытие офисов в других городах возможны по предварительной договоренности.       ";73;0.034482758620689655;Frontend;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
8;74;Front-end developer/ JavaScript developer;3.0;4.0;Lenvendo;2019-12-11T12:46:13+0300;"Lenvendo – компания с комплексным подходом к созданию, развитию и поддержке крупномасштабных онлайн-систем, в связи с ростом количества проектов открывает вакансию Программист Front-end/JavaScript developer:   Обязанности:  Разработка новых, поддержка и развитие существующих интернет-проектов компании;  Требования:  Опыт разработки интернет-проектов от 3-х лет; Профессиональные навыки:  JS (ES6 будет плюсом), html5, css3. Опыт работы с современными JS фреймворками (React, Angular, etc.) Знание принципов ООП и шаблонов проектирования. Понимание принципов написания кода в рамках TDD, BDD. Умение работать с системой контроля версий (git, Mercurial, etc) Знание Linux-систем на уровне пользователя    Условия:  Оформление и социальный пакет в соответствии с ТК РФ; Полностью «белый» доход; График работы либо с 9 до 18, либо с 10 до 19; Уровень дохода обсуждается на собеседовании по итогам тестового задания; Highload-проекты, сложные задачи; Возможности для профессионального роста; Молодой и дружный коллектив; Вкусный кофе, чай и печенье! ";Опыт разработки интернет-проектов от 3-х лет. Профессиональные навыки: JS (ES6 будет плюсом), html5, css3. ;Разработка новых, поддержка и развитие существующих интернет-проектов компании.;"JavaScript; CSS; JavaScript; Git; HTML";"  Оформление и социальный пакет в соответствии с ТК РФ; Полностью «белый» доход; График работы либо с 9 до 18, либо с 10 до 19; Уровень дохода обсуждается на собеседовании по итогам тестового задания; Highload-проекты, сложные задачи; Возможности для профессионального роста; Молодой и дружный коллектив; Вкусный кофе, чай и печенье! ";74;0.034482758620689655;Frontend;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;78;Программист-разработчик игр (Java Script);2.0;3.0;О.Г.С. Руссия;2019-12-12T13:30:52+0300;Обязанности:   Разработка и поддержка клиентской части для онлайн игр   Участие в разработке игрового фронтенд фреймворка   Кросс-платформенная разработка для всех основных платформ   Взаимодействие с художниками и дизайнерами при выполнении задач   Стек технологий, с которым предстоит работать: HTML5/WebGL/Phaser/Pixi   Требования:   Уверенные знания и опыт работы с JavaScript   Умение оценивать трудозатраты на разработку и укладываться в дедлайн   Понимание принципов ООП, понимание основных шаблонов проектирования   Опыт работы с Canvas и WebGL   Понимание особенностей кросс-платформенной разработки для мобильных устройств и настольных систем   Умение работать в команде   Английский на уровне чтения технической документации   Будет преимуществом:   Опыт работы с Phaser.js, Pixi.js, Flash   Опыт разработки игр   Умение разбираться в чужом коде   Знания других языков программирования   Владение разговорным английским (intermediate)   Условия:   Официальное трудоустройство согласно ТК РФ   Достойная заработная плата   ДМС   Система премирования по результатам работы за полугодие   Комфортные условия для работы и современное оборудование   Кофе-поинт с печеньками   Офис рядом с м. Старая деревня - м. Комендантский проспект   Участие в динамичных, современных проектах   Профессиональный рост и развитие   Бесплатное обучение английскому языку   Отсутствие дресс-кода  ;Уверенные знания и опыт работы с JavaScript. Умение оценивать трудозатраты на разработку и укладываться в дедлайн. Понимание принципов ООП, понимание...;Разработка и поддержка клиентской части для онлайн игр. Участие в разработке игрового фронтенд фреймворка. Кросс-платформенная разработка для всех основных...;"HTML5; JavaScript; Game Programming; WebGL";   Официальное трудоустройство согласно ТК РФ   Достойная заработная плата   ДМС   Система премирования по результатам работы за полугодие   Комфортные условия для работы и современное оборудование   Кофе-поинт с печеньками   Офис рядом с м. Старая деревня - м. Комендантский проспект   Участие в динамичных, современных проектах   Профессиональный рост и развитие   Бесплатное обучение английскому языку   Отсутствие дресс-кода  ;78;0.0;Frontend;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
