;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; MySQL; Git;PHP; JavaScript; PHP; Yii; HTML; ООП; Laravel; Symfony; PostgreSQL; PHP5; CSS; jQuery; Linux; Ajax; AngularJS; MVC; SQL; HTML5;Другие навыки
0;7;Веб-разработчик / веб-программист (PHP/JS);3.0;4.0;НаПоправку.ру;2019-12-12T00:56:12+0300;"НаПоправку — медицинский онлайн-сервис. Мы хотим сделать болезнь меньшим стрессом в жизни человека. Нам важно, что НаПоправку каждый день помогает тысячам людей решать проблемы со здоровьем. Сейчас наш фокус — поиск врача и удобная запись на приём. Впереди — мобильное приложение, электронная медицинская карта и другие онлайн-сервисы, которые сделают медицину проще. Мы ищем в команду талантливого fullstack разработчика, который хочет быстро учиться и участвовать в разработке интересного и полезного продукта. Наш стек  PHP 7.3 MySQL / PostgreSQL / Redis Zend / Laravel ELK Slack Docker Vue / Axios / Webpack / jQuery Jira / Confluence Github PhpStorm  Это вакансия для вас, если вы:   Имеете опыт работы с PHP-фреймворками и MySQL;   Будет преимуществом опыт работы с NoSQL (Redis);   У вас горят глаза и светлая голова;   Хотите не просто писать код и прокачивать свои скилы, а делать классный продукт, который будет помогать людям и даже спасать жизни;   Умеете быстро разбираться в чужом коде и конструктивно с ним работать.   Перед нами стоят различные задачи, как по бекенду, так и по фронтенду. Одно из важных требований к кандидатам - высокий уровень понимания, как устроено взаимодействие между ними - для успешного выполнения наших продуктовых задач. Мы ищем команду специалиста мыслящего в терминах time-to-market, то есть, чтобы новые фичи доходили до прода, как можно быстрее, а не застревали в тестировании. Мы за здоровый баланс между жизнью и работой. Завершить работу вовремя и пойти домой к семье - всегда в приоритете. Тем не менее, мы все работаем на результат - поэтому спринты должны заканчиваться к запланированному сроку. Вы всегда сами можете принять взвешенное решение, стоит ли сегодня задержаться, чтобы успеть в срок. Почему Вам надо идти к нам:   Социально значимый проект, о котором можно с гордостью рассказать даже бабушке;   Много интересных и нестандартных технических задач;   У нас есть чему и у кого поучиться;   Быстрый профессиональный рост - границы роста ограничиваются только вашими способностями;   Молодая, веселая и динамичная команда единомышленников.   Приятные мелочи   Белая зарплата, размер обсуждается с успешным кандидатом;   Оплачиваемое профессиональное развитие – книги, онлайн курсы, семинары и конференции;   Фрукты, снеки, чай и кофе; возможность заказа ужина в офис и корпоративного такси для тех, кто задерживается на работе;   Гибкое начало рабочего дня;   Веселые корпоративы.  ";PHP 7.3. MySQL / PostgreSQL / Redis. Vue / Axios / Webpack / jQuery. Имеете опыт работы с PHP-фреймворками и MySQL. ;;"ООП; PHP; MySQL; Zend Framework; Laravel; JavaScript; Git; Jetbrains Phpstorm";;7;0.0;PHP;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;11;PHP backend senior developer (Symfony/Laravel);6.0;4.0;Alyce;2019-12-11T15:33:23+0300;Кто мы?  Alyce - это американская компания, на рынке с 2016 года, работаем в сфере маркетинга и коммуникаций (корпоративный гифтинг).Наш продукт уже давно и успешно выведен на рынок, он работает и им пользуются более 50 компаний на рынке Северной Америки , из них более 10 клиентов - это компании из рейтинга Fortune500. Например, с нами работают Marketo, Oracle, NetApp, Nutanix, Lenovo.Наша основная ценность - это human approach - человечный подход - и это то, что лежит в основе концепта продукта, а также то, что мы поддерживаем и внутри компании. У нас нет переработок, у нас понятная и работающая структура, нет 150 слоев менеджмента и каких-то организационных overhead-ов или бюрократии (впрочем, беспредела и анархии тоже нет), у нас качественный офис со всеми необходимыми для жизни и комфортной работы условиями, хорошая техника. И - самое важное - это наш продукт - сложный, интересный, технологичный, современный, инновационный, развивающийся и имеющий понятную и позитивную цель. О наших ожиданиях: Мы ищем сильного инженера имеющего видение и широкие знания в современных подходах к разработке распределнных и высоконагруженных приложений. Мы ценим умение предлагать решения, критически оценивать их и находить лучший путь решения для любой задачи. Нам важно, что ты:   Умеешь разрабатывать и поддерживать архитектурные решения   Умеешь разрабатывать тесты, выбирать правильный уровень тестирования для задачи.   Умеешь разбираться в неясных требованиях. Можешь из проблемы сделать задачу.   Отличаешь плохой код от хорошего и предвидишь проблемы в коде.   Можешь доносить свои мысли до бизнеса.   Знаешь инфраструктуру вокруг кода.   Знаешь хорошие и плохие практики к построению API   Стек технологий, с которым мы работаем   Backend: php 7.2+, Laravel/Symfony, Python + Unit tests   Infrastructure: GitLab CI/CD, Google Cloud, Kubernetes, Redis, Docker.   Frontend: Vue.js, Vuex, laravel-mix, Stylus, React, Redux, styled, RxJS, Webpack   Про команду бэкенда Cейчас Backend 8 человек. Каждый разработчик участвует в процессе работы над задачей - обсуждает требования с бизнесом и предлагает решения. Да, у нас есть legacy, и бизнес это понимает. Поэтому мы свободны в выборе новых технологий, а приблизительно 30% нашего спринта занимают технические задачи (рефакторинг, тесты, инструменты и тд) Помимо работы над основными задачами у нас есть возможность прокачаться в тех направлениях которые тебе интересны, у нас есть парень который обожает задачи связанные с performance, а другой горит идеей покрыть наше приложение крутыми тестами. Что мы предлагаем? Мы стремимся к тому, чтобы нашим сотрудникам было интересно и комфортно в рабочем процессе. Помимо материальной составляющей наших взаимоотношений, мы предлагаем:   Гибкий рабочий график.   Медицинскую страховку со стоматологией.   Бонусы, которые привязаны к личным показателям, а также показателям команды и компании в целом.   Мы всячески поддерживаем развитие сотрудника - курсы, участие в конференциях и митапах.   У нас отличный офис в центре Петербурга на пересечении Кирочной и Литейного.   Прозрачная коммуникация, прямое взаимодействие с коллегами - как локальными, так и из Head офиса в Бостоне, отсутствие бюрократии и большого количества разных уровней менеджмента.  ;Знаешь хорошие и плохие практики к построению API. Infrastructure: GitLab CI/CD, Google Cloud, Kubernetes, Redis, Docker.;Умеешь разрабатывать и поддерживать архитектурные решения.;"PHP; Laravel; Software Development; Symfony; Docker; Git; Linux; MySQL; REST; API; Python; PHPUnit";;11;0.034482758620689655;PHP;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
2;13;PHP Программист YII 2;3.0;4.0;Вимос, торговый дом;2019-12-11T10:33:24+0300;"Обязанности:  Задачи по доработке функционала интернет магазина. Доработка корпоративного портала. Интеграция с различными системами и сервисами по API.    Требования:  Ищем PHP программиста в штат со знанием фреймворка YII 2 Опыт работы с JQuery. Опыт совместной работы, умение быстро понимать чужой код, комментировать свой У нас Git (Bitbucket) JSON API Опыт тестирования и документирования. Желательно опыт работы с Интернет магазинами, а так же Bitrix продуктами, но не обязательно. Работа в офисе не удаленная на постоянной основе. Опыт работы не менее 2 лет.    Условия:  Работа в крупной, динамично развивающейся федеральной сети; Светлый просторный офис Молодая дружная команда профессионалов Оформление в соответствии с Трудовым Кодексом РФ Льготное питание график работы 5/2 (выходные суббота и воскресенье), с 10*00 до 18*00 100% белая заработная плата, выплата 2 раза в месяц ";Ищем PHP <highlighttext>программиста</highlighttext> в штат со знанием фреймворка YII 2. Опыт работы с JQuery. Опыт совместной работы, умение быстро понимать...;Задачи по доработке функционала интернет магазина. Доработка корпоративного портала. Интеграция с различными системами и сервисами по API.;" MySQL; Git;PHP; JavaScript; PHP";"  Работа в крупной, динамично развивающейся федеральной сети; Светлый просторный офис Молодая дружная команда профессионалов Оформление в соответствии с Трудовым Кодексом РФ Льготное питание график работы 5/2 (выходные суббота и воскресенье), с 10*00 до 18*00 100% белая заработная плата, выплата 2 раза в месяц ";13;0.034482758620689655;PHP;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;30;Стажер - программист PHP (Санкт Петербург);3.0;4.0;amazingcat LLC;2019-12-09T15:18:58+0300;amazingcat — компания, занимающаяся разработкой крупных интернет-площадок в сфере e-commerce для зарубежных клиентов. Наш стек технологий:   PHP, Laravel   JavaScript (Vue, Node, Angular 8, Electron)   Magento 2   MySQL / PostgreSQL   Elasticsearch   Shopify   Ruby on Rails   Redis, RabbitMQ   Wordpress   MongoDB   Мы приглашаем начинающих веб-разработчиков пройти оплачиваемую и официальную стажировку на базе нашей компании. В течении всей стажировки мы будем оценивать ваши навыки, прогресс и то как мы срабатываемся, принимая в конце решение о предоставлении оффера на соответствующую должность. Обращаем внимание, что стажировка предполагает минимум семь часов в день, и не подходит для полностью удаленной работы. Мы рассчитываем в первую очередь на ваши знания и не задаём минимальных рамок по опыту коммерческой разработки. Если вы создавали классные проекты для себя или каких-то организаций из интереса или желания помочь — это тоже очень здорово, и тоже считается. Для поступления на стажировку вам необходимы:   Базовые навыки вёрстки   Поверхностные знания JS, ES5+   Опыт разработки на PHP   Опыт работы с любым PHP-фреймворком   Опыт работы с базами данных   Немного о нашей стажировке:   Работа с командой. Мы ещё на этапе стажировки включаем человека в различные внутренние процессы и стараемся наладить взаимодействие с командой, поэтому для нас важно чтобы вы были готовы к этому. На время стажировки вам будет помогать наставник, но мы верим что разнообразие мнений и опыт целой команды может быть гораздо полезнее.   Обучение на реальных кейсах. Стажировка состоит из коммерческих задач, с которыми мы сами когда-то сталкивались и посчитали что они будут полезны. Мы не будем разрабатывать абстрактные лендинги, новостные порталы и системы учёта чего-нибудь, а проработаем реальные ситуации — исследование инцидентов, неструктурированные данные, неоптимальная архитектура, сложные запросы и расширения.   Гибкий график. Мы знаем как сложно бывает совмещать работу с учёбой, поэтому предоставляем по-настоящему гибкий график и возможность часть времени работать из дома. Вам нужно будет только согласовывать в начале недели ваше расписание, чтобы мы были точно уверены в том, что кто-то будет на связи чтобы вам помочь.   Ориентация на результат, а не заполнение времени. Максимальная продолжительность стажировки — три месяца, но обычно ее проходят быстрее. Мы ожидаем что на обучение будет затрачиваться не менее семи часов в день, с присутствием в офисе на протяжении четырёх дней в неделю.   Программа стажировки   Тестовое задание чтобы определить уровень ваших навыков и принять решение о стажировке.   SQL — мы на реальном примере рассмотрим что такое представления, вложенные запросы и джойны, и как их можно совместить в один запрос для агрегации большого массива данных. Расскажем про базовую оптимизацию запросов и архитектуры баз данных.   Laravel — мы рассмотрим процесс создания приложений на этом фреймворке, его основы, работу с Eloquent и QueryBuilder. Расскажем про PSR, описание тестов для Laravel. Помимо самой разработки, мы расскажем о нашем рабочем процессе, как мы организуем работу в Git, сбор ошибок и CI.   Magento 2 — в заключение, мы разберёмся в том, как разрабатываются свои расширения для Magento 2. В качестве экзаменационной работы, мы выступим в роли проджект-менеджера, дадим вам техническое задание на самостоятельную разработку расширения и дальше будем имитировать обычный процесс разработки, с его типичными ситуациями и проблемами. По итогам, мы обсудим, что нам понравилось/не понравилось в вашем рабочем процессе и рассмотрим возможность предоставления оффера.   При отклике, пожалуйста, расскажите нам о себе в сопроводительном письме — какие задачи решали, какие инструменты используете в работе, какое у вас любимое животное и самая интересная ситуация из жизни, связанная с разработкой. Спасибо!;MySQL / PostgreSQL. Ruby on Rails. Мы рассчитываем в первую очередь на ваши знания и не задаём минимальных рамок по опыту...;;"PHP; Linux; Magento; Laravel";;30;0.10344827586206896;PHP;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
4;31;Программист junior/ middle backend/fullstuck (PHP Developer);2.0;4.0;Проект;2019-12-10T11:08:42+0300;В связи с расширением и динамичным развитием наша Компания приглашает в свою команду ПРОГРАММИСТА (junior/middle backend/fullstuck (PHP Developer). Мы рассматриваем активных выпускников технических ВУЗов с необходимыми навыками и готовы поделиться своим опытом! ООО АП-ПРО - ведущий производитель оборудования для автоматической парковки в России. Компания работает на рынке автоматизированных парковочных систем более 10 лет и является лидером по объемам производства и продаж. В ассортименте компании есть целый ряд инновационных решений собственной разработки. Область задач: - сопровождение, поддержка и развитие серверной части программного обеспечения (функционал, надежность, визуальная составляющая) - проведение тестирования результатов работы - участие в разработке новых продуктов - консультирование по вопросам ошибок серверного программного обеспечения   Какие навыки необходимы? - знание PHP (5+ и 7) - опыт работы с СУБД MySQL и Apache - HTML / CSS - Junior Javascript - представление об основном стеке технологий и протоколов, на которых построен и работает современный Веб - умение пользоваться Git - опыт работы использования различных современных ORM,CMS, или фреймворков в контексте PHP - опыт ведения сопроводительной документации в процессе разработки и сопровождения проектов СУП - знание принципов ООП и умение использовать их в своем коде - опыт работы с legacy   Приветствуется (!) и будет Вашим преимуществом: - JS на продвинутом уровне - опыт коммерческой разработки - NodeJS, ReactJS и AngularJS - современные фреймворки PHP (Symfony и Yii) - активная жизненная позиция и желание самосовершенствоваться, обучаться и изучать новые технологии - понимание принципов построения комплексных систем автоматизации   Мы предлагаем:  все условия для активного профессионального роста отличные возможности для получения высокого дохода и самореализации интересные бизнес-задачи для обсуждения и реализации  Условия работы:  график работы: ПН-ПТ с 9.30 до 18.00 с перерывом на обед оплачиваемый отпуск по ТК РФ 10 минут от метро Московские ворота оклад 50 000 - 60 000 (точная сумма оклада по результату собеседования) и премии по завершению проектов в зависимости от сложности и объема работ интересные и уникальные проекты и задачи возможность безусловного профессионального роста возможность воплощать собственные идеи и проекты работа с современными технологиями комфортные условия работы возможность обучаться и совершенствоваться при поддержке Компании  Нам интересен Ваш опыт работы! Присылайте Ваше резюме и мы обязательно его рассмотрим! ;Какие навыки необходимы? - знание PHP (5+ и 7). - опыт работы с СУБД MySQL и Apache. - HTML / CSS. - ;сопровождение, поддержка и развитие серверной части программного обеспечения (функционал, надежность, визуальная составляющая). - проведение тестирования результатов работы. - участие в разработке новых...;"JavaScript; MySQL; Git; AngularJS; HTML";  все условия для активного профессионального роста отличные возможности для получения высокого дохода и самореализации интересные бизнес-задачи для обсуждения и реализации  Условия работы:  график работы: ПН-ПТ с 9.30 до 18.00 с перерывом на обед оплачиваемый отпуск по ТК РФ 10 минут от метро Московские ворота оклад 50 000 - 60 000 (точная сумма оклада по результату собеседования) и премии по завершению проектов в зависимости от сложности и объема работ интересные и уникальные проекты и задачи возможность безусловного профессионального роста возможность воплощать собственные идеи и проекты работа с современными технологиями комфортные условия работы возможность обучаться и совершенствоваться при поддержке Компании  Нам интересен Ваш опыт работы! Присылайте Ваше резюме и мы обязательно его рассмотрим! ;31;0.06896551724137931;PHP;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
5;34;Middle/ Senior PHP-программист;3.0;6.0;Egamings, филиал г. Псков;2019-12-10T16:06:49+0300;"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Санкт-Петербург. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Санкт-Петербурге. Требования:  Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП (middle, senior); Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis;    Обязанности:    Поддержка и написание новых модулей для внутренних web-приложений компании;    Условия:    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП (middle, senior). Основы Debian/Ubuntu Linux на уровне...;Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест (вопросы php, sql -основные html, css, js - дополнительные...;"PHP; MySQL; PHP5; HTML5; JavaScript; Git; ООП";"    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";34;0.06896551724137931;PHP;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
6;41;PHP-разработчик;0.0;0.0;Autobidmaster;2019-12-10T12:14:41+0300;В недавно открывшийся офис компании AutoBidMaster в Санкт-Петербурге требуется Backend-разработчик Компания AutoBidMaster оказывает брокерские услуги в области приобретения автомобилей с аукционной площадки copart.com Обязанности:  Разработка Backend-части web-приложений компании (Symfony) Участие в планировании спринтов Адекватная оценка задач Написание качественного кода  Требования:  Уверенно знание современного стека PHP (PHP 7.1+, Symfony, Laravel) Навыки написания тестов для PHP-приложений (PHPUnit) Умение работать в команде Умение работать с баг-трекинговыми системами (мы используем JIRA)  Условия:  Офис в центре города (3 минуты от метро Пушкинская) Молодой и дружный коллектив Интересные задачи и разнообразные проекты ;Уверенно знание современного стека PHP (PHP 7.1+, Symfony, Laravel). Навыки написания тестов для PHP-приложений (PHPUnit). ;Разработка Backend-части web-приложений компании (Symfony). Участие в планировании спринтов. Адекватная оценка задач. Написание качественного кода.;"PHP; Symfony; Laravel; MySQL; Redis; Работа в команде";  Офис в центре города (3 минуты от метро Пушкинская) Молодой и дружный коллектив Интересные задачи и разнообразные проекты ;41;0.06896551724137931;PHP;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
7;45;PHP-developer/ PHP-программист на Yii;4.0;5.0;Digift;2019-12-10T13:59:37+0300;"Digift  – omni-channel платформа для обработки всех виртуальных неденежных активов (подарочных карт, баллов лояльности, бонусных программ и т.д.). В основе платформы лежат инновационные технологии и подходы. Мы работаем с распределенным реестром, решаем вопросы, относящиеся к области искусственного интеллекта, в проектах- применяем современные языки программирования и фреймворки. Мы решаем задачи, которые до нас никто не решал, создаем крутой продукт, который бы был действительно полезен как людям, так и бизнесу. Мы в поиске талантливых, амбициозных специалистов, которые бы вместе с нами создавали этот продукт. Давайте создадим будущее вместе!   Мы ищем кандидатов с:  Опытом работы в компании, занимающейся Web-проектами, от 3-х лет; Отличными знаниями: PHP 7.1+, MySQL, JavaScript (AJAX, jQuery,vue.js); Опытом работы с Yii 1, Bug-Tracking системами (Redmine), системами контроля кода (Git); Опытом работы с *nix системами и опыт командной разработки являются большим плюсом; Знание PgSQL является преимуществом кандидата; Знание NoSQL хранилищ (mongo/redis), полнотекстовых индексов (elasticsearch/sphinx) является преимуществом кандидата;    Вам предстоит заниматься:  Разработкой данной платформы (PHP + MySQL + memcache + rabbitmq) на Yii;    Мы предлагаем:  Оформление и социальный пакет в соответствии с ТК РФ; График работы пн.- пятн. (9-18 или 10-19); Уровень дохода обсуждается на собеседовании; Профессиональный и дружный коллектив с амбициозными планами; Атмосфера стартапа; Уютная оборудованная кухня: чай, кофе, молоко, печенье. Киккер и настолки; Бизнес-центр в 7 минутах ходьбы от ст. м. Старая Деревня. ";Опытом работы в компании, занимающейся Web-проектами, от 3-х лет. Отличными знаниями: PHP 7.1+, MySQL, JavaScript (AJAX...;Digift – omni-channel платформа для обработки всех виртуальных неденежных активов (подарочных карт, баллов лояльности, бонусных программ и т.д.).;"Программы лояльности; Yii; MySQL; JavaScript; Git";"  Оформление и социальный пакет в соответствии с ТК РФ; График работы пн.- пятн. (9-18 или 10-19); Уровень дохода обсуждается на собеседовании; Профессиональный и дружный коллектив с амбициозными планами; Атмосфера стартапа; Уютная оборудованная кухня: чай, кофе, молоко, печенье. Киккер и настолки; Бизнес-центр в 7 минутах ходьбы от ст. м. Старая Деревня. ";45;0.06896551724137931;PHP;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8;48;PHP Middle FullStack разработчик;3.0;4.0;РЕСТАДВАЙЗЕР;2019-12-12T13:09:24+0300;"Требуемый опыт работы: от 4х летВ нашу дружную команду, которая вместе уже более 13 лет успешно создает бизнес и в своей сфере занимает 2% международного рынка логистического консультирования в своем сегменте, требуется FullStack разработчик как для ведения проектов внутренних для компании, например аккаунт клиента, CRM, так и возможного участия в дальнейшем в разнилчных инновационных проектах.Обязанности:- Программирование на PHP/MySQL с использованием как самописных так и популярных фреймворков;- Разработка и адаптивная верстка пользовательских интерфейсов;Требования:- PHP 5.6- фреймворки: CodeIgniter, Yii2- MySQL: как минимум знать как оптимизировать запросы, чем отличается LEFЕ от RIGHT, определять необходимость создания индексов- знание хотя бы 1го JS фреймворка, например JQuery- Готовность разбираться с легаси кодом и рефакторить егоУсловия:- Красивый, светлый офис в 5 минутах от метро Петроградская;- Гибкий график- Оплачиваемые обеды;- Вкусняшки в офисе;- ВОзможность ездить на конференции, обучаться;- з/п по итогам собеседования;- испытательный срок 2 месяца;- белая зп;- работа по ТК РФ;- отличная, дружная команда";Требуемый опыт работы: от 4х лет. - PHP 5.6. - MySQL: как минимум знать как оптимизировать запросы, чем отличается LEFЕ...;Программирование на PHP/MySQL с использованием как самописных так и популярных фреймворков. - Разработка и адаптивная верстка пользовательских интерфейсов.;"Ajax; PHP5; Yii; HTML5; MySQL";"- Красивый, светлый офис в 5 минутах от метро Петроградская;- Гибкий график- Оплачиваемые обеды;- Вкусняшки в офисе;- ВОзможность ездить на конференции, обучаться;- з/п по итогам собеседования;- испытательный срок 2 месяца;- белая зп;- работа по ТК РФ;- отличная, дружная команда";48;0.0;PHP;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
