;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; Objective-C;iOS; Swift; Git; ООП; iOS;Objective-C; iOS SDK; JIRA; Rx; Unit Testing; swift;Работать в частично-распределенной команде: <highlighttext>разработчики</highlighttext>, UX/дизайнер(ы), QA, саппорт. Разрабатывать собственный продукт для массового рынка, проект написан на...;Руководство командой <highlighttext>разработчиков</highlighttext>. Организация процессов разработки, публикации и сопровождения мобильных приложений для iOS. Участие в проектах федерального масштаба на всех...;Разработка приложения ведется на Objective-C/Swift. В проекте используется CoreData для локального хранения данных. MVC, MVVM, VIPER. ;Поддержка и развитие основного В2В приложения Нмаркет.ПРО.;Доработка для клиентов новой версии мобильного мессенджера на iOS и SDK для него. Мы целиком и полностью за использование новых...;Разработка нового мобильного приложения под платформу iOS. Проектирование архитектуры приложений и сервисов. Взаимодействие с дизайнерами и тестировщиками. Проведение code review. ;Разработкой функционала. Рефакторинг. Апгрейд.;Вы получите возможность участвовать в развитии текущего проекта и станете важным участником команды. Вы будете оценивать задачи, обсуждать и решать...;Другие навыки
0;33;Разработчик под iOS (Swift);3.0;5.0;Рокси Мобайл;2019-12-12T11:28:27+0300;"Уважаемые соискатели, пожалуйста, указывайте в резюме ссылки на примеры своего кода.   Обязанности:   Разработка программного обеспечения для iOS;   Участие в проектах на всех стадиях разработки (от проектирования до конечной реализации).     Наши ожидания:   Опыт программирования на Swift или Objective-C от 2-х лет;   Опыт коммерческой разработки для мобильных устройств на базе iOS от 1-го года;   Понимание основных принципов ООП и шаблонов проектирования;   Знание базовых структур данных и алгоритмов;   Знание iOS SDK (UIKit, Foundation, CoreLocation и др.), общее понимание архитектуры iOS;   Знание шаблонов проектирования пользовательских интерфейсов для iOS 9+ (Human Interface Guidelines);   Опыт работы с сетевыми протоколами (HTTP, REST, OAuth, JSON и др.);   Желание и готовность изучать новые технологии и инструменты разработки.     Дополнительными преимуществами будут:  Участие в крупных проектах для мобильных платформ в составе команды; Наличие собственных опубликованных приложений в Apple AppStore; Опыт работы с системами контроля версий (Git, Subversion) и постановки задач (JIRA, TFS, Redmine); Опыт разработки приложений со сложным UI с использованием Auto Layout; Опыт работы с другими мобильными платформами и/или языками программирования (Java/Kotlin, C/C++, C#); Опыт работы с библиотеками Alamofire, PureLayout, RxSwift, Firebase SDK; Опыт написания Unit-тестов; Знание английского языка на уровне свободного чтения технической документации.    Мы предлагаем:  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы; Возможность работать из дома (если процесс не требует обязательного присутствия в офисе); Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Оформление и социальный пакет в соответствии с трудовым кодексом; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";Опыт программирования на Swift или Objective-C от 2-х лет. Опыт коммерческой разработки для мобильных устройств на базе iOS...;Разработка программного обеспечения для iOS. Участие в проектах на всех стадиях разработки (от проектирования до конечной реализации).;"iOS; Swift; Objective-C; ООП; Git; iOS SDK; JIRA; Rx; Unit Testing";"  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы; Возможность работать из дома (если процесс не требует обязательного присутствия в офисе); Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Оформление и социальный пакет в соответствии с трудовым кодексом; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";33;0.0;iOS;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;63;Junior iOS developer (swift);4.0;4.0;ИнтерВис;2019-12-12T12:20:11+0300;"Требования:  Опыт коммерческой разработки для мобильных устройств на базе iOS Понимание принципов ООП и шаблонов проектирования. Хорошее знание Swift, Уверенное владение UIKit, Хорошее понимание Apple Human Interface Guidelines; Отладка и профилирование программного кода. Знакомство с Foundation. Знание принципов работы клиент-серверных приложений Опыт работы с JSON, REST, WebSocket, Опыт работы с git.  Будет плюсом:  Опыт работы с Websocket; Знание Objective-C Опыт работы с Realm; Design Patterns; Примеры приложений в App Store; Опыт работы с Zeplin и Figma.  Условия:  Работа в стабильно развивающейся компании Перспективы профессионального развития Офис в шаговой доступности от ст.м. Невский проспект Пятидневная рабочая неделя Гибкий график Дружный коллектив ";Опыт коммерческой разработки для мобильных устройств на базе iOS. Понимание принципов ООП и шаблонов проектирования. Хорошее знание Swift. ;;"iOS; Git; ООП; swift";  Работа в стабильно развивающейся компании Перспективы профессионального развития Офис в шаговой доступности от ст.м. Невский проспект Пятидневная рабочая неделя Гибкий график Дружный коллектив ;63;0.0;iOS;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;24;IOS Developer;5.0;4.0;Элисофт;2019-12-12T10:56:59+0300;Требования:   Понимание принципов ООП.   Хорошее знание Swift,   Знание Objective-C будет плюсом.   Уверенное владение UIKit,   Опыт создания сложного UI и кастомизированных контролов.   Понимание принципов работы с Auto Layout и Storyboards.   Знакомство с Foundation.   Знание принципов работы клиент-серверных приложений, приложений с real-time обменом данными с сервером.   Опыт работы с JSON, REST, WebSocket, SignalR.   Опыт работы с git.   Условия:  Работа в надежной и успешной компании, в коллективе профессионалов, при поддержке коллег Достойная оплата труда, соответствующая рыночной стоимости специалиста Ежемесячные и ежеквартальные премии и бонусы по результатам работы Официальное оформление согласно ТК РФ, полный соц. пакет Бесплатные обеды в корпоративном кафе Собственная парковка Уютный, светлый open-офис в шаговой доступности от метро «Обводный канал» Возможность профессионального и карьерного роста, обучения за счет Компании    Сумма денежного вознаграждения обсуждается индивидуально с финальным кандидатом! Мы приветствуем развитие и открыты всему новому! Присоединяйся! Рассматриваем кандидатов из любой точки мира!;  Работа в надежной и успешной компании, в коллективе профессионалов, при поддержке коллег Достойная оплата труда, соответствующая рыночной стоимости специалиста Ежемесячные и ежеквартальные премии и бонусы по результатам работы Официальное оформление согласно ТК РФ, полный соц. пакет Бесплатные обеды в корпоративном кафе Собственная парковка Уютный, светлый open-офис в шаговой доступности от метро «Обводный канал» Возможность профессионального и карьерного роста, обучения за счет Компании    Сумма денежного вознаграждения обсуждается индивидуально с финальным кандидатом! Мы приветствуем развитие и открыты всему новому! Присоединяйся! Рассматриваем кандидатов из любой точки мира!;Понимание принципов ООП. Хорошее знание Swift. Знание Objective-C будет плюсом. Уверенное владение UIKit. Опыт создания сложного UI и кастомизированных...;" Objective-C;iOS; Swift; Git; ООП";"UI; JSON API; ООП; Git";124;0.0;iOS;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;46;Разработчик iOS;4.0;4.0;Группа компаний BMSGroup;2019-12-11T15:50:24+0300;"Привет, Мы - небольшая команда, делаем программы лояльности под ключ, работаем в тихом офисе в шаговой доступности от метро Владимирская/Достоевская. Ежемесячно нашими продуктами пользуются более 250 тысяч пользователей, доля мобайла среди них составляет ~10%, с твоим приходом в нашу команду мы сможем растить этот показатель. Что нужно будет делать:  Работать в частично-распределенной команде: разработчики, UX/дизайнер(ы), QA, саппорт; Разрабатывать собственный продукт для массового рынка, проект написан на MVVM + ReactiveSwift + Coordinators; Работать над внедрением нового дизайна (уже внедряем третью версию визуала, со временем наверняка изобретем четвертую как минимум); Работать над задачами разного масштаба: от мажорных фич до минорных улучшений.  Что мы ожидаем:  Опыт работы в коммерческой разработке программного обеспечения от полугода; Способность решать задачи под ключ; чаще всего речь будет идти не просто о закрытии тикета; большинство задач, стоящих перед командой решаются не только чистым кодом, но и сотрудничеством с коллегами; Умение договариваться с коллегами и искать оптимальные способы достижения целей; Опыт разработки на iOS от года; Уверенное знание iOS SDK (Foundation, UIKit); Опыт работы с MVVM + ReactiveSwift/RxSwift будет твоим преимуществом, git; Сеть (структура запроса, json, REST); Английский как минимум на уровне чтения документации, we are very welcome fluent English colleagues. Желание повышать свой профессиональный уровень, учиться и развиваться.  Будет круто, если у тебя есть:  Знание SOLID, паттернов, Moya, CoreData; Опыт работы с push-уведомлениями, геосервисами и другими нативными для iOS функциями.  Что даем взамен:  Адекватное отношение, помощь коллег, сопричастность в работе над продуктом; Свободу в принятии решений, касающихся твоей работы; коллегиальный метод принятия решений, влияющих на работу коллег; Опыт работы в многокомпонентном продукте, развитие, при наличии желания - проба пера в смежных направлениях работы над продуктом; Молодой дружный коллектив, уютный офис в 5 минутах от метро Достоевская; Хорошее техническое оснащение и условия работы; Гибкий график начала рабочего дня; Безлимитный вкусный кофе/чай, турник, игровая; Обсуждаемую при встрече оплату, отпуск по ТК, полностью оплачиваемый больничный; Возможность карьерного, профессионального, личностного роста.    Пожалуйста, откликаясь на вакансию, напиши в сопроводительном письме 2-3 варианта удобных тебе для встречи в ближайшие дни.";;"Опыт работы в коммерческой разработке программного обеспечения от полугода. Способность решать задачи под ключ; чаще всего речь будет идти не...";Работать в частично-распределенной команде: <highlighttext>разработчики</highlighttext>, UX/дизайнер(ы), QA, саппорт. Разрабатывать собственный продукт для массового рынка, проект написан на...;;146;0.034482758620689655;iOS;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;80;Старший разработчик под iOS (Swift);6.0;8.0;Рокси Мобайл;2019-12-12T11:28:09+0300;"Уважаемые соискатели, пожалуйста, указывайте в резюме ссылки на примеры своего кода.   Обязанности:  Руководство командой разработчиков; Организация процессов разработки, публикации и сопровождения мобильных приложений для iOS; Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до конечной реализации).    Наши ожидания:   Опыт программирования на Swift или Objective-C от 3-х лет; Опыт коммерческой разработки для мобильных устройств на базе iOS от 2-х лет; Понимание основных принципов ООП и шаблонов проектирования; Знание базовых структур данных и алгоритмов; Знание iOS SDK (UIKit, Foundation, CoreLocation и др.), общее понимание архитектуры iOS; Знание шаблонов проектирования пользовательских интерфейсов для iOS 9+ (Human Interface Guidelines); Опыт работы с сетевыми протоколами (HTTP, REST, OAuth, JSON и др.); Желание и готовность изучать новые технологии и инструменты разработки.    Дополнительными преимуществами будут:   Участие в крупных проектах для мобильных платформ в составе команды; Наличие собственных опубликованных приложений в Apple AppStore; Опыт работы с системами контроля версий (Git, Subversion) и постановки задач (JIRA, TFS, Redmine); Опыт разработки приложений со сложным UI с использованием Auto Layout; Опыт работы с другими мобильными платформами и/или языками программирования (Java/Kotlin, C/C++, C#); Опыт работы с библиотеками Alamofire, PureLayout, RxSwift, Firebase SDK; Опыт написания Unit-тестов; Знание английского языка на уровне свободного чтения технической документации.    Мы предлагаем:  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы; Возможность работать из дома (если процесс не требует обязательного присутствия в офисе); Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Оформление и социальный пакет в соответствии с трудовым кодексом; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";"  Профессиональное развитие‚ интересные задачи, участие в перспективных проектах; Работа в стабильной компании с профессиональной командой, использующей передовые технологии в своей области; Полная занятость, гибкий график работы; Возможность работать из дома (если процесс не требует обязательного присутствия в офисе); Достойная заработная плата (в зависимости от вашей квалификации и уровня задач, которые вы способны решить); Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»; Оформление и социальный пакет в соответствии с трудовым кодексом; Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене. ";Опыт программирования на Swift или Objective-C от 3-х лет. Опыт коммерческой разработки для мобильных устройств на базе iOS...;Руководство командой <highlighttext>разработчиков</highlighttext>. Организация процессов разработки, публикации и сопровождения мобильных приложений для iOS. Участие в проектах федерального масштаба на всех...;"iOS; Swift; Objective-C; ООП; Git; iOS SDK; JIRA; Rx; Unit Testing";180;0.0;iOS;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;2;IOS разработчик;7.0;6.0;Мирафокс;2019-12-09T16:26:08+0300;Компания Mirafox приглашает к себе в команду iOS разработчика. Предстоит работать над развитием фриланс биржи нового поколения Kwork (сегодня до 50 000 уников в сутки, 60+ удаленных сотрудников). Kwork является лидером по трафику в рунете среди фриланс ресурсов. Мы создаем крутой сервис и планируем дальнейших рост Kwork в ближайшие 2 года минимум в два раза по доходу и посещаемости. Так как сейчас мы активно работаем над мобильным приложением, ваша роль в развитии Kwork будет одной из определяющих.   Обязанности:   Разработка мобильного приложения под iOS.   Удаленная работа по комфортному графику в команде с использованием Agile.   Какие технологии используются в работе?   Разработка приложения ведется на Objective-C/Swift.   В проекте используется CoreData для локального хранения данных.   MVC, MVVM, VIPER. Внедряем Unit/UI тесты.   В качестве сервиса для постановки и реализации задач (тикетов) используется Jira.   В качестве системы контроля версий используем bitbucket. Используется основа Scrum-методологии и спринты.   Требования:   Уверенная работа с чужим кодом, знание Objective-C/Swift.   Умение работать с git.   Успешный опыт реализации Unit/UI тестов.   Ответственность, желание работать и совершенствовать свои навыки.   Условия:   Вас ожидают интересные задачи, работа над популярными проектами компании Mirafox с десятками тысяч пользователей.   Удаленная работа в команде по комфортному для Вас графику (min 30 рабочих часов в неделю).   Оплата: 1100 руб./час, выплаты каждые 2 недели. По результатам работы возможно повышение ставки.   Работаем с помощью Time Tracking программы.   Mirafox limited - это интернет-компания со штаб-квартирой в Гонконге. Mirafox делает ставку на удаленных сотрудников, и сегодня в компании работает более 150 профессионалов из разных стран мира. Начиная с 2008 года Mirafox запустил десятки сервисов, часть из которых занимают лидирующие позиции в своих нишах. Суммарно 10 млн посетителей ежемесячно пользуются сервисами компании. В связи с активным развитием проектов штат разработчиков увеличивается. Присоединяйся, если хочешь разрабатывать интересные проекты и решать непростые задачи! ВНИМАНИЕ! На начальном этапе мы направляем соискателям небольшую анкету, чтобы лучше познакомиться с вашим опытом iOS разработчика.;   Вас ожидают интересные задачи, работа над популярными проектами компании Mirafox с десятками тысяч пользователей.   Удаленная работа в команде по комфортному для Вас графику (min 30 рабочих часов в неделю).   Оплата: 1100 руб./час, выплаты каждые 2 недели. По результатам работы возможно повышение ставки.   Работаем с помощью Time Tracking программы.   Mirafox limited - это интернет-компания со штаб-квартирой в Гонконге. Mirafox делает ставку на удаленных сотрудников, и сегодня в компании работает более 150 профессионалов из разных стран мира. Начиная с 2008 года Mirafox запустил десятки сервисов, часть из которых занимают лидирующие позиции в своих нишах. Суммарно 10 млн посетителей ежемесячно пользуются сервисами компании. В связи с активным развитием проектов штат разработчиков увеличивается. Присоединяйся, если хочешь разрабатывать интересные проекты и решать непростые задачи! ВНИМАНИЕ! На начальном этапе мы направляем соискателям небольшую анкету, чтобы лучше познакомиться с вашим опытом iOS разработчика.;Уверенная работа с чужим кодом, знание Objective-C/Swift. Умение работать с git. Успешный опыт реализации Unit/UI тестов. ;Разработка приложения ведется на Objective-C/Swift. В проекте используется CoreData для локального хранения данных. MVC, MVVM, VIPER. ;"Objective-C; Git; Agile Project Management; Atlassian Jira; MVC; iOS; мобильные приложения";202;0.10344827586206896;iOS;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
6;10;IOS разработчик;4.0;4.0;Нмаркет.ПРО;2019-12-10T14:41:54+0300;"Обязанности:  Поддержка и развитие основного В2В приложения Нмаркет.ПРО    Требования:  уверенное владение Swift; верстка с помощью Autolayout в XIB и в коде; знание паттернов проектирования (в т.ч. архитектурных, особенно VIPER, VIP и координатор); знание базовых алгоритмов и структур данных; опыт работы с Realm; опыт программирования на основе интерфейсов (протоколов); опыт UNIT/UI тестирования кода (XCTest); опыт разработки универсальных приложений (iPhone / iPad)  Преимуществом будет:  опыт работы с git в терминале; знание языков Objective-C и C++; разработка и анализ на основе UML-диаграмм; опыт работы с ARKit / ARKit 2 / Unreal Engine    Условия:  Офис в центре Санкт-Петербурга (2 минуты пешком от метро Адмиралтейская);  Оформление по ТК РФ;   Испытательный срок 2 месяца;   Плавающее начало рабочего дня, с 9:00 до 11:00;   Сплоченный, дружный коллектив;  ";"  Офис в центре Санкт-Петербурга (2 минуты пешком от метро Адмиралтейская);  Оформление по ТК РФ;   Испытательный срок 2 месяца;   Плавающее начало рабочего дня, с 9:00 до 11:00;   Сплоченный, дружный коллектив;  ";Уверенное владение Swift. Верстка с помощью Autolayout в XIB и в коде. Знание паттернов проектирования (в т.ч. ;Поддержка и развитие основного В2В приложения Нмаркет.ПРО.;"SWIFT Alliance; iOS; Unit Testing; UI; C++; Git";210;0.06896551724137931;iOS;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
7;32;Senior IOS разработчик;8.0;4.0;Dialog;2019-12-12T11:48:30+0300;"Привет! Мы разрабатываем современное решение для эффективных коммуникаций в крупных компаниях, небольших командах и сообществах. Платформа dialog сочетает в себе привычные функции мессенджеров, высокий уровень безопасности и инструменты для автоматизации рутинных задач. В нашей компании dialog стал основным средством коммуникации. Мы пользуемся продуктом, который разрабатываем, и ежедневно улучшаем его. Мы ищем человека, который станет частью iOS направления команды разработки. В его обязанностях будет поддержка iOS клиентов, разработка новой функциональности и интерфейсов. Что делать:  доработка для клиентов новой версии мобильного мессенджера на iOS и SDK для него; мы целиком и полностью за использование новых технологий и подходов, применяем RxSwift, архитектура MVVM-С, UI строим при помощи Texture (AsyncDisplayKit); взаимодействие с сервером при помощи gRPC; менторство и наставничество наших middlов при желании; открыты для применения новых фреймворков, если он действительно привносит то, что нужно пользователю.  Что ждем от вас:  знание RxSwift, MVVM;  опыт коммерческой разработки iOS-приложений не менее двух лет;   опыт параллельного и многопоточного программирования;   понимание жизненного цикла приложения и принципов взаимодействия приложения с iOS;   знание Apple HIG (Human Interface Guidelines);   опыт оптимизации производительности приложения, работы с Xcode Instruments;   быстрая смекалка и «гибкость» в решении проблем;   хорошая ориентация в функциональности современного месседжинга;   аккуратизм и идеализм в вопросах интерфейсов;   самостоятельность и инициативность, не ждать, что за вас решат проблемы, нужно предлагать решения.   Желательно:   разработка чата, применение RPC / gRPC, Texture / AsyncDisplayKit.  Что предлагаем мы:  белая зарплата и годовые премии; гибкий график; участие в разработке open-source проектов компании и активная работа с сообществом; ДМС (после прохождения испытательного срока); возможность корпоративного обучения; техника Apple для работы; супер-адекватная и профессиональная команда; возможность оказывать влияние на продукт: обсуждать задачи не только с точки зрения методов реализации, но и с точки зрения рациональности и необходимости разрабатываемых фич, вносить свои идеи.  Несколько слов о себе всегда, как огромный плюс! :)";;Знание RxSwift, MVVM. Опыт коммерческой разработки iOS-приложений не менее двух лет. Опыт параллельного и многопоточного программирования. Понимание жизненного цикла...;Доработка для клиентов новой версии мобильного мессенджера на iOS и SDK для него. Мы целиком и полностью за использование новых...;"RxSwift; iOS";232;0.0;iOS;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
8;47;IOS разработчик;5.0;5.0;Дзенмани.ру;2019-12-09T15:26:20+0300;Привет! Я Антон — руководитель проекта Дзен-мани. Мы разрабатываем приложение, которое помогает контролировать расходы без лишних усилий, благодаря синхронизации с банками. Нам в команду нужен вдумчивый самостоятельный iOS разработчик для развития нашего флагманского приложения.(второе место в top grossing в категории Финансы, средняя оценка 4,7). Отлично, если вы пишете на Kotlin (большая часть кода написана на нем). Если нет - научим. В работе мы придерживаемся таких принципов:  Не стоим над душой, даем время на проектирование и рефакторинг, требуем качество. Команда распределённая, где вы живёте — не имеет значения. Общаемся через Slack. Работаем недельными итерациями. Зимой за счет компании встречаемся в теплых странах. Зарплата растёт вместе с ростом прибыли компании.  Давайте работать вместе. Есть вопросы - пишите.;;Работаем недельными итерациями.;" Objective-C;iOS; Swift; Git; ООП";"Kotlin; iOS; Objective-C; Swift";247;0.10344827586206896;iOS;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;17;Разработчик IOS приложений;0.0;0.0;JAM.ME;2019-12-11T14:10:19+0300;"Ищем разработчика iOS приложения в проект JAM.MEХотите окунуться в атмосферу стартапа, где вы имеете возможность влиять на принимаемые решения, а разработка не зажата сотнями регламентов?Хотите создавать что-то новое, вместо того, чтобы бесконечно править баги и поддерживать старый код?Добро пожаловать к нам в команду! Требования: - опыт iOS-разработки от 3-х лет, знание Swift и Objective-C;- умение писать понятный код;- наличие в App Store приложений, в создании которых вы принимали участие;- понимание гайдлайнов и особенностей iOS, всегда быть на острие технологий Apple, следить за всеми новыми возможностями SDK и применять их;- умение и желание работать как над внутренней логикой приложения, так и над пользовательским интерфейсом; Условия:- Занятость на проекте - полный день.- Работа удаленная";- Занятость на проекте - полный день.- Работа удаленная;опыт iOS-разработки от 3-х лет, знание Swift и Objective-C. - умение писать понятный код. - наличие в App Store...;" Objective-C;iOS; Swift; Git; ООП";"iOS; Objective-C; swift";317;0.034482758620689655;iOS;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
