;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; HTML; JavaScript; PHP; CSS; MySQL; HTML5; CSS3; CMS Wordpress;JavaScript;PHP; Git; Web-дизайн;CSS;1С-Битрикс; jQuery;Web Design; Веб-дизайн; SEO; Администрирование сайтов; Графический дизайн;Другие навыки
0;0;Веб-программист;4.0;3.0;ГК «РОСОХРАНА»;2019-12-09T14:24:16+0300;"Какие задачи необходимо решить:  Активная разработка, поддержка сервиса «личный кабинет» и его взаимодействие с мобильным приложением; Развитие, оптимизация и поддержка интеграционных механизмов; Разработка с «нуля», внедрение и поддержка собственных сервисов; Развитие и поддержка корпоративного портала Bitrix24; Поддержка сайтов компании;  Наши ожидания от кандидата:  Отличные знания РНР 5, CMS Bitrix, Bitrix24, HTML. Опыт администрирования вебсервисов Apachе и nginx на Linux. Опыт разработки API; Опыт работы с СУБД MySQL, MS SQL и PostgreSQL; Опыт работы с системами мониторинга (PRTG) желательно Опыт ведения документации и написания инструкций Желателен опыт использования практик DevOps (Bitbucket, Jira) и методологий Agile.  Что мы предлагаем:  Официальное трудоустройство. График работы: с понедельника по четверг с 09.00 до 18.00, в пятницу с 09.00 до 17.00 Достойную заработную плату: оклад (обсуждаем с кандидатами на собеседовании) Интересные разносторонние задачи. Работа в комфортном офисе возле ст. м Чкаловская. Возможность обучения, в рамках корпоративных программ. Корпоративная программа ДМС. Разнообразная корпоративная жизнь. ";Отличные знания РНР 5, CMS Bitrix, Bitrix24, HTML. Опыт администрирования вебсервисов Apachе и nginx на Linux. Опыт разработки API. ;Активная разработка, поддержка сервиса «личный кабинет» и его взаимодействие с мобильным приложением. Развитие, оптимизация и поддержка интеграционных механизмов. ;" HTML; JavaScript; PHP; CSS; MySQL";;0;0.10344827586206896;Другие web;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;28;Web-программист;2.0;3.0;Агентство недвижимости М16;2019-12-12T11:05:28+0300;"Обязанности:   Разработка корпоративных сайтов, адаптивных, мобильных версий   Доработка текущих проектов   Требования:  PHP 5+ HTML, CSS, JavaScript (native), jQuery (в том числе AJAX, JSON, плагины), кросс-браузерная верстка Уверенное знание фреймворков CodeIgniter Уверенное знание MySQL с опытом написания запросов к БД с большим объемом данных Верстка: HTML5, CSS, Ajax, Bootstrap Умение быстро разбираться с чужим кодом и осваивать новое Умение работать в команде, ответственность, инициативность  Условия:  Дружный молодой коллектив; Оформление по ТК РФ; График работы 5/2 с 10-00 до 19-00; ";PHP 5+. HTML, CSS, JavaScript (native), jQuery (в том числе AJAX, JSON, плагины), кросс-браузерная верстка. Уверенное знание фреймворков...;Разработка корпоративных сайтов, адаптивных, мобильных версий. Доработка текущих проектов.;" HTML; JavaScript; PHP; CSS; MySQL";"  Дружный молодой коллектив; Оформление по ТК РФ; График работы 5/2 с 10-00 до 19-00; ";28;0.0;Другие web;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;44;Web-разработчик;1.0;1.0;Красный Алмаз;2019-12-11T17:24:24+0300;"Требования:   Опыт работы от 6 месяцев;   Необходимо наличие примеров своих работ;   Уверенные знания HTML5/CSS3 (в т.ч. CSS-grid, Flexbox), Кроссбраузерная верстка, Bootstrap;   Навыки работы с PHP + MySQL будут преимуществом;   Опыт работы с WordPress+Woocommerce ОБЯЗАТЕЛЬНО, Битрикс (будет огромным плюсом);   Умение работать с основными графическими редакторами (Photoshop, Figma);   Начальные знания по Javascript, Знание jQuery;   Умение разбираться в чужом коде;   Внимательность;   Желание учиться и развиваться;   Знание английского языка на уровне “понимание документации”     Обязанности:   Верстка адаптивных сайтов (по .psd), встраивание шаблонов в CMS;   Доработки и поддержка сайтов клиентских сайтов     Вы нам подходите, если:   Вы умеете оценивать и соблюдать сроки;   Стремитесь узнавать новое в ИТ-индустрии;   Вы умеете задавать нужные вопросы;   Гуглите, прежде чем задать вопрос     Обязанности:   кроссбраузерная блочная верстка интернет-сайтов   встраивание шаблонов дизайна в систему управления сайтом   адаптивная верстка сайтов   доработки и поддержка сайтов клиентских сайтов   Условия:  дружный и весёлый коллектив; офис расположен в пяти минутах от метро Чкаловская; график работы с 10:00 до 18.00, будние дни пн-пт.;  Оклад на испытательном сроке 40 000; После испытательного 50 000 + %.Бонусы за положительные отзывы о проекте, который Вы вели. Официальное трудоустройство. Дружный коллектив. Кофе, печеньки. Мы понимаем, что все знать невозможно и готовы подсказать. Но Гуглить никто не отменял. И немного нашего подхода. Мы не ходим на РАБоту. Мы ходим развиваться, получать новые знания, осуществлять свои цели, расти финансово и как личность. В итоге, так называемая работа, назовём лучше «наше дело» , будет приносить нам радость и мы будем стараться и достигать результата, достигнув определённых высот - двигаться дальше, т.к. вы это делаете для себя, а не для кого-то и в первую очередь , вы видите результаты своих трудов. - Идеальным кандидатом на данную позицию является человек, готовый нести ответственность за весь процесс и конечный результат работы команды; - Необходимыми качествами кандидата должны быть системность и организованность, хорошие коммуникативные навыки и требовательность по отношению к себе; - Обязательное условие для успешной работы – готовность и умение интенсивно работать; Испытательный срок 1-3 месяца. Перед собеседованием нужно будет выполнить тестовое задание.";Опыт работы от 6 месяцев. Необходимо наличие примеров своих работ. Уверенные знания HTML5/CSS3 (в т.ч. ;Верстка адаптивных сайтов (по .psd), встраивание шаблонов в CMS. Доработки и поддержка сайтов клиентских сайтов. Вы умеете оценивать и соблюдать...;"Web Design; HTML; CSS; HTML5; JavaScript; Веб-дизайн; Web-дизайн; SEO; CSS3; CMS Wordpress; Администрирование сайтов; Графический дизайн; Управление проектами";"  дружный и весёлый коллектив; офис расположен в пяти минутах от метро Чкаловская; график работы с 10:00 до 18.00, будние дни пн-пт.;  Оклад на испытательном сроке 40 000; После испытательного 50 000 + %.Бонусы за положительные отзывы о проекте, который Вы вели. Официальное трудоустройство. Дружный коллектив. Кофе, печеньки. Мы понимаем, что все знать невозможно и готовы подсказать. Но Гуглить никто не отменял. И немного нашего подхода. Мы не ходим на РАБоту. Мы ходим развиваться, получать новые знания, осуществлять свои цели, расти финансово и как личность. В итоге, так называемая работа, назовём лучше «наше дело» , будет приносить нам радость и мы будем стараться и достигать результата, достигнув определённых высот - двигаться дальше, т.к. вы это делаете для себя, а не для кого-то и в первую очередь , вы видите результаты своих трудов. - Идеальным кандидатом на данную позицию является человек, готовый нести ответственность за весь процесс и конечный результат работы команды; - Необходимыми качествами кандидата должны быть системность и организованность, хорошие коммуникативные навыки и требовательность по отношению к себе; - Обязательное условие для успешной работы – готовность и умение интенсивно работать; Испытательный срок 1-3 месяца. Перед собеседованием нужно будет выполнить тестовое задание.";44;0.0;Другие web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
3;68;Веб-разработчик/программист Wordpress;2.0;3.0;ЦДО Отличник;2019-12-10T14:34:31+0300;В компанию ЦДО Отличник, на постоянную удаленную работу требуется веб-разработчик, для участия в разработке образовательного портала на базе CMS Wordpress. С Личным кабинетом клиента, LMS системой, Woocommerce магазином. На сайте необходимо будет реализовать ряд нестандартных задач и выполнять работу по настройке и доработке существующих шаблонов и плагинов. В отдельных случаях может потребоваться создание своего решения, поэтому просим откликаться опытных разработчиков со знанием ядра, структуры и особенностей разработки на CMS Wordpress. Обязанности:  Выполнение задач по доработке интерфейса сайта, внешних элементов, страниц, функционала плагинов. Подключение, настройка, доработка сторонних расширений, оптимизация работы сайта для мобильных устройств. Настройка интерфейса и функциональности личного кабинета, прав доступа пользователей на сайт и тд.  Требования:  Глубокое знание ядра CMS Wordpress, знание функционала современных плагинов для данной CMS. Умение дорабатывать функционал существующих плагинов и шаблонов. Владение языками программирования HTML, CSS, PHP, Javascript. Знание баз данных MySQL и языка SQL-запросов. Способность самостоятельного поиска наилучших вариантов решений технических задач. Инициативность, отзывчивость, желание развиваться, учиться, принимать участие в разработке нестандартных решений.  Условия:  Удаленная работа, свободный график. Сдельная оплата труда, работа по договору подряда. Приобретаем необходимые инструменты, плагины, делимся обучающими материалами, берем на конференции, регистрируем на мероприятия по проф. деятельности. ;Глубокое знание ядра CMS Wordpress, знание функционала современных плагинов для данной CMS. Умение дорабатывать функционал существующих плагинов и шаблонов. ;Выполнение задач по доработке интерфейса сайта, внешних элементов, страниц, функционала плагинов. Подключение, настройка, доработка сторонних расширений, оптимизация работы сайта для...;"JavaScript; HTML; CSS; MySQL; PHP; CMS Wordpress; phpMyAdmin; Веб-программирование; Azure";  Удаленная работа, свободный график. Сдельная оплата труда, работа по договору подряда. Приобретаем необходимые инструменты, плагины, делимся обучающими материалами, берем на конференции, регистрируем на мероприятия по проф. деятельности. ;68;0.06896551724137931;Другие web;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
4;80;Web-разработчик/ html-верстальщик;1.0;2.0;Trendspb;2019-12-09T18:28:36+0300;"Наша компания открыла вакансию web-разработчика. Обязанности:  Кроссбраузерная и адаптивная верстка на основе готовых макетов; Разработка, редактирование сайтов на базе различных CMS (преимущественно WP на стеке от Roots.io trellis/bedrock/sage); Оптимизация сайтов под требования поисковых систем; Техническая доработка текущих проектов клиентов компании.  Требования:  Уверенное владение HTML, понимание принципов построения семантической разметки; Уверенное владение CSS, понимание принципов построения адаптивного дизайна; Понимание основ языка Javascript стандарта (ES6); Опыт работы с PHP; Понимание принципов работы с DOM и событиями (Vanilla/jQuery); Опыт разработки с применением системы контроля версий (Git); Владение Photoshop/Figma на уровне работы с предоставляемым psd-макетом; Возможность писать поддерживаемый код, понятный команде, следование стайлгайду; Внимательность в вопросах регулярной проверки результата работы в различных браузерах и устройствах; Умение грамотно расставлять приоритеты и планировать свое рабочее время;  Плюсом будет: - Опыт работы с PostCSS или популярными препроцессорами (Sass, Less, Stylus);- Опыт работы со сборщиками (прежде всего Webpack), ознакомлённость с инструментами построения development-среды;- Опыт работы с пакетными менеджерами (yarn, npm);- Наличие представления о принципах оптимизации производительности веб-сайтов. Условия:  Удобный график, 5-дневная рабочая неделя 11:00-19:00 Оплачиваемый отпуск Оборудованное персональное рабочее место, бесплатно чай/кофе Офис в центре города (10 минут от м. Горьковская); Молодой‚ дружный коллектив; Позитивная атмосфера в офисе Перспектива творческого,профессионального и карьерного роста ";Уверенное владение HTML, понимание принципов построения семантической разметки. Уверенное владение CSS, понимание принципов построения адаптивного дизайна. Понимание основ языка Javascript...;Кроссбраузерная и адаптивная верстка на основе готовых макетов. Разработка, редактирование сайтов на базе различных CMS (преимущественно WP на стеке от...;"jQuery; CSS3; Less; JavaScript; HTML5";"  Удобный график, 5-дневная рабочая неделя 11:00-19:00 Оплачиваемый отпуск Оборудованное персональное рабочее место, бесплатно чай/кофе Офис в центре города (10 минут от м. Горьковская); Молодой‚ дружный коллектив; Позитивная атмосфера в офисе Перспектива творческого,профессионального и карьерного роста ";80;0.06896551724137931;Другие web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
5;81;Web-разработчик;2.0;2.0;Ершов Сергей Евгеньевич;2019-12-12T11:52:36+0300;Основные требования к будущему сотруднику на этой позиции Профессиональные знания и навыки:  Уверенные знания PHP. Уверенные знания MySQL. Опыт работы с OpenCart. Умение разбираться в чужом коде.  Личные качества:  Стрессоустойчивость. Системное и аналитическое мышление.  Функциональные обязанности:  Разработка новых сайтов Написание модулей Поддержка и развитие существующих магазинов Работа с интеграциями  Что мы предлагаем  Работу 5/2 в лофте возле м. Балтийская Удобный график 09:00 - 18:00 50 000 – 80 000 на руки в месяц по итогам собеседования                         ;Уверенные знания PHP. Уверенные знания MySQL. Опыт работы с OpenCart. Умение разбираться в чужом коде. Стрессоустойчивость. Системное и аналитическое мышление.;Разработка новых сайтов. Написание модулей. Поддержка и развитие существующих магазинов. Работа с интеграциями.;"ООП; OpenCart; MySQL; PHP; MVC";;81;0.0;Другие web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6;96;Веб-разработчик;2.0;4.0;Serenity;2019-12-09T15:30:08+0300;"  Обязанности:  проектирование и программирование функционала; разработка новых и поддержка текущих проектов на различных CMS; интеграции со сторонними сервисами и учетными системами (платежные шлюзы, amoCRM и т.д.).  Требования:  уверенное владение PHP 5 и 7 версий; уверенное знание MySQL; опыт работы с CMS системами; опыт работы с Git; опыт настройки VPS; ООП + Laravel; умение работать с чужим кодом; знание английского на уровне чтения документации; умение работать в команде.  Будет преимуществом:  навыки использования HTML/CSS/JavaScript; знакомство с Vue.js.  Условия:   работа в дружной команде профессионалов и интересные проекты;   доступ к корпоративной библиотеке и возможность заказывать любые профессиональные книги;   все условия для крутого роста;   приятная атмосфера: любим вместе проводить время и играть в покер по пятницам.  ";Уверенное владение PHP 5 и 7 версий. Уверенное знание MySQL. Опыт работы с CMS системами. Опыт работы с Git. ;Проектирование и программирование функционала. Разработка новых и поддержка текущих проектов на различных CMS. Интеграции со сторонними сервисами и учетными системами...;"PHP; MySQL; Git; CMS Wordpress; 1С-Битрикс; ООП";"   работа в дружной команде профессионалов и интересные проекты;   доступ к корпоративной библиотеке и возможность заказывать любые профессиональные книги;   все условия для крутого роста;   приятная атмосфера: любим вместе проводить время и играть в покер по пятницам.  ";96;0.10344827586206896;Другие web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
7;53;Веб-программист;2.0;3.0;Игнатенко Егор Сергеевич;2019-12-07T11:29:05+0300;Обязанности:  Администрирование (создание и обслуживание) сайтов Работа с CMS Верстка страниц Разработка дизайна сайта Работа с графическими редакторами  Требования:  Работоспособность и исполнительность Разносторонние знания  Условия:  Гибкий график Работа в офисе Премии ;  Гибкий график Работа в офисе Премии ;Работоспособность и исполнительность. Разносторонние знания.;Администрирование (создание и обслуживание) сайтов. Работа с CMS. Верстка страниц. Разработка дизайна сайта. Работа с графическими редакторами.;"CMS Wordpress; Администрирование сайтов; Adobe Photoshop; Создание сайтов; 1С-Битрикс";153;0.1724137931034483;Другие web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
8;59;Web Программист/ Web разработчик(Web мастер);0.0;1.0;ЧеСтар +;2019-12-09T11:08:17+0300;"Мы - студия создания и продвижения сайтов. В данный момент нам требуется: - супер-человек - Web мастер (Web-программист, Web-разработчик), способный создать сайт с нуля, разобраться в чужом коде и доработать верстку или функционал согласно ТЗ. Обязанности:   Переверстка шаблона на основных CMS (с сохранением и доработкой функционала);   Перенос сайта из одной на другую CMS(с сохранением функционала публичной части сайта);   Внесение функциональных правок и доработок на сайте (в основном WordPress, Bitrix, ModX, Joomla)   Верстка и настройка функционала согласно ТЗ;   Верстка страниц по макету или PSD, желательно Pixel Perfect.   Следование установленным срокам.     Требования:   Адекватность - порой бывает самое важное;   Обязательный опыт работы с 2-3 популярными CMS из списка - Wordpress, 1c Bitrix, ModX, Joomla, Umi (так-же большим плюсом будет знание структуры популярных плагинов и решений для этих CMS);   Знание HTML+CSS (валидная верстка, адаптив, мобильная верстка), PHP и JS на уровне отладки, инспектор кода - знать уметь владеть;   Опыт установки и работы с плагинами, формами;   Ответственность и ориентированность на результат;   Возможность работать полный рабочий день (8 часов);   Выполнять работу и быть на связи в течение рабочего дня;   Составление плана на день и отчетов о проделанной работе.   Если это все про Вас и Вы хотите стать частью нашей команды - прикладывайте к отклику портфолио, пишите в Skype - oldinfree и, возможно, именно Вы станете нашим новым сотрудником! Условия:   Работа в стабильной компании;   График работы 5/2 с 10:00 до 18:30, работа удаленная.   Дружный коллектив профессионалов;   Обучение при необходимости;   Испытательный срок 1 месяц (может быть сокращен по результатам работы);   Оплата труда оговаривается по результатам собеседования;   Напишите в отклик ответ на вопрос у фермера было 17 овец, и все, кроме девяти, умерли. Сколько овец осталось у фермера?   Интересная работа, возможность профессионального роста;   Заработная плата ЕЖЕНЕДЕЛЬНО;   Адекватный руководитель;   Главное – если вы дочитали эту вакансию, то вы внимательный человек который нам скорее подойдет.))  ";"   Работа в стабильной компании;   График работы 5/2 с 10:00 до 18:30, работа удаленная.   Дружный коллектив профессионалов;   Обучение при необходимости;   Испытательный срок 1 месяц (может быть сокращен по результатам работы);   Оплата труда оговаривается по результатам собеседования;   Напишите в отклик ответ на вопрос у фермера было 17 овец, и все, кроме девяти, умерли. Сколько овец осталось у фермера?   Интересная работа, возможность профессионального роста;   Заработная плата ЕЖЕНЕДЕЛЬНО;   Адекватный руководитель;   Главное – если вы дочитали эту вакансию, то вы внимательный человек который нам скорее подойдет.))  ";Адекватность - порой бывает самое важное. Обязательный опыт работы с 2-3 популярными CMS из списка - Wordpress, 1c Bitrix, ModX...;Переверстка шаблона на основных CMS (с сохранением и доработкой функционала). Перенос сайта из одной на другую CMS(с сохранением функционала...;"Наполнение контентом; Joomla CMS; SEO; CMS Wordpress; HTML; Яндекс.Метрика; Составление семантического ядра; CSS; PHP; Администрирование сайтов; SEO оптимизация; Внутренняя оптимизация сайта; Внешняя оптимизация сайта; JavaScript; MySQL; PHP5; HTML5";159;0.10344827586206896;Другие web;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
9;90;Web-разработчик;2.0;4.0;Профессиональные Комплексные Решения;2019-12-11T16:00:58+0300;"Компания «ПКР» в связи с развитием открывает вакансию Web-разработчика на back-end. Обязанности:  Поддержка и улучшение пользовательского и администраторского функционала информационного интернет-портала Инвестиционные проекты РФ (investprojects.info).  Портал Инвестиционные проекты РФ - это профессиональный комплексный сервис для юридических лиц в сфере B2B. Требования:  Уверенные знания PHP + Yii2 (или другие MVC-фреймворки), уверенное владение SQL, javascript (jQuery). Коммуникабельность, иницииативность, стрессоустойчивость, способность к самообразованию. Вашим преимуществом будут навыки серверного администрирования. Вашим преимуществом будет умение работать в режиме многозадачности. Вашим преимуществом будет умение и желание разбираться в чужом коде. Перед собеседованием нужно будет выполнить небольшое тестовое задание (при наличии исчерпывающего профиля на GITHUB тестовое выполнять не нужно!).  Условия работы:  Свобода разработки - при должном опыте Вам будет предоставлено право выбора методик и технологий! Официальное трудоустройство. Конкурентоспособный уровень заработной платы: оклад + премия по итогам работы. Комфортный офис в центре города (м. Пушкинская, м. Звенигородская, м. Лиговский проспект). Возможность развиваться вместе с доброжелательным коллективом профессионалов. Для работы предоставляется мобильная связь, ноутбук, возможность использовать корпоративный автопарк. Расширенный социальный пакет:   компенсация затрат на повышение квалификации, оплачиваемое питание, компенсация затрат на спорт, культурные мероприятия; собственный уютный тренажерный зал, дополнительный отпуск за выслугу лет в Компании.   Тип занятости: полный рабочий день на территории работодателя. У нас не курят! ";;Уверенные знания PHP + Yii2 (или другие MVC-фреймворки), уверенное владение SQL, javascript (jQuery). Коммуникабельность, иницииативность, стрессоустойчивость, способность к...;"Поддержка и улучшение пользовательского и администраторского функционала информационного интернет-портала &quot;Инвестиционные проекты РФ&quot; (investprojects.info).";"PHP; JavaScript; MySQL; HTML; Верстка; ООП";190;0.034482758620689655;Другие web;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
